"F1: 0.87879","Precision: 0.87879","Recall: 0.87879"
"Col","Row","Value","Submitted URI","Correct URI's"
"0","82","Pope Felix II","http://dbpedia.org/resource/Pope_Felix_III","http://dbpedia.org/resource/Pope_Felix_II http://dbpedia.org/resource/Felix_II http://dbpedia.org/resource/Archdeacon_Felix http://dbpedia.org/resource/Antipope_Felix_II"
"0","135","Pope Leo IV","http://dbpedia.org/resource/Pope_Leo_I","http://dbpedia.org/resource/103rd_pope http://dbpedia.org/resource/Pope_Saint_Leo_IV http://dbpedia.org/resource/Pope_Leo_IV http://dbpedia.org/resource/St._Leo_IV http://dbpedia.org/resource/Saint_Leo_IV"
"0","204","Teresa of Avila","http://dbpedia.org/resource/Teresa_of_Ávila","http://dbpedia.org/resource/Teresa_of_�vila"
"0","153","The Virgin Mary","http://dbpedia.org/resource/Mary,_mother_of_Jesus","http://dbpedia.org/resource/BVM(RC) http://dbpedia.org/resource/Our_Lady_in_Advent http://dbpedia.org/resource/Roman_Catholic_views_on_Mary http://dbpedia.org/resource/Veneration_of_Mary_in_Catholicism http://dbpedia.org/resource/Blessed_virgin_Mary http://dbpedia.org/resource/Blessed_Virgin_Mary_(Catholic) http://dbpedia.org/resource/Cult_of_Mary http://dbpedia.org/resource/Veneration_of_Mary_in_Roman_Catholicism http://dbpedia.org/resource/Blessed_Virgin_Mary_(Roman_Catholic) http://dbpedia.org/resource/Blessed_Virgin_Mary_(Catholicism) http://dbpedia.org/resource/Marian_veneration http://dbpedia.org/resource/Veneration_of_Mary_in_the_Catholic_Church"
"0","65","Denis","http://dbpedia.org/resource/Michael_Denis","http://dbpedia.org/resource/Dennis_of_Paris http://dbpedia.org/resource/Denîs http://dbpedia.org/resource/Saint_Denys http://dbpedia.org/resource/Saint_Dionysius_of_Paris http://dbpedia.org/resource/Denis_of_Paris http://dbpedia.org/resource/Saint_Denis_of_Paris http://dbpedia.org/resource/Saint_Denys_of_Paris http://dbpedia.org/resource/St._Dionysus http://dbpedia.org/resource/Denys_of_Paris http://dbpedia.org/resource/Dionysius_of_Paris http://dbpedia.org/resource/Saint_Dennis_of_Paris http://dbpedia.org/resource/St._Dionysius_of_Paris http://dbpedia.org/resource/Denis"
"0","75","Ethelbert of Kent","http://dbpedia.org/resource/Æthelberht_of_Kent","http://dbpedia.org/resource/�thelberht_of_Kent"
"0","133","Pope Leo II","http://dbpedia.org/resource/Pope_Leo_I","http://dbpedia.org/resource/Saint_Leo_II http://dbpedia.org/resource/Pope_Leo_II http://dbpedia.org/resource/Pope_Saint_Leo_II http://dbpedia.org/resource/80th_pope"
"0","122","John the Evangelist","http://dbpedia.org/resource/John_the_Apostle","http://dbpedia.org/resource/Yuhanna_al-Injili http://dbpedia.org/resource/John_the_evangelist http://dbpedia.org/resource/St._John_the_Evangelist http://dbpedia.org/resource/John_evangelist http://dbpedia.org/resource/John_the_Evangelist http://dbpedia.org/resource/John_the_Evangelist,_Saint http://dbpedia.org/resource/Saint_John_the_Evangelist http://dbpedia.org/resource/St_John_the_Evangelist"
"0","89","Pope Gelasius I","http://dbpedia.org/resource/Pope_Gelasius_II","http://dbpedia.org/resource/Galasius_I http://dbpedia.org/resource/St_Gelasius_I http://dbpedia.org/resource/St._Gelasius http://dbpedia.org/resource/Saint_Gelasius_I http://dbpedia.org/resource/49th_pope http://dbpedia.org/resource/Pope_Gelasius_I http://dbpedia.org/resource/Gelasius_I"
"0","215","Pope Urban I","http://dbpedia.org/resource/Pope_Urban_II","http://dbpedia.org/resource/Pope_Urban_I http://dbpedia.org/resource/17th_pope http://dbpedia.org/resource/Saint_Urban_I http://dbpedia.org/resource/Urban_the_First http://dbpedia.org/resource/St._Urban http://dbpedia.org/resource/Saint_Urban http://dbpedia.org/resource/Urban_I http://dbpedia.org/resource/St_Urban"
"0","20","Anselm","http://dbpedia.org/resource/Anselm_of_Canterbury","http://dbpedia.org/resource/Anselm_II_of_Lucca http://dbpedia.org/resource/Anselm_of_Lucca_(the_Younger) http://dbpedia.org/resource/Anselm_of_lucca http://dbpedia.org/resource/St_Anselm_of_Lucca http://dbpedia.org/resource/Saint_Anselmo_da_Baggio http://dbpedia.org/resource/Saint_Anselm_of_Lucca http://dbpedia.org/resource/Anselm_the_Younger http://dbpedia.org/resource/St._Anselm_of_Lucca http://dbpedia.org/resource/Anselm_of_Lucca_(the_Younger),_Saint http://dbpedia.org/resource/Anselm,_Bishop_of_Lucca http://dbpedia.org/resource/Anselm_of_Lucca"
"0","222","Pope Zacharias","http://dbpedia.org/resource/Pope_Zachary","http://dbpedia.org/resource/Pope_zacharias_of_alexandria http://dbpedia.org/resource/Pope_Zacharias_of_Alexandria http://dbpedia.org/resource/Zacharias_of_Alexandria http://dbpedia.org/resource/Pope_Zacharia_of_Alexandria http://dbpedia.org/resource/Zachary_of_Alexandria"
"0","90","George","http://dbpedia.org/resource/George_H._W._Bush","http://dbpedia.org/resource/George_the_Victorious http://dbpedia.org/resource/St._George http://dbpedia.org/resource/El-Khader http://dbpedia.org/resource/St.George http://dbpedia.org/resource/Sant_Jordi http://dbpedia.org/resource/St_George_the_Martyr http://dbpedia.org/resource/George_of_Lydda http://dbpedia.org/resource/Saint_George_the_Victorious http://dbpedia.org/resource/St_George_The_Martyr http://dbpedia.org/resource/Red_Cross_Knight http://dbpedia.org/resource/Saint_George http://dbpedia.org/resource/St_George http://dbpedia.org/resource/El_Khader http://dbpedia.org/resource/St_george_the_martyr"
"0","219","Vincent of Lerins","http://dbpedia.org/resource/Vincent_of_Lérins","http://dbpedia.org/resource/Vincent_of_L�rins"
"0","158","Maurice","http://dbpedia.org/resource/Maurice_(emperor)","http://dbpedia.org/resource/Saint_Maurice http://dbpedia.org/resource/Maurice,_Saint http://dbpedia.org/resource/St._Morris http://dbpedia.org/resource/St._Maurice http://dbpedia.org/resource/Maurice_d'Agaune http://dbpedia.org/resource/Saint_Morris http://dbpedia.org/resource/St.Maurice http://dbpedia.org/resource/Saint_Maurice_and_the_Theban_Legion http://dbpedia.org/resource/St_Maurice"
