F1: 0.80548,Precision: 0.80548,Recall: 0.80548,,
Col,Row,Value,Submitted URI,Correct URI's
0,202,Metro 2033,http://dbpedia.org/resource/Metro_2033_(video_game),http://dbpedia.org/resource/Metro2033 http://dbpedia.org/resource/Metro_2033_(Novel) http://dbpedia.org/resource/Metro_2033_(book) http://dbpedia.org/resource/Metro_2033_(novel) http://dbpedia.org/resource/Metro_2033 http://dbpedia.org/resource/Metro-2033
0,181,Legendary,http://dbpedia.org/resource/Legendary_(film),http://dbpedia.org/resource/Legendary_the_box http://dbpedia.org/resource/Nari_(creature) http://dbpedia.org/resource/Legendary_(video_game) http://dbpedia.org/resource/Legendary:_The_Box http://dbpedia.org/resource/Legendary_(computer_game) http://dbpedia.org/resource/Legendary_(game)
0,250,Prince of Persia,http://dbpedia.org/resource/Prince_of_Persia:_The_Sands_of_Time,http://dbpedia.org/resource/Prince_of_Persia_(2008) http://dbpedia.org/resource/Prince_of_persia_2008 http://dbpedia.org/resource/Prince_of_Persia_(2008_computer_game) http://dbpedia.org/resource/Pop2008 http://dbpedia.org/resource/Prince_of_Persia_(2008_game) http://dbpedia.org/resource/Prince_of_Persia_(2008_video_game) http://dbpedia.org/resource/Prince_of_Persia_2008 http://dbpedia.org/resource/Prince_of_Persia:_Prodigy
0,158,Gun,http://dbpedia.org/resource/Top_Gun,http://dbpedia.org/resource/Gun_(video_game) http://dbpedia.org/resource/Gun_(computer_game) http://dbpedia.org/resource/Gun_(2005_video_game) http://dbpedia.org/resource/GUN_(video_game) http://dbpedia.org/resource/List_of_characters_in_GUN http://dbpedia.org/resource/The_Gun_(video_game) http://dbpedia.org/resource/Gun:_Showdown http://dbpedia.org/resource/Gun:_Magruder's_Ghost http://dbpedia.org/resource/Last_Call_Poker http://dbpedia.org/resource/Gun_(game) http://dbpedia.org/resource/Gun_Showdown http://dbpedia.org/resource/GUN_Showdown http://dbpedia.org/resource/GUN:_Magruder's_Ghost http://dbpedia.org/resource/Colton_White http://dbpedia.org/resource/Gun_2:_Magruder's_Ghost
0,246,Perfect Dark Zero,http://dbpedia.org/resource/Perfect_Dark,http://dbpedia.org/resource/Mai_Hem_(Perfect_Dark_Zero) http://dbpedia.org/resource/MaiHem http://dbpedia.org/resource/Perfect_Dark_Zero_OST http://dbpedia.org/resource/Perfect_Dark_Zero http://dbpedia.org/resource/PDZ_OST http://dbpedia.org/resource/Perfect_Dark_0 http://dbpedia.org/resource/PD0 http://dbpedia.org/resource/Perfect_Dark_zero http://dbpedia.org/resource/Locktopus
0,128,Dynasty Warriors 6: Empires,http://dbpedia.org/resource/Dynasty_Warriors_7,http://dbpedia.org/resource/DW6 http://dbpedia.org/resource/Dynasty_Warriors_6:_Empires http://dbpedia.org/resource/Shin_Sangokumusou_5 http://dbpedia.org/resource/Shin_Sangoku_Musou_5 http://dbpedia.org/resource/Dynasty_Warriors_6_Empires http://dbpedia.org/resource/Dynasty_Warriors_6 http://dbpedia.org/resource/Dynasty_Warriors_6_Special http://dbpedia.org/resource/Dw6
0,39,Bionic Commando,http://dbpedia.org/resource/Bionic_Commando_Rearmed,http://dbpedia.org/resource/Bionic_Commando_(2009_computer_game) http://dbpedia.org/resource/Bionic_Commando_(2008_game) http://dbpedia.org/resource/Bionic_Commando_2 http://dbpedia.org/resource/Bionic_Commando_(remake) http://dbpedia.org/resource/Bionic_Commando_(sequel) http://dbpedia.org/resource/Bionic_Commando_(2008) http://dbpedia.org/resource/Bionic_Commando_(2009_video_game)
0,229,Need for Speed: Most Wanted (NFS Most Wanted),http://dbpedia.org/resource/Need_for_Speed:_Most_Wanted_(2005_video_game),http://dbpedia.org/resource/NFS:MW http://dbpedia.org/resource/Need_for_Speed_MW http://dbpedia.org/resource/Need_for_Speed_Most_Wanted:_5-1-0 http://dbpedia.org/resource/Rockport_(Need_for_Speed) http://dbpedia.org/resource/Need_For_Speed:_Most_Wanted_(VG) http://dbpedia.org/resource/Need_for_Speed:_Most_Wanted_(Black_Edition http://dbpedia.org/resource/NFS_MW http://dbpedia.org/resource/Need_for_speed:most_wanted http://dbpedia.org/resource/Nfs_most_wanted http://dbpedia.org/resource/NFSMW http://dbpedia.org/resource/NFS_Most_Wanted http://dbpedia.org/resource/Need_For_Speed_Most_Wanted http://dbpedia.org/resource/Need_for_Speed:_Most_Wanted_5-1-0 http://dbpedia.org/resource/NFS:_MW http://dbpedia.org/resource/NFS:Most_Wanted http://dbpedia.org/resource/Need_for_Speed:_Most_Wanted http://dbpedia.org/resource/Need_for_Speed:_Most_Wanted_(Black_Edition) http://dbpedia.org/resource/Need_For_Speed:_Most_Wanted http://dbpedia.org/resource/Need_for_Speed:_MW http://dbpedia.org/resource/Need_for_Speed_Most_Wanted http://dbpedia.org/resource/Need_for_Speed:_Most_Wanted_(disambiguation)
0,127,Dynasty Warriors 6,http://dbpedia.org/resource/Dynasty_Warriors_4,http://dbpedia.org/resource/DW6 http://dbpedia.org/resource/Dynasty_Warriors_6:_Empires http://dbpedia.org/resource/Shin_Sangokumusou_5 http://dbpedia.org/resource/Shin_Sangoku_Musou_5 http://dbpedia.org/resource/Dynasty_Warriors_6_Empires http://dbpedia.org/resource/Dynasty_Warriors_6 http://dbpedia.org/resource/Dynasty_Warriors_6_Special http://dbpedia.org/resource/Dw6
0,274,Rio,,http://dbpedia.org/resource/Rock_in_Rio_(video)
0,96,Dance Dance Revolution Universe (DDR Universe),http://dbpedia.org/resource/Dance_Dance_Revolution_Universe_2,http://dbpedia.org/resource/Dance_Dance_Revolution_Universe
0,375,WWE SmackDown vs. Raw 2011,http://dbpedia.org/resource/WWE_SmackDown_vs._Raw_2010,http://dbpedia.org/resource/SvR_2011 http://dbpedia.org/resource/WWE_SmackDown_vs_Raw_2011 http://dbpedia.org/resource/SVR_11 http://dbpedia.org/resource/Svr2011 http://dbpedia.org/resource/WWE_SmackDown_vs._Raw_2011 http://dbpedia.org/resource/WWE_Smackdown_vs_Raw_2011 http://dbpedia.org/resource/Smackdown_vs_RAW_2011 http://dbpedia.org/resource/WWE_Smackdown_vs._Raw_2011 http://dbpedia.org/resource/Smackdown_vs._Raw_2011 http://dbpedia.org/resource/WWE_2011
