F1: 0.64000,Precision: 0.64000,Recall: 0.64000,,
Col,Row,Value,Submitted URI,Correct URI's
1,4,B. Bartlett,http://dbpedia.org/resource/Bonnie_Bartlett,http://dbpedia.org/resource/Ben_Bartlett
1,5,J. A. Lührs,http://dbpedia.org/resource/Fredrik_Luhr_Dietrichson,http://dbpedia.org/resource/Jorge_Avendano_Luhrs http://dbpedia.org/resource/Jorge_Avendaño http://dbpedia.org/resource/Jorge_Avendano_Lohrs http://dbpedia.org/resource/Jorge_Avendaño_Lührs http://dbpedia.org/resource/Jorge_Avendano http://dbpedia.org/resource/Jorge_Avendano_Luehrs http://dbpedia.org/resource/Jorge_Avendaño_Luhrs http://dbpedia.org/resource/Jorge_Avendaño_Lohrs
1,6,J. Wolff,http://fr.dbpedia.org/resource/Jean-Claude_Wolff,http://dbpedia.org/resource/Jonathan_Wolff_(musician)
1,10,N. Morino,http://dbpedia.org/resource/Jone_Morino,http://dbpedia.org/resource/Nobuhiko_Morino
1,12,F. Phillips,http://dbpedia.org/resource/Flip_Phillips,http://dbpedia.org/resource/Freddie_Phillips
1,13,R. Gibbs,http://dbpedia.org/resource/Robin_Gibb,"http://dbpedia.org/resource/Gibbs,_Richard http://dbpedia.org/resource/Richard_Gibbs"
1,15,K. Macpherson,http://dbpedia.org/resource/James_Macpherson,http://dbpedia.org/resource/Easily_Amused http://dbpedia.org/resource/Keith_Macpherson
1,23,K. Carter,http://dbpedia.org/resource/Michael_Carter_(musician),http://dbpedia.org/resource/Kristopher_Carter
1,25,T. Nichols,http://dbpedia.org/resource/Todd_Nichols_(musician),http://dbpedia.org/resource/Ted_Nichols
