F1: 0.66667,Precision: 0.66667,Recall: 0.66667,,
Col,Row,Value,Submitted URI,Correct URI's
1,1,Oldham,http://dbpedia.org/resource/Oldham_Athletic_A.F.C.,http://dbpedia.org/resource/Oldham_Football_Club http://dbpedia.org/resource/Oldham_Roughyeds http://dbpedia.org/resource/Oldham_F.C. http://dbpedia.org/resource/Oldham_F.C http://dbpedia.org/resource/Oldham_Bears http://dbpedia.org/resource/Roughyeds http://dbpedia.org/resource/Oldham_RLFC http://dbpedia.org/resource/Oldham_FC
1,5,St Helens,http://dbpedia.org/resource/Liverpool_St_Helens_F.C.,http://dbpedia.org/resource/St_Helens_RFC http://dbpedia.org/resource/St._Helens_R.F.C. http://dbpedia.org/resource/Saints_RL http://dbpedia.org/resource/St._Helens_Rugby_League_Football_Club http://dbpedia.org/resource/St_Helens_FC http://dbpedia.org/resource/St._Helens_R.L.F.C. http://dbpedia.org/resource/St_Helens_Rugby_League_Football_Club http://dbpedia.org/resource/St._Helens_RFC http://dbpedia.org/resource/St._Helens_RLFC http://dbpedia.org/resource/St_Helens_RLFC
1,7,Hunslet,http://dbpedia.org/resource/Hunslet_R.L.F.C.,http://dbpedia.org/resource/Hunslet_F.C._(rugby_league)
1,11,York,http://dbpedia.org/resource/York_City_Knights,http://dbpedia.org/resource/York_Wasps http://dbpedia.org/resource/York_RLFC http://dbpedia.org/resource/Ryedale-York
1,12,Halifax,http://dbpedia.org/resource/F.C._Halifax_Town,http://dbpedia.org/resource/Halifax_RLFC http://dbpedia.org/resource/Halifax_Blue_Sox http://dbpedia.org/resource/Halifax_FC http://dbpedia.org/resource/Halifax_RFC http://dbpedia.org/resource/Halifax_Blue_Socks http://dbpedia.org/resource/Halifax_F.C http://dbpedia.org/resource/Halifax_Football_Club
1,18,Whitehaven,http://dbpedia.org/resource/Whitehaven_R.L.F.C.,http://dbpedia.org/resource/Whitehaven_RLFC http://dbpedia.org/resource/Whitehaven_Warriors
1,22,Bramley,http://dbpedia.org/resource/Bramley_Buffaloes,http://dbpedia.org/resource/Bramley_RLFC
1,23,Widnes,http://dbpedia.org/resource/Barrow_Raiders,http://dbpedia.org/resource/Widnes_F.C http://dbpedia.org/resource/Widnes_Vikings_RLFC http://dbpedia.org/resource/Widness_Vikings http://dbpedia.org/resource/Widnes_RLFC http://dbpedia.org/resource/The_Chemics http://dbpedia.org/resource/Widnes_Rugby_League_Football_Club http://dbpedia.org/resource/Widnes_Vikings http://dbpedia.org/resource/Widnes_R.L.F.C. http://dbpedia.org/resource/Widnes_Football_Club
1,27,Liverpool City,http://dbpedia.org/resource/Liverpool_St_Helens_F.C.,http://dbpedia.org/resource/Runcorn_Highfield http://dbpedia.org/resource/Huyton_RLFC http://dbpedia.org/resource/Highfield_RLFC http://dbpedia.org/resource/Liverpool_City_(1951) http://dbpedia.org/resource/London_Highfield http://dbpedia.org/resource/Prescot_Panthers http://dbpedia.org/resource/Liverpool_Stanley http://dbpedia.org/resource/Wigan_Highfield http://dbpedia.org/resource/Liverpool_City_RLFC
1,30,Doncaster,http://dbpedia.org/resource/Doncaster_Rovers_Belles_L.F.C.,http://dbpedia.org/resource/Doncaster_RLFC http://dbpedia.org/resource/Doncaster_Lakers http://dbpedia.org/resource/Doncaster_Dragons
