F1: 0.65517,Precision: 0.65517,Recall: 0.65517,,
Col,Row,Value,Submitted URI,Correct URI's
0,3,Athens Olympic Aquatic Centre,http://dbpedia.org/resource/Athens_Olympic_Tennis_Centre,http://dbpedia.org/resource/Olympic_Aquatic_Centre_(Athens) http://dbpedia.org/resource/Athens_Olympic_Aquatic_Centre
0,18,Markopoulo Olympic Equestrian Centre,http://dbpedia.org/resource/National_Equestrian_Center,http://dbpedia.org/resource/Olympic_Equestrian_Centre http://dbpedia.org/resource/Athens_Olympic_Equestrian_Centre http://dbpedia.org/resource/Markopoulo_Olympic_Equestrian_Centre
0,19,Markopoulo Olympic Shooting Centre,http://dbpedia.org/resource/Markopoulo_Olympic_Equestrian_Centre,http://dbpedia.org/resource/Markopoulo_Olympic_Shooting_Centre http://dbpedia.org/resource/Markópoulo_Olympic_Shooting_Centre http://dbpedia.org/resource/Athens_Olympic_Shooting_Centre http://dbpedia.org/resource/Olympic_Shooting_Centre
0,22,Peristeri Olympic Boxing Hall,http://dbpedia.org/resource/Venues_of_the_2004_Summer_Olympics,http://dbpedia.org/resource/Olympic_Boxing_Hall http://dbpedia.org/resource/Peristeri_Olympic_Boxing_Hall http://dbpedia.org/resource/Athens_Olympic_Boxing_Hall http://dbpedia.org/resource/Peristeri_Boxing_Hall
0,24,Vouliagmeni Olympic Centre,http://dbpedia.org/resource/Hillcrest_Centre,http://dbpedia.org/resource/Vouliagmeni_Olympic_Centre
0,26,Karaiskaki Stadium,http://dbpedia.org/resource/Juventus_Stadium,http://dbpedia.org/resource/Karaiskaki_Stadium http://dbpedia.org/resource/Karaiskákis_Stadium http://dbpedia.org/resource/Georgios_Karaiskakis_Stadium http://dbpedia.org/resource/Karaiskakis_Stadium http://dbpedia.org/resource/Karaiskaki http://dbpedia.org/resource/Karaïskákis_Stadium
0,27,Pampeloponnisiako Stadium,http://dbpedia.org/resource/Yankee_Stadium,http://dbpedia.org/resource/Panpeloponnisiako http://dbpedia.org/resource/Pampelonisiako_Stadium http://dbpedia.org/resource/Pampeloponnisiako http://dbpedia.org/resource/Pampeloponnisiako_Stadium http://dbpedia.org/resource/Panpeloponnesian_Stadium http://dbpedia.org/resource/Pampeloponisiako_Stadium http://dbpedia.org/resource/Pampelloponisiako http://dbpedia.org/resource/Panpeloponnisiako_Stadium
0,28,Pankritio Stadium,http://dbpedia.org/resource/Yankee_Stadium,http://dbpedia.org/resource/Pagkritio_Stadium http://dbpedia.org/resource/Pankritio_Stadium http://dbpedia.org/resource/Pankritiko http://dbpedia.org/resource/Pankritio http://dbpedia.org/resource/Pankritiko_Stadium
0,29,Panthessaliko Stadium,http://dbpedia.org/resource/Yankee_Stadium,http://dbpedia.org/resource/Panthessalian_Stadium http://dbpedia.org/resource/Panthessaliko http://dbpedia.org/resource/Panthessaliko_Stadium
0,30,Panathainaiko Stadium,http://dbpedia.org/resource/Juventus_Stadium,http://dbpedia.org/resource/Kallimarmaro http://dbpedia.org/resource/Panathenaic_stadium http://dbpedia.org/resource/Panathenaic_Stadium http://dbpedia.org/resource/Panethenian_Stadium http://dbpedia.org/resource/Kallimarmaro_Stadium http://dbpedia.org/resource/Panathinaiko http://dbpedia.org/resource/Panathinaiko_Stadium http://dbpedia.org/resource/Panathinaiko_Stadio http://dbpedia.org/resource/Kallimarmaron_Stadium
