F1: 0.54545,Precision: 0.54545,Recall: 0.54545,,
Col,Row,Value,Submitted URI,Correct URI's
0,1,Air Mobility Command Museum,http://dbpedia.org/resource/Strategic_Air_Command_&_Aerospace_Museum,http://dbpedia.org/resource/Air_Mobility_Command_Museum
0,2,Amstel House,http://dbpedia.org/resource/InterContinental_Amstel_Amsterdam,http://dbpedia.org/resource/Amstel_House
0,7,Biggs Museum of American Art,,http://dbpedia.org/resource/First_State_Heritage_Park http://dbpedia.org/resource/First_state_heritage_park_at_dover http://dbpedia.org/resource/First_State_Heritage_Park_at_Dover http://dbpedia.org/resource/Johnson_Victrola_Museum http://dbpedia.org/resource/Biggs_Museum_of_American_Art
0,8,Blue Ball Barn,"http://dbpedia.org/resource/Blue_Ball,_Pennsylvania",http://dbpedia.org/resource/Blue_Ball_Barn http://dbpedia.org/resource/Alapocas_Run_State_Park
0,20,Delaware History Museum,http://dbpedia.org/resource/Delaware_Art_Museum,http://dbpedia.org/resource/Cook-Simms_House http://dbpedia.org/resource/Dingee_House http://dbpedia.org/resource/Willingtown_Square http://dbpedia.org/resource/Delaware_Historical_Society http://dbpedia.org/resource/Margaret_Coxe_House http://dbpedia.org/resource/Historical_Society_of_Delaware http://dbpedia.org/resource/Read_House_and_Gardens http://dbpedia.org/resource/Old_Town_Hall_Commercial_Historic_District http://dbpedia.org/resource/Delaware_History_Centre http://dbpedia.org/resource/Delaware_History_Museum http://dbpedia.org/resource/Delaware_History_Center http://dbpedia.org/resource/George_Read_II_House http://dbpedia.org/resource/Olde_Towne_Hall http://dbpedia.org/resource/Read_House_&_Gardens http://dbpedia.org/resource/George_Read_House http://dbpedia.org/resource/Coxe_House http://dbpedia.org/resource/Catherine_Coxe_House http://dbpedia.org/resource/Read_II_House
0,21,Delaware Mineralogical Society,http://dbpedia.org/resource/Delaware_Historical_Society,http://dbpedia.org/resource/Delaware_mineralogical_society http://dbpedia.org/resource/Delaware_Mineralogical_Society
0,32,First Presbyterian Church,"http://dbpedia.org/resource/First_Presbyterian_Church_(Chattanooga,_Tennessee)","http://dbpedia.org/resource/Old_First_Presbyterian_Church_of_Wilmington http://dbpedia.org/resource/Old_First_Presbyterian_Church_(Wilmington,_Delaware)"
0,37,Hagley Museum & Library,http://dbpedia.org/resource/Hagley_Museum_and_Library,http://dbpedia.org/resource/Hagley_Museum_&_Library
0,42,Indian River Lifesaving Station Museum,http://dbpedia.org/resource/White_River_Light,http://dbpedia.org/resource/Indian_River_Life_Saving_Service_Station
0,44,John Bell House,"http://dbpedia.org/resource/John_Bell_House_(Lexington,_Kentucky)",http://dbpedia.org/resource/First_State_Heritage_Park http://dbpedia.org/resource/First_state_heritage_park_at_dover http://dbpedia.org/resource/First_State_Heritage_Park_at_Dover http://dbpedia.org/resource/Johnson_Victrola_Museum http://dbpedia.org/resource/Biggs_Museum_of_American_Art
0,45,John Dickinson Plantation,,http://dbpedia.org/resource/John_Dickinson_House http://dbpedia.org/resource/Poplar_hall http://dbpedia.org/resource/John_Dickinson_Plantation
0,46,Johnson Victrola Museum,http://dbpedia.org/resource/Herbert_F._Johnson_Museum_of_Art,http://dbpedia.org/resource/First_State_Heritage_Park http://dbpedia.org/resource/First_state_heritage_park_at_dover http://dbpedia.org/resource/First_State_Heritage_Park_at_Dover http://dbpedia.org/resource/Johnson_Victrola_Museum http://dbpedia.org/resource/Biggs_Museum_of_American_Art
0,49,Lightship Overfalls,http://dbpedia.org/resource/United_States_lightship_Nantucket_(LV-112),http://dbpedia.org/resource/United_States_lightship_WAL_539 http://dbpedia.org/resource/United_States_lightship_Overfalls_(LV-118) http://dbpedia.org/resource/Lightship_WLV_539
0,50,Marshall Steam Museum,http://dbpedia.org/resource/Marshall_Steam_Station,http://dbpedia.org/resource/Marshall_Steam_Museum http://dbpedia.org/resource/Auburn_Heights_Preserve
0,60,Old State House,http://dbpedia.org/resource/Old_State_House_(Boston),http://dbpedia.org/resource/Delaware_State_Capitol http://dbpedia.org/resource/Delaware_Legislative_Hall
0,62,Old Swedes Church,http://dbpedia.org/resource/Gloria_Dei_(Old_Swedes')_Church,"http://dbpedia.org/resource/Holy_Trinity_Church_(Old_Swedes) http://dbpedia.org/resource/Holy_Trinity_Church,_Old_Swedes http://dbpedia.org/resource/Old_Swedes_Episcopal_Church_Cemetery"
0,63,Old Town Hall,http://dbpedia.org/resource/Old_Town_Hall_(Prague),"http://dbpedia.org/resource/Old_Town_Hall_(Wilmington,_Delaware)"
0,67,Read House & Gardens,http://dbpedia.org/resource/Wansapanataym,http://dbpedia.org/resource/Read_House_&_Gardens
0,70,Robinson House,"http://dbpedia.org/resource/Robinson_House_(Wellsboro,_Pennsylvania)","http://dbpedia.org/resource/Darley_Society http://dbpedia.org/resource/Claymont_Historical_Society http://dbpedia.org/resource/Naamans_Heritage_Association http://dbpedia.org/resource/Robinson_House_(Claymont,_Delaware) http://dbpedia.org/resource/Naamans_Tea_House"
0,79,Willingtown Square,http://dbpedia.org/resource/Square_(company),http://dbpedia.org/resource/Cook-Simms_House http://dbpedia.org/resource/Dingee_House http://dbpedia.org/resource/Willingtown_Square http://dbpedia.org/resource/Delaware_Historical_Society http://dbpedia.org/resource/Margaret_Coxe_House http://dbpedia.org/resource/Historical_Society_of_Delaware http://dbpedia.org/resource/Read_House_and_Gardens http://dbpedia.org/resource/Old_Town_Hall_Commercial_Historic_District http://dbpedia.org/resource/Delaware_History_Centre http://dbpedia.org/resource/Delaware_History_Museum http://dbpedia.org/resource/Delaware_History_Center http://dbpedia.org/resource/George_Read_II_House http://dbpedia.org/resource/Olde_Towne_Hall http://dbpedia.org/resource/Read_House_&_Gardens http://dbpedia.org/resource/George_Read_House http://dbpedia.org/resource/Coxe_House http://dbpedia.org/resource/Catherine_Coxe_House http://dbpedia.org/resource/Read_II_House
