F1: 0.26316,Precision: 0.26316,Recall: 0.26316,,
Col,Row,Value,Submitted URI,Correct URI's
5,1,Poole,http://dbpedia.org/resource/Poole,http://dbpedia.org/resource/Harry_Poole
5,2,Steele,"http://dbpedia.org/resource/Steele,_North_Dakota",http://dbpedia.org/resource/Stan_Steele http://dbpedia.org/resource/Stanley_Steele http://dbpedia.org/resource/Stanley_Frederick_Steele
5,3,Fidler,http://dbpedia.org/resource/Le_Fidelaire,http://dbpedia.org/resource/Dennis_Fidler http://dbpedia.org/resource/Dennis_John_Fidler
5,4,"Steele (2), Fidler, Portwood","http://dbpedia.org/resource/Steele,_Missouri",http://dbpedia.org/resource/Stan_Steele http://dbpedia.org/resource/Stanley_Steele http://dbpedia.org/resource/Stanley_Frederick_Steele
5,5,"Calland (2), Jackson, Steele, Portwood, Miles, Fidler",http://dbpedia.org/resource/Jacksons_International_Airport,http://dbpedia.org/resource/Ted_Calland http://dbpedia.org/resource/Edward_Calland
5,10,"Steele, Fidler",http://dbpedia.org/resource/Eugène_Fidler,http://dbpedia.org/resource/Stan_Steele http://dbpedia.org/resource/Stanley_Steele http://dbpedia.org/resource/Stanley_Frederick_Steele
5,12,"Portwood, Oscroft, Steele",http://dbpedia.org/resource/Harry_Oscroft,http://dbpedia.org/resource/Clifford_Portwood http://dbpedia.org/resource/Cliff_Portwood
5,14,"Whalley (2), Portwood","http://dbpedia.org/resource/Whalley,_Lancashire",http://dbpedia.org/resource/Selwyn_Davies_Whalley http://dbpedia.org/resource/Selwyn_Whalley
5,15,"Portwood (2), Jackson (pen), Whalley","http://dbpedia.org/resource/Whalley,_Lancashire",http://dbpedia.org/resource/Clifford_Portwood http://dbpedia.org/resource/Cliff_Portwood
5,18,"Steele, Calland, Fidler",http://dbpedia.org/resource/Ted_Calland,http://dbpedia.org/resource/Stan_Steele http://dbpedia.org/resource/Stanley_Steele http://dbpedia.org/resource/Stanley_Frederick_Steele
5,19,"Llewellyn, Fidler",http://dbpedia.org/resource/Llewellyn_Thompson,http://dbpedia.org/resource/Herbert_Llewellyn http://dbpedia.org/resource/Bert_Llewellyn http://dbpedia.org/resource/Bert_Llewllyn http://dbpedia.org/resource/Herbert_Arthur_Llewellyn
5,21,"Llewellyn (3), Jackson",http://dbpedia.org/resource/Llewellyn_Lloyd,http://dbpedia.org/resource/Herbert_Llewellyn http://dbpedia.org/resource/Bert_Llewellyn http://dbpedia.org/resource/Bert_Llewllyn http://dbpedia.org/resource/Herbert_Arthur_Llewellyn
5,22,"Poole, Steele",http://dbpedia.org/resource/Brian_Steele_(rugby_union),http://dbpedia.org/resource/Harry_Poole
5,24,"Llewellyn, Jackson (pen), Portwood",http://dbpedia.org/resource/P._G._Wodehouse_minor_characters,http://dbpedia.org/resource/Herbert_Llewellyn http://dbpedia.org/resource/Bert_Llewellyn http://dbpedia.org/resource/Bert_Llewllyn http://dbpedia.org/resource/Herbert_Arthur_Llewellyn
