F1: 0.41176,Precision: 0.41176,Recall: 0.41176,,
Col,Row,Value,Submitted URI,Correct URI's
1,2,Marina Klimova \/ Sergei Ponomarenko,http://dbpedia.org/resource/Sergei_Ponomarenko,http://dbpedia.org/resource/Marina_Klimova http://dbpedia.org/resource/Marja_Klimova
1,3,Tracy Wilson \/ Robert McCall,http://dbpedia.org/resource/Robert_McCall_(figure_skater),"http://dbpedia.org/resource/Tracey_Wilson http://dbpedia.org/resource/Tracy_Wilson http://dbpedia.org/resource/Wilson-Kinsella,_Tracy http://dbpedia.org/resource/Tracy_Wilson_(figure_skater) http://dbpedia.org/resource/Tracy_Wilson_(figure_skating) http://dbpedia.org/resource/Wilson,_Tracy"
1,5,Suzanne Semanick \/ Scott Gregory,http://dbpedia.org/resource/Scott_Gregory,http://dbpedia.org/resource/Suzy_Semanick http://dbpedia.org/resource/Suzanne_Semanick http://dbpedia.org/resource/Susanne_Semanick
1,6,Kathrin Beck \/ Christoff Beck,http://dbpedia.org/resource/Christoff_Beck,http://dbpedia.org/resource/Kathrin_Beck
1,7,Antonia Becherer \/ Ferdinand Becherer,http://dbpedia.org/resource/Maria_Carolina_of_Austria,http://dbpedia.org/resource/Antonia_Becherer
1,8,KlÃ¡ra Engi \/ Attila TÃ³th,,http://dbpedia.org/resource/Klára_Engi
1,10,Karyn Garossino \/ Rod Garossino,http://dbpedia.org/resource/Karyn_Kupcinet,http://dbpedia.org/resource/Karyn_Garossino
1,13,Sharon Jones \/ Paul Askham,http://dbpedia.org/resource/Sharon_Jones,http://dbpedia.org/resource/Sharon_Jones_Baker http://dbpedia.org/resource/Sharon_Jones_(figure_skater)
1,16,Tomoko Tanaka \/ Hiroyuki Suzuki,http://dbpedia.org/resource/Hiroyuki_Suzuki_(figure_skater),http://dbpedia.org/resource/Tomoko_Tanaka
1,19,Monica MacDonald \/ Rodney Clarke,http://dbpedia.org/resource/Rodney_MacDonald,http://dbpedia.org/resource/Monica_MacDonald http://dbpedia.org/resource/Monica_Macdonald http://dbpedia.org/resource/Monica_McDonald
