F1: 0.26667,Precision: 0.26667,Recall: 0.26667,,
Col,Row,Value,Submitted URI,Correct URI's
1,1,Nashville,http://dbpedia.org/resource/Capitol_Records,"http://dbpedia.org/resource/Little_Kurdistan http://dbpedia.org/resource/Nashville,_United_States http://dbpedia.org/resource/Little_kurdistan http://dbpedia.org/resource/Nashville_neighborhoods http://dbpedia.org/resource/Nashville_&_Davidson_County,_Tennessee http://dbpedia.org/resource/Nashville,_tn http://dbpedia.org/resource/Nashville,_TN,_USA http://dbpedia.org/resource/Nashville,_Tennesee http://dbpedia.org/resource/Capital_of_Tennessee http://dbpedia.org/resource/Neighborhoods_of_Nashville http://dbpedia.org/resource/South_Nashville http://dbpedia.org/resource/Nashville-Davidson_(city),_TN http://dbpedia.org/resource/Nashville-Davidson_County http://dbpedia.org/resource/Nashville,_Tennessee http://dbpedia.org/resource/Nashville_tn http://dbpedia.org/resource/Nashville_(AFL) http://dbpedia.org/resource/Nashville-Davidson_(city),_Tennessee http://dbpedia.org/resource/Nashville-Davidson,_Tennessee http://dbpedia.org/resource/Music_City_USA http://dbpedia.org/resource/Nashville-Davidson,_TN http://dbpedia.org/resource/Nashville http://dbpedia.org/resource/Businesses_in_Nashville http://dbpedia.org/resource/West_Nashville http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_TN http://dbpedia.org/resource/City_of_Nashville http://dbpedia.org/resource/The_weather_in_Nashville http://dbpedia.org/resource/Nashville,_TN http://dbpedia.org/resource/Metropolitan_Government_of_Nashville_and_Davidson_County http://dbpedia.org/resource/Nashville_(TN) http://dbpedia.org/resource/Cashville,_Tennessee http://dbpedia.org/resource/Nashville_Tenn http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_Tennessee http://dbpedia.org/resource/Protestant_vatican http://dbpedia.org/resource/North_Nashville http://dbpedia.org/resource/Nashville,_Tenn. http://dbpedia.org/resource/Downtown_Nashville http://dbpedia.org/resource/Nashville,_USA http://dbpedia.org/resource/Nashville_Tennessee http://dbpedia.org/resource/Nashvillian http://dbpedia.org/resource/Nashville-Davidson http://dbpedia.org/resource/Nash_Vegas http://dbpedia.org/resource/Nashville_Neighborhoods"
1,3,"Northridge, Los Angeles, California","http://dbpedia.org/resource/University_of_California,_Los_Angeles","http://dbpedia.org/resource/Northridge,_California http://dbpedia.org/resource/Northridge,_Los_Angeles,_CA http://dbpedia.org/resource/Zelzah http://dbpedia.org/resource/North_Ridge,_Los_Angeles http://dbpedia.org/resource/Northridge,_CA http://dbpedia.org/resource/Northridge,_Los_Angeles,_California http://dbpedia.org/resource/North_Ridge,_California http://dbpedia.org/resource/Zelzah,_California http://dbpedia.org/resource/Northridge,_Los_Angeles http://dbpedia.org/resource/Northridge_california http://dbpedia.org/resource/North_Los_Angeles"
1,4,"Hollywood, California",http://dbpedia.org/resource/Boulevard_Recording,"http://dbpedia.org/resource/District_of_Hollywood http://dbpedia.org/resource/Greater_Hollywood http://dbpedia.org/resource/Hwood http://dbpedia.org/resource/Tinseltown http://dbpedia.org/resource/History_of_Hollywood,_California http://dbpedia.org/resource/Hollywood_America http://dbpedia.org/resource/Hollywood http://dbpedia.org/resource/HollywooD http://dbpedia.org/resource/Hollywood,_Los_Angeles,_CA http://dbpedia.org/resource/Greater_Hollywood,_Los_Angeles,_California http://dbpedia.org/resource/Hollywood,_CA http://dbpedia.org/resource/UN/LOCODE:USHLW http://dbpedia.org/resource/Hollywood,_California http://dbpedia.org/resource/Hollywood,_Los_Angeles http://dbpedia.org/resource/H'w'd http://dbpedia.org/resource/Hollywood,_Calif. http://dbpedia.org/resource/Hollywood_(Los_Angeles,_Calif.) http://dbpedia.org/resource/English_cinema http://dbpedia.org/resource/Hollywood_(CA) http://dbpedia.org/resource/Hollywood_Goes_Green http://dbpedia.org/resource/Hollywood,_Los_Angeles,_California http://dbpedia.org/resource/Hollywood_(California) http://dbpedia.org/resource/Hollywood_(Los_Angeles)"
1,5,"Nashville, Tennessee",http://dbpedia.org/resource/Tennessee_Titans,"http://dbpedia.org/resource/Little_Kurdistan http://dbpedia.org/resource/Nashville,_United_States http://dbpedia.org/resource/Little_kurdistan http://dbpedia.org/resource/Nashville_&_Davidson_County,_Tennessee http://dbpedia.org/resource/Nashville_neighborhoods http://dbpedia.org/resource/Nashville,_tn http://dbpedia.org/resource/Nashville,_TN,_USA http://dbpedia.org/resource/Nashville,_Tennesee http://dbpedia.org/resource/Capital_of_Tennessee http://dbpedia.org/resource/Neighborhoods_of_Nashville http://dbpedia.org/resource/South_Nashville http://dbpedia.org/resource/Nashville-Davidson_(city),_TN http://dbpedia.org/resource/Nashville-Davidson_County http://dbpedia.org/resource/Nashville,_Tennessee http://dbpedia.org/resource/Nashville_tn http://dbpedia.org/resource/Nashville_(AFL) http://dbpedia.org/resource/Nashville-Davidson_(city),_Tennessee http://dbpedia.org/resource/Nashville-Davidson,_Tennessee http://dbpedia.org/resource/Music_City_USA http://dbpedia.org/resource/Nashville-Davidson,_TN http://dbpedia.org/resource/Nashville http://dbpedia.org/resource/Businesses_in_Nashville http://dbpedia.org/resource/West_Nashville http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_TN http://dbpedia.org/resource/City_of_Nashville http://dbpedia.org/resource/The_weather_in_Nashville http://dbpedia.org/resource/Nashville,_TN http://dbpedia.org/resource/Metropolitan_Government_of_Nashville_and_Davidson_County http://dbpedia.org/resource/Nashville_(TN) http://dbpedia.org/resource/Cashville,_Tennessee http://dbpedia.org/resource/Nashville_Tenn http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_Tennessee http://dbpedia.org/resource/Protestant_vatican http://dbpedia.org/resource/North_Nashville http://dbpedia.org/resource/Nashville,_Tenn. http://dbpedia.org/resource/Downtown_Nashville http://dbpedia.org/resource/Nashville,_USA http://dbpedia.org/resource/Nashville_Tennessee http://dbpedia.org/resource/Nashvillian http://dbpedia.org/resource/Nashville-Davidson http://dbpedia.org/resource/Nash_Vegas http://dbpedia.org/resource/Nashville_Neighborhoods"
1,6,New York City,http://dbpedia.org/resource/City_College_of_New_York,"http://dbpedia.org/resource/New_York_N.Y. http://dbpedia.org/resource/New_York,_New_York http://dbpedia.org/resource/New_York_New_York http://dbpedia.org/resource/New_York,_New_York_(State) http://dbpedia.org/resource/New_York_(NY) http://dbpedia.org/resource/NY_City,_NY http://dbpedia.org/resource/N_yc http://dbpedia.org/resource/New_york,_New_York http://dbpedia.org/resource/New_York_City,_NYS http://dbpedia.org/resource/UN/LOCODE:USNYC http://dbpedia.org/resource/Newyorkcity http://dbpedia.org/resource/USNYC http://dbpedia.org/resource/New_York,_N.Y. http://dbpedia.org/resource/New_Yawk http://dbpedia.org/resource/New_York_CIty http://dbpedia.org/resource/New_York_City http://dbpedia.org/resource/New_York,_N._Y. http://dbpedia.org/resource/New_York,_New_York,_USA http://dbpedia.org/resource/New_York_city http://dbpedia.org/resource/N_y_c http://dbpedia.org/resource/Nueva_York http://dbpedia.org/resource/NewYork_City http://dbpedia.org/resource/New_your_city http://dbpedia.org/resource/City_of_New_York,_New_York http://dbpedia.org/resource/NYC,_New_York http://dbpedia.org/resource/New_York_City_Birth_Index http://dbpedia.org/resource/N.Y.,_N.Y. http://dbpedia.org/resource/Ny_c http://dbpedia.org/resource/City_of_New_York http://dbpedia.org/resource/Nyc http://dbpedia.org/resource/NYC http://dbpedia.org/resource/New-York_City http://dbpedia.org/resource/New_York,_NY http://dbpedia.org/resource/New_york_city,_new_york http://dbpedia.org/resource/New_Yourk_City http://dbpedia.org/resource/New_York_City,_United_States http://dbpedia.org/resource/City_New_York http://dbpedia.org/resource/City_of_new_york http://dbpedia.org/resource/New_York_City,_New_York_State http://dbpedia.org/resource/New_York_Cty http://dbpedia.org/resource/NYC,_NY http://dbpedia.org/resource/New_York_City,_U.S. http://dbpedia.org/resource/NYC,_NYS http://dbpedia.org/resource/N.Y.C. http://dbpedia.org/resource/New_York_(City) http://dbpedia.org/resource/New_York_City,_New_York,_United_States http://dbpedia.org/resource/New_York,_NY,_USA http://dbpedia.org/resource/N.Y.C http://dbpedia.org/resource/New_York_NY http://dbpedia.org/resource/New_York,_US-NY http://dbpedia.org/resource/New_York_City,_USA http://dbpedia.org/resource/New_York_City,_NY http://dbpedia.org/resource/New_york,_ny http://dbpedia.org/resource/NY,_NY http://dbpedia.org/resource/N._Y.,_N._Y. http://dbpedia.org/resource/The_City_So_Nice_They_Named_It_Twice http://dbpedia.org/resource/New_York_City_(NYC) http://dbpedia.org/resource/New_York_City,_New_York http://dbpedia.org/resource/N._Y._C. http://dbpedia.org/resource/City_That_Never_Sleeps_(city) http://dbpedia.org/resource/New_york_city http://dbpedia.org/resource/New_York_(N.Y.) http://dbpedia.org/resource/City_of_NY http://dbpedia.org/resource/NYC.gov http://dbpedia.org/resource/New_York_City_(Ny.) http://dbpedia.org/resource/New_York_City_(NYC),_USA http://dbpedia.org/resource/New_York_City_(NY) http://dbpedia.org/resource/NY_City http://dbpedia.org/resource/The_City_of_New_York http://dbpedia.org/resource/New_York_City,_New_York,_USA http://dbpedia.org/resource/New_York_City,_United_States_of_America http://dbpedia.org/resource/New_York_(city) http://dbpedia.org/resource/New_york_City http://dbpedia.org/resource/City_of_new_yourk http://dbpedia.org/resource/New_york_new_york"
1,7,Central London,http://dbpedia.org/resource/Great_Central_Railway,"http://dbpedia.org/resource/Central_London http://dbpedia.org/resource/London_city_centre http://dbpedia.org/resource/Central_Activities_Zone http://dbpedia.org/resource/Central_London,_United_Kingdom http://dbpedia.org/resource/Central_london"
1,8,Cincinnati,http://dbpedia.org/resource/University_of_Cincinnati_College_of_Law,"http://dbpedia.org/resource/Cinncinati_Ohio http://dbpedia.org/resource/Cincy http://dbpedia.org/resource/Cinncinnati http://dbpedia.org/resource/Cinncinnatti,_Ohio http://dbpedia.org/resource/Cincinatti_Ohio http://dbpedia.org/resource/City_of_Cincinnati http://dbpedia.org/resource/The_Queen_of_the_West http://dbpedia.org/resource/Cinncinnatti_Ohio http://dbpedia.org/resource/Cincinati http://dbpedia.org/resource/Cinncinnati_Ohio http://dbpedia.org/resource/Cincinnati http://dbpedia.org/resource/Cincinati,_Ohio http://dbpedia.org/resource/Cincinnatti,_Ohio http://dbpedia.org/resource/Cincinnati,_Oh http://dbpedia.org/resource/Cin_City http://dbpedia.org/resource/Cinncinatti,_Ohio http://dbpedia.org/resource/Cincinnati,_OH http://dbpedia.org/resource/Cincinnati_(OH) http://dbpedia.org/resource/Cincinnati_Rap http://dbpedia.org/resource/Cinncinatti http://dbpedia.org/resource/Blue_Chip_City http://dbpedia.org/resource/Cincinnati,_Ohio http://dbpedia.org/resource/Losantiville http://dbpedia.org/resource/Ohio_Cincinnati http://dbpedia.org/resource/Cincinatti,_OH http://dbpedia.org/resource/Cincinnati,_USA http://dbpedia.org/resource/Cinncinnati,_Ohio http://dbpedia.org/resource/Cincinnati_sister_cities http://dbpedia.org/resource/Cincinnati_OH http://dbpedia.org/resource/Cincinnati_Ohio http://dbpedia.org/resource/Sawyer_Point_Yeatman's_Cove http://dbpedia.org/resource/The_Blue_Chip_City http://dbpedia.org/resource/Cincinatti http://dbpedia.org/resource/Cincinnatti_Ohio http://dbpedia.org/resource/Cincinnati_(Ohio) http://dbpedia.org/resource/Indian_Hill_Middle_School http://dbpedia.org/resource/Cincinati_Ohio http://dbpedia.org/resource/Cinncinnatti http://dbpedia.org/resource/Cinci http://dbpedia.org/resource/Cincinnatti http://dbpedia.org/resource/Cinncinati,_Ohio http://dbpedia.org/resource/UN/LOCODE:USCVG http://dbpedia.org/resource/Government_of_Cincinnati http://dbpedia.org/resource/Cincinnati,_Ohio,_USA http://dbpedia.org/resource/Cinncinatti_Ohio http://dbpedia.org/resource/Government_of_Cincinnati,_Ohio http://dbpedia.org/resource/Cincinatti,_Ohio http://dbpedia.org/resource/Cincinnati,_O. http://dbpedia.org/resource/Cincinnati,_oh http://dbpedia.org/resource/Cinncinati"
1,9,"Nashville, Tennessee",http://dbpedia.org/resource/Tennessee_Titans,"http://dbpedia.org/resource/Little_Kurdistan http://dbpedia.org/resource/Nashville,_United_States http://dbpedia.org/resource/Little_kurdistan http://dbpedia.org/resource/Nashville_&_Davidson_County,_Tennessee http://dbpedia.org/resource/Nashville_neighborhoods http://dbpedia.org/resource/Nashville,_tn http://dbpedia.org/resource/Nashville,_TN,_USA http://dbpedia.org/resource/Nashville,_Tennesee http://dbpedia.org/resource/Capital_of_Tennessee http://dbpedia.org/resource/Neighborhoods_of_Nashville http://dbpedia.org/resource/South_Nashville http://dbpedia.org/resource/Nashville-Davidson_(city),_TN http://dbpedia.org/resource/Nashville-Davidson_County http://dbpedia.org/resource/Nashville,_Tennessee http://dbpedia.org/resource/Nashville_tn http://dbpedia.org/resource/Nashville_(AFL) http://dbpedia.org/resource/Nashville-Davidson_(city),_Tennessee http://dbpedia.org/resource/Nashville-Davidson,_Tennessee http://dbpedia.org/resource/Music_City_USA http://dbpedia.org/resource/Nashville-Davidson,_TN http://dbpedia.org/resource/Nashville http://dbpedia.org/resource/Businesses_in_Nashville http://dbpedia.org/resource/West_Nashville http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_TN http://dbpedia.org/resource/City_of_Nashville http://dbpedia.org/resource/The_weather_in_Nashville http://dbpedia.org/resource/Nashville,_TN http://dbpedia.org/resource/Metropolitan_Government_of_Nashville_and_Davidson_County http://dbpedia.org/resource/Nashville_(TN) http://dbpedia.org/resource/Cashville,_Tennessee http://dbpedia.org/resource/Nashville_Tenn http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_Tennessee http://dbpedia.org/resource/Protestant_vatican http://dbpedia.org/resource/North_Nashville http://dbpedia.org/resource/Nashville,_Tenn. http://dbpedia.org/resource/Downtown_Nashville http://dbpedia.org/resource/Nashville,_USA http://dbpedia.org/resource/Nashville_Tennessee http://dbpedia.org/resource/Nashvillian http://dbpedia.org/resource/Nashville-Davidson http://dbpedia.org/resource/Nash_Vegas http://dbpedia.org/resource/Nashville_Neighborhoods"
1,10,New York City,http://dbpedia.org/resource/City_College_of_New_York,"http://dbpedia.org/resource/New_York_N.Y. http://dbpedia.org/resource/New_York,_New_York http://dbpedia.org/resource/New_York_New_York http://dbpedia.org/resource/New_York,_New_York_(State) http://dbpedia.org/resource/New_York_(NY) http://dbpedia.org/resource/NY_City,_NY http://dbpedia.org/resource/N_yc http://dbpedia.org/resource/New_york,_New_York http://dbpedia.org/resource/New_York_City,_NYS http://dbpedia.org/resource/UN/LOCODE:USNYC http://dbpedia.org/resource/Newyorkcity http://dbpedia.org/resource/USNYC http://dbpedia.org/resource/New_York,_N.Y. http://dbpedia.org/resource/New_Yawk http://dbpedia.org/resource/New_York_CIty http://dbpedia.org/resource/New_York_City http://dbpedia.org/resource/New_York,_N._Y. http://dbpedia.org/resource/New_York,_New_York,_USA http://dbpedia.org/resource/New_York_city http://dbpedia.org/resource/N_y_c http://dbpedia.org/resource/Nueva_York http://dbpedia.org/resource/NewYork_City http://dbpedia.org/resource/New_your_city http://dbpedia.org/resource/City_of_New_York,_New_York http://dbpedia.org/resource/NYC,_New_York http://dbpedia.org/resource/New_York_City_Birth_Index http://dbpedia.org/resource/N.Y.,_N.Y. http://dbpedia.org/resource/Ny_c http://dbpedia.org/resource/City_of_New_York http://dbpedia.org/resource/Nyc http://dbpedia.org/resource/NYC http://dbpedia.org/resource/New-York_City http://dbpedia.org/resource/New_York,_NY http://dbpedia.org/resource/New_york_city,_new_york http://dbpedia.org/resource/New_Yourk_City http://dbpedia.org/resource/New_York_City,_United_States http://dbpedia.org/resource/City_New_York http://dbpedia.org/resource/City_of_new_york http://dbpedia.org/resource/New_York_City,_New_York_State http://dbpedia.org/resource/New_York_Cty http://dbpedia.org/resource/NYC,_NY http://dbpedia.org/resource/New_York_City,_U.S. http://dbpedia.org/resource/NYC,_NYS http://dbpedia.org/resource/N.Y.C. http://dbpedia.org/resource/New_York_(City) http://dbpedia.org/resource/New_York_City,_New_York,_United_States http://dbpedia.org/resource/New_York,_NY,_USA http://dbpedia.org/resource/N.Y.C http://dbpedia.org/resource/New_York_NY http://dbpedia.org/resource/New_York,_US-NY http://dbpedia.org/resource/New_York_City,_USA http://dbpedia.org/resource/New_York_City,_NY http://dbpedia.org/resource/New_york,_ny http://dbpedia.org/resource/NY,_NY http://dbpedia.org/resource/N._Y.,_N._Y. http://dbpedia.org/resource/The_City_So_Nice_They_Named_It_Twice http://dbpedia.org/resource/New_York_City_(NYC) http://dbpedia.org/resource/New_York_City,_New_York http://dbpedia.org/resource/N._Y._C. http://dbpedia.org/resource/City_That_Never_Sleeps_(city) http://dbpedia.org/resource/New_york_city http://dbpedia.org/resource/New_York_(N.Y.) http://dbpedia.org/resource/City_of_NY http://dbpedia.org/resource/NYC.gov http://dbpedia.org/resource/New_York_City_(Ny.) http://dbpedia.org/resource/New_York_City_(NYC),_USA http://dbpedia.org/resource/New_York_City_(NY) http://dbpedia.org/resource/NY_City http://dbpedia.org/resource/The_City_of_New_York http://dbpedia.org/resource/New_York_City,_New_York,_USA http://dbpedia.org/resource/New_York_City,_United_States_of_America http://dbpedia.org/resource/New_York_(city) http://dbpedia.org/resource/New_york_City http://dbpedia.org/resource/City_of_new_yourk http://dbpedia.org/resource/New_york_new_york"
