F1: 0.33333,Precision: 0.33333,Recall: 0.33333,,
Col,Row,Value,Submitted URI,Correct URI's
2,2,BMW 2002,http://dbpedia.org/resource/BMW_3_Series_(E46),http://dbpedia.org/resource/BMW_02_Series http://dbpedia.org/resource/BMW_2002 http://dbpedia.org/resource/BMW_1602
2,3,BMW 2002,http://dbpedia.org/resource/BMW_3_Series_(E46),http://dbpedia.org/resource/BMW_02_Series http://dbpedia.org/resource/BMW_2002 http://dbpedia.org/resource/BMW_1602
2,7,BMW 2002,http://dbpedia.org/resource/BMW_3_Series_(E46),http://dbpedia.org/resource/BMW_02_Series http://dbpedia.org/resource/BMW_2002 http://dbpedia.org/resource/BMW_1602
2,8,Opel Kadett C,http://de.dbpedia.org/resource/Opel_Kadett_E,http://dbpedia.org/resource/Opel_Kadett_C
2,9,Opel Kadett C,http://de.dbpedia.org/resource/Opel_Kadett_E,http://dbpedia.org/resource/Opel_Kadett_C
2,11,Porsche Carrera,http://dbpedia.org/resource/Porsche_964,http://dbpedia.org/resource/Porsche_carrerra http://dbpedia.org/resource/Porsche_Carerra http://dbpedia.org/resource/Porsche_Carrera
2,13,Audi Quattro,http://dbpedia.org/resource/Audi_80,http://dbpedia.org/resource/Audi_Quattro_A1 http://dbpedia.org/resource/Ur-Quattro http://dbpedia.org/resource/Audi_Quattro_Coupe http://dbpedia.org/resource/Audi_Quattro_S1 http://dbpedia.org/resource/Audi_Sports_Quattro http://dbpedia.org/resource/Audi_Sport_Quattro_E2 http://dbpedia.org/resource/UrQuattro http://dbpedia.org/resource/Audi_Quattro_80_A1 http://dbpedia.org/resource/Audi_Sport_Quattro http://dbpedia.org/resource/Audi_Quattro_A2 http://dbpedia.org/resource/Audi_Quattro http://dbpedia.org/resource/Audi_Sport_Quattro_S1 http://dbpedia.org/resource/Audi_Sport_Quattro_RS http://dbpedia.org/resource/Audi_Sport_Quattro_RS_002 http://dbpedia.org/resource/Audi_Quattro_Coupé
2,14,Audi Quattro,http://dbpedia.org/resource/Audi_80,http://dbpedia.org/resource/Audi_Quattro_A1 http://dbpedia.org/resource/Ur-Quattro http://dbpedia.org/resource/Audi_Quattro_Coupe http://dbpedia.org/resource/Audi_Quattro_S1 http://dbpedia.org/resource/Audi_Sports_Quattro http://dbpedia.org/resource/Audi_Sport_Quattro_E2 http://dbpedia.org/resource/UrQuattro http://dbpedia.org/resource/Audi_Quattro_80_A1 http://dbpedia.org/resource/Audi_Sport_Quattro http://dbpedia.org/resource/Audi_Quattro_A2 http://dbpedia.org/resource/Audi_Quattro http://dbpedia.org/resource/Audi_Sport_Quattro_S1 http://dbpedia.org/resource/Audi_Sport_Quattro_RS http://dbpedia.org/resource/Audi_Sport_Quattro_RS_002 http://dbpedia.org/resource/Audi_Quattro_Coupé
2,15,Audi Quattro A1,http://dbpedia.org/resource/Audi_A1,http://dbpedia.org/resource/Audi_Quattro_A1 http://dbpedia.org/resource/Ur-Quattro http://dbpedia.org/resource/Audi_Quattro_Coupe http://dbpedia.org/resource/Audi_Quattro_S1 http://dbpedia.org/resource/Audi_Sports_Quattro http://dbpedia.org/resource/Audi_Sport_Quattro_E2 http://dbpedia.org/resource/UrQuattro http://dbpedia.org/resource/Audi_Quattro_80_A1 http://dbpedia.org/resource/Audi_Sport_Quattro http://dbpedia.org/resource/Audi_Quattro_A2 http://dbpedia.org/resource/Audi_Quattro http://dbpedia.org/resource/Audi_Sport_Quattro_S1 http://dbpedia.org/resource/Audi_Sport_Quattro_RS http://dbpedia.org/resource/Audi_Sport_Quattro_RS_002 http://dbpedia.org/resource/Audi_Quattro_Coupé
