F1: 0.40000,Precision: 0.40000,Recall: 0.40000,,
Col,Row,Value,Submitted URI,Correct URI's
2,1,"Jay Leno (guest host), Tracey Ullman, Patrick Swayze, Bill Alexander",http://dbpedia.org/resource/Tracey_Ullman,http://dbpedia.org/resource/Criticism_of_Jay_Leno http://dbpedia.org/resource/J._Leno http://dbpedia.org/resource/Jay_lenno http://dbpedia.org/resource/James_Leno http://dbpedia.org/resource/James_Douglas_Muir-Leno http://dbpedia.org/resource/James_Douglas_Muir_Leno http://dbpedia.org/resource/Jay_leno http://dbpedia.org/resource/J_Leno http://dbpedia.org/resource/Leno http://dbpedia.org/resource/Jay_Leno http://dbpedia.org/resource/Big_Dog_Productions
2,5,"Jay Leno (guest host), Billy Crystal, Christina Pickles",http://dbpedia.org/resource/Billy_Crystal,http://dbpedia.org/resource/Criticism_of_Jay_Leno http://dbpedia.org/resource/J._Leno http://dbpedia.org/resource/Jay_lenno http://dbpedia.org/resource/James_Leno http://dbpedia.org/resource/James_Douglas_Muir-Leno http://dbpedia.org/resource/James_Douglas_Muir_Leno http://dbpedia.org/resource/Jay_leno http://dbpedia.org/resource/J_Leno http://dbpedia.org/resource/Leno http://dbpedia.org/resource/Jay_Leno http://dbpedia.org/resource/Big_Dog_Productions
2,9,Merv Griffin,http://dbpedia.org/resource/Merv_Gordon,"http://dbpedia.org/resource/Mervyn_Edward_Griffin,_Jr. http://dbpedia.org/resource/Mervyn_Edward_Griffin_Jr. http://dbpedia.org/resource/Mervyn_Griffin http://dbpedia.org/resource/Merv_Griffen http://dbpedia.org/resource/Merv_Griffin"
2,11,David Brenner,http://dbpedia.org/resource/David_Brenner_(editor),http://dbpedia.org/resource/David_Brenner http://dbpedia.org/resource/David_brenner
2,15,"Jay Leno (guest host), Debbie Reynolds, Robert Townsend",http://dbpedia.org/resource/List_of_Shortland_Street_characters_(2007),http://dbpedia.org/resource/Criticism_of_Jay_Leno http://dbpedia.org/resource/J._Leno http://dbpedia.org/resource/Jay_lenno http://dbpedia.org/resource/James_Leno http://dbpedia.org/resource/James_Douglas_Muir-Leno http://dbpedia.org/resource/James_Douglas_Muir_Leno http://dbpedia.org/resource/Jay_leno http://dbpedia.org/resource/J_Leno http://dbpedia.org/resource/Leno http://dbpedia.org/resource/Jay_Leno http://dbpedia.org/resource/Big_Dog_Productions
2,21,"Robin Williams, Bob Hope, Tony Bennett",http://dbpedia.org/resource/List_of_Home_and_Away_characters_(1999),"http://dbpedia.org/resource/Throbbing_Python_of_Love http://dbpedia.org/resource/Robin_Williams:_Live_on_Broadway http://dbpedia.org/resource/Robin_Willaims http://dbpedia.org/resource/Robin_McLaurim_Williams http://dbpedia.org/resource/Robin_Williams http://dbpedia.org/resource/Pecos_Bill_(album) http://dbpedia.org/resource/Zachary_Pym_Williams http://dbpedia.org/resource/Robin_McLaurin_Williams http://dbpedia.org/resource/Death_of_Robin_Williams http://dbpedia.org/resource/Cody_Alan_Williams http://dbpedia.org/resource/Robin_williams http://dbpedia.org/resource/Robin_williams_off_the_wall http://dbpedia.org/resource/Cody_A._Williams http://dbpedia.org/resource/Robin_williams_live_on_broadway http://dbpedia.org/resource/Ray_D._Tutto http://dbpedia.org/resource/Marty_Fromage http://dbpedia.org/resource/Valerie_Velardi http://dbpedia.org/resource/Williams,_Robin http://dbpedia.org/resource/Sudy_Nim http://dbpedia.org/resource/Robbin_Williams"
2,23,"Jay Leno (guest host), John Davidson, Robert Conrad, Connie Chung",,http://dbpedia.org/resource/Criticism_of_Jay_Leno http://dbpedia.org/resource/J._Leno http://dbpedia.org/resource/Jay_lenno http://dbpedia.org/resource/James_Leno http://dbpedia.org/resource/James_Douglas_Muir-Leno http://dbpedia.org/resource/James_Douglas_Muir_Leno http://dbpedia.org/resource/Jay_leno http://dbpedia.org/resource/J_Leno http://dbpedia.org/resource/Leno http://dbpedia.org/resource/Jay_Leno http://dbpedia.org/resource/Big_Dog_Productions
2,25,"Gregory Peck, Argus Hamilton",http://dbpedia.org/resource/Greg_Hyder,http://dbpedia.org/resource/Greg_Peck http://dbpedia.org/resource/Eldred_Gregory_Peck http://dbpedia.org/resource/Gregory_Peckk http://dbpedia.org/resource/Gregory_Peck http://dbpedia.org/resource/Gregory_peck
2,27,Smothers Brothers,http://dbpedia.org/resource/Howard_Smothers,http://dbpedia.org/resource/The_Smothers_Brothers_Show_(1975) http://dbpedia.org/resource/The_Smothers_Brothers http://dbpedia.org/resource/The_Smothers_Brothers_Comedy_Hour_(1988) http://dbpedia.org/resource/Smothers_Brothers http://dbpedia.org/resource/Tom_and_Dick
