F1: 0.40000,Precision: 0.40000,Recall: 0.40000,,
Col,Row,Value,Submitted URI,Correct URI's
1,1,Jadwiga of Poland's raid on Red Ruthenia,http://dbpedia.org/resource/World_War_II,"http://dbpedia.org/resource/Santa_Jadwiga http://dbpedia.org/resource/Jadwiga_of_Anjou http://dbpedia.org/resource/Queen_Jadwiga http://dbpedia.org/resource/Queen_Jadwiga_of_Poland http://dbpedia.org/resource/Jadwiga,_queen_of_Poland http://dbpedia.org/resource/King_Jadwiga_of_Poland http://dbpedia.org/resource/Jadwiga_of_Hungary http://dbpedia.org/resource/Jadwiga_of_Poland http://dbpedia.org/resource/Saint_Hedwig_Queen_of_Poland http://dbpedia.org/resource/Jadwiga_Angevin http://dbpedia.org/resource/Sarcophagus_of_St._Hedwig,_Queen_of_Poland http://dbpedia.org/resource/Jadwiga_Andegaweńska http://dbpedia.org/resource/Jadwiga_I_of_Poland http://dbpedia.org/resource/Hedwig_of_Poland"
1,2,Lithuanian Civil War,http://dbpedia.org/resource/Lithuanian_Civil_War_(1432–1438),http://dbpedia.org/resource/Lithuanian_Civil_War_(1389–1392)
1,6,Polishâ\u0080\u0093Lithuanianâ\u0080\u0093Teutonic War[3] Battle of Grunwald Battle of Koronowo,http://dbpedia.org/resource/Battle_of_Grunwald,http://dbpedia.org/resource/Polish–Lithuanian–Teutonic_War
1,10,Lithuanian Civil War (1431â\u0080\u009335),http://dbpedia.org/resource/Lithuanian_Civil_War_(1432–1438),http://dbpedia.org/resource/Lithuanian_Civil_War_(1431–35)
1,11,Polishâ\u0080\u0093Teutonic War Battle of DÄ bki Battle of KopystrzyÅ\u0084 Battle of Wilkomierz,http://dbpedia.org/resource/Gulf_War,http://dbpedia.org/resource/Polish–Teutonic_War_(1431–1435)
1,14,Spytek of Melsztyn's confederation Battle of Grotniki,http://dbpedia.org/resource/Confederation_of_African_Football,http://dbpedia.org/resource/Spytek_z_Melsztyna_(1398–1439) http://dbpedia.org/resource/Spytek_z_Melsztyna_(1398-1439) http://dbpedia.org/resource/Spytek_z_Melsztyna http://dbpedia.org/resource/Spytek_of_Melsztyna http://dbpedia.org/resource/Spytek_of_Melsztyn
1,23,Thirteen Years' War[4] Battle of Chojnice other battles,http://dbpedia.org/resource/World_War_I,http://dbpedia.org/resource/Thirteen_Years'_War_(1454–66)
1,32,War of the Priests,http://dbpedia.org/resource/War_of_the_Priests_(Poland),http://dbpedia.org/resource/Polish-Teutonic_War_(1467-1479) http://dbpedia.org/resource/Warmia_Stift_Feud http://dbpedia.org/resource/War_of_the_Priests http://dbpedia.org/resource/Pfaffenkrieg
1,33,Polish-Ottoman War Battle of KopystrzyÅ\u0084 Battle of ZasÅ\u0082aw Battle of the Cosmin Forest,http://dbpedia.org/resource/World_War_I,http://dbpedia.org/resource/Polish-Ottoman_War_(1485–1503)
1,45,Polishâ\u0080\u0093Teutonic War Battle of PasÅ\u0082Ä\u0099k,http://dbpedia.org/resource/Battle_of_Austerlitz,http://dbpedia.org/resource/Polish–Teutonic_War_(1519–21)
1,56,Zygmunt II August's raid on Livonia,http://dbpedia.org/resource/Atomic_bombings_of_Hiroshima_and_Nagasaki,"http://dbpedia.org/resource/Žygimantas_III,_Great_Prince_of_Lithuania http://dbpedia.org/resource/Sigismund_II_August http://dbpedia.org/resource/Zygimantas_III_of_Lithuania http://dbpedia.org/resource/Żygimont_III_Awgust http://dbpedia.org/resource/Sigismund_II_Augustus_I http://dbpedia.org/resource/Žygimantas_Augustas http://dbpedia.org/resource/Žygimantas_III_Augustas_I http://dbpedia.org/resource/Zygimantas_Augustas http://dbpedia.org/resource/Žygimantas_Augustas,_Grand_Duke_of_Lithuania http://dbpedia.org/resource/Sigismund_Augustus http://dbpedia.org/resource/Žygimantas_III,_Grand_Prince_of_Lithuania http://dbpedia.org/resource/Sigismundus_II_Augustus http://dbpedia.org/resource/Sigismund_August_of_Poland http://dbpedia.org/resource/Zygmunt_August http://dbpedia.org/resource/Sigismund_II._August http://dbpedia.org/resource/Sigismund_August_Jagellon http://dbpedia.org/resource/Zygmunt_II_August http://dbpedia.org/resource/Sigismund_II_Augustus http://dbpedia.org/resource/Zygimantas_Augustas,_Grand_Duke_of_Lithuania http://dbpedia.org/resource/Zygimantas_Augustas,_Grand_Prince_of_Lithuania http://dbpedia.org/resource/Zygmunt_II http://dbpedia.org/resource/Żygimont_III_Awgust_I http://dbpedia.org/resource/Sigismund_II http://dbpedia.org/resource/Sigmundus_Augustus http://dbpedia.org/resource/Sigismond_Auguste http://dbpedia.org/resource/Zygimont_III_Awgust http://dbpedia.org/resource/Sigismund_II_Augustus_of_Poland http://dbpedia.org/resource/Žygimantas_III_of_Lithuania http://dbpedia.org/resource/Sigismund_Augustus_of_Poland http://dbpedia.org/resource/Zygimantas_III,_Grand_Prince_of_Lithuania http://dbpedia.org/resource/Zygimantas_III,_Great_Prince_of_Lithuania http://dbpedia.org/resource/Sigismund_II_of_Lithuania http://dbpedia.org/resource/Sigismund_Augustus_I_of_Poland http://dbpedia.org/resource/Sigismund_II_of_Poland http://dbpedia.org/resource/Sigismund_August http://dbpedia.org/resource/Žygimantas_Augustas,_Grand_Prince_of_Lithuania"
1,59,Northern Seven Years' War Livonian War Battle of Ula other battles,http://dbpedia.org/resource/Category:Battles_of_the_Northern_Seven_Years'_War,http://dbpedia.org/resource/Northern_Seven_Years'_War
