F1: 0.36842,Precision: 0.36842,Recall: 0.36842,,
Col,Row,Value,Submitted URI,Correct URI's
0,2,Blocking below the waist,http://dbpedia.org/resource/Glossary_of_American_football,http://dbpedia.org/resource/Blocking_below_the_waist http://dbpedia.org/resource/Block_below_the_waist
0,3,"Block in the back (offense, defense, or special teams)",http://dbpedia.org/resource/Quarterback,http://dbpedia.org/resource/Block_in_the_back
0,4,Chop block (offense),http://dbpedia.org/resource/The_Chopping_Block,http://dbpedia.org/resource/Chop_Block_(gridiron_football) http://dbpedia.org/resource/Chop_block_(American_and_Canadian_football) http://dbpedia.org/resource/Chop_Block_(American_football) http://dbpedia.org/resource/Chop_block_(American_football) http://dbpedia.org/resource/Chop_block_(gridiron_football) http://dbpedia.org/resource/Chop_block_(American_Football)
0,5,"Clipping (offense, defense, or special teams)",http://dbpedia.org/resource/Clipping_(band),http://dbpedia.org/resource/Clipping_(gridiron_football) http://dbpedia.org/resource/Clipping_(American_and_Canadian_football) http://dbpedia.org/resource/Clipping_(American_football)
0,6,"Delay of game (offense, defense, or special teams)",http://dbpedia.org/resource/Super_Bowl_XLVII,http://dbpedia.org/resource/Delay_of_game_(American_football) http://dbpedia.org/resource/Delay_of_game
0,7,Encroachment (defense),http://dbpedia.org/resource/Environmental_Encroachment,http://dbpedia.org/resource/Encroachment_(American_football) http://dbpedia.org/resource/Encroachment_(gridiron_football) http://dbpedia.org/resource/Encroachment_(American_and_Canadian_football)
0,10,False start (offense),http://dbpedia.org/resource/Transmission_Control_Protocol,http://dbpedia.org/resource/False_start_(American_football) http://dbpedia.org/resource/False_start http://dbpedia.org/resource/False-start http://dbpedia.org/resource/False_started
0,11,Helmet-to-helmet collision (offense or defense),http://dbpedia.org/resource/Bicycle_helmet,http://dbpedia.org/resource/Helmet_to_helmet http://dbpedia.org/resource/Helmet-to-helmet_hit http://dbpedia.org/resource/Helmet_to_helmet_collision http://dbpedia.org/resource/Helmet-to-helmet_collision http://dbpedia.org/resource/Helmet_to_helmet_hit http://dbpedia.org/resource/Helmet-to-helmet
0,12,Holding (offense or defense),http://dbpedia.org/resource/Big_Brother_and_the_Holding_Company,http://dbpedia.org/resource/Holding_(American_football)
0,38,Roughing the passer (defense),http://dbpedia.org/resource/Penalty_(gridiron_football),http://dbpedia.org/resource/Roughing_the_passer
0,43,Spearing (offense or defense),http://dbpedia.org/resource/Britney_Spears,http://dbpedia.org/resource/Spearing_(gridiron_football)
0,46,Unsportsmanlike conduct,http://de.dbpedia.org/resource/Evil_Conduct,http://dbpedia.org/resource/Unsportsmanlike_conduct http://dbpedia.org/resource/Ungentlemanly_conduct http://dbpedia.org/resource/Unsportsmanlike_Conduct http://dbpedia.org/resource/Unsporting_conduct http://dbpedia.org/resource/Unsporting http://dbpedia.org/resource/Unsporting_behaviour http://dbpedia.org/resource/Unsportsmanlike
