F1: 0.32143,Precision: 0.32143,Recall: 0.32143,,
Col,Row,Value,Submitted URI,Correct URI's
3,1,"Jilly Goolden, Cynthia Payne, Arthur Tomlinson (UFO expert) and Dave Lee Travis.",http://dbpedia.org/resource/Dave_Lee_Travis,http://dbpedia.org/resource/Jilly_Goolden http://dbpedia.org/resource/Jilly_Goulden http://dbpedia.org/resource/Jilly_Gooldon
3,2,"Kriss Akabusi, Debbie McGee, Chris Greener and Steve Coogan.",http://dbpedia.org/resource/Debbie_McGee,http://dbpedia.org/resource/Chris_Akerbuci http://dbpedia.org/resource/Akabusi http://dbpedia.org/resource/Kriss_Akabusi http://dbpedia.org/resource/Chris_akebuci http://dbpedia.org/resource/Chris_Ackerbussy http://dbpedia.org/resource/Chris_Ackerbucci http://dbpedia.org/resource/Kris_Akabusi
3,3,"Dale Winton, Mary Whitehouse (not in the studio), Royal butler Peter Russell and Derek Jameson.",http://dbpedia.org/resource/List_of_heliports_in_Canada,http://dbpedia.org/resource/Dale_Winton
3,5,"Russell Grant, Countess Bienvenida Sokolow (former wife of Antony Buck) and Fred Talbot.",http://dbpedia.org/resource/Russell_Foster,http://dbpedia.org/resource/Russell_Grant
3,6,"Ned Sherrin, Mr Motivator, Terry Major-Ball and Nick Owen.",http://dbpedia.org/resource/Carl_Nicks_(basketball),http://dbpedia.org/resource/Ned_Sherrin http://dbpedia.org/resource/Edward_George_Sherrin http://dbpedia.org/resource/Edward_(Ned)_George_Sherrin
3,8,"Matthew Kelly, Vic Reeves and Bob Mortimer and George Best.",http://dbpedia.org/resource/Vic_and_Bob,http://dbpedia.org/resource/Matthew_Kelly_(television_presenter) http://dbpedia.org/resource/Matthew_Kelly
3,10,"Jimmy Hill, Andrew Neil and Paul Daniels.",http://dbpedia.org/resource/List_of_One_Tree_Hill_characters,http://dbpedia.org/resource/James_William_Thomas_Hill http://dbpedia.org/resource/Jimmy_Hill
3,11,"Peter Stringfellow, Des Lynam and Rolf Harris.",http://de.dbpedia.org/resource/Rolf-Peter_Hoenen,http://dbpedia.org/resource/Stringfellows http://dbpedia.org/resource/Peter_Stringfellow http://dbpedia.org/resource/Stringfellow's
3,12,"Patrick Lichfield, Carol Vorderman and Barbara Windsor.",http://dbpedia.org/resource/List_of_Family_Guy_characters,"http://dbpedia.org/resource/Thomas_Patrick_John_Anson,_5th_Earl_of_Lichfield http://dbpedia.org/resource/Patrick_Anson,_5th_Earl_of_Lichfield http://dbpedia.org/resource/Patrick_Lichfield http://dbpedia.org/resource/Thomas_Patrick_Anson,_5th_Earl_of_Lichfield"
3,13,"Johnn Briggs and Amanda Barrie, Glenys Kinnock and Gary Rhodes.","http://dbpedia.org/resource/Glenys_Kinnock,_Baroness_Kinnock_of_Holyhead",http://dbpedia.org/resource/Johnny_Briggs_(actor)
3,14,"Noddy Holder, Clive James and Daniel O'Donnell.",http://dbpedia.org/resource/Daniel_J._O'Donnell,http://dbpedia.org/resource/Noddy_Holder
3,15,Jeff Banks and Jonathan Ross.,http://dbpedia.org/resource/Jonathan_Ross_(senator),http://dbpedia.org/resource/Jeff_Banks
3,16,Michael Winner and Teresa Gorman.,http://dbpedia.org/resource/Michael_Gorman_(librarian),http://dbpedia.org/resource/Arnold_Crust http://dbpedia.org/resource/Michael_Winner
3,17,Sacha Distel and Jeremy Clarkson.,http://dbpedia.org/resource/Jeremy_Clarkson,http://dbpedia.org/resource/Sacha_Distel http://dbpedia.org/resource/Sasha_distel
3,19,Keith Chegwin and Ian Botham.,http://dbpedia.org/resource/Keith_Griffiths_(architect),http://dbpedia.org/resource/Cheggers http://dbpedia.org/resource/Keith_Chegwin http://dbpedia.org/resource/Chegwin
3,20,Joanna Lumley and Martin Clunes.,http://dbpedia.org/resource/Will.i.am,"http://dbpedia.org/resource/Joanna_Lamond_Lumley_OBE_FRGS http://dbpedia.org/resource/Joanna_Lamond_Lumley,_OBE,_FRGS http://dbpedia.org/resource/Joanna_Lumley's_Nile http://dbpedia.org/resource/Joanna_Lumley http://dbpedia.org/resource/Joana_Lumley"
3,21,Tony Curtis and Patrick Duffy.,http://dbpedia.org/resource/Francis_P._Duffy,http://dbpedia.org/resource/Bernard_Schwartz_(actor) http://dbpedia.org/resource/Tony_Curtis http://dbpedia.org/resource/Tony_Curtiss http://dbpedia.org/resource/Reynard_Productions http://dbpedia.org/resource/Curtleigh_Productions
3,27,Garry Bushell and Lisa Stansfield.,http://dbpedia.org/resource/Lisa_Stansfield,http://dbpedia.org/resource/Garry_Bushell http://dbpedia.org/resource/Gary_Bushell
3,28,Richard Wilson and Bernard Manning.,http://dbpedia.org/resource/Richard_Wilson_(painter),http://dbpedia.org/resource/Richard_Wilson_(Scottish_actor)
