F1: 0.45000,Precision: 0.45000,Recall: 0.45000,,
Col,Row,Value,Submitted URI,Correct URI's
1,3,Atlanta,http://dbpedia.org/resource/Roman_Catholic_Archdiocese_of_Atlanta,"http://dbpedia.org/resource/Population_of_Atlanta http://dbpedia.org/resource/Atlanta http://dbpedia.org/resource/Atlanta_(Ga.) http://dbpedia.org/resource/The_Big_Peach http://dbpedia.org/resource/Atlanta,_USA http://dbpedia.org/resource/City_of_Atlanta,_GA. http://dbpedia.org/resource/Atlanta,_Georgia_(U.S._state) http://dbpedia.org/resource/Atlanta_GA http://dbpedia.org/resource/Hotlanta http://dbpedia.org/resource/Atlanta_ga http://dbpedia.org/resource/Atlanta,_ga http://dbpedia.org/resource/Atlantans http://dbpedia.org/resource/The_A-T-L http://dbpedia.org/resource/Atlanta,_Ga. http://dbpedia.org/resource/Atlanta,GA http://dbpedia.org/resource/Atlanta,_GA. http://dbpedia.org/resource/Terminus,_Georgia http://dbpedia.org/resource/The_ATL http://dbpedia.org/resource/Atlanta,_Georgia,_USA http://dbpedia.org/resource/City_of_Atlanta http://dbpedia.org/resource/Atlanta_Georgia http://dbpedia.org/resource/Atlanta,_Ga http://dbpedia.org/resource/Culture_of_Atlanta,_Georgia http://dbpedia.org/resource/UN/LOCODE:USATL http://dbpedia.org/resource/Atlanta,_Georgia http://dbpedia.org/resource/Atlanta_georgia http://dbpedia.org/resource/Atlanta,_United_States http://dbpedia.org/resource/Marthasville,_GA http://dbpedia.org/resource/Atlanta,_GA http://dbpedia.org/resource/Terminus,_GA http://dbpedia.org/resource/Atanta,_GA http://dbpedia.org/resource/Atlanta_(GA) http://dbpedia.org/resource/Atlanta,Ga http://dbpedia.org/resource/New_York_of_the_South http://dbpedia.org/resource/Atlanta_,_Georgia http://dbpedia.org/resource/Population_of_atlanta http://dbpedia.org/resource/Culture_of_Atlanta http://dbpedia.org/resource/City_in_a_forest http://dbpedia.org/resource/The_city_in_a_forest http://dbpedia.org/resource/Atlanta,ga"
1,5,Dallas,"http://dbpedia.org/resource/Dallas_County,_Arkansas","http://dbpedia.org/resource/City_of_Dallas,_Texas http://dbpedia.org/resource/Dallas,_TX http://dbpedia.org/resource/Dallas_(City) http://dbpedia.org/resource/City_of_Dallas http://dbpedia.org/resource/UN/LOCODE:USDAL http://dbpedia.org/resource/Dallas,_Texas http://dbpedia.org/resource/Dallas http://dbpedia.org/resource/Dallas_TX http://dbpedia.org/resource/DALLAS http://dbpedia.org/resource/Dallas_Fire_Department http://dbpedia.org/resource/History_of_Dallas,_TX http://dbpedia.org/resource/Dalls http://dbpedia.org/resource/Dallas_(TX) http://dbpedia.org/resource/Dallas,_texas http://dbpedia.org/resource/Dallas_texas http://dbpedia.org/resource/Sister_cities_of_Dallas http://dbpedia.org/resource/Lake_Cliff_Park http://dbpedia.org/resource/Dallas,_Tex. http://dbpedia.org/resource/Dallas_Texas http://dbpedia.org/resource/Dallas,_Texas,_U.S. http://dbpedia.org/resource/Dallas,_United_States http://dbpedia.org/resource/Dallas,_TX/Draft http://dbpedia.org/resource/Sister_cities_of_Dallas,_Texas http://dbpedia.org/resource/Dallas_(Texas) http://dbpedia.org/resource/Dallas,_Texas/Draft http://dbpedia.org/resource/Dallas_(AFL) http://dbpedia.org/resource/Dallas,_Texas,_USA http://dbpedia.org/resource/Dallas,_tx http://dbpedia.org/resource/The_Big_D_(Texas) http://dbpedia.org/resource/Dallas,_USA http://dbpedia.org/resource/Dallas,_Texas,_United_States_of_America http://dbpedia.org/resource/Dallas,Texas http://dbpedia.org/resource/Facts_on_Dallas,_TX http://dbpedia.org/resource/Dallas,_Texas,_U.S.A. http://dbpedia.org/resource/Dallas_Fire-Rescue http://dbpedia.org/resource/Dallas_Fire-Rescue_Department"
1,6,Houston,"http://dbpedia.org/resource/Houston_County,_Tennessee","http://dbpedia.org/resource/Houston,_Texas,_USA http://dbpedia.org/resource/Clay_road_baptist http://dbpedia.org/resource/Houston,Texas,_United_States http://dbpedia.org/resource/Houston,_TX http://dbpedia.org/resource/Houston_texas http://dbpedia.org/resource/Houston,_TX,_USA http://dbpedia.org/resource/Media_of_Houston http://dbpedia.org/resource/Houston,_Tex. http://dbpedia.org/resource/Houston_Public_Media http://dbpedia.org/resource/The_Energy_Capital_of_the_World http://dbpedia.org/resource/Houston,_texas http://dbpedia.org/resource/Houston,_United_States http://dbpedia.org/resource/The_City_of_Houston http://dbpedia.org/resource/Houstan,_TX http://dbpedia.org/resource/Houston_(TX) http://dbpedia.org/resource/Houston,_Texas http://dbpedia.org/resource/Houston,_Texas,_U.S.A. http://dbpedia.org/resource/Houston,TX http://dbpedia.org/resource/Houstontx.gov http://dbpedia.org/resource/Houston,_Tx http://dbpedia.org/resource/City_of_Houston http://dbpedia.org/resource/Houston,Texas http://dbpedia.org/resource/Houston_TX http://dbpedia.org/resource/Houston_city http://dbpedia.org/resource/Houston,_Texas,_U.S. http://dbpedia.org/resource/Houston,_Texas,_United_States http://dbpedia.org/resource/Houston,_US-TX http://dbpedia.org/resource/Houston http://dbpedia.org/resource/Houstan http://dbpedia.org/resource/Houston,_USA http://dbpedia.org/resource/Hoston http://dbpedia.org/resource/UN/LOCODE:USHOU http://dbpedia.org/resource/Houstonians http://dbpedia.org/resource/Media_in_Houston http://dbpedia.org/resource/Houstan,_Texas http://dbpedia.org/resource/Houston_Texas http://dbpedia.org/resource/Houston,_Texas_(redir) http://dbpedia.org/resource/City_of_Houston,_Texas"
1,7,Phoenix,http://dbpedia.org/resource/Roman_Catholic_Diocese_of_Phoenix,"http://dbpedia.org/resource/North_Mountain,_Phoenix,_Arizona http://dbpedia.org/resource/Estrella,_Phoenix http://dbpedia.org/resource/The_602 http://dbpedia.org/resource/Phoenix,_Ariz. http://dbpedia.org/resource/Phoenix,_az http://dbpedia.org/resource/Phoenix_(AZ) http://dbpedia.org/resource/Deer_Valley,_Phoenix,_Arizona http://dbpedia.org/resource/Desert_View,_Phoenix,_Arizona http://dbpedia.org/resource/Phoenix,_Arizona http://dbpedia.org/resource/South_Mountain,_Phoenix,_Arizona http://dbpedia.org/resource/City_of_Phoenix,_Arizona http://dbpedia.org/resource/Phoenix,_AZ http://dbpedia.org/resource/Phenix,_arizona http://dbpedia.org/resource/Phenix,_az http://dbpedia.org/resource/Phoenix_Arizona http://dbpedia.org/resource/Fenix,_AZ http://dbpedia.org/resource/Paradise_Valley,_Phoenix,_Arizona http://dbpedia.org/resource/Phx,_az http://dbpedia.org/resource/Phoenix_(city) http://dbpedia.org/resource/Capital_of_Arizona http://dbpedia.org/resource/Phoenix,_Az http://dbpedia.org/resource/Phoenix,_United_States http://dbpedia.org/resource/Deer_Valley,_Arizona http://dbpedia.org/resource/Fenix,_Arizona http://dbpedia.org/resource/Pheonix,_Arizona http://dbpedia.org/resource/City_of_Phoenix http://dbpedia.org/resource/Phoenix_az http://dbpedia.org/resource/Arizona_Phoenix http://dbpedia.org/resource/North_Gateway,_Phoenix,_Arizona http://dbpedia.org/resource/Swilling's_Mill http://dbpedia.org/resource/Phoenix,_USA http://dbpedia.org/resource/Phoenix_City http://dbpedia.org/resource/Phoenix,_Arizona,_USA http://dbpedia.org/resource/Biltmore_District http://dbpedia.org/resource/Phx,_AZ http://dbpedia.org/resource/UN/LOCODE:USPHX"
1,8,Los Angeles,"http://dbpedia.org/resource/Los_Angeles_County,_California","http://dbpedia.org/resource/Geography_of_Los_Angeles http://dbpedia.org/resource/LA_Ca http://dbpedia.org/resource/Los_Angelos http://dbpedia.org/resource/Los_Angeles,_Ca. http://dbpedia.org/resource/Loa_Angeles,_CA http://dbpedia.org/resource/Los_Angeles,_California,_United_States http://dbpedia.org/resource/Los_Ángeles,_California http://dbpedia.org/resource/Los_Angeles,_California,_U.S. http://dbpedia.org/resource/LA http://dbpedia.org/resource/Los_Angeles_California http://dbpedia.org/resource/Los_Angelos,_California http://dbpedia.org/resource/Los_Angeles http://dbpedia.org/resource/Los_Angeles,_California,_USA http://dbpedia.org/resource/Los_angels http://dbpedia.org/resource/L_a http://dbpedia.org/resource/The_Angels,_California http://dbpedia.org/resource/Las_Angeles http://dbpedia.org/resource/Los_Angeles,_CA http://dbpedia.org/resource/The_City_of_Los_Angeles http://dbpedia.org/resource/El_Pueblo_de_Nuestra_Señora_la_Reina_de_los_Angeles_del_Río_de_Porciúncula http://dbpedia.org/resource/El_Pueblo_de_Nuestra_Señora_La_Reina_de_los_Ángeles_de_Porciúncula http://dbpedia.org/resource/Los_Angeles_(Calif.) http://dbpedia.org/resource/UN/LOCODE:USLAX http://dbpedia.org/resource/L.a. http://dbpedia.org/resource/City_of_LA http://dbpedia.org/resource/Los_Angeles_(CA) http://dbpedia.org/resource/El_Pueblo_de_Nuestra_Señora_la_Reina_de_los_Ángeles_de_Porciúncula http://dbpedia.org/resource/Los_Angeles,_United_States_of_America http://dbpedia.org/resource/LA_City http://dbpedia.org/resource/LA,_California http://dbpedia.org/resource/Nuestra_Señora_la_Reina_de_los_Angeles_de_Porciúncula http://dbpedia.org/resource/Los_angelas http://dbpedia.org/resource/L.a.,_ca http://dbpedia.org/resource/Los_Angeles,_Calif. http://dbpedia.org/resource/City_of_Los_Angeles http://dbpedia.org/resource/Los_angeles_ca http://dbpedia.org/resource/Sister_cities_of_Los_Angeles http://dbpedia.org/resource/El_Pueblo_de_la_Reina_de_Los_Angeles,_California http://dbpedia.org/resource/Los_Angeles,CA http://dbpedia.org/resource/Environmental_issues_in_Los_Angeles http://dbpedia.org/resource/Loa_Angeles,_California http://dbpedia.org/resource/L.A. http://dbpedia.org/resource/Northern_Los_Angeles http://dbpedia.org/resource/Los_Angeles,_California,_US http://dbpedia.org/resource/Los_Angeles,_United_States http://dbpedia.org/resource/Los_Angeles,_CA. http://dbpedia.org/resource/Los_Angeles. http://dbpedia.org/resource/City_of_L.A. http://dbpedia.org/resource/Los_angeles,_california http://dbpedia.org/resource/El_Pueblo_de_Nuestra_Senora_La_Reina_de_los_Angeles_de_Porciuncula http://dbpedia.org/resource/Los_Angeles,_California http://dbpedia.org/resource/City_of_L._A. http://dbpedia.org/resource/Nuestra_Senora_la_Reina_de_los_Angeles_de_Porciuncula http://dbpedia.org/resource/L_A http://dbpedia.org/resource/El_Pueblo_de_Nuestra_Señora_la_Reina_de_los_Ángeles_del_Río_de_Porciúncula http://dbpedia.org/resource/Los_Angles http://dbpedia.org/resource/Los_angeles,_ca http://dbpedia.org/resource/L._A. http://dbpedia.org/resource/City_of_Los_Angeles,_California http://dbpedia.org/resource/GEO:USLAX http://dbpedia.org/resource/La-la_Land http://dbpedia.org/resource/L.A http://dbpedia.org/resource/El_Pueblo_de_Nuestra_Senora_Reina_de_los_Angeles_de_la_Porciuncula http://dbpedia.org/resource/El_Pueblo_de_la_Reina_de_Los_Angeles,_CA http://dbpedia.org/resource/El_Pueblo_de_Nuestra_Senora_la_Reina_de_los_Angeles_de_Porciuncula http://dbpedia.org/resource/Los_Angeles_City http://dbpedia.org/resource/Los_Angeles_(City) http://dbpedia.org/resource/Religion_in_Los_Angeles http://dbpedia.org/resource/Los_angeles,_calif http://dbpedia.org/resource/L_._A_. http://dbpedia.org/resource/72_suburbs_in_search_of_a_city http://dbpedia.org/resource/Los_Angeles,_USA http://dbpedia.org/resource/LOC:USLAX http://dbpedia.org/resource/Lost_Angeles,_California http://dbpedia.org/resource/El_Pueblo_de_Nuestra_Señora_Reina_de_los_Ángeles_de_la_Porciuncula http://dbpedia.org/resource/Los_Angelas http://dbpedia.org/resource/Los_Angeles,_California,_U.S.A. http://dbpedia.org/resource/Los_angeles http://dbpedia.org/resource/City_of_los_angeles http://dbpedia.org/resource/USLAX http://dbpedia.org/resource/LA,_CA"
1,9,San Jose,http://dbpedia.org/resource/San_José_Department,"http://dbpedia.org/resource/San_Jose,_CA http://dbpedia.org/resource/The_Capital_of_Silicon_Valley http://dbpedia.org/resource/Capital_of_silicon_valley http://dbpedia.org/resource/San_Jose,_California,_USA http://dbpedia.org/resource/City_of_San_Jose,_California http://dbpedia.org/resource/San_Jose_California http://dbpedia.org/resource/San_Jose_(CA) http://dbpedia.org/resource/San_Jose,_California,_United_States http://dbpedia.org/resource/Burnett_Academy http://dbpedia.org/resource/Santa_Clara_Field_Sports_park http://dbpedia.org/resource/George_Miner_Elementary_School http://dbpedia.org/resource/San_José,_CA http://dbpedia.org/resource/El_Pueblo_de_San_José_de_Guadalupe http://dbpedia.org/resource/UN/LOCODE:USSJC http://dbpedia.org/resource/San_José,_California http://dbpedia.org/resource/San_Jose,_Calif. http://dbpedia.org/resource/CA_San_Jose http://dbpedia.org/resource/San_jose,_ca http://dbpedia.org/resource/37°_19′_24.55″_N,_121°_53′_32.21″_W http://dbpedia.org/resource/San_Jose,_United_States http://dbpedia.org/resource/San_jose_ca http://dbpedia.org/resource/San_Jose,_USA http://dbpedia.org/resource/San_Jose_(California) http://dbpedia.org/resource/San_Jose,_California http://dbpedia.org/resource/San_Jose,_Ca. http://dbpedia.org/resource/Peter_Burnett_Academy http://dbpedia.org/resource/San_Jose_(United_States)"
1,10,St. Louis,"http://dbpedia.org/resource/St._Louis_County,_Minnesota","http://dbpedia.org/resource/St.Louis http://dbpedia.org/resource/Saint_Louis,_MO http://dbpedia.org/resource/St._Louis,_Missouri,_United_States http://dbpedia.org/resource/StLouis http://dbpedia.org/resource/City_of_Saint_Louis http://dbpedia.org/resource/St._Louis_City http://dbpedia.org/resource/St.Louis,_MO http://dbpedia.org/resource/Saint_Louis_City,_Missouri http://dbpedia.org/resource/St._Louis,_Mo http://dbpedia.org/resource/St.Louis_Missouri http://dbpedia.org/resource/St._Louis_(MO) http://dbpedia.org/resource/St._Louie http://dbpedia.org/resource/Rome_of_the_West http://dbpedia.org/resource/St._Louis,_Missouri http://dbpedia.org/resource/St._Lewis,_MO http://dbpedia.org/resource/UN/LOCODE:USSTL http://dbpedia.org/resource/Saint_Louis_City http://dbpedia.org/resource/St_louise http://dbpedia.org/resource/St._Louis,_USA http://dbpedia.org/resource/St_Louis,_MO http://dbpedia.org/resource/St._Louis,_MO http://dbpedia.org/resource/St_louis,_mo http://dbpedia.org/resource/Southern_Railway_(St._Louis) http://dbpedia.org/resource/Missouri_St._Louis http://dbpedia.org/resource/Saint_Louis_(Mo.) http://dbpedia.org/resource/Saint_Louis,_USA http://dbpedia.org/resource/St_Louis,_Missouri http://dbpedia.org/resource/St_Louis_(MO) http://dbpedia.org/resource/St._Louis,_Mo. http://dbpedia.org/resource/Saint_Louis,_Mo. http://dbpedia.org/resource/St_Louie http://dbpedia.org/resource/City_of_St._Louis,_Missouri http://dbpedia.org/resource/St_Louis_Missouri http://dbpedia.org/resource/City_of_St._Louis http://dbpedia.org/resource/St._Louis_City,_Missouri http://dbpedia.org/resource/St-Louis http://dbpedia.org/resource/St,_Louis,_MO http://dbpedia.org/resource/St,_Louis,_Missouri http://dbpedia.org/resource/St._Louis_Missouri http://dbpedia.org/resource/St._Louise,_Missouri http://dbpedia.org/resource/St,_Louis http://dbpedia.org/resource/St._Lewis,_Missouri http://dbpedia.org/resource/Saint_louis,_mo http://dbpedia.org/resource/St._Louis,_Missouri,_USA http://dbpedia.org/resource/Saint_Louis_Missouri http://dbpedia.org/resource/Saint_Louis_(Missouri) http://dbpedia.org/resource/St.Louis,_Missouri http://dbpedia.org/resource/St_Louis,_Mo http://dbpedia.org/resource/St_Louis http://dbpedia.org/resource/Saint_Louis,_Missouri http://dbpedia.org/resource/St.Louis,_Mo. http://dbpedia.org/resource/St_louis http://dbpedia.org/resource/St._louis_mo http://dbpedia.org/resource/Saint_Louie http://dbpedia.org/resource/Missouri_Saint_Louis http://dbpedia.org/resource/St._Louis"
1,13,Charlotte,"http://dbpedia.org/resource/Charlotte_County,_Virginia","http://dbpedia.org/resource/Charlotte,_N.C. http://dbpedia.org/resource/Climate_in_Charlotte http://dbpedia.org/resource/Charlotte,_USA http://dbpedia.org/resource/UN/LOCODE:USCLT http://dbpedia.org/resource/Charlotte_nc http://dbpedia.org/resource/History_of_Charlotte,_North_Carolina http://dbpedia.org/resource/Government_of_Charlotte,_North_Carolina http://dbpedia.org/resource/Charlotte_-_Mecklenburg,_North_Carolina http://dbpedia.org/resource/Charlotte,_North_Carolina http://dbpedia.org/resource/Charlotte_Zoo http://dbpedia.org/resource/Charlotte http://dbpedia.org/resource/Providence_Chrisian_School_(Charlotte) http://dbpedia.org/resource/Charlotte_(NC) http://dbpedia.org/resource/Charlotte,_nc http://dbpedia.org/resource/Charlotte,_United_States http://dbpedia.org/resource/List_of_hospitals_in_Charlotte,_North_Carolina http://dbpedia.org/resource/Providence_Christian_School,_Charlotte http://dbpedia.org/resource/City_of_Charlotte http://dbpedia.org/resource/Charlette http://dbpedia.org/resource/Climate_of_Charlotte,_NC http://dbpedia.org/resource/North_Charlotte,_North_Carolina http://dbpedia.org/resource/Charlote http://dbpedia.org/resource/Charlotte,_N._C. http://dbpedia.org/resource/UN/LOCODE:USNCH http://dbpedia.org/resource/Charlotte,_NC http://dbpedia.org/resource/Climate_in_Charlotte,_North_Carolina http://dbpedia.org/resource/Charlotte-Mecklenburg,_North_Carolina"
1,15,New York City,http://dbpedia.org/resource/New_York_(state),"http://dbpedia.org/resource/New_Yawk http://dbpedia.org/resource/City_That_Never_Sleeps_(city) http://dbpedia.org/resource/NY_City http://dbpedia.org/resource/New_York_City,_New_York_State http://dbpedia.org/resource/New-York_City http://dbpedia.org/resource/NYC,_NYS http://dbpedia.org/resource/NYC,_New_York http://dbpedia.org/resource/New_York,_New_York_(State) http://dbpedia.org/resource/N.Y.,_N.Y. http://dbpedia.org/resource/NYC.gov http://dbpedia.org/resource/New_York_(City) http://dbpedia.org/resource/New_York_City_Birth_Index http://dbpedia.org/resource/New_York_(city) http://dbpedia.org/resource/New_York,_N._Y. http://dbpedia.org/resource/City_of_new_york http://dbpedia.org/resource/New_York_City http://dbpedia.org/resource/New_york,_ny http://dbpedia.org/resource/The_City_of_New_York http://dbpedia.org/resource/New_York,_N.Y. http://dbpedia.org/resource/New_York_City,_NY http://dbpedia.org/resource/New_york_city,_new_york http://dbpedia.org/resource/New_York_N.Y. http://dbpedia.org/resource/New_york_city http://dbpedia.org/resource/The_City_So_Nice_They_Named_It_Twice http://dbpedia.org/resource/New_York_City,_United_States http://dbpedia.org/resource/NYC,_NY http://dbpedia.org/resource/New_York_City,_USA http://dbpedia.org/resource/N.Y.C. http://dbpedia.org/resource/New_York_CIty http://dbpedia.org/resource/New_Yourk_City http://dbpedia.org/resource/City_of_New_York http://dbpedia.org/resource/New_York_New_York http://dbpedia.org/resource/New_York_city http://dbpedia.org/resource/Nyc http://dbpedia.org/resource/USNYC http://dbpedia.org/resource/New_York_City,_New_York http://dbpedia.org/resource/City_of_New_York,_New_York http://dbpedia.org/resource/UN/LOCODE:USNYC http://dbpedia.org/resource/New_York,_US-NY http://dbpedia.org/resource/NYC http://dbpedia.org/resource/City_New_York http://dbpedia.org/resource/NY,_NY http://dbpedia.org/resource/New_York_City_(Ny.) http://dbpedia.org/resource/New_York_City_(NYC) http://dbpedia.org/resource/Nueva_York http://dbpedia.org/resource/New_your_city http://dbpedia.org/resource/NewYork_City http://dbpedia.org/resource/City_of_NY http://dbpedia.org/resource/New_York_City,_U.S. http://dbpedia.org/resource/New_York,_New_York,_USA http://dbpedia.org/resource/New_York_City,_New_York,_USA http://dbpedia.org/resource/N._Y._C. http://dbpedia.org/resource/New_york_City http://dbpedia.org/resource/New_York_City,_United_States_of_America http://dbpedia.org/resource/New_York,_New_York http://dbpedia.org/resource/New_York_(NY) http://dbpedia.org/resource/New_York,_NY,_USA http://dbpedia.org/resource/New_York_(N.Y.) http://dbpedia.org/resource/New_York_City_(NYC),_USA http://dbpedia.org/resource/Newyorkcity http://dbpedia.org/resource/New_York_NY http://dbpedia.org/resource/Ny_c http://dbpedia.org/resource/New_York,_NY http://dbpedia.org/resource/New_york,_New_York http://dbpedia.org/resource/New_York_City,_New_York,_United_States http://dbpedia.org/resource/N._Y.,_N._Y. http://dbpedia.org/resource/NY_City,_NY http://dbpedia.org/resource/New_York_City,_NYS http://dbpedia.org/resource/N_yc http://dbpedia.org/resource/New_York_City_(NY) http://dbpedia.org/resource/New_york_new_york http://dbpedia.org/resource/N_y_c http://dbpedia.org/resource/New_York_Cty http://dbpedia.org/resource/City_of_new_yourk http://dbpedia.org/resource/N.Y.C"
