"F1: 0.00000","Precision: 0.00000","Recall: 0.00000"
"Col","Row","Value","Submitted URI","Correct URI's"
"0","1","SR 10","http://dbpedia.org/resource/1974_FIFA_World_Cup","http://dbpedia.org/resource/Route_10_(Virginia_pre-1928) http://dbpedia.org/resource/Virginia_State_Route_316_(1927-1928) http://dbpedia.org/resource/Virginia_State_Route_10_(pre-1928) http://dbpedia.org/resource/Route_10_(Virginia_pre-1933) http://dbpedia.org/resource/Virginia_State_Route_316_(pre-1928) http://dbpedia.org/resource/Virginia_State_Route_10_(1928) http://dbpedia.org/resource/Route_10_(Virginia) http://dbpedia.org/resource/Virginia_State_Route_407_(pre-1933) http://dbpedia.org/resource/Virginia_State_Route_10_Business_(Smithfield) http://dbpedia.org/resource/State_Route_407_(Virginia_pre-1933) http://dbpedia.org/resource/State_Route_316_(Virginia_1927-1928) http://dbpedia.org/resource/State_Route_37_(Virginia_1933-1935) http://dbpedia.org/resource/Route_316_(Virginia_pre-1928) http://dbpedia.org/resource/Virginia_State_Highway_10 http://dbpedia.org/resource/Route_10_(Virginia_1918) http://dbpedia.org/resource/Virginia_State_Route_10_(1940) http://dbpedia.org/resource/State_Route_407_(Virginia_1928) http://dbpedia.org/resource/State_Route_37_(Virginia_1933) http://dbpedia.org/resource/State_Route_407_(Virginia_1928-1933) http://dbpedia.org/resource/State_Route_10_(Virginia_pre-1928) http://dbpedia.org/resource/State_Route_10_(Virginia_1933) http://dbpedia.org/resource/Virginia_State_Route_10_(pre-1940) http://dbpedia.org/resource/Virginia_State_Route_407_(1928) http://dbpedia.org/resource/Virginia_State_Route_10_(1933) http://dbpedia.org/resource/State_Route_10_(Virginia_pre-1933) http://dbpedia.org/resource/State_Route_10_(Virginia_1918) http://dbpedia.org/resource/State_Route_10_(Virginia) http://dbpedia.org/resource/State_Route_316_(Virginia_pre-1928) http://dbpedia.org/resource/Virginia_State_Route_37_(1933-1935) http://dbpedia.org/resource/Virginia_Route_10 http://dbpedia.org/resource/James_River_Drive http://dbpedia.org/resource/State_Route_10_(Virginia_1940) http://dbpedia.org/resource/State_Route_10_(Virginia_1928) http://dbpedia.org/resource/SR_10_(VA) http://dbpedia.org/resource/Virginia_State_Route_37_(1933) http://dbpedia.org/resource/State_Route_10_Business_(Smithfield,_Virginia) http://dbpedia.org/resource/Virginia_State_Route_10_(pre-1933) http://dbpedia.org/resource/State_Route_10_(Virginia_pre-1940) http://dbpedia.org/resource/Virginia_State_Route_407_(1928-1933) http://dbpedia.org/resource/Virginia_State_Route_10_(1918) http://dbpedia.org/resource/Virginia_State_Route_10"
"0","3","SR 12","http://dbpedia.org/resource/Strontium","http://dbpedia.org/resource/Virginia_State_Route_12_(1918) http://dbpedia.org/resource/U.S._Route_411_(1926)_in_Virginia http://dbpedia.org/resource/US-58 http://dbpedia.org/resource/Virginia_State_Route_12_(1928) http://dbpedia.org/resource/Virginia_State_Route_105_(pre-1932) http://dbpedia.org/resource/State_Route_142_(Virginia_pre-1933) http://dbpedia.org/resource/U.S._Route_58_(North_Carolina) http://dbpedia.org/resource/Virginia_State_Route_305_(1936) http://dbpedia.org/resource/Virginia_State_Route_105_(pre-1933) http://dbpedia.org/resource/U.S._Route_58_in_Virginia http://dbpedia.org/resource/US_58_(VA) http://dbpedia.org/resource/Virginia_State_Route_400_(1928) http://dbpedia.org/resource/Virginia_State_Route_142_(1932-1933) http://dbpedia.org/resource/Virginia_State_Route_12_(pre-1933) http://dbpedia.org/resource/U.S._Route_58 http://dbpedia.org/resource/Virginia_State_Route_142_(pre-1933) http://dbpedia.org/resource/State_Route_105_(Virginia_1928) http://dbpedia.org/resource/State_Route_12_(Virginia_1918-1933) http://dbpedia.org/resource/State_Route_12_(Virginia_1928) http://dbpedia.org/resource/U.S._Highway_58 http://dbpedia.org/resource/State_Route_142_(Virginia_1932-1933) http://dbpedia.org/resource/Virginia_State_Route_12_(pre-1928) http://dbpedia.org/resource/State_Route_12_(Virginia_1918) http://dbpedia.org/resource/U.S._Route_401_in_Virginia http://dbpedia.org/resource/U.S._Route_58_(Tennessee) http://dbpedia.org/resource/Virginia_State_Route_400_(pre-1933) http://dbpedia.org/resource/U.S._Route_401_(1927) http://dbpedia.org/resource/State_Route_305_(Virginia_1936-1940) http://dbpedia.org/resource/Virginia_State_Route_400_(1928-1933) http://dbpedia.org/resource/U.S._Route_421_(Virginia_1930s) http://dbpedia.org/resource/US_401_(VA) http://dbpedia.org/resource/U.S._Route_58_in_Tennessee http://dbpedia.org/resource/U._S._Route_58 http://dbpedia.org/resource/U.S._Route_401_(1926) http://dbpedia.org/resource/Virginia_State_Route_305_(1936-1940) http://dbpedia.org/resource/U.S._Route_411_(1926) http://dbpedia.org/resource/U.S._Route_401_(1920s) http://dbpedia.org/resource/U.S._Highway_58_(Tennessee) http://dbpedia.org/resource/Virginia_State_Route_105_(1928-1932) http://dbpedia.org/resource/State_Route_12_(Virginia_pre-1933) http://dbpedia.org/resource/State_Route_400_(Virginia_pre-1933) http://dbpedia.org/resource/Route_324_(Virginia_pre-1928) http://dbpedia.org/resource/State_Route_383_(Tennessee) http://dbpedia.org/resource/State_Route_105_(Virginia_1928-1932) http://dbpedia.org/resource/United_States_Route_58 http://dbpedia.org/resource/Tennessee_State_Route_383 http://dbpedia.org/resource/Route_400_(Virginia_pre-1933) http://dbpedia.org/resource/U_S_Route_58 http://dbpedia.org/resource/State_Route_105_(Virginia_pre-1933) http://dbpedia.org/resource/U.S._Highway_58_in_Virginia http://dbpedia.org/resource/State_Route_305_(Virginia_1930s) http://dbpedia.org/resource/United_States_Highway_58 http://dbpedia.org/resource/US_58_(TN) http://dbpedia.org/resource/Route_105_(Virginia_pre-1933) http://dbpedia.org/resource/U.S._Route_58_in_North_Carolina http://dbpedia.org/resource/U.S._Route_411_(Virginia_1926) http://dbpedia.org/resource/Virginia_State_Route_12_(1918-1933) http://dbpedia.org/resource/U.S._Highway_58_(Virginia) http://dbpedia.org/resource/Virginia_State_Route_305_(1930s) http://dbpedia.org/resource/U.S._Route_411_(Virginia_1925) http://dbpedia.org/resource/US_Route_58 http://dbpedia.org/resource/State_Route_305_(Virginia_1936) http://dbpedia.org/resource/State_Route_305_(Virginia_pre-1940) http://dbpedia.org/resource/Virginia_State_Route_305_(pre-1940) http://dbpedia.org/resource/US_401_(1920s) http://dbpedia.org/resource/State_Route_142_(Virginia_1932) http://dbpedia.org/resource/SR_383_(TN) http://dbpedia.org/resource/US_58 http://dbpedia.org/resource/Virginia_State_Route_324_(pre-1928) http://dbpedia.org/resource/Route_12_(Virginia_pre-1933) http://dbpedia.org/resource/US_411_(1926) http://dbpedia.org/resource/U.S._Route_401_(Virginia) http://dbpedia.org/resource/State_Route_400_(Virginia_1928) http://dbpedia.org/resource/U.S._Route_58_(Virginia) http://dbpedia.org/resource/State_Route_400_(Virginia_1928-1933) http://dbpedia.org/resource/State_Route_324_(Virginia_pre-1928) http://dbpedia.org/resource/State_Route_105_(Virginia_pre-1932) http://dbpedia.org/resource/Virginia_State_Route_142_(1932) http://dbpedia.org/resource/U.S._58 http://dbpedia.org/resource/Virginia_State_Route_105_(1928) http://dbpedia.org/resource/State_Route_12_(Virginia_pre-1928)"
"0","4","SR 13","http://dbpedia.org/resource/Strontium","http://dbpedia.org/resource/Virginia_State_Route_13_(1918) http://dbpedia.org/resource/State_Route_13_(Virginia_1933) http://dbpedia.org/resource/Virginia_Route_13 http://dbpedia.org/resource/Virginia_State_Route_13_(1933) http://dbpedia.org/resource/Virginia_State_Highway_13 http://dbpedia.org/resource/Virginia_State_Route_322_(pre-1928) http://dbpedia.org/resource/Virginia_State_Route_322_(1923) http://dbpedia.org/resource/Virginia_State_Route_13_(pre-1928) http://dbpedia.org/resource/State_Route_13_(Virginia_pre-1933) http://dbpedia.org/resource/State_Route_13_(Virginia_1928) http://dbpedia.org/resource/Route_322_(Virginia_pre-1928) http://dbpedia.org/resource/State_Route_322_(Virginia_pre-1928) http://dbpedia.org/resource/VA_13 http://dbpedia.org/resource/State_Route_13_(Virginia_1918-1933) http://dbpedia.org/resource/State_Route_13_(Virginia_pre-1928) http://dbpedia.org/resource/State_Route_322_(Virginia_1923-1928) http://dbpedia.org/resource/State_Route_13_(Virginia) http://dbpedia.org/resource/Virginia_State_Route_13_(pre-1933) http://dbpedia.org/resource/SR_13_(VA) http://dbpedia.org/resource/State_Route_322_(Virginia_1923) http://dbpedia.org/resource/Route_13_(Virginia) http://dbpedia.org/resource/State_Route_13_(Virginia_1918) http://dbpedia.org/resource/Virginia_State_Route_13 http://dbpedia.org/resource/Virginia_State_Route_13_(1928) http://dbpedia.org/resource/Virginia_State_Route_322_(1923-1928) http://dbpedia.org/resource/Virginia_State_Route_13_(1918-1933) http://dbpedia.org/resource/Virginia_State_Route_322_(1923-1926) http://dbpedia.org/resource/State_Route_322_(Virginia_1923-1926)"
"0","5","SR 14","http://dbpedia.org/resource/Oxaliplatin","http://dbpedia.org/resource/State_Route_33_(Virginia_1928) http://dbpedia.org/resource/State_Route_46_(Virginia_1928-1933) http://dbpedia.org/resource/State_Route_27_(Virginia_pre-1953) http://dbpedia.org/resource/State_Route_16_(Virginia_pre-1933) http://dbpedia.org/resource/Virginia_State_Route_14_(pre-1933) http://dbpedia.org/resource/State_Route_46_(Virginia_pre-1933) http://dbpedia.org/resource/Virginia_State_Route_27_(pre-1953) http://dbpedia.org/resource/Virginia_State_Route_14_(pre-1928) http://dbpedia.org/resource/Virginia_State_Route_14_(1918-1933) http://dbpedia.org/resource/State_Route_46_(Virginia_1928) http://dbpedia.org/resource/State_Route_14_(Virginia_pre-1933) http://dbpedia.org/resource/Virginia_State_Route_16_(1918-1940) http://dbpedia.org/resource/Virginia_State_Route_33_(1923-1933) http://dbpedia.org/resource/State_Route_16_(Virginia_1918-1933) http://dbpedia.org/resource/State_Route_14_(Virginia_1918-1933) http://dbpedia.org/resource/Virginia_State_Route_46_(pre-1933) http://dbpedia.org/resource/Route_3_(Virginia_pre-1923) http://dbpedia.org/resource/State_Route_16_(Virginia_pre-1940) http://dbpedia.org/resource/Virginia_State_Route_16_(pre-1928) http://dbpedia.org/resource/State_Route_14_(Virginia_1928) http://dbpedia.org/resource/State_Route_16_(Virginia_pre-1928) http://dbpedia.org/resource/Virginia_State_Route_46_(1928) http://dbpedia.org/resource/List_of_former_state_highways_in_Virginia http://dbpedia.org/resource/Virginia_State_Route_33_(pre-1928) http://dbpedia.org/resource/Virginia_State_Route_3_(1918) http://dbpedia.org/resource/Virginia_State_Route_16_(1918) http://dbpedia.org/resource/State_Route_16_(Virginia_1918-1940) http://dbpedia.org/resource/Virginia_State_Route_16_(1933-1940) http://dbpedia.org/resource/State_Route_33_(Virginia_pre-1933) http://dbpedia.org/resource/Virginia_State_Route_16_(1928) http://dbpedia.org/resource/State_Route_16_(Virginia_1918) http://dbpedia.org/resource/Virginia_State_Route_27_(1940–1953) http://dbpedia.org/resource/State_Route_14_(Virginia_1918) http://dbpedia.org/resource/Virginia_State_Route_3_(pre-1933) http://dbpedia.org/resource/Virginia_State_Route_14_(1918) http://dbpedia.org/resource/State_Route_33_(Virginia_1923–1933) http://dbpedia.org/resource/State_Route_14_(Virginia_1918–1933) http://dbpedia.org/resource/State_Route_3_(Virginia_1918-1923) http://dbpedia.org/resource/Virginia_State_Route_16_(1933) http://dbpedia.org/resource/Virginia_State_Route_3_(pre-1923) http://dbpedia.org/resource/State_Route_27_(Virginia_1940–1953) http://dbpedia.org/resource/State_Route_3_(Virginia_pre-1923) http://dbpedia.org/resource/Virginia_State_Route_46_(1928-1933) http://dbpedia.org/resource/Route_33_(Virginia_pre-1933) http://dbpedia.org/resource/Virginia_State_Route_16_(1918-1933) http://dbpedia.org/resource/State_Route_27_(Virginia_1940) http://dbpedia.org/resource/State_Route_33_(Virginia_1923) http://dbpedia.org/resource/State_Route_33_(Virginia_1923-1933) http://dbpedia.org/resource/Virginia_State_Route_14_(1928) http://dbpedia.org/resource/State_Route_3_(Virginia_1918) http://dbpedia.org/resource/Virginia_State_Route_3_(1918-1923) http://dbpedia.org/resource/Virginia_State_Route_33_(1923–1933) http://dbpedia.org/resource/Virginia_State_Route_33_(pre-1933) http://dbpedia.org/resource/Virginia_State_Route_33_(1923) http://dbpedia.org/resource/State_Route_33_(Virginia_pre-1928) http://dbpedia.org/resource/List_of_former_primary_state_highways_in_Virginia http://dbpedia.org/resource/Virginia_State_Route_27_(1940) http://dbpedia.org/resource/Virginia_State_Route_27_(1940-1953) http://dbpedia.org/resource/Virginia_State_Route_14_(1918–1933) http://dbpedia.org/resource/Virginia_State_Route_16_(pre-1933) http://dbpedia.org/resource/Virginia_State_Route_33_(1928) http://dbpedia.org/resource/Virginia_State_Route_16_(pre-1940) http://dbpedia.org/resource/State_Route_16_(Virginia_1933) http://dbpedia.org/resource/State_Route_16_(Virginia_1933-1940) http://dbpedia.org/resource/State_Route_27_(Virginia_1940-1953) http://dbpedia.org/resource/State_Route_3_(Virginia_pre-1933) http://dbpedia.org/resource/State_Route_16_(Virginia_1928) http://dbpedia.org/resource/State_Route_14_(Virginia_pre-1928)"
"0","6","SR 15","http://dbpedia.org/resource/Croatia_national_football_team","http://dbpedia.org/resource/State_Route_15_(Virginia_1923) http://dbpedia.org/resource/U.S._Highway_52_(Virginia) http://dbpedia.org/resource/U.S._Highway_52_in_Virginia http://dbpedia.org/resource/Virginia_State_Route_15_(1928) http://dbpedia.org/resource/US_Route_52_in_Virginia http://dbpedia.org/resource/U.S._Route_121_(Virginia_1933) http://dbpedia.org/resource/State_Route_15_(Virginia_pre-1933) http://dbpedia.org/resource/U.S._Route_52_(Virginia) http://dbpedia.org/resource/U._S._Route_52_in_Virginia http://dbpedia.org/resource/US_52_(VA) http://dbpedia.org/resource/State_Route_15_(Virginia_1923-1933) http://dbpedia.org/resource/U.S._Route_121_(1926)_in_Virginia http://dbpedia.org/resource/U.S._Route_52_in_Virginia http://dbpedia.org/resource/U_S_Route_52_in_Virginia http://dbpedia.org/resource/Virginia_State_Route_15_(1923-1933) http://dbpedia.org/resource/U.S._Route_121_(Virginia_1926) http://dbpedia.org/resource/Virginia_State_Route_15_(1923) http://dbpedia.org/resource/State_Route_15_(Virginia_pre-1928) http://dbpedia.org/resource/State_Route_15_(Virginia_1928) http://dbpedia.org/resource/Virginia_State_Route_15_(pre-1928) http://dbpedia.org/resource/Route_15_(Virginia_pre-1933) http://dbpedia.org/resource/Virginia_State_Route_15_(pre-1933)"
"0","7","SR 16","http://dbpedia.org/resource/Croatia_national_football_team","http://dbpedia.org/resource/State_Route_33_(Virginia_1928) http://dbpedia.org/resource/State_Route_46_(Virginia_1928-1933) http://dbpedia.org/resource/State_Route_27_(Virginia_pre-1953) http://dbpedia.org/resource/State_Route_16_(Virginia_pre-1933) http://dbpedia.org/resource/Virginia_State_Route_14_(pre-1933) http://dbpedia.org/resource/State_Route_46_(Virginia_pre-1933) http://dbpedia.org/resource/Virginia_State_Route_27_(pre-1953) http://dbpedia.org/resource/Virginia_State_Route_14_(pre-1928) http://dbpedia.org/resource/Virginia_State_Route_14_(1918-1933) http://dbpedia.org/resource/State_Route_46_(Virginia_1928) http://dbpedia.org/resource/State_Route_14_(Virginia_pre-1933) http://dbpedia.org/resource/Virginia_State_Route_16_(1918-1940) http://dbpedia.org/resource/Virginia_State_Route_33_(1923-1933) http://dbpedia.org/resource/State_Route_16_(Virginia_1918-1933) http://dbpedia.org/resource/State_Route_14_(Virginia_1918-1933) http://dbpedia.org/resource/Virginia_State_Route_46_(pre-1933) http://dbpedia.org/resource/Route_3_(Virginia_pre-1923) http://dbpedia.org/resource/State_Route_16_(Virginia_pre-1940) http://dbpedia.org/resource/Virginia_State_Route_16_(pre-1928) http://dbpedia.org/resource/State_Route_14_(Virginia_1928) http://dbpedia.org/resource/State_Route_16_(Virginia_pre-1928) http://dbpedia.org/resource/Virginia_State_Route_46_(1928) http://dbpedia.org/resource/List_of_former_state_highways_in_Virginia http://dbpedia.org/resource/Virginia_State_Route_33_(pre-1928) http://dbpedia.org/resource/Virginia_State_Route_3_(1918) http://dbpedia.org/resource/Virginia_State_Route_16_(1918) http://dbpedia.org/resource/State_Route_16_(Virginia_1918-1940) http://dbpedia.org/resource/Virginia_State_Route_16_(1933-1940) http://dbpedia.org/resource/State_Route_33_(Virginia_pre-1933) http://dbpedia.org/resource/Virginia_State_Route_16_(1928) http://dbpedia.org/resource/State_Route_16_(Virginia_1918) http://dbpedia.org/resource/Virginia_State_Route_27_(1940–1953) http://dbpedia.org/resource/State_Route_14_(Virginia_1918) http://dbpedia.org/resource/Virginia_State_Route_3_(pre-1933) http://dbpedia.org/resource/Virginia_State_Route_14_(1918) http://dbpedia.org/resource/State_Route_33_(Virginia_1923–1933) http://dbpedia.org/resource/State_Route_14_(Virginia_1918–1933) http://dbpedia.org/resource/State_Route_3_(Virginia_1918-1923) http://dbpedia.org/resource/Virginia_State_Route_16_(1933) http://dbpedia.org/resource/Virginia_State_Route_3_(pre-1923) http://dbpedia.org/resource/State_Route_27_(Virginia_1940–1953) http://dbpedia.org/resource/State_Route_3_(Virginia_pre-1923) http://dbpedia.org/resource/Virginia_State_Route_46_(1928-1933) http://dbpedia.org/resource/Route_33_(Virginia_pre-1933) http://dbpedia.org/resource/Virginia_State_Route_16_(1918-1933) http://dbpedia.org/resource/State_Route_27_(Virginia_1940) http://dbpedia.org/resource/State_Route_33_(Virginia_1923) http://dbpedia.org/resource/State_Route_33_(Virginia_1923-1933) http://dbpedia.org/resource/Virginia_State_Route_14_(1928) http://dbpedia.org/resource/State_Route_3_(Virginia_1918) http://dbpedia.org/resource/Virginia_State_Route_3_(1918-1923) http://dbpedia.org/resource/Virginia_State_Route_33_(1923–1933) http://dbpedia.org/resource/Virginia_State_Route_33_(pre-1933) http://dbpedia.org/resource/Virginia_State_Route_33_(1923) http://dbpedia.org/resource/State_Route_33_(Virginia_pre-1928) http://dbpedia.org/resource/List_of_former_primary_state_highways_in_Virginia http://dbpedia.org/resource/Virginia_State_Route_27_(1940) http://dbpedia.org/resource/Virginia_State_Route_27_(1940-1953) http://dbpedia.org/resource/Virginia_State_Route_14_(1918–1933) http://dbpedia.org/resource/Virginia_State_Route_16_(pre-1933) http://dbpedia.org/resource/Virginia_State_Route_33_(1928) http://dbpedia.org/resource/Virginia_State_Route_16_(pre-1940) http://dbpedia.org/resource/State_Route_16_(Virginia_1933) http://dbpedia.org/resource/State_Route_16_(Virginia_1933-1940) http://dbpedia.org/resource/State_Route_27_(Virginia_1940-1953) http://dbpedia.org/resource/State_Route_3_(Virginia_pre-1933) http://dbpedia.org/resource/State_Route_16_(Virginia_1928) http://dbpedia.org/resource/State_Route_14_(Virginia_pre-1928)"
"0","10","SR 19","http://dbpedia.org/resource/Tony_Gwynn","http://dbpedia.org/resource/Virginia_State_Route_19_(pre-1928) http://dbpedia.org/resource/State_Route_19_(Virginia_pre-1933) http://dbpedia.org/resource/Virginia_State_Route_19_(1918) http://dbpedia.org/resource/Virginia_State_Route_6 http://dbpedia.org/resource/State_Route_6_(Virginia_1933) http://dbpedia.org/resource/Virginia_State_Route_19_(1918-1933) http://dbpedia.org/resource/State_Route_6_(Virginia) http://dbpedia.org/resource/Patterson_Avenue http://dbpedia.org/resource/VA_Route_6 http://dbpedia.org/resource/State_Route_19_(Virginia_1918-1933) http://dbpedia.org/resource/Virginia_Route_6 http://dbpedia.org/resource/State_Route_19_(Virginia_1928) http://dbpedia.org/resource/Route_6_(Virginia) http://dbpedia.org/resource/Virginia_State_Route_6_(1933) http://dbpedia.org/resource/Virginia_State_Route_19_(1928) http://dbpedia.org/resource/Virginia_State_Route_19_(pre-1933) http://dbpedia.org/resource/State_Route_19_(Virginia_pre-1928) http://dbpedia.org/resource/Virginia_State_Highway_6 http://dbpedia.org/resource/Route_19_(Virginia_pre-1933) http://dbpedia.org/resource/SR_6_(VA) http://dbpedia.org/resource/State_Route_19_(Virginia_1918)"
"0","11","SR 20","http://dbpedia.org/resource/Germany_national_football_team","http://dbpedia.org/resource/State_Route_47_(Virginia_1928-1930) http://dbpedia.org/resource/Virginia_Route_40 http://dbpedia.org/resource/State_Route_40_(Virginia_1933) http://dbpedia.org/resource/State_Route_40_Business_(Stony_Creek,_Virginia) http://dbpedia.org/resource/State_Route_47_(Virginia_1928) http://dbpedia.org/resource/State_Route_323_(Virginia_1923-1928) http://dbpedia.org/resource/Virginia_State_Route_40 http://dbpedia.org/resource/State_Route_48_(Virginia_1928-1934) http://dbpedia.org/resource/Virginia_State_Route_351_(1924-1928) http://dbpedia.org/resource/Virginia_State_Route_40_Business_(Stony_Creek) http://dbpedia.org/resource/Virginia_State_Route_48_(1928-1934) http://dbpedia.org/resource/VA-40 http://dbpedia.org/resource/Virginia_State_Route_48_(1928) http://dbpedia.org/resource/Virginia_State_Route_323_(1923) http://dbpedia.org/resource/State_Route_20_(Virginia_1928) http://dbpedia.org/resource/State_Route_48_(Virginia_pre-1933) http://dbpedia.org/resource/Virginia_State_Route_20_(pre-1928) http://dbpedia.org/resource/Virginia_State_Route_351_(pre-1928) http://dbpedia.org/resource/State_Route_20_(Virginia_pre-1933) http://dbpedia.org/resource/SR_40_(VA) http://dbpedia.org/resource/State_Route_40_(Virginia) http://dbpedia.org/resource/State_Route_20_(Virginia_1918) http://dbpedia.org/resource/State_Route_323_(Virginia_pre-1928) http://dbpedia.org/resource/Virginia_State_Route_323_(1923-1928) http://dbpedia.org/resource/State_Route_351_(Virginia_1924-1928) http://dbpedia.org/resource/VA_40 http://dbpedia.org/resource/State_Route_20_(Virginia_pre-1928) http://dbpedia.org/resource/State_Route_40_Truck_(Victoria,_Virginia) http://dbpedia.org/resource/State_Route_351_(Virginia_pre-1928) http://dbpedia.org/resource/Virginia_State_Route_20_(1918-1933) http://dbpedia.org/resource/Virginia_State_Route_323_(pre-1928) http://dbpedia.org/resource/Virginia_State_Route_646_(Surry_County) http://dbpedia.org/resource/State_Route_47_(Virginia_early_1930s) http://dbpedia.org/resource/State_Route_323_(Virginia_1923) http://dbpedia.org/resource/Virginia_State_Route_47_(early_1930s) http://dbpedia.org/resource/VA_Route_40 http://dbpedia.org/resource/Virginia_State_Highway_40 http://dbpedia.org/resource/Virginia_State_Route_47_(1928-1930) http://dbpedia.org/resource/Virginia_State_Route_48_(1933) http://dbpedia.org/resource/Virginia_State_Route_40_Truck_(Victoria) http://dbpedia.org/resource/Virginia_State_Route_20_(pre-1933) http://dbpedia.org/resource/State_Route_20_(Virginia_1918-1933) http://dbpedia.org/resource/Virginia_State_Route_47_(1928) http://dbpedia.org/resource/Virginia_State_Route_20_(1918) http://dbpedia.org/resource/State_Route_48_(Virginia_1928) http://dbpedia.org/resource/Route_40_(Virginia) http://dbpedia.org/resource/Virginia_State_Route_48_(pre-1933) http://dbpedia.org/resource/State_Route_48_(Virginia_1933) http://dbpedia.org/resource/Virginia_State_Route_20_(1928) http://dbpedia.org/resource/Virginia_State_Route_40_(1933) http://dbpedia.org/resource/State_Route_646_(Surry_County,_Virginia)"
"0","12","SR 21","http://dbpedia.org/resource/Croatia_national_football_team","http://dbpedia.org/resource/U_S_Route_211 http://dbpedia.org/resource/U.S._Route_211_Business_(Luray,_Virginia) http://dbpedia.org/resource/State_Route_21_(Virginia_pre-1928) http://dbpedia.org/resource/U.S._Route_211_in_the_District_of_Columbia http://dbpedia.org/resource/Route_21_(Virginia_1918) http://dbpedia.org/resource/US_Route_211 http://dbpedia.org/resource/U.S._Route_211_Business_(Warrenton,_Virginia) http://dbpedia.org/resource/Virginia_State_Route_21_(1918-1933) http://dbpedia.org/resource/U.S._Route_211 http://dbpedia.org/resource/Virginia_State_Route_21_(1918) http://dbpedia.org/resource/U.S._Route_211_Alternate_(Warrenton,_Virginia) http://dbpedia.org/resource/U.S._Route_211_in_District_of_Columbia http://dbpedia.org/resource/U.S._Route_211-522_Business_(Washington,_Virginia) http://dbpedia.org/resource/State_Route_21_(Virginia_1928) http://dbpedia.org/resource/U.S._Route_522_Business_(Washington,_Virginia) http://dbpedia.org/resource/Route_21_(Virginia_pre-1933) http://dbpedia.org/resource/U.S._Route_211_Business_(Washington,_Virginia) http://dbpedia.org/resource/Virginia_State_Route_21_(pre-1928) http://dbpedia.org/resource/U._S._Route_211 http://dbpedia.org/resource/US_211_(DC) http://dbpedia.org/resource/US_211_(VA) http://dbpedia.org/resource/Virginia_State_Route_21_(pre-1933) http://dbpedia.org/resource/United_States_Route_211 http://dbpedia.org/resource/U.S._Route_211_(District_of_Columbia) http://dbpedia.org/resource/State_Route_21_(Virginia_1918) http://dbpedia.org/resource/United_States_Highway_211 http://dbpedia.org/resource/Virginia_State_Route_21_(1928) http://dbpedia.org/resource/State_Route_21_(Virginia_1918-1933) http://dbpedia.org/resource/U.S._Highway_211 http://dbpedia.org/resource/U.S._Route_211_(Virginia) http://dbpedia.org/resource/US_211 http://dbpedia.org/resource/State_Route_21_(Virginia_pre-1933) http://dbpedia.org/resource/U.S._Route_211_in_Virginia"
"0","13","SR 22","http://dbpedia.org/resource/Strontium","http://dbpedia.org/resource/VA_Route_311 http://dbpedia.org/resource/Route_311_(Virginia-West_Virginia) http://dbpedia.org/resource/State_Route_22_(Virginia_1918-1933) http://dbpedia.org/resource/Virginia_State_Route_22_(pre-1933) http://dbpedia.org/resource/Virginia_State_Route_221_(1923–1928) http://dbpedia.org/resource/West_Virginia_Route_81_(1920s) http://dbpedia.org/resource/West_Virginia_Route_311_(1940) http://dbpedia.org/resource/Virginia_State_Route_311_(1940) http://dbpedia.org/resource/Route_311_(Virginia–West_Virginia) http://dbpedia.org/resource/Virginia_State_Route_22_(1918-1933) http://dbpedia.org/resource/Virginia_State_Highway_311 http://dbpedia.org/resource/VA_311 http://dbpedia.org/resource/Route_311_(Virginia_-_West_Virginia) http://dbpedia.org/resource/State_Route_311_(Virginia_1933) http://dbpedia.org/resource/Route_311_(Virginia_–_West_Virginia) http://dbpedia.org/resource/State_Route_22_(Virginia_1918) http://dbpedia.org/resource/Route_311_(Virginia) http://dbpedia.org/resource/State_Route_143_(Virginia_1923-1928) http://dbpedia.org/resource/Virginia_State_Route_143_(1923-1928) http://dbpedia.org/resource/Virginia_Route_311 http://dbpedia.org/resource/State_Route_311_(Virginia) http://dbpedia.org/resource/West_Virginia_Highway_311 http://dbpedia.org/resource/Route_22_(Virginia_pre-1933) http://dbpedia.org/resource/Highway_311_(West_Virginia) http://dbpedia.org/resource/Virginia_State_Route_143_(pre-1928) http://dbpedia.org/resource/West_Virginia_Route_81_(pre-1940) http://dbpedia.org/resource/WV_311 http://dbpedia.org/resource/VA-311 http://dbpedia.org/resource/West_Virginia_State_Route_311 http://dbpedia.org/resource/State_Route_143_(Virginia_pre-1928) http://dbpedia.org/resource/State_Route_221_(Virginia_1923–1928) http://dbpedia.org/resource/West_Virginia_Route_311 http://dbpedia.org/resource/Virginia_State_Route_22_(1918) http://dbpedia.org/resource/Virginia_State_Route_311_(1933) http://dbpedia.org/resource/State_Route_311_(Virginia_1940) http://dbpedia.org/resource/State_Route_22_(Virginia_pre-1933) http://dbpedia.org/resource/West_Virginia_311 http://dbpedia.org/resource/SR_311_(VA) http://dbpedia.org/resource/Virginia_State_Route_22_(pre-1928) http://dbpedia.org/resource/Route_311_(West_Virginia) http://dbpedia.org/resource/State_Route_22_(Virginia_1928) http://dbpedia.org/resource/State_Route_22_(Virginia_pre-1928) http://dbpedia.org/resource/Virginia_State_Route_311 http://dbpedia.org/resource/Virginia_State_Route_22_(1928)"
