"F1: 0.00000","Precision: 0.00000","Recall: 0.00000"
"Col","Row","Value","Submitted URI","Correct URI's"
"1","1","Italy","http://dbpedia.org/resource/Italy","http://dbpedia.org/resource/Italy_national_baseball_team http://dbpedia.org/resource/Italian_national_baseball_team http://dbpedia.org/resource/Italian_National_Baseball_Team"
"1","3","Russia","http://dbpedia.org/resource/Russia","http://dbpedia.org/resource/Russia_national_baseball_team"
"1","5","Netherlands","http://dbpedia.org/resource/William_I_of_the_Netherlands","http://dbpedia.org/resource/Netherlands_National_Baseball_Team http://dbpedia.org/resource/The_Netherlands_national_baseball_team http://dbpedia.org/resource/Dutch_national_baseball_team http://dbpedia.org/resource/Netherlands_national_baseball_team"
"1","6","Czech Republic","http://dbpedia.org/resource/Czech_Republic","http://dbpedia.org/resource/Czech_Republic_national_baseball_team"
"1","8","France","http://dbpedia.org/resource/France","http://dbpedia.org/resource/France_national_baseball_team"
"1","9","Germany","http://dbpedia.org/resource/Germany","http://dbpedia.org/resource/West_Germany_national_baseball_team http://dbpedia.org/resource/German_national_baseball_team http://dbpedia.org/resource/Germany_national_baseball_team"
"1","10","Slovakia","http://dbpedia.org/resource/Slovakia","http://dbpedia.org/resource/Slovakia_national_baseball_team"
"1","11","Spain","http://dbpedia.org/resource/Spain","http://dbpedia.org/resource/Spain_national_baseball_team http://dbpedia.org/resource/Spanish_national_baseball_team"
"1","12","Belgium","http://dbpedia.org/resource/Belgium","http://dbpedia.org/resource/Belgium_national_baseball_team"
"1","13","Poland","http://dbpedia.org/resource/Poland","http://dbpedia.org/resource/Poland_national_baseball_team"
