"F1: 0.07692","Precision: 0.07692","Recall: 0.07692"
"Col","Row","Value","Submitted URI","Correct URI's"
"4","1","HernÃ¡ndez (6â\u0080\u009310)","http://dbpedia.org/resource/Jyske_Bank_Boxen","http://dbpedia.org/resource/Liván_Hernández"
"4","3","Beachy (5â\u0080\u00932)","http://dbpedia.org/resource/Beachy_Head_Lighthouse","http://dbpedia.org/resource/Brandon_Beachy"
"4","4","Hudson (11â\u0080\u00937)","http://dbpedia.org/resource/Hudson_County,_New_Jersey","http://dbpedia.org/resource/Tim_Hudson http://dbpedia.org/resource/Timothy_Adam_Hudson"
"4","5","Niese (11â\u0080\u00938)","http://de.dbpedia.org/resource/Niese_(Lügde)","http://dbpedia.org/resource/Jon_Niese http://dbpedia.org/resource/Jon_neise http://dbpedia.org/resource/Jonathon_Niese http://dbpedia.org/resource/Jonathan_Niese http://dbpedia.org/resource/Jon_Nefew"
"4","6","Venters (6â\u0080\u00931)","http://dbpedia.org/resource/Les_Ventes","http://dbpedia.org/resource/Jonny_Venters"
"4","7","Lowe (7â\u0080\u009310)","http://dbpedia.org/resource/Rob_Lowe","http://dbpedia.org/resource/Carolyn_Hughes http://dbpedia.org/resource/Derrick_Lowe http://dbpedia.org/resource/D-lowe http://dbpedia.org/resource/Derek_Lowe"
"4","8","Sherrill (3â\u0080\u00931)","http://dbpedia.org/resource/Sherrill,_Arkansas","http://dbpedia.org/resource/George_sherril http://dbpedia.org/resource/George_Sherrill"
"4","9","Hudson (12â\u0080\u00937)","http://dbpedia.org/resource/Hudson_County,_New_Jersey","http://dbpedia.org/resource/Tim_Hudson http://dbpedia.org/resource/Timothy_Adam_Hudson"
"4","10","Minor (2â\u0080\u00932)","http://dbpedia.org/resource/D_minor","http://dbpedia.org/resource/Mike_Minor_(baseball) http://dbpedia.org/resource/Mike_Minor_(Baseball)"
"4","11","Wells (4â\u0080\u00934)","http://dbpedia.org/resource/Wells_County,_Indiana","http://dbpedia.org/resource/Randy_Wells"
"4","12","Grabow (3â\u0080\u00930)","http://dbpedia.org/resource/Grabow","http://dbpedia.org/resource/John_Grabow http://dbpedia.org/resource/Grabes http://dbpedia.org/resource/John_William_Grabow"
"4","13","MartÃ­nez (1â\u0080\u00932)","http://dbpedia.org/resource/Yellow-throated_marten","http://dbpedia.org/resource/Cristhian_Martínez"
"4","14","VizcaÃ­no (1â\u0080\u00930)","http://dbpedia.org/resource/Ə","http://dbpedia.org/resource/Arodys_Vizcaíno"
"4","15","Cain (10â\u0080\u00939)","http://dbpedia.org/resource/Herman_Cain","http://dbpedia.org/resource/Matt_Cain http://dbpedia.org/resource/Matthew_Thomas_Cain"
"4","16","Minor (3â\u0080\u00932)","http://dbpedia.org/resource/D_minor","http://dbpedia.org/resource/Mike_Minor_(baseball) http://dbpedia.org/resource/Mike_Minor_(Baseball)"
"4","17","Lowe (8â\u0080\u009311)","http://dbpedia.org/resource/Rob_Lowe","http://dbpedia.org/resource/Carolyn_Hughes http://dbpedia.org/resource/Derrick_Lowe http://dbpedia.org/resource/D-lowe http://dbpedia.org/resource/Derek_Lowe"
"4","18","Beachy (6â\u0080\u00932)","http://dbpedia.org/resource/Beachy_Head_Lighthouse","http://dbpedia.org/resource/Brandon_Beachy"
"4","19","Hudson (13â\u0080\u00937)","http://dbpedia.org/resource/Hudson_County,_New_Jersey","http://dbpedia.org/resource/Tim_Hudson http://dbpedia.org/resource/Timothy_Adam_Hudson"
"4","21","Minor (4â\u0080\u00932)","http://dbpedia.org/resource/D_minor","http://dbpedia.org/resource/Mike_Minor_(baseball) http://dbpedia.org/resource/Mike_Minor_(Baseball)"
"4","22","Wells (5â\u0080\u00934)","http://dbpedia.org/resource/Wells_County,_Indiana","http://dbpedia.org/resource/Randy_Wells"
"4","23","Beachy (7â\u0080\u00932)","http://dbpedia.org/resource/Beachy_Head_Lighthouse","http://dbpedia.org/resource/Brandon_Beachy"
"4","24","Capuano (10â\u0080\u009311)","http://dbpedia.org/resource/Mike_Capuano","http://dbpedia.org/resource/Christopher_Frank_Capuano http://dbpedia.org/resource/Chris_Capuano http://dbpedia.org/resource/Christopher_Capuano"
"4","27","HernÃ¡ndez (8â\u0080\u009312)","http://dbpedia.org/resource/Jyske_Bank_Boxen","http://dbpedia.org/resource/Liván_Hernández"
"4","28","Lowe (9â\u0080\u009312)","http://dbpedia.org/resource/Rob_Lowe","http://dbpedia.org/resource/Carolyn_Hughes http://dbpedia.org/resource/Derrick_Lowe http://dbpedia.org/resource/D-lowe http://dbpedia.org/resource/Derek_Lowe"
