"F1: 0.00000","Precision: 0.00000","Recall: 0.00000"
"Col","Row","Value","Submitted URI","Correct URI's"
"1","1","Moldova","http://dbpedia.org/resource/Moldova","http://dbpedia.org/resource/Moldova_national_under-19_football_team"
"1","2","Czech Republic","http://dbpedia.org/resource/Czech_Republic","http://dbpedia.org/resource/Czech_Republic_national_under-20_football_team http://dbpedia.org/resource/Czech_Republic_national_under-19_football_team"
"1","3","Scotland","http://dbpedia.org/resource/Scotland","http://dbpedia.org/resource/Scotland_national_under-19_football_team"
"1","4","Denmark","http://dbpedia.org/resource/Denmark","http://dbpedia.org/resource/Denmark_national_under-19_football_team http://dbpedia.org/resource/Denmark_national_under-18_football_team http://dbpedia.org/resource/Denmark_national_under-20_football_team"
"1","5","Azerbaijan","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/resource/Azerbaijan_national_football_team_U-19 http://dbpedia.org/resource/Azerbaijan_national_under-19_football_team"
"1","6","Austria","http://dbpedia.org/resource/Austria","http://dbpedia.org/resource/Austria_national_under-19_football_team http://dbpedia.org/resource/Austria_national_under-20_football_team"
"1","7","Northern Ireland","http://dbpedia.org/resource/United_Kingdom","http://dbpedia.org/resource/Northern_Ireland_national_under-18_football_team http://dbpedia.org/resource/Northern_Ireland_national_under-19_football_team"
"1","8","Iceland","http://dbpedia.org/resource/Iceland","http://dbpedia.org/resource/Iceland_national_under-19_football_team"
"1","9","Latvia","http://dbpedia.org/resource/Latvia","http://dbpedia.org/resource/Latvia_national_under-19_football_team"
"1","10","Slovenia","http://dbpedia.org/resource/Slovenia","http://dbpedia.org/resource/Slovenia_national_under-19_football_team"
"1","11","Bulgaria","http://dbpedia.org/resource/Bulgaria","http://dbpedia.org/resource/Bulgaria_national_under-19_football_team"
"1","12","Armenia","http://dbpedia.org/resource/Armenia","http://dbpedia.org/resource/Armenia_national_under-19_football_team"
"1","13","Cyprus","http://dbpedia.org/resource/Cyprus","http://dbpedia.org/resource/Cyprus_national_under-19_football_team"
