"F1: 0.00000","Precision: 0.00000","Recall: 0.00000"
"Col","Row","Value","Submitted URI","Correct URI's"
"1","3","MountainWest Sports Network (informally known as The Mtn.) discontinues operations.[112] The channel, a joint venture between the Mountain West Conference, NBCUniversal and CBS Corporation, aired MWC sporting events since its 2006 launch but was plagued by lack of full cable\/satellite coverage in the conference's territory. The closure is also the result of the MWC's ongoing realignment.","http://dbpedia.org/resource/Canadian_Broadcasting_Corporation","http://dbpedia.org/resource/MountainWest_Sports_Network http://dbpedia.org/resource/The_mtn. http://dbpedia.org/resource/Mountain_West_Conference_Network http://dbpedia.org/resource/Mtn. http://dbpedia.org/resource/Mountain_west_network http://dbpedia.org/resource/The_Mtn."
"1","5","DirecTV's 24-hour 3D channel n3D (which launched in July 2010 as the first 3D television channel to operate 24 hours a day) cuts back its programming hours to become a part-time service, citing lack of programming available in the 3D format.[114]","http://dbpedia.org/resource/CNN","http://dbpedia.org/resource/Hughes_Electronics_Corporation http://dbpedia.org/resource/DirecTV_Group,_Inc. http://dbpedia.org/resource/Direct_TV http://dbpedia.org/resource/Hughes_Electronics_Corp. http://dbpedia.org/resource/DIRECTV,_Inc. http://dbpedia.org/resource/The_DirecTV_Group,_Inc. http://dbpedia.org/resource/Satellite_Direct_Magazine http://dbpedia.org/resource/DirectTV http://dbpedia.org/resource/Access_DirecTV http://dbpedia.org/resource/Directv.com http://dbpedia.org/resource/OnDIRECTV http://dbpedia.org/resource/The_DirecTV_Group http://dbpedia.org/resource/DirecTV_Caribbean http://dbpedia.org/resource/DIRECTV_Group,_Inc. http://dbpedia.org/resource/DIRECTV http://dbpedia.org/resource/DirecTv http://dbpedia.org/resource/DirecTV http://dbpedia.org/resource/Criticism_of_DirecTV http://dbpedia.org/resource/Directv http://dbpedia.org/resource/DirecTV_Group http://dbpedia.org/resource/DirectTV_Group http://dbpedia.org/resource/DIRECTV_Group http://dbpedia.org/resource/DirecTV_Latin_America http://dbpedia.org/resource/DIRECTV_Group_Inc. http://dbpedia.org/resource/DirecTV,_Inc. http://dbpedia.org/resource/Direct_tv http://dbpedia.org/resource/Directtv http://dbpedia.org/resource/Hughes_Electronics http://dbpedia.org/resource/Sat-Go http://dbpedia.org/resource/Lap_giraffe http://dbpedia.org/resource/Satellite_Direct"
"1","6","Low-powered Fox affiliate KNPN-LD\/St. Joseph, Missouri is launched by locally based media firm News-Press & Gazette Company. Along with airing 22 hours of local newscasts weekly, it simulcasts two channels that were formerly cable-exclusive (local news and weather channel News-Press 3 NOW and CW Plus affiliate St. Joseph CW 6) on its second and third digital subchannels, and carries Telemundo on a fourth subchannel. It replaces WDAF\/Kansas City as the default Fox affiliate for Suddenlink, Dish Network, and DirecTV subscribers (DirecTV will not add the station until July 1).[115][116]","http://dbpedia.org/resource/News-Press_&_Gazette_Company","http://dbpedia.org/resource/Low_power_television http://dbpedia.org/resource/Low-power_radio http://dbpedia.org/resource/Micro-broadcasting http://dbpedia.org/resource/Low-power_FM http://dbpedia.org/resource/Micropower_broadcasting http://dbpedia.org/resource/Low-power_television http://dbpedia.org/resource/Low_power_broadcasting http://dbpedia.org/resource/Low-power_TV http://dbpedia.org/resource/Low_power_radio_station http://dbpedia.org/resource/Low-powered_broadcasting http://dbpedia.org/resource/LPTV http://dbpedia.org/resource/Low-power_AM http://dbpedia.org/resource/LPFM http://dbpedia.org/resource/Micro-power_broadcasting http://dbpedia.org/resource/LPTV_class_A http://dbpedia.org/resource/Low_power_FM http://dbpedia.org/resource/Low_power_fm http://dbpedia.org/resource/Low-power_TV_station http://dbpedia.org/resource/LPAM http://dbpedia.org/resource/Low-power_broadcasting"
"1","8","The Walt Disney Company announces that, beginning in 2015, it will impose limits on advertising for food and beverage products across its kid-targeted media properties (TV, radio, and internet) to only accept ads for those that meet certain nutritional guidelines. The change affects Disney-owned commercial-free channels Disney Channel and Disney Junior (which limit traditional advertising to underwriter sponsorships) and children's programming on ad-supported channels including ABC Family and Disney XD (ABC's educational and informational programming syndication provider has not sold any child-targeted ads in that block since it took over).[118]","http://dbpedia.org/resource/Warner_Music_Group","http://dbpedia.org/resource/TWDC http://dbpedia.org/resource/Disnwey http://dbpedia.org/resource/Disney30_Countdown http://dbpedia.org/resource/Walt_Disney_Studios_(California) http://dbpedia.org/resource/Disney_(company) http://dbpedia.org/resource/DISNEY http://dbpedia.org/resource/The_Walt_Disney_Corporation http://dbpedia.org/resource/Disney30 http://dbpedia.org/resource/Disney_Educational_Productions http://dbpedia.org/resource/Disney_Communications http://dbpedia.org/resource/Disney_30 http://dbpedia.org/resource/Classic_Disney_Cartoon_Era http://dbpedia.org/resource/Walt_Disney_Productions http://dbpedia.org/resource/The_Walt_Di$ney_Company http://dbpedia.org/resource/IFLD http://dbpedia.org/resource/Disney_Editions http://dbpedia.org/resource/Disney_Insider http://dbpedia.org/resource/The_Disney_Company http://dbpedia.org/resource/Disney http://dbpedia.org/resource/Steamboat_Ventures http://dbpedia.org/resource/Disney_corporation http://dbpedia.org/resource/Disney30.com http://dbpedia.org/resource/Walt_Disney_Corporation http://dbpedia.org/resource/Disney_Corporation http://dbpedia.org/resource/Walt_Disney_Productions,_Ltd. http://dbpedia.org/resource/Walt_Disney_Co. http://dbpedia.org/resource/The_Walt_Disney_Company_History http://dbpedia.org/resource/Walt_Disney_Studios_California http://dbpedia.org/resource/Disney_Enterprises,_Inc. http://dbpedia.org/resource/Disney_30_Countdown http://dbpedia.org/resource/Walt_Disney_company http://dbpedia.org/resource/The_Walt_Disney_Company http://dbpedia.org/resource/Disney_Company http://dbpedia.org/resource/The_Disney_Brothers_Studio http://dbpedia.org/resource/Walt_Disney_Company http://dbpedia.org/resource/History_of_The_Walt_Disney_Company http://dbpedia.org/resource/Dispney http://dbpedia.org/resource/Mousewitz http://dbpedia.org/resource/Dinsey http://dbpedia.org/resource/The_Walt_Disney_Co. http://dbpedia.org/resource/Disney_Media_Networks http://dbpedia.org/resource/Disney' http://dbpedia.org/resource/Di.sn http://dbpedia.org/resource/Walt_Disney_Corp."
"1","9","DirecTV removes WABI-TV\/Bangor, Maine (which carries CBS and The CW) and WCJB-TV\/Gainesville, Florida (which carries ABC and The CW) after it fails to reach a carriage deal with their owner Diversified Communications, claiming the company wanted 300% more than their previous retransmission consent agreement.[119]","http://dbpedia.org/resource/BHC_Communications","http://dbpedia.org/resource/Hughes_Electronics_Corporation http://dbpedia.org/resource/DirecTV_Group,_Inc. http://dbpedia.org/resource/Direct_TV http://dbpedia.org/resource/Hughes_Electronics_Corp. http://dbpedia.org/resource/DIRECTV,_Inc. http://dbpedia.org/resource/The_DirecTV_Group,_Inc. http://dbpedia.org/resource/Satellite_Direct_Magazine http://dbpedia.org/resource/DirectTV http://dbpedia.org/resource/Access_DirecTV http://dbpedia.org/resource/Directv.com http://dbpedia.org/resource/OnDIRECTV http://dbpedia.org/resource/The_DirecTV_Group http://dbpedia.org/resource/DirecTV_Caribbean http://dbpedia.org/resource/DIRECTV_Group,_Inc. http://dbpedia.org/resource/DIRECTV http://dbpedia.org/resource/DirecTv http://dbpedia.org/resource/DirecTV http://dbpedia.org/resource/Criticism_of_DirecTV http://dbpedia.org/resource/Directv http://dbpedia.org/resource/DirecTV_Group http://dbpedia.org/resource/DirectTV_Group http://dbpedia.org/resource/DIRECTV_Group http://dbpedia.org/resource/DirecTV_Latin_America http://dbpedia.org/resource/DIRECTV_Group_Inc. http://dbpedia.org/resource/DirecTV,_Inc. http://dbpedia.org/resource/Direct_tv http://dbpedia.org/resource/Directtv http://dbpedia.org/resource/Hughes_Electronics http://dbpedia.org/resource/Sat-Go http://dbpedia.org/resource/Lap_giraffe http://dbpedia.org/resource/Satellite_Direct"
"1","10","Hoak Media blocks access to 14 of its stations from Dish Network due to an unresolved carriage dispute in which Dish alleges that Hoak asked for a 200% rate increase for carriage of its stations and demanded that the satellite provider eliminate its controversial AutoHop commercial-skipping DVR feature.[120] Hoak's signals were restored on Dish by June 14.[121]","http://dbpedia.org/resource/Retransmission_consent","http://dbpedia.org/resource/Hoak_Media http://dbpedia.org/resource/Hoak_Media_Corporation"
"1","11","Good Morning America host Robin Roberts reveals to viewers that she has a rare blood disease known as Myelodysplastic syndrome and that her sister, WWL-TV\/New Orleans anchor Sally-Ann Roberts, will be her donor for a bone marrow transplant that will take place in the fall. She will continue in her role as the show's co-host during her treatments.[122][123]","http://dbpedia.org/resource/Fourth_wall","http://dbpedia.org/resource/Good_Afternoon_America http://dbpedia.org/resource/Good_Morning_America http://dbpedia.org/resource/Good_Morning,_America http://dbpedia.org/resource/Good_Morning_America_Sunday http://dbpedia.org/resource/Taryn_Winter_Brill http://dbpedia.org/resource/GMA_in_the_Afternoon http://dbpedia.org/resource/Good_Morning_America_Weekend_Edition http://dbpedia.org/resource/Good_Morning_America_Weekend"
"1","12","Warner Bros. Television acquires Alloy Entertainment from investment group ZelnickMedia, with Warner closing the deal in the fourth quarter and retaining Alloy's staff. Both companies are co-producers on five shows: Gossip Girl, The Vampire Diaries, Pretty Little Liars, The Lying Game and 666 Park Avenue.[124]","http://dbpedia.org/resource/Warner_Bros.","http://dbpedia.org/resource/Warner_Brothers_Television http://dbpedia.org/resource/Warner_Bros._Domestic_Television http://dbpedia.org/resource/Warner_Bros_Television http://dbpedia.org/resource/Warner_Brothers_TV http://dbpedia.org/resource/Warner_Bros._Domestic_Pay_TV_Cable_&_Network_Features http://dbpedia.org/resource/Warner_Bros._Television http://dbpedia.org/resource/Warner_Horizon_Television http://dbpedia.org/resource/Warner_Bros._TV http://dbpedia.org/resource/Warner_Bros._Domestic_Television_Distribution"
"1","15","The Walt Disney Company launches apps for Apple iOS devices (iPhone, iPad and iPod Touch) offering live streams of Disney Channel, Disney XD and Disney Junior to Comcast Xfinity subscribers, as well as on-demand content from the kid-oriented cable channels (including a limited array of on-demand content accessible to non-Comcast subscribers).[128]","http://dbpedia.org/resource/IPhone","http://dbpedia.org/resource/TWDC http://dbpedia.org/resource/Disnwey http://dbpedia.org/resource/Disney30_Countdown http://dbpedia.org/resource/Walt_Disney_Studios_(California) http://dbpedia.org/resource/Disney_(company) http://dbpedia.org/resource/DISNEY http://dbpedia.org/resource/The_Walt_Disney_Corporation http://dbpedia.org/resource/Disney30 http://dbpedia.org/resource/Disney_Educational_Productions http://dbpedia.org/resource/Disney_Communications http://dbpedia.org/resource/Disney_30 http://dbpedia.org/resource/Classic_Disney_Cartoon_Era http://dbpedia.org/resource/Walt_Disney_Productions http://dbpedia.org/resource/The_Walt_Di$ney_Company http://dbpedia.org/resource/IFLD http://dbpedia.org/resource/Disney_Editions http://dbpedia.org/resource/Disney_Insider http://dbpedia.org/resource/The_Disney_Company http://dbpedia.org/resource/Disney http://dbpedia.org/resource/Steamboat_Ventures http://dbpedia.org/resource/Disney_corporation http://dbpedia.org/resource/Disney30.com http://dbpedia.org/resource/Walt_Disney_Corporation http://dbpedia.org/resource/Disney_Corporation http://dbpedia.org/resource/Walt_Disney_Productions,_Ltd. http://dbpedia.org/resource/Walt_Disney_Co. http://dbpedia.org/resource/The_Walt_Disney_Company_History http://dbpedia.org/resource/Walt_Disney_Studios_California http://dbpedia.org/resource/Disney_Enterprises,_Inc. http://dbpedia.org/resource/Disney_30_Countdown http://dbpedia.org/resource/Walt_Disney_company http://dbpedia.org/resource/The_Walt_Disney_Company http://dbpedia.org/resource/Disney_Company http://dbpedia.org/resource/The_Disney_Brothers_Studio http://dbpedia.org/resource/Walt_Disney_Company http://dbpedia.org/resource/History_of_The_Walt_Disney_Company http://dbpedia.org/resource/Dispney http://dbpedia.org/resource/Mousewitz http://dbpedia.org/resource/Dinsey http://dbpedia.org/resource/The_Walt_Disney_Co. http://dbpedia.org/resource/Disney_Media_Networks http://dbpedia.org/resource/Disney' http://dbpedia.org/resource/Di.sn http://dbpedia.org/resource/Walt_Disney_Corp."
"1","21","ESPN launches espnW, a live streaming website spun off from ESPN3 and dedicated to women's sports; the debut coincides with the 40th anniversary of Title IX, the federal law commonly regarded as the springboard for increased involvement of females in athletics.[134]","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/ESPN_NASCAR http://dbpedia.org/resource/ESPNHD http://dbpedia.org/resource/Espn http://dbpedia.org/resource/Es.pn http://dbpedia.org/resource/Page_2 http://dbpedia.org/resource/ESPN_the_ocho http://dbpedia.org/resource/BSPN_HD http://dbpedia.org/resource/ESPN_Nascar http://dbpedia.org/resource/ESPN_HD http://dbpedia.org/resource/ABC_Sports_Network http://dbpedia.org/resource/ESPN_High_Definition_Television http://dbpedia.org/resource/ESPN_USA http://dbpedia.org/resource/ESPN_Network http://dbpedia.org/resource/Entertainment_Sports_Programming_Network http://dbpedia.org/resource/ESpn http://dbpedia.org/resource/John_A._Walsh http://dbpedia.org/resource/The_Entertainment_and_Sports_Programming_Network http://dbpedia.org/resource/ESPN http://dbpedia.org/resource/Entertainment_and_Sports_Programming_Network http://dbpedia.org/resource/EPSN http://dbpedia.org/resource/ESPN_(United_States) http://dbpedia.org/resource/BSPNHD http://dbpedia.org/resource/E.S.P.N. http://dbpedia.org/resource/ESPN1"
