"F1: 0.15789","Precision: 0.15789","Recall: 0.15789"
"Col","Row","Value","Submitted URI","Correct URI's"
"1","2","LA Galaxy","http://dbpedia.org/resource/Guardians_of_the_Galaxy_Vol._2","http://dbpedia.org/resource/L.A._Riot_Squad http://dbpedia.org/resource/Cozmo,_the_LA_Galaxy_Mascot http://dbpedia.org/resource/L.A._Galaxy http://dbpedia.org/resource/Los_Angeles_Galaxy http://dbpedia.org/resource/Galaxians_(supporters_group) http://dbpedia.org/resource/LA_Riot_Squad http://dbpedia.org/resource/La_Galaxy http://dbpedia.org/resource/LA_Galaxy http://dbpedia.org/resource/La_galaxy http://dbpedia.org/resource/Angel_City_Brigade http://dbpedia.org/resource/UFO_(supporters_group) http://dbpedia.org/resource/Galaxy_Ambassadors"
"1","3","D.C. United (E1)","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/D.C._United http://dbpedia.org/resource/Dc_United http://dbpedia.org/resource/D_C_United http://dbpedia.org/resource/Dc_united http://dbpedia.org/resource/D.C._Untied http://dbpedia.org/resource/D._C._United http://dbpedia.org/resource/2017_D.C._United_season http://dbpedia.org/resource/DC_United http://dbpedia.org/resource/Talon_the_Eagle http://dbpedia.org/resource/The_Dark_Cyde http://dbpedia.org/resource/D.C._United_Park"
"1","4","Real Salt Lake","http://dbpedia.org/resource/Salt_Lake_City","http://dbpedia.org/resource/Real_salt_lake http://dbpedia.org/resource/Frank_Castle_Brigade http://dbpedia.org/resource/The_Royal_Pride http://dbpedia.org/resource/The_Loyalists_(Real_Salt_Lake) http://dbpedia.org/resource/Real_Salt_Lake_FC http://dbpedia.org/resource/Royal_Army_(Real_Salt_Lake) http://dbpedia.org/resource/Section_26 http://dbpedia.org/resource/La_Union_Real http://dbpedia.org/resource/Rogue_Cavaliers_Brigade http://dbpedia.org/resource/Real_Salt_Lake_City http://dbpedia.org/resource/La_Barra_Real http://dbpedia.org/resource/Real_Salt_Lake"
"1","5","New England Revolution","http://dbpedia.org/resource/English_Civil_War","http://dbpedia.org/resource/MPS_Boston http://dbpedia.org/resource/2012_New_england_revolution http://dbpedia.org/resource/NE_Revolution http://dbpedia.org/resource/NE_Revs http://dbpedia.org/resource/New_England_Revolution http://dbpedia.org/resource/The_Fort_(Gillette_Stadium) http://dbpedia.org/resource/New_england_revolution"
"1","6","FC Dallas","http://dbpedia.org/resource/Cameron_Dallas","http://dbpedia.org/resource/FC_Dallas_(MLS) http://dbpedia.org/resource/F.C._Dallas http://dbpedia.org/resource/F.C._Dallas_96 http://dbpedia.org/resource/Football_Club_Dallas_96 http://dbpedia.org/resource/Fc_dallas http://dbpedia.org/resource/Dallas_Burn http://dbpedia.org/resource/FC_Dallas http://dbpedia.org/resource/Dallas_F.C. http://dbpedia.org/resource/Football_Club_Dallas http://dbpedia.org/resource/F._C._Dallas http://dbpedia.org/resource/FC_Dallas_96 http://dbpedia.org/resource/Dallas_FC"
"1","7","Columbus Crew","http://dbpedia.org/resource/Chris_Columbus_(filmmaker)","http://dbpedia.org/resource/Columbus_Crew_U-20 http://dbpedia.org/resource/Legion.04 http://dbpedia.org/resource/Legion_04 http://dbpedia.org/resource/Columbus_Crew http://dbpedia.org/resource/List_of_Columbus_Crew_managers http://dbpedia.org/resource/Columbus_crew http://dbpedia.org/resource/List_of_Columbus_Crew_coaches http://dbpedia.org/resource/La_Turbina_Amarilla http://dbpedia.org/resource/Crew_SC http://dbpedia.org/resource/Colombus_Crew http://dbpedia.org/resource/Columbus_Crew_Jrs. http://dbpedia.org/resource/Columbus_Crew_SC http://dbpedia.org/resource/Crew_Supporters_Union"
"1","8","New York Red Bulls","http://dbpedia.org/resource/New_York_City","http://dbpedia.org/resource/Red_Bulls_New_York http://dbpedia.org/resource/New_jersey_red_bulls http://dbpedia.org/resource/New_York_Red_Bulls http://dbpedia.org/resource/Redbull_ny http://dbpedia.org/resource/Edivaldo_da_Silva http://dbpedia.org/resource/Metro_United http://dbpedia.org/resource/New_York_Red_Bull http://dbpedia.org/resource/MetroStars_/_Red_Bull_New_York http://dbpedia.org/resource/RB_New_York http://dbpedia.org/resource/Tulio_(fake) http://dbpedia.org/resource/New_York_Bulls http://dbpedia.org/resource/MetroStars http://dbpedia.org/resource/New_York/New_Jersey_MetroStars http://dbpedia.org/resource/New_York_New_Jersey_MetroStars http://dbpedia.org/resource/Ny_red_bulls http://dbpedia.org/resource/New_Jersey_MetroStars http://dbpedia.org/resource/RBNY http://dbpedia.org/resource/New_York-New_Jersey_Metrostars http://dbpedia.org/resource/New_York_MetroStars http://dbpedia.org/resource/Red_Bull_NY http://dbpedia.org/resource/Red_Bull_New_York http://dbpedia.org/resource/Junhino/Tulio http://dbpedia.org/resource/MetroStars_Black http://dbpedia.org/resource/New_York-New_Jersey_MetroStars http://dbpedia.org/resource/New_York/New_Jersey_Metrostars http://dbpedia.org/resource/Metro_Stars http://dbpedia.org/resource/New_York_RB http://dbpedia.org/resource/NY/NJ_MetroStars http://dbpedia.org/resource/NY/NJ_Metrostars"
"1","10","Sporting Kansas City","http://dbpedia.org/resource/Kansas_City,_Missouri","http://dbpedia.org/resource/Kansas_City_Wiz http://dbpedia.org/resource/Sporting_Kansas_City http://dbpedia.org/resource/Sporting_KC http://dbpedia.org/resource/KC_Wizards http://dbpedia.org/resource/Kc_wizards http://dbpedia.org/resource/Kansas_City_Wizards"
"1","11","Portland Timbers","http://dbpedia.org/resource/Portland,_Oregon","http://dbpedia.org/resource/Major_League_Soccer_Portland_2011 http://dbpedia.org/resource/Portland_Timbers http://dbpedia.org/resource/Portland_Timbers_(MLS) http://dbpedia.org/resource/Portland_Major_League_Soccer_2011"
"1","12","Philadelphia Union","http://dbpedia.org/resource/Philadelphia","http://dbpedia.org/resource/Major_League_Soccer_Philadelphia_2010 http://dbpedia.org/resource/Zolos http://dbpedia.org/resource/Philadelphia_Union http://dbpedia.org/resource/Philadelphia_Major_League_Soccer_team http://dbpedia.org/resource/Philly_MLS http://dbpedia.org/resource/Philadelphia_MLS_team http://dbpedia.org/resource/Philadelphia_MLS http://dbpedia.org/resource/Philadelphia_Major_League_Soccer_Team http://dbpedia.org/resource/Phila_Union http://dbpedia.org/resource/Keystone_Sports_&_Entertainment,_LLC http://dbpedia.org/resource/Philly_Union http://dbpedia.org/resource/Philadelphia_Zolos http://dbpedia.org/resource/Philadelphia_MLS_2010"
"1","13","Toronto FC","http://dbpedia.org/resource/Toronto","http://dbpedia.org/resource/TorontoFC http://dbpedia.org/resource/Toronto_fc http://dbpedia.org/resource/International_Toronto_Football_Club http://dbpedia.org/resource/Toronto_MLS_expansion http://dbpedia.org/resource/Toronto_FC http://dbpedia.org/resource/Inter_Toronto_FC http://dbpedia.org/resource/FC_Toronto http://dbpedia.org/resource/Toronto_Fc http://dbpedia.org/resource/Toronto_F.C. http://dbpedia.org/resource/T_FC http://dbpedia.org/resource/Toronto_FC_Player_of_the_Year http://dbpedia.org/resource/Toronto_Football_Club"
"1","14","Houston Dynamo","http://dbpedia.org/resource/Kevin_Houston_(mathematician)","http://dbpedia.org/resource/Texian_Army_(supporters_group) http://dbpedia.org/resource/Houston_MLS http://dbpedia.org/resource/Houston_1836 http://dbpedia.org/resource/Houston_Dynamo http://dbpedia.org/resource/Brickwall_Firm http://dbpedia.org/resource/El_Batallón http://dbpedia.org/resource/Dynamo_Houston"
"1","15","Chicago Fire","http://dbpedia.org/resource/Chicago_Fire_(TV_series)","http://dbpedia.org/resource/Chicago_Fire_Soccer_Club/version_2 http://dbpedia.org/resource/Cf97 http://dbpedia.org/resource/Chicago_Fire_SC http://dbpedia.org/resource/Chicago_Fire_S.C. http://dbpedia.org/resource/Chicago_Fire_(soccer) http://dbpedia.org/resource/Chicago_Fire_U-20 http://dbpedia.org/resource/Chicago_Fire_(team) http://dbpedia.org/resource/Chicago_Fire_Soccer_Club http://dbpedia.org/resource/Chicago_Fire_(MLS) http://dbpedia.org/resource/CF97 http://dbpedia.org/resource/The_Chicago_Fire_Soccer_Club"
"1","17","Colorado Rapids","http://dbpedia.org/resource/Wisconsin_Rapids,_Wisconsin","http://dbpedia.org/resource/Colorado_Rapids http://dbpedia.org/resource/Colorado_Rapids_Soccer_Club http://dbpedia.org/resource/Centennial_38 http://dbpedia.org/resource/Arsenal_Colorado_FC http://dbpedia.org/resource/Colorado_Arsenal"
"1","18","San Jose Earthquakes","http://dbpedia.org/resource/San_Jose,_California","http://dbpedia.org/resource/San_José_Earthquakes http://dbpedia.org/resource/Quakes http://dbpedia.org/resource/San_Jose_Clash http://dbpedia.org/resource/San_Jose_Clash/Earthquakes http://dbpedia.org/resource/San_José_Clash http://dbpedia.org/resource/San_Jose_Earthquakes http://dbpedia.org/resource/Earthquakes_Soccer,_LLC http://dbpedia.org/resource/SJ_Earthquakes http://dbpedia.org/resource/San_Jose_Quakes http://dbpedia.org/resource/San_Jose_Earthquakes_(MLS) http://dbpedia.org/resource/SJ_Quakes"
"1","19","Montreal Impact","http://dbpedia.org/resource/Montreal","http://dbpedia.org/resource/Impact_de_Montréal http://dbpedia.org/resource/L'Impact http://dbpedia.org/resource/Montreal_Impact http://dbpedia.org/resource/Montreal_Impact_MLS_2012 http://dbpedia.org/resource/Montreal_MLS_Expansion http://dbpedia.org/resource/Montreal_MLS_expansion http://dbpedia.org/resource/Montreal_MLS_2012 http://dbpedia.org/resource/Impact_de_Montreal http://dbpedia.org/resource/Montreal_Impact_(MLS) http://dbpedia.org/resource/Montréal_Impact http://dbpedia.org/resource/IMFC http://dbpedia.org/resource/Montreal_Impact_(USL)"
