"F1: 0.67368","Precision: 0.67368","Recall: 0.67368"
"Col","Row","Value","Submitted URI","Correct URI's"
"3","9","Alan White","http://dbpedia.org/resource/Alan_White_(Australian_footballer)","http://dbpedia.org/resource/Alan_White_(novelist)"
"3","12","The Lone Ranger","http://dbpedia.org/resource/Clayton_Moore","http://dbpedia.org/resource/Lone_Ranger http://dbpedia.org/resource/The_Lone_Ranger http://dbpedia.org/resource/Silver_(horse) http://dbpedia.org/resource/Lone_Ranger_(comics) http://dbpedia.org/resource/The_Lone_Ranger_(film_project) http://dbpedia.org/resource/The_lone_ranger http://dbpedia.org/resource/Hi-yo,_Silver,_away!"
"3","17","The Little Damozel","http://dbpedia.org/resource/Little_Tony_(singer)","http://dbpedia.org/resource/The_Little_Damozel_(play)"
"3","20","Richard II","http://dbpedia.org/resource/Richard_III_of_England","http://dbpedia.org/resource/Sir_Stephen_Scroop http://dbpedia.org/resource/King_Richard_the_Second http://dbpedia.org/resource/The_Tragedy_of_King_Richard_the_Second http://dbpedia.org/resource/Richard_II,_Part_Two http://dbpedia.org/resource/Richard_II_(play) http://dbpedia.org/resource/The_tragedie_of_King_Richard_the_second http://dbpedia.org/resource/Richard_II_(Shakespeare) http://dbpedia.org/resource/Plot_and_brief_characterisation_of_Richard_II http://dbpedia.org/resource/Sir_Pierce_of_Exton"
"3","23","Stephen King","http://dbpedia.org/resource/Stephen_Hawking","http://dbpedia.org/resource/Steven_King_Accident http://dbpedia.org/resource/List_of_cultural_references_to_Stephen_King http://dbpedia.org/resource/The_Works_of_Stephen_King http://dbpedia.org/resource/List_of_times_the_name_""Stephen_King""_or_a_Stephen_King_work_is_mentioned_in_some_context http://dbpedia.org/resource/Stephen_King http://dbpedia.org/resource/King,_Stephen http://dbpedia.org/resource/Naomi_Rachel http://dbpedia.org/resource/Naomi_King http://dbpedia.org/resource/Stephen_king http://dbpedia.org/resource/Stephen_king_accident http://dbpedia.org/resource/John_Swithen http://dbpedia.org/resource/Stephen_Edwin_King http://dbpedia.org/resource/List_of_books_that_stephen_king_has_written http://dbpedia.org/resource/Stephen_E._King http://dbpedia.org/resource/Stephan_king"
"3","24","Milton Lott","http://dbpedia.org/resource/Pixie_Lott","http://dbpedia.org/resource/Milton_Lott"
"3","35","Edward J. Mason","http://dbpedia.org/resource/Edward_Sagendorph_Mason","http://dbpedia.org/resource/Edward_J._Mason"
"3","36","Bob Brooks","http://dbpedia.org/resource/Robert_H._Brooks","http://dbpedia.org/resource/Bob_Brooks"
"3","41","Anthony Scott Veitch","http://dbpedia.org/resource/Tony_Scott","http://dbpedia.org/resource/Anthony_Scott_Veitch"
"3","46","Das indische Grabmal","http://dbpedia.org/resource/Nandita_Das","http://dbpedia.org/resource/The_Indian_Tomb_(novel) http://dbpedia.org/resource/Das_indische_Grabmal_(novel)"
"3","47","Ray Russell","http://dbpedia.org/resource/Ray_Russell_(musician)","http://dbpedia.org/resource/Ray_Russell"
"3","48","Arthur Marx","http://dbpedia.org/resource/Harpo_Marx","http://dbpedia.org/resource/Arthur_Marx http://dbpedia.org/resource/Arthur_Julius_Marx http://dbpedia.org/resource/Arthur_Marx_(writer)"
"3","50","Falkland Cary","http://dbpedia.org/resource/Lucius_Cary,_2nd_Viscount_Falkland","http://dbpedia.org/resource/Falkland_Cary"
"3","52","The Hundred-Foot Journey","http://dbpedia.org/resource/The_Hundred-Foot_Journey_(film)","http://dbpedia.org/resource/The_100_ft_Journey http://dbpedia.org/resource/The_Hundred_Foot_Journey http://dbpedia.org/resource/100_Foot_Journey http://dbpedia.org/resource/The_Hundred-Foot_Journey http://dbpedia.org/resource/100_ft_Journey http://dbpedia.org/resource/The_100_foot_Journey http://dbpedia.org/resource/100ft_Journey"
"3","53","The Hunchback of Notre-Dame","http://dbpedia.org/resource/Esmeralda_(The_Hunchback_of_Notre-Dame)","http://dbpedia.org/resource/Grangoire http://dbpedia.org/resource/Hunchback_of_Notre-Dame_(ballet) http://dbpedia.org/resource/The_Hunchback_of_Notre-Dame_(ballet) http://dbpedia.org/resource/The_Hunchback_of_Notra_Dam http://dbpedia.org/resource/Hunchback_of_Notre-Dame http://dbpedia.org/resource/THOND http://dbpedia.org/resource/Notre-Dame_of_Paris_(novel) http://dbpedia.org/resource/Notre-Dame_de_Paris_(novel) http://dbpedia.org/resource/The_Hunchback_of_Notre_Dame_(novel) http://dbpedia.org/resource/Hunchback_of_Notre_Dame http://dbpedia.org/resource/Notre_Dame_de_Paris_(novel) http://dbpedia.org/resource/Hunchback_of_notre_dame http://dbpedia.org/resource/The_Hunchback_of_Notre_Dame http://dbpedia.org/resource/The_Hunchback_of_Notre_Dame_(ballet) http://dbpedia.org/resource/The_Hunchback_Of_Notre_Dame http://dbpedia.org/resource/The_Hunchback_of_Notre_Dam http://dbpedia.org/resource/Le_bossu_de_notre_dame http://dbpedia.org/resource/The_Hunchback_of_Notre-Dame"
"3","62","The Break","http://dbpedia.org/resource/Tie_Break_(Austrian_band)","http://dbpedia.org/resource/Le_Trou_(novel) http://dbpedia.org/resource/The_Break_(novel)"
"3","64","Charles William Gordon","http://dbpedia.org/resource/Charles_George_Gordon","http://dbpedia.org/resource/Charles_William_Gordon http://dbpedia.org/resource/Ralph_Connor http://dbpedia.org/resource/Charles_W._Gordon http://dbpedia.org/resource/Ralph_Conner http://dbpedia.org/resource/CONNOR,_Ralph http://dbpedia.org/resource/Charles_W._Gordon_(Ralph_Connor)"
"3","65","The Legend of Sleepy Hollow","http://dbpedia.org/resource/The_Adventures_of_Ichabod_and_Mr._Toad","http://dbpedia.org/resource/Baltus_Van_Tassel http://dbpedia.org/resource/Legend_of_sleepy_hollow http://dbpedia.org/resource/Headless_Horseman_(2007) http://dbpedia.org/resource/Legend_of_Sleepy_Hallow http://dbpedia.org/resource/Brom_Bones http://dbpedia.org/resource/Abraham_Van_Brunt http://dbpedia.org/resource/The_Legend_of_Sleepy_Hollow_(film) http://dbpedia.org/resource/Legend_of_Sleepy_Hollow http://dbpedia.org/resource/The_legend_of_sleepy_hollow http://dbpedia.org/resource/Brom_Van_Brunt http://dbpedia.org/resource/Legend_of_the_sleepy_hollow http://dbpedia.org/resource/The_Legend_of_Sleepy_Hollow http://dbpedia.org/resource/Katrina_Van_Tassel"
"3","67","To Have and Have Not","http://dbpedia.org/resource/Henrik_Have","http://dbpedia.org/resource/To_Have_and_To_Have_Not http://dbpedia.org/resource/To_Have_and_Have_Not http://dbpedia.org/resource/To_have_and_to_have_not http://dbpedia.org/resource/To_Have_and_Have_Not_(novel) http://dbpedia.org/resource/To_Have_And_Have_Not http://dbpedia.org/resource/To_have_and_have_not"
"3","76","Sinbad the Sailor","http://dbpedia.org/resource/Sinbad_the_Sailor_(1947_film)","http://dbpedia.org/resource/Sinbad_the_Seaman http://dbpedia.org/resource/Voyages_of_Sindbad_the_Sailor http://dbpedia.org/resource/Sinbad_the_sailor http://dbpedia.org/resource/Sinbad http://dbpedia.org/resource/Es-Sindibad http://dbpedia.org/resource/Sandbād http://dbpedia.org/resource/Sindbad_the_sailor http://dbpedia.org/resource/Sindbad_the_Seaman http://dbpedia.org/resource/Sindbad http://dbpedia.org/resource/Sinbad_the_Sailor http://dbpedia.org/resource/Sindbad_the_Sailor http://dbpedia.org/resource/Sindubad http://dbpedia.org/resource/Sinbad_Trilogy http://dbpedia.org/resource/As-Sindibād"
"3","82","Hubert Henry Davies","http://dbpedia.org/resource/W._H._Davies","http://dbpedia.org/resource/Hubert_Davies http://dbpedia.org/resource/Hubert_Henry_Davies"
"3","85","The Garden of the Finzi-Continis","http://dbpedia.org/resource/The_Garden_of_the_Finzi-Continis_(film)","http://dbpedia.org/resource/The_Garden_of_the_Finzi-Continis http://dbpedia.org/resource/Il_giardino_dei_Finzi_Contini http://dbpedia.org/resource/Il_giardino_dei_Finzi-Contini http://dbpedia.org/resource/Garden_of_the_Finzi_Continis http://dbpedia.org/resource/Il_Giardino_dei_Finzi-Contini http://dbpedia.org/resource/The_Garden_of_the_Finzi_Continis"
"3","86","Leon Gordon","http://dbpedia.org/resource/Judah_Leib_Gordon","http://dbpedia.org/resource/Leon_Gordon_(screenwriter) http://dbpedia.org/resource/Leon_Gordon_(writer) http://dbpedia.org/resource/Leon_Gordon_(producer) http://dbpedia.org/resource/Leon_Lilly http://dbpedia.org/resource/Leon_Gordon_(playwright)"
"3","87","Roy Huggins","http://dbpedia.org/resource/William_Huggins","http://dbpedia.org/resource/Roy_Huggins"
"3","93","The Flintstones","http://dbpedia.org/resource/Fred_Flintstone","http://dbpedia.org/resource/List_of_The_Flintstones_characters http://dbpedia.org/resource/Flinstones http://dbpedia.org/resource/The_Flintstones_(1980) http://dbpedia.org/resource/The_Flintstones_(Fox_TV_series) http://dbpedia.org/resource/The_Flintstones_Fox http://dbpedia.org/resource/The_Flagstones http://dbpedia.org/resource/Baby_Puss_(The_Flintstones) http://dbpedia.org/resource/The_Flinstones http://dbpedia.org/resource/Hollyrock http://dbpedia.org/resource/Yaba_Daba_Doo http://dbpedia.org/resource/The_Flintstones http://dbpedia.org/resource/Flintstones http://dbpedia.org/resource/Yabadabadoo http://dbpedia.org/resource/The_Flinstones_(2013_TV_series) http://dbpedia.org/resource/Loyal_Order_of_Water_Buffaloes http://dbpedia.org/resource/Overview_of_The_Flintstones http://dbpedia.org/resource/Mr._Slate http://dbpedia.org/resource/Flintstones,_The http://dbpedia.org/resource/Hoppy_(The_Flintstones) http://dbpedia.org/resource/The_Flintstones_(2013) http://dbpedia.org/resource/Loyal_Order_of_Water_Buffaloes_Lodge_No._26 http://dbpedia.org/resource/The_Flintstones_(Fox_television_series) http://dbpedia.org/resource/The_Flintstone"
"3","94","Mauvaise Graine","http://fr.dbpedia.org/resource/Olivier_Graïne","http://dbpedia.org/resource/Mauvaise_Graine"
"3","95","The Firefly","http://dbpedia.org/resource/Firefly_(TV_series)","http://dbpedia.org/resource/The_Firefly_(operetta)"
"3","98","Cecil Raleigh","http://dbpedia.org/resource/Cecil_Abbott","http://dbpedia.org/resource/Cecil_Raleigh"
"3","99","W.C. Tuttle","http://dbpedia.org/resource/Lurene_Tuttle","http://dbpedia.org/resource/Wilbur_C._Tuttle http://dbpedia.org/resource/WC_Tuttle http://dbpedia.org/resource/W_C_Tuttle http://dbpedia.org/resource/W.C._Tuttle http://dbpedia.org/resource/W._C._Tuttle"
"3","100","The Fan","http://dbpedia.org/resource/Elle_Fanning","http://dbpedia.org/resource/The_Fan_(novel) http://dbpedia.org/resource/The_Fan_(Abrahams_novel) http://dbpedia.org/resource/The_Fan_(Abrahams_book)"
"3","101","Robert Lindsey","http://dbpedia.org/resource/Lindsey_Graham","http://dbpedia.org/resource/Robert_Lindsey_(journalist)"
"3","104","Owen Johnson","http://dbpedia.org/resource/Owen_H._Johnson","http://dbpedia.org/resource/Owen_Johnson_(writer) http://dbpedia.org/resource/Owen_McMahon_Johnson"
"3","106","The Effect of Gamma Rays on Man-in-the-Moon Marigolds","http://dbpedia.org/resource/The_Effect_of_Gamma_Rays_on_Man-in-the-Moon_Marigolds_(film)","http://dbpedia.org/resource/The_Effect_of_Gamma_Rays_on_Man-in-the-Moon_Marigolds http://dbpedia.org/resource/The_effect_of_gamma_rays_on_man_in_the_moon_marigolds http://dbpedia.org/resource/The_Effect_of_Gamma_Rays_on_Man-in-the-moon_Marigolds"
"3","112","Larry Gordon","http://dbpedia.org/resource/Lawrence_Gordon_(producer)","http://dbpedia.org/resource/Larry_Gordon"
"3","114","The Deerslayer","http://dbpedia.org/resource/The_Deerslayer_(1957_film)","http://dbpedia.org/resource/First_Warpath http://dbpedia.org/resource/The_Deerslayer http://dbpedia.org/resource/The_Deerslayer_(novel) http://dbpedia.org/resource/The_First_Warpath http://dbpedia.org/resource/Deerslayer"
"3","115","The Debt","http://dbpedia.org/resource/Debt","http://dbpedia.org/resource/HaHov http://dbpedia.org/resource/The_Debt_(Israeli_film) http://dbpedia.org/resource/HaChov http://dbpedia.org/resource/Ha-Chov http://dbpedia.org/resource/Ha-Hov http://dbpedia.org/resource/The_Debt_(2007_film)"
"3","119","The Dark Half","http://dbpedia.org/resource/The_Dark_Half_(film)","http://dbpedia.org/resource/Dark_Half http://dbpedia.org/resource/The_Dark_Half http://dbpedia.org/resource/Thad_Beaumont"
"3","120","Sheep","http://dbpedia.org/resource/Wool","http://dbpedia.org/resource/Sheep_(novel)"
"3","125","The Country Girl","http://dbpedia.org/resource/The_Country_Girl_(1915_film)","http://dbpedia.org/resource/The_Country_Girl_(1950_play)"
"3","128","James Forbes","http://dbpedia.org/resource/James_David_Forbes","http://dbpedia.org/resource/James_Forbes_(screenwriter)"
"3","131","The Mayor of Casterbridge","http://fr.dbpedia.org/resource/Pere_Mayor","http://dbpedia.org/resource/Donald_Farfrae http://dbpedia.org/resource/The_Life_and_Death_of_a_Man_of_Character http://dbpedia.org/resource/The_Mayor_Of_Casterbridge http://dbpedia.org/resource/Michael_Henchard http://dbpedia.org/resource/The_Mayor_of_Casterbridge http://dbpedia.org/resource/Richard_Newson http://dbpedia.org/resource/Henchard http://dbpedia.org/resource/Mayor_of_Casterbridge http://dbpedia.org/resource/Mayor_Of_Casterbridge http://dbpedia.org/resource/The_mayor_of_casterbridge http://dbpedia.org/resource/The_Mayor_of_Casterbridge:_The_Life_and_Death_of_a_Man_of_Character"
