"F1: 0.51724","Precision: 0.51724","Recall: 0.51724"
"Col","Row","Value","Submitted URI","Correct URI's"
"2","2","Judah Alkalai (talk)","http://dbpedia.org/resource/Judah_Folkman","http://dbpedia.org/resource/Judah_Alkalai http://dbpedia.org/resource/Yehuda_shlomo_alkalai http://dbpedia.org/resource/Judah_Ben_Solomon_Hai_Alkalai http://dbpedia.org/resource/Yehuda_alkalai http://dbpedia.org/resource/Judah_ben_Solomon_Hai_Alkalai http://dbpedia.org/resource/Yehudah_Alkalai http://dbpedia.org/resource/Judah_Alkalay http://dbpedia.org/resource/Yehuda_Alcalay http://dbpedia.org/resource/Yehudah_Alkalay"
"2","3","Sweeping curve (talk)","nan","http://dbpedia.org/resource/Sweeping_curve"
"2","7","Bob Tur (talk)","http://dbpedia.org/resource/I'm_Not_There","http://dbpedia.org/resource/Marika_Tur http://dbpedia.org/resource/Zoey_Tur_(formerly_Bob_Tur) http://dbpedia.org/resource/Bob_Tur http://dbpedia.org/resource/Marika_Gerrard http://dbpedia.org/resource/Robert_Tur http://dbpedia.org/resource/L.A._News_Service http://dbpedia.org/resource/Los_Angeles_News_Service http://dbpedia.org/resource/Zoey_Tur"
"2","13","The Dresden Dolls (EP) (talk)","http://dbpedia.org/resource/The_Dresden_Dolls_(album)","http://dbpedia.org/resource/The_Dresden_Dolls_(EP) http://dbpedia.org/resource/The_Dresden_Dolls_EP"
"2","15","Thoracic outlet syndrome (talk)","nan","http://dbpedia.org/resource/Neurogenic_TOS http://dbpedia.org/resource/Arterial_TOS http://dbpedia.org/resource/Venous_TOS http://dbpedia.org/resource/NTOS http://dbpedia.org/resource/Scalenus_anticus_syndrome http://dbpedia.org/resource/Gilliatt-Sumner_Hand http://dbpedia.org/resource/Neurovascular_compression_syndrome http://dbpedia.org/resource/Costoclavicular_syndrome http://dbpedia.org/resource/Thoracic_outlet_compression http://dbpedia.org/resource/Thorasic_Outlet_Syndrome http://dbpedia.org/resource/Thoracic_Outlet_Syndrome http://dbpedia.org/resource/Thoracic_outlet_syndrome"
"2","16","Lego Ninjago (talk)","http://dbpedia.org/resource/The_Lego_Ninjago_Movie","http://dbpedia.org/resource/LEGO_Ninjago_P.I.X.A.L http://dbpedia.org/resource/Lloyd_Garmadon http://dbpedia.org/resource/Lord_garmadon http://dbpedia.org/resource/NinjaGo http://dbpedia.org/resource/Ninjago http://dbpedia.org/resource/Lego_Ninjago"
"2","18","Punk cabaret (talk)","http://dbpedia.org/resource/Dark_cabaret","http://dbpedia.org/resource/Punk_cabaret"
"2","19","Pittsburgh left (talk)","nan","http://dbpedia.org/resource/Pittsburgh_Left_Turn http://dbpedia.org/resource/Yinzer_Left http://dbpedia.org/resource/Pittsburgh_Left http://dbpedia.org/resource/Boston_left http://dbpedia.org/resource/Pittsburgh_left"
"2","20","Left 4 Dead (talk)","http://dbpedia.org/resource/Left_4_Dead_2","http://dbpedia.org/resource/Left_4_Dead_Demo http://dbpedia.org/resource/L4D1 http://dbpedia.org/resource/Pills_here http://dbpedia.org/resource/List_of_Left_4_Dead_Characters http://dbpedia.org/resource/Left_4_dead_weapons http://dbpedia.org/resource/Left_4_Dead_(film) http://dbpedia.org/resource/Left_4_Dead_(game) http://dbpedia.org/resource/L4d http://dbpedia.org/resource/Zoey_(Left_4_Dead) http://dbpedia.org/resource/Bill_(Left_4_Dead) http://dbpedia.org/resource/Left_4_Dead http://dbpedia.org/resource/Left_four_dead http://dbpedia.org/resource/Left_4_Dead_1 http://dbpedia.org/resource/L4D_1 http://dbpedia.org/resource/L4D http://dbpedia.org/resource/Louis_(Left_4_Dead) http://dbpedia.org/resource/Francis_(Left_4_Dead) http://dbpedia.org/resource/Left4Dead http://dbpedia.org/resource/Left_4_dead"
"2","21","Shravan (talk)","http://it.dbpedia.org/resource/African_Lens._The_Story_of_Priya_Ramrakha","http://dbpedia.org/resource/Shrobon http://dbpedia.org/resource/Sravana_kumar http://dbpedia.org/resource/Shravan_Kumar http://dbpedia.org/resource/Sravana_Kumar http://dbpedia.org/resource/Shravan"
"2","22","Choke-out (talk)","http://dbpedia.org/resource/Professional_wrestling_throws","http://dbpedia.org/resource/Choke-out"
"2","25","JosÃ© JimÃ©nez (baseball) (talk)","http://dbpedia.org/resource/José_María_Jiménez","http://dbpedia.org/resource/José_Jiménez_(baseball)"
"2","29","Ethanolamide (talk)","nan","http://dbpedia.org/resource/Ethanolamide http://dbpedia.org/resource/Ethanolamides http://dbpedia.org/resource/Ethanol_amide"
"2","30","Lisa Yee (talk)","http://dbpedia.org/resource/So_Totally_Emily_Ebers","http://dbpedia.org/resource/Lisa_Yee http://dbpedia.org/resource/Lisa_yee"
