"F1: 0.01724","Precision: 0.01724","Recall: 0.01724"
"Col","Row","Value","Submitted URI","Correct URI's"
"0","1","Angola","http://dbpedia.org/resource/Angola_national_football_team","http://dbpedia.org/resource/Angolan_national_basketball_team http://dbpedia.org/resource/Basketball_in_Angola http://dbpedia.org/resource/Angola_national_basketball_team"
"0","2","Argentina","http://dbpedia.org/resource/Argentina_national_football_team","http://dbpedia.org/resource/Argentina_national_basketball_team http://dbpedia.org/resource/Argentinian_national_basketball_team http://dbpedia.org/resource/Argentina's_national_basketball_team http://dbpedia.org/resource/Argentine_national_basketball_team http://dbpedia.org/resource/Argentina_men's_national_basketball_team"
"0","3","Australia","http://dbpedia.org/resource/Australia_national_under-20_rugby_union_team","http://dbpedia.org/resource/Australia_men's_national_basketball_team"
"0","4","Belgium","http://dbpedia.org/resource/Belgium_national_football_team","http://dbpedia.org/resource/Belgium_national_basketball_team http://dbpedia.org/resource/Belgium_men's_national_under-20_basketball_team http://dbpedia.org/resource/Belgian_national_basketball_team http://dbpedia.org/resource/Belgium_men's_national_basketball_team http://dbpedia.org/resource/Belgian_Lions http://dbpedia.org/resource/Belgium's_national_basketball_team"
"0","5","Brazil","http://dbpedia.org/resource/Brazil_national_football_team","http://dbpedia.org/resource/Brazilian_National_Basketball_Team http://dbpedia.org/resource/Brazil_national_basketball_team http://dbpedia.org/resource/Brazil_men's_national_basketball_team http://dbpedia.org/resource/Brazilian_national_basketball_team http://dbpedia.org/resource/Brazil_National_Basketball_Team http://dbpedia.org/resource/Brazil's_national_basketball_team http://dbpedia.org/resource/Brazil_national_men's_basketball_team"
"0","6","Bulgaria","http://dbpedia.org/resource/Bulgarian_language","http://dbpedia.org/resource/Bulgarian_national_basketball_team http://dbpedia.org/resource/Bulgaria_men's_national_under-20_basketball_team http://dbpedia.org/resource/Bulgaria_national_basketball_team http://dbpedia.org/resource/Bulgaria_men's_national_under-18_basketball_team"
"0","7","Canada","http://dbpedia.org/resource/Canada_A_national_rugby_union_team","http://dbpedia.org/resource/Canada_men's_national_basketball_team"
"0","8","Central African Republic","http://dbpedia.org/resource/Central_African_Republic_national_football_team","http://dbpedia.org/resource/Central_african_republic_national_basketball_team http://dbpedia.org/resource/CAR_national_basketball_team http://dbpedia.org/resource/CAF_national_basketball_team http://dbpedia.org/resource/Central_African_Republic_national_basketball_team"
"0","9","Chile","http://dbpedia.org/resource/Chile_national_football_team","http://dbpedia.org/resource/Chile_national_basketball_team http://dbpedia.org/resource/Chile's_national_basketball_team http://dbpedia.org/resource/Chile_men's_national_basketball_team http://dbpedia.org/resource/Roster_of_2004_Chile_National_Basketball_Team"
"0","10","China","http://dbpedia.org/resource/China_national_football_team","http://dbpedia.org/resource/Chinese_national_basketball_team http://dbpedia.org/resource/China's_national_basketball_team http://dbpedia.org/resource/China_men's_basketball_team http://dbpedia.org/resource/China_men's_national_basketball_team http://dbpedia.org/resource/China_national_basketball_team http://dbpedia.org/resource/Chinese_men's_national_basketball_team"
"0","12","Croatia","http://dbpedia.org/resource/Croatian_language","http://dbpedia.org/resource/Croatia_men's_national_basketball_team http://dbpedia.org/resource/Croatia_national_basketball_team http://dbpedia.org/resource/Croatian_national_basketball_team http://dbpedia.org/resource/Croatia_men's_national_under-20_basketball_team http://dbpedia.org/resource/Croatia_men's_national_under-18_basketball_team"
"0","14","Cuba","http://dbpedia.org/resource/Cuba_national_football_team","http://dbpedia.org/resource/Cuba_national_basketball_team http://dbpedia.org/resource/Cuba_men's_national_basketball_team http://dbpedia.org/resource/Cuba's_national_basketball_team http://dbpedia.org/resource/Cuban_national_basketball_team"
"0","15","Czechoslovakia","http://dbpedia.org/resource/Czechoslovakia_national_football_team","http://dbpedia.org/resource/Czechoslovakia_men's_national_under-18_basketball_team http://dbpedia.org/resource/Czechoslovakian_national_basketball_team http://dbpedia.org/resource/Czechoslovakia_national_basketball_team"
"0","16","Egypt","http://dbpedia.org/resource/Egypt_national_football_team","http://dbpedia.org/resource/Egyptian_national_basketball_team http://dbpedia.org/resource/Egypt_men's_national_basketball_team http://dbpedia.org/resource/Egypt_national_basketball_team http://dbpedia.org/resource/United_Arab_Republic_national_basketball_team http://dbpedia.org/resource/Egypt's_national_basketball_team"
"0","17","Estonia","http://dbpedia.org/resource/Estonian_language","http://dbpedia.org/resource/Estonia_men's_national_basketball_team http://dbpedia.org/resource/Estonia_men's_national_under-20_basketball_team http://dbpedia.org/resource/Estonia_national_basketball_team http://dbpedia.org/resource/Estonian_National_Basketball_Team"
"0","18","Finland","http://dbpedia.org/resource/Finland_national_under-21_football_team","http://dbpedia.org/resource/Finland_men's_national_basketball_team http://dbpedia.org/resource/Finland's_national_basketball_team http://dbpedia.org/resource/Finland_national_basketball_team http://dbpedia.org/resource/Finnish_national_basketball_team http://dbpedia.org/resource/Finland_men's_national_under-20_basketball_team"
