"F1: 0.40000","Precision: 0.40000","Recall: 0.40000"
"Col","Row","Value","Submitted URI","Correct URI's"
"5","1","Null","http://dbpedia.org/resource/KK_Null","http://dbpedia.org/resource/Null_(Character) http://dbpedia.org/resource/Null-character http://dbpedia.org/resource/Chr(0) http://dbpedia.org/resource/^@ http://dbpedia.org/resource/Null_terminator http://dbpedia.org/resource/Null_character http://dbpedia.org/resource/Terminating_null_character http://dbpedia.org/resource/NUL_(character) http://dbpedia.org/resource/\0 http://dbpedia.org/resource/Control-@ http://dbpedia.org/resource/Null_terminated http://dbpedia.org/resource/Null_terminating_character http://dbpedia.org/resource/Ctrl-@ http://dbpedia.org/resource/U+0000 http://dbpedia.org/resource/ASCII_0 http://dbpedia.org/resource/Null_byte_injection http://dbpedia.org/resource/␀"
"5","8","Bell","http://dbpedia.org/resource/Bell","http://dbpedia.org/resource/ASCII_7 http://dbpedia.org/resource/BEL_(ASCII) http://dbpedia.org/resource/␇ http://dbpedia.org/resource/Ctrl-G http://dbpedia.org/resource/^G http://dbpedia.org/resource/Control-G http://dbpedia.org/resource/\a http://dbpedia.org/resource/Bell_character"
"5","9","Backspace","http://dbpedia.org/resource/Non-breaking_space","http://dbpedia.org/resource/BS_(ASCII) http://dbpedia.org/resource/␈ http://dbpedia.org/resource/Backspace_key http://dbpedia.org/resource/^W http://dbpedia.org/resource/⌫ http://dbpedia.org/resource/CTRL+H http://dbpedia.org/resource/Ctrl-H http://dbpedia.org/resource/Backspace_character http://dbpedia.org/resource/^U http://dbpedia.org/resource/Backspace http://dbpedia.org/resource/^H http://dbpedia.org/resource/Control-H"
"5","11","Line Feed","http://de.dbpedia.org/resource/Zeilenvorschub","http://dbpedia.org/resource//r/n http://dbpedia.org/resource/Crlf http://dbpedia.org/resource/Linebreak http://dbpedia.org/resource/\n http://dbpedia.org/resource/Newlines http://dbpedia.org/resource/Line_endings http://dbpedia.org/resource/Line_breaking_character http://dbpedia.org/resource/Linefeed http://dbpedia.org/resource/ASCII_10 http://dbpedia.org/resource/U+0085 http://dbpedia.org/resource/0d_0a http://dbpedia.org/resource/CR/LF http://dbpedia.org/resource/␍␊ http://dbpedia.org/resource/Line_Feed http://dbpedia.org/resource/Line_separator http://dbpedia.org/resource/^J http://dbpedia.org/resource/␊ http://dbpedia.org/resource/CR_LF http://dbpedia.org/resource/Line-feeds http://dbpedia.org/resource/ http://dbpedia.org/resource/Newline http://dbpedia.org/resource/0D_0A http://dbpedia.org/resource/\n\r http://dbpedia.org/resource/Ctrl-J http://dbpedia.org/resource/Endl http://dbpedia.org/resource//N http://dbpedia.org/resource/LF_(ASCII) http://dbpedia.org/resource/Translation_mode http://dbpedia.org/resource/End_of_Line http://dbpedia.org/resource/Hard_return http://dbpedia.org/resource/0x0a http://dbpedia.org/resource/New_line_character http://dbpedia.org/resource/End_of_line http://dbpedia.org/resource/\r\n http://dbpedia.org/resource/End-of-line http://dbpedia.org/resource/Line_feed http://dbpedia.org/resource/Line-feed http://dbpedia.org/resource/CRLF http://dbpedia.org/resource/0x0A http://dbpedia.org/resource/Paragraph_separator http://dbpedia.org/resource//n http://dbpedia.org/resource/Control-J http://dbpedia.org/resource/\R\N http://dbpedia.org/resource/Line_ending http://dbpedia.org/resource/New-line http://dbpedia.org/resource/Line_break_(computing) http://dbpedia.org/resource/Line_end http://dbpedia.org/resource/␤ http://dbpedia.org/resource//R/N"
"5","16","Shift In","http://dbpedia.org/resource/Shift_key","http://dbpedia.org/resource/␎ http://dbpedia.org/resource/Control-O http://dbpedia.org/resource/Shift_In http://dbpedia.org/resource/^O http://dbpedia.org/resource/Shift_in http://dbpedia.org/resource/Shift-out http://dbpedia.org/resource/Shift_Out_and_Shift_In_characters http://dbpedia.org/resource/^N http://dbpedia.org/resource/␏ http://dbpedia.org/resource/Ctrl-N http://dbpedia.org/resource/Shift-in http://dbpedia.org/resource/Shift_out http://dbpedia.org/resource/Ctrl-O http://dbpedia.org/resource/Control-N http://dbpedia.org/resource/Shift_Out"
"5","22","Negative Acknowledge","http://dbpedia.org/resource/Acknowledge_character","http://dbpedia.org/resource/Negative-acknowledge_character"
"5","23","Synchronous Idle","http://dbpedia.org/resource/C0_and_C1_control_codes","http://dbpedia.org/resource/␖ http://dbpedia.org/resource/Synchronous_idle_character http://dbpedia.org/resource/Synchronous_idle http://dbpedia.org/resource/Synchronous_Idle"
"5","25","Cancel","nan","http://dbpedia.org/resource/␘ http://dbpedia.org/resource/Cancel_Character http://dbpedia.org/resource/Cancel_character"
"5","27","Substitute","http://dbpedia.org/resource/Substitute_(French_elections)","http://dbpedia.org/resource/Substitute_(character) http://dbpedia.org/resource/Ctrl-Z http://dbpedia.org/resource/␦ http://dbpedia.org/resource/Substitute_character http://dbpedia.org/resource/^Z http://dbpedia.org/resource/␚ http://dbpedia.org/resource/Ctrl+Z"
"5","28","Escape","http://dbpedia.org/resource/Escape_(Enrique_Iglesias_song)","http://dbpedia.org/resource/ASCII_27 http://dbpedia.org/resource/Escape_(programming) http://dbpedia.org/resource/Character_escaping http://dbpedia.org/resource/\e http://dbpedia.org/resource/Escape_characters http://dbpedia.org/resource/Escape_character http://dbpedia.org/resource/␛ http://dbpedia.org/resource/Escape_symbol http://dbpedia.org/resource/Escape_char http://dbpedia.org/resource/Escape_(Programming)"
