"F1: 0.32000","Precision: 0.32000","Recall: 0.32000"
"Col","Row","Value","Submitted URI","Correct URI's"
"1","1","Wimbledon","http://dbpedia.org/resource/Wimbledon,_London","http://dbpedia.org/resource/Wimbledon_(film) http://dbpedia.org/resource/Lizzie_Bradbury http://dbpedia.org/resource/Elizabeth_Bradbury http://dbpedia.org/resource/Elizabeth_Hammond http://dbpedia.org/resource/Dennis_Bradbury http://dbpedia.org/resource/Dieter_Prohl http://dbpedia.org/resource/Ivan_Dragomir http://dbpedia.org/resource/Wimbledon_(movie) http://dbpedia.org/resource/Ron_Roth http://dbpedia.org/resource/Tom_Cavendish"
"1","3","Afterlife","http://dbpedia.org/resource/Resident_Evil:_Afterlife","http://dbpedia.org/resource/Afterlife_(TV_series) http://dbpedia.org/resource/Afterlife_(tv_series)"
"1","4","Silent Witness","http://dbpedia.org/resource/Silent_Witness_(horse)","http://dbpedia.org/resource/Answering_Fire http://dbpedia.org/resource/Silent_Witness http://dbpedia.org/resource/Silent_Witness_(TV_series)"
"1","6","Longford","http://dbpedia.org/resource/County_Longford","http://dbpedia.org/resource/Longford_(2006_movie) http://dbpedia.org/resource/Longford_(film)"
"1","7","Magicians","http://dbpedia.org/resource/Magician_(horse)","http://dbpedia.org/resource/Magicians_(2007_film) http://dbpedia.org/resource/Magician_(2007_film)"
"1","11","Sense & Sensibility","http://dbpedia.org/resource/Sense_and_Sensibility_(film)","http://dbpedia.org/resource/Sense_and_Sensibility_(2007_TV_serial) http://dbpedia.org/resource/Sense_and_Sensibility_(2008_miniseries) http://dbpedia.org/resource/Sense_and_Sensibility_(2008_TV_miniseries) http://dbpedia.org/resource/Sense_and_Sensibility_(2008_TV_serial) http://dbpedia.org/resource/Sense_and_Sensibility_(TV_series) http://dbpedia.org/resource/Sense_and_Sensibility_(2008_TV_series)"
"1","14","Midnight Man","http://dbpedia.org/resource/Midnight_Commander","http://dbpedia.org/resource/Midnight_Man_(TV_series) http://dbpedia.org/resource/Midnight_Man_(TV_serial) http://dbpedia.org/resource/Midnight_Man_(miniseries) http://dbpedia.org/resource/Midnight_Man_(TV_miniseries)"
"1","15","Little Dorrit","http://dbpedia.org/resource/Little_Dorrit","http://dbpedia.org/resource/Little_Dorrit_(TV_series) http://dbpedia.org/resource/Little_Dorrit_(TV_miniseries) http://dbpedia.org/resource/Little_Dorrit_(miniseries) http://dbpedia.org/resource/Little_Dorrit_(TV_serial)"
"1","16","Into the Storm","http://dbpedia.org/resource/Invisible_Woman","http://dbpedia.org/resource/Into_the_Storm_(2009_film) http://dbpedia.org/resource/Churchill_at_War"
"1","17","Small Island","http://dbpedia.org/resource/North_Island","http://dbpedia.org/resource/Small_Island_(TV_film) http://dbpedia.org/resource/Small_Island_(television_drama)"
"1","18","Criminal Justice","http://dbpedia.org/resource/John_Jay_College_of_Criminal_Justice","http://dbpedia.org/resource/Criminal_Justice_(TV_series) http://dbpedia.org/resource/Criminal_Justice_(TV_Series)"
"1","19","Wallander","http://dbpedia.org/resource/Wallander_(Swedish_TV_series)","http://dbpedia.org/resource/Wallander_(UK_TV_series) http://dbpedia.org/resource/Wallander_(British_TV_series)"
"1","22","Whitechapel","http://dbpedia.org/resource/Whitechapel_station","http://dbpedia.org/resource/List_of_Whitechapel_episodes http://dbpedia.org/resource/Whitechapel_(season_4) http://dbpedia.org/resource/Whitechapel_(TV_series) http://dbpedia.org/resource/Whitechapel_(television_series) http://dbpedia.org/resource/Whitechapel_(series_4)"
"1","24","Money","http://dbpedia.org/resource/John_Money","http://dbpedia.org/resource/Money_(2010_TV_series)"
"1","25","Silk","http://dbpedia.org/resource/Dave_Silk","http://dbpedia.org/resource/Alan_Cowdrey http://dbpedia.org/resource/List_of_Silk_episodes http://dbpedia.org/resource/Martha_Costello http://dbpedia.org/resource/Billy_Lamb http://dbpedia.org/resource/Caroline_Warwick http://dbpedia.org/resource/Jake_Milner http://dbpedia.org/resource/Silk_(TV_series) http://dbpedia.org/resource/Clive_Reader http://dbpedia.org/resource/Bethany_Brassington http://dbpedia.org/resource/Kate_Brockman"
"1","26","The Deep Blue Sea","http://dbpedia.org/resource/Deep_Blue_Sea_(1999_film)","http://dbpedia.org/resource/The_Deep_Blue_Sea_(2011_film)"
"1","27","The Scapegoat","http://dbpedia.org/resource/The_Scapegoat_(1959_film)","http://dbpedia.org/resource/The_Scapegoat_(2012_film) http://dbpedia.org/resource/The_Scapegoat_(film_2012)"
