Cinema_of_Germany#East_German_Cinema_1945_-_1989#0_1,1,1,Go for Zucker,http://dbpedia.org/resource/Alles_auf_Zucker!
Cinema_of_Germany#East_German_Cinema_1945_-_1989#0_1,1,2,The Lives of Others,http://dbpedia.org/resource/The_Lives_of_Others
Cinema_of_Germany#East_German_Cinema_1945_-_1989#0_1,1,3,Four Minutes,http://dbpedia.org/resource/Four_Minutes
Cinema_of_Germany#East_German_Cinema_1945_-_1989#0_1,1,4,The Edge of Heaven,http://dbpedia.org/resource/The_Edge_of_Heaven_(film)
Cinema_of_Germany#East_German_Cinema_1945_-_1989#0_1,1,5,John Rabe,http://dbpedia.org/resource/John_Rabe_(film)
Cinema_of_Germany#East_German_Cinema_1945_-_1989#0_1,1,6,The White Ribbon,http://dbpedia.org/resource/The_White_Ribbon
Cinema_of_Germany#East_German_Cinema_1945_-_1989#0_1,1,8,Stopped on Track,http://dbpedia.org/resource/Stopped_on_Track
Cinema_of_Germany#East_German_Cinema_1945_-_1989#0_1,1,9,Oh Boy!,http://dbpedia.org/resource/A_Coffee_In_Berlin
Cinema_of_Germany#East_German_Cinema_1945_-_1989#0_1,1,10,Home from Home,http://dbpedia.org/resource/A_Letter_from_Home_(film)
Cinema_of_Germany#East_German_Cinema_1945_-_1989#0_1,1,11,Victoria,http://dbpedia.org/resource/Primo_Victoria
