Council_of_Ministers_(Italy)#1_0,0,1,President of the Council (Prime Minister),http://dbpedia.org/resource/President_of_Poland
Council_of_Ministers_(Italy)#1_0,0,4,Minister of the Interior,http://dbpedia.org/resource/Minister_of_the_Interior_(France)
Council_of_Ministers_(Italy)#1_0,0,5,Minister of Foreign Affairs,http://dbpedia.org/resource/Foreign_and_Commonwealth_Office
Council_of_Ministers_(Italy)#1_0,0,6,Minister of Defense,http://dbpedia.org/resource/Federal_Ministry_of_Defence_(Germany)
Council_of_Ministers_(Italy)#1_0,0,7,Minister of Justice,http://dbpedia.org/resource/Government_of_South_Australia
Council_of_Ministers_(Italy)#1_0,0,8,Minister of Economy and Finance,http://dbpedia.org/resource/Ministry_of_Economy_and_Finance_(Italy)
Council_of_Ministers_(Italy)#1_0,0,9,Minister of Economic Development,http://dbpedia.org/resource/Ministry_of_Economic_Development_(Russia)
Council_of_Ministers_(Italy)#1_0,0,10,Minister of Infrastructures and Transports,http://dbpedia.org/resource/Ministry_of_Infrastructure_and_Transport_(Italy)
Council_of_Ministers_(Italy)#1_0,0,11,"Minister of Agriculture, Food and Forestry Policies","http://dbpedia.org/resource/Ministry_of_Agricultural,_Food_and_Forestry_Policies_(Italy)"
Council_of_Ministers_(Italy)#1_0,0,12,"Minister of Education, Universities and Research","http://dbpedia.org/resource/Ministry_of_Education,_Universities_and_Research_(Italy)"
Council_of_Ministers_(Italy)#1_0,0,15,Minister of Heritage and Cultural Activities and Tourism,http://dbpedia.org/resource/Ministry_of_Cultural_Heritage_and_Activities_(Italy)
Council_of_Ministers_(Italy)#1_0,0,16,Minister of Health,http://dbpedia.org/resource/Health
