"F1: 0.08333","Precision: 0.08333","Recall: 0.08333"
"Col","Row","Value","Submitted URI","Correct URI's"
"4","1","Conifer twig (left), Deciduous twig (right), two sheaves of wheat (lower middle portion)","http://dbpedia.org/resource/Conifer,_Colorado","http://dbpedia.org/resource/Coniferae http://dbpedia.org/resource/Coniferous_forest http://dbpedia.org/resource/Coniferous http://dbpedia.org/resource/Needle_(botany) http://dbpedia.org/resource/Coniferopsida http://dbpedia.org/resource/Coniferophyta http://dbpedia.org/resource/Coniferous_tree http://dbpedia.org/resource/Conifers http://dbpedia.org/resource/Pinophyte http://dbpedia.org/resource/Coniferous_trees http://dbpedia.org/resource/Conifer http://dbpedia.org/resource/Conifir http://dbpedia.org/resource/Pinophyta http://dbpedia.org/resource/Conifiers http://dbpedia.org/resource/Coniferalus http://dbpedia.org/resource/Pinopsida"
"4","5","Wheat","http://dbpedia.org/resource/Gristmill","http://dbpedia.org/resource/Cracked_wheat http://dbpedia.org/resource/Triticum_spp. http://dbpedia.org/resource/Wheat http://dbpedia.org/resource/Wheat_grain http://dbpedia.org/resource/ATCvet_code_QA06AC07 http://dbpedia.org/resource/Dwarf_wheat http://dbpedia.org/resource/Wheat_grains http://dbpedia.org/resource/Triticum_sphaerococcum http://dbpedia.org/resource/Wheats http://dbpedia.org/resource/Triticum http://dbpedia.org/resource/Triticum_turgidum http://dbpedia.org/resource/Triticum_(genus) http://dbpedia.org/resource/ATC_code_A06AC07"
"4","6","Adriatic Sea, rising sun","http://dbpedia.org/resource/Tide","http://dbpedia.org/resource/Adriatic_Sea http://dbpedia.org/resource/Jadransko_morje http://dbpedia.org/resource/Mare_hadriaticum http://dbpedia.org/resource/Jadransko_more http://dbpedia.org/resource/Adriatic http://dbpedia.org/resource/Adriatic_sea http://dbpedia.org/resource/Adriatic_coast http://dbpedia.org/resource/Pollution_of_the_Adriatic_Sea http://dbpedia.org/resource/Adriatic_Coast"
"4","7","Iron anvil","http://dbpedia.org/resource/Anvil_(band)","http://dbpedia.org/resource/Feostat http://dbpedia.org/resource/Iron_production http://dbpedia.org/resource/Nephro-Fer http://dbpedia.org/resource/Feronate http://dbpedia.org/resource/Siderol http://dbpedia.org/resource/7439-89-6 http://dbpedia.org/resource/Ferro-Caps http://dbpedia.org/resource/Iron_compounds http://dbpedia.org/resource/Element_26 http://dbpedia.org/resource/Ferrum_(element) http://dbpedia.org/resource/Symbol_of_iron http://dbpedia.org/resource/Iron_(element) http://dbpedia.org/resource/Vitedyn-Slo http://dbpedia.org/resource/Iron_rope http://dbpedia.org/resource/Iron_truss http://dbpedia.org/resource/Slow_Fe http://dbpedia.org/resource/Ferrous_compounds http://dbpedia.org/resource/Ferro-Time http://dbpedia.org/resource/Iron http://dbpedia.org/resource/Feratab http://dbpedia.org/resource/Extraction_of_iron http://dbpedia.org/resource/Yieronia http://dbpedia.org/resource/Iorn http://dbpedia.org/resource/Ferrousal http://dbpedia.org/resource/Ed-In-Sol http://dbpedia.org/resource/Fe-40 http://dbpedia.org/resource/Ferryl http://dbpedia.org/resource/Iron_Essay http://dbpedia.org/resource/Fer-In-Sol http://dbpedia.org/resource/Ferric_compounds http://dbpedia.org/resource/Mol-Iron http://dbpedia.org/resource/Reduced_iron http://dbpedia.org/resource/Ferretts"
"4","9","Garland of wheat, tobacco leaves and poppy buds","nan","http://dbpedia.org/resource/Garland http://dbpedia.org/resource/Daisy_garland http://dbpedia.org/resource/Garland_(decoration)"
"4","10","River Vardar, Mount Korab, sunrise, sky","nan","http://dbpedia.org/resource/Axios_River http://dbpedia.org/resource/Axios_(River) http://dbpedia.org/resource/Vardárīs http://dbpedia.org/resource/Axius_river http://dbpedia.org/resource/Vardar_River http://dbpedia.org/resource/Βαρδάρης http://dbpedia.org/resource/Вардар http://dbpedia.org/resource/Vardar http://dbpedia.org/resource/Vardar_river http://dbpedia.org/resource/Axios http://dbpedia.org/resource/Vardar_(river) http://dbpedia.org/resource/Axiós http://dbpedia.org/resource/Axiós_River http://dbpedia.org/resource/Αξιός http://dbpedia.org/resource/Axios_(river)"
"4","12","ribbon with traditional Macedonian embroidery","http://dbpedia.org/resource/NATO_Medal","http://dbpedia.org/resource/🎀 http://dbpedia.org/resource/Ribband http://dbpedia.org/resource/Cloth_ribbon http://dbpedia.org/resource/Riband http://dbpedia.org/resource/Ribbon,_typewriter http://dbpedia.org/resource/Ribbons http://dbpedia.org/resource/Ribbon http://dbpedia.org/resource/Ribands"
"4","13","laurel wreath","http://de.dbpedia.org/resource/Ehrenkränzlein","http://dbpedia.org/resource/Laurel_branches http://dbpedia.org/resource/Laurels_of_victory http://dbpedia.org/resource/Laurel_wreath http://dbpedia.org/resource/Laurel_crown http://dbpedia.org/resource/Laurel_branch http://dbpedia.org/resource/Wreaths_of_laurel_leaves"
"4","14","Mount LovÄ\u0087en,[6] Adriatic Sea","http://dbpedia.org/resource/Mount_Everest","http://dbpedia.org/resource/Lovćen"
"4","16","Montenegrin[6] tricolour of Pan-Slavic colors","http://dbpedia.org/resource/Pan-Slavic_colors","http://dbpedia.org/resource/People_of_Montenegro http://dbpedia.org/resource/Montenegrins_(citizens) http://dbpedia.org/resource/Montenegrin_people http://dbpedia.org/resource/Montenegrans http://dbpedia.org/resource/Црногорци http://dbpedia.org/resource/Crnogorci http://dbpedia.org/resource/Montenegrins http://dbpedia.org/resource/Montenegrins_(ethnic_group) http://dbpedia.org/resource/Montenegrians http://dbpedia.org/resource/The_Montenegrins"
