"F1: 0.00000","Precision: 0.00000","Recall: 0.00000"
"Col","Row","Value","Submitted URI","Correct URI's"
"0","6","Kuiqi Lu","http://dbpedia.org/resource/Lu_Kai_(badminton)","http://dbpedia.org/resource/Kuiqilu_Station http://dbpedia.org/resource/Kuiqi_Lu_Station"
"0","7","Jihua Park","nan","http://dbpedia.org/resource/Jihua_Park_Station http://dbpedia.org/resource/Lujing_Lu_Station"
"0","8","Tongji Lu","http://dbpedia.org/resource/Lu_Kai_(badminton)","http://dbpedia.org/resource/Tongji_Lu_Station"
"0","9","Zumiao","nan","http://dbpedia.org/resource/Zumiao_Station http://dbpedia.org/resource/Ancestral_Temple_Station"
"0","10","Pujun Beilu","nan","http://dbpedia.org/resource/Pujun_Beilu_Station"
"0","11","Chao'an","http://dbpedia.org/resource/Chao'an_District","http://dbpedia.org/resource/Chao'an_Station"
"0","12","Guicheng","http://dbpedia.org/resource/Guicheng_Subdistrict,_Foshan","http://dbpedia.org/resource/Guicheng_Station"
"0","13","Nangui Lu","http://dbpedia.org/resource/Lu_Kai_(badminton)","http://dbpedia.org/resource/Nangui_Lu_Station"
"0","14","Leigang","nan","http://dbpedia.org/resource/Leigang_Station"
"0","15","Qiandeng Lake","http://dbpedia.org/resource/Sean_Lake","http://dbpedia.org/resource/Haiwu_Lu_Station http://dbpedia.org/resource/Qiandenghu_Lake_Station http://dbpedia.org/resource/Qiandeng_Lake_Station"
"0","16","Financial Hi-Tech Zone","http://dbpedia.org/resource/Sichuan","http://dbpedia.org/resource/Financial_Hi-Tech_Zone_Station http://dbpedia.org/resource/Financial_Hi-tech_Zone_Station"
"0","17","Longxi","http://dbpedia.org/resource/Longxi_County","http://dbpedia.org/resource/Huaboyuan_Station http://dbpedia.org/resource/Longxi_Station"
"0","18","Jushu","http://dbpedia.org/resource/Jushu_station","http://dbpedia.org/resource/Fangcun_Sports_Center_Station http://dbpedia.org/resource/Jushu_Metro_Station http://dbpedia.org/resource/Jushu_Station http://dbpedia.org/resource/Jucun_Station"
"0","19","Xilang","nan","http://dbpedia.org/resource/Guanggang_Station http://dbpedia.org/resource/Xilang_Station"
"0","20","Hedong","http://dbpedia.org/resource/Yongji,_Shanxi","http://dbpedia.org/resource/Hedong_Station http://dbpedia.org/resource/Baihedong_Station"
"0","21","Shachong","nan","http://dbpedia.org/resource/Fangcun_Dadao_Station http://dbpedia.org/resource/Shachong_Station"
"0","22","Shayuan","nan","http://dbpedia.org/resource/Shayuan_Station"
"0","23","Yangang","http://dbpedia.org/resource/Yangang","http://dbpedia.org/resource/Yangang_Station http://dbpedia.org/resource/Jiangyan_Lu_Station"
"0","24","Shixi","nan","http://dbpedia.org/resource/Shixi_Station"
"0","25","Nanzhou","http://dbpedia.org/resource/Nanzhou,_Nan_County","http://dbpedia.org/resource/Nanzhou_Station http://dbpedia.org/resource/Nanzhou_Passenger_Station_(metro)"
"0","26","Lijiao","http://dbpedia.org/resource/Gong_Lijiao","http://dbpedia.org/resource/Lijiao_Station http://dbpedia.org/resource/Lijiao_Metro_Station"
