"F1: 0.00990","Precision: 0.00990","Recall: 0.00990"
"Col","Row","Value","Submitted URI","Correct URI's"
"1","1","Afghanistan","http://dbpedia.org/resource/Afghanistan","http://dbpedia.org/resource/History_of_Hindus_in_Afghanistan http://dbpedia.org/resource/Hinduism_in_Afghanistan http://dbpedia.org/resource/Afghan_Hindu http://dbpedia.org/resource/Afghan_Hindus"
"1","3","Anguilla","http://dbpedia.org/resource/Anguilla","http://dbpedia.org/resource/Hinduism_in_Saint_Kitts_and_Nevis http://dbpedia.org/resource/Hinduism_in_St._Lucia http://dbpedia.org/resource/Hinduism_in_Dominican_Republic http://dbpedia.org/resource/Hinduism_in_Antigua_and_Barbuda http://dbpedia.org/resource/Hinduism_in_Barbados http://dbpedia.org/resource/Hinduism_in_Saint_Vincent_and_the_Grenadines http://dbpedia.org/resource/Hinduism_in_St._Kitts-Nevis http://dbpedia.org/resource/Hinduism_in_the_Caribbean http://dbpedia.org/resource/Hinduism_in_the_United_States_Virgin_Islands http://dbpedia.org/resource/Hinduism_in_the_Dominican_Republic http://dbpedia.org/resource/Hinduism_in_the_Bahamas http://dbpedia.org/resource/Hinduism_in_Saint_Lucia http://dbpedia.org/resource/Hinduism_in_Haiti http://dbpedia.org/resource/Hinduism_in_Bermuda http://dbpedia.org/resource/Hinduism_in_Cuba http://dbpedia.org/resource/Hinduism_in_Montserrat http://dbpedia.org/resource/Hinduism_in_Puerto_Rico http://dbpedia.org/resource/Hinduism_in_the_Cayman_Islands http://dbpedia.org/resource/Hinduism_in_Grenada http://dbpedia.org/resource/Hinduism_in_the_Netherlands_Antilles http://dbpedia.org/resource/Hinduism_in_Anguilla http://dbpedia.org/resource/Hinduism_in_St._Vincent-Grenadines http://dbpedia.org/resource/Hinduism_in_the_US_Virgin_Islands http://dbpedia.org/resource/Hinduism_in_the_West_Indies http://dbpedia.org/resource/Hinduism_in_Jamaica"
"1","5","Argentina","http://dbpedia.org/resource/Argentina","http://dbpedia.org/resource/Hinduism_in_Chile http://dbpedia.org/resource/Hinduism_in_Colombia http://dbpedia.org/resource/Hinduism_in_Paraguay http://dbpedia.org/resource/Hinduism_in_Peru http://dbpedia.org/resource/Hinduism_in_Venezuela http://dbpedia.org/resource/Hinduism_in_Argentina http://dbpedia.org/resource/Hinduism_in_Uruguay http://dbpedia.org/resource/Hinduism_in_Brazil http://dbpedia.org/resource/Hinduism_in_South_America http://dbpedia.org/resource/Hinduism_in_Panama http://dbpedia.org/resource/Hinduism_in_Ecuador http://dbpedia.org/resource/Hinduism_in_Suriname http://dbpedia.org/resource/Hinduism_in_Guyana http://dbpedia.org/resource/Hinduism_in_Bolivia"
"1","6","Australia","http://dbpedia.org/resource/Australia","http://dbpedia.org/resource/Hinduism_in_Australia http://dbpedia.org/resource/Hinduism_in_australia http://dbpedia.org/resource/Australian_Hindus http://dbpedia.org/resource/Australian_Hindu"
"1","7","Austria","http://dbpedia.org/resource/Austria","http://dbpedia.org/resource/Hinduism_in_Austria"
"1","8","Bahrain","http://dbpedia.org/resource/Bahrain","http://dbpedia.org/resource/Hinduism_in_Palestine http://dbpedia.org/resource/Hinduism_in_Syria http://dbpedia.org/resource/Hinduism_in_Arab_states http://dbpedia.org/resource/Hinduism_in_Bahrain http://dbpedia.org/resource/Hinduism_in_Kuwait http://dbpedia.org/resource/Hinduism_in_Western_Sahara http://dbpedia.org/resource/Hinduism_in_Yemen http://dbpedia.org/resource/Hinduism_in_Mauritania http://dbpedia.org/resource/Hinduism_in_Morocco http://dbpedia.org/resource/Hindus_in_Middle_East_Countries http://dbpedia.org/resource/Hinduism_in_Jordan http://dbpedia.org/resource/Hinduism_in_Iraq http://dbpedia.org/resource/Hinduism_in_the_Palestinian_territories http://dbpedia.org/resource/Hinduism_in_Algeria http://dbpedia.org/resource/Hinduism_in_Qatar http://dbpedia.org/resource/Hinduism_in_Lebanon http://dbpedia.org/resource/Hinduism_in_the_United_Arab_Emirates http://dbpedia.org/resource/Hinduism_in_Somalia http://dbpedia.org/resource/Hinduism_in_the_West_Bank http://dbpedia.org/resource/Hinduism_in_Sudan http://dbpedia.org/resource/Hinduism_in_Oman http://dbpedia.org/resource/Hinduism_in_the_Gaza_Strip http://dbpedia.org/resource/Hinduism_in_Libya http://dbpedia.org/resource/Hinduism_in_the_Middle_East http://dbpedia.org/resource/Hinduism_in_Saudi_Arabia"
"1","9","Bangladesh","http://dbpedia.org/resource/Bangladesh","http://dbpedia.org/resource/Persecution_of_Hindus_in_Bangladesh http://dbpedia.org/resource/Hinduism_in_Bangladesh"
"1","10","Belgium","http://dbpedia.org/resource/Belgium","http://dbpedia.org/resource/Hinduism_in_Belgium"
"1","11","Belize","http://dbpedia.org/resource/Belize","http://dbpedia.org/resource/Hinduism_in_Belize"
"1","12","Bhutan","http://dbpedia.org/resource/Bhutan","http://dbpedia.org/resource/Hinduism_in_Bhutan"
