"F1: 0.47368","Precision: 0.47368","Recall: 0.47368"
"Col","Row","Value","Submitted URI","Correct URI's"
"2","3","Rasunda Stadion, Stockholm, Sweden","http://dbpedia.org/resource/Stockholm_Olympic_Stadium","http://dbpedia.org/resource/Råsunda_Stadion http://dbpedia.org/resource/Råsunda_Stadium http://dbpedia.org/resource/Råsunda_fotbollstadion http://dbpedia.org/resource/Solna_Råsunda_Stadion http://dbpedia.org/resource/Rasunda_Stadium http://dbpedia.org/resource/Rasunda http://dbpedia.org/resource/Rasunda_fotbollsstadion http://dbpedia.org/resource/Råsunda_fotbollsstadion http://dbpedia.org/resource/Solna_Stadion http://dbpedia.org/resource/Råsundastadion http://dbpedia.org/resource/Rasunda_Stadion http://dbpedia.org/resource/Råsunda_Idrottsplats http://dbpedia.org/resource/Råsunda http://dbpedia.org/resource/Råsunda_stadion http://dbpedia.org/resource/Råsunda_Fotbollstadion http://dbpedia.org/resource/Rasundastadion http://dbpedia.org/resource/Rasunda_Fotbollstadion"
"2","5","Polideportivo Cachamay, Puerto Ordaz, Venezuela","http://dbpedia.org/resource/Minervén_S.C.","http://dbpedia.org/resource/Polideportivo_Cachamay"
"2","6","Polideportivo Cachamay, Puerto Ordaz, Venezuela","http://dbpedia.org/resource/Minervén_S.C.","http://dbpedia.org/resource/Polideportivo_Cachamay"
"2","7","Estadio OlÃ­mpico Luis Ramos, Puerto la Cruz, Venezuela","http://dbpedia.org/resource/Estadio_José_Antonio_Anzoátegui","http://dbpedia.org/resource/Estadio_Olímpico_Luis_Ramos"
"2","9","Estadio OlÃ­mpico Luis Ramos, Puerto la Cruz, Venezuela","http://dbpedia.org/resource/Estadio_José_Antonio_Anzoátegui","http://dbpedia.org/resource/Estadio_Olímpico_Luis_Ramos"
"2","10","Estadio OlÃ­mpico Luis Ramos, Puerto la Cruz, Venezuela","http://dbpedia.org/resource/Estadio_José_Antonio_Anzoátegui","http://dbpedia.org/resource/Estadio_Olímpico_Luis_Ramos"
"2","14","EstÃ¡dio de PituaÃ§u, Salvador, Brasil","http://dbpedia.org/resource/Estádio_Fonte_Nova","http://dbpedia.org/resource/Estádio_de_Pituaçu"
"2","15","EstÃ¡dio de PituaÃ§u, Salvador, Brasil","http://dbpedia.org/resource/Estádio_Fonte_Nova","http://dbpedia.org/resource/Estádio_de_Pituaçu"
"2","18","Estadio Municipal de ConcepciÃ³n, ConcepciÃ³n, Chile","http://dbpedia.org/resource/Estadio_Ester_Roa","http://dbpedia.org/resource/Estadio_Municipal_de_Concepción"
"2","19","Estadio Monumental, Santiago, Chile","http://dbpedia.org/resource/Estadio_Nacional_Julio_Martínez_Prádanos","http://dbpedia.org/resource/Estadio_Monumental_(Santiago_de_Chile) http://dbpedia.org/resource/Estadio_Monumental_David_Arellano"
