"F1: 0.08333","Precision: 0.08333","Recall: 0.08333"
"Col","Row","Value","Submitted URI","Correct URI's"
"1","1","Ashton-under-Lyne","http://dbpedia.org/resource/Ashton_Sixth_Form_College","http://dbpedia.org/resource/Ashton-under-Lyme http://dbpedia.org/resource/Ashton_Under_Lyne http://dbpedia.org/resource/Ashton-Under-Lyne http://dbpedia.org/resource/Ashton-under-Lyne http://dbpedia.org/resource/Ashton-U-Lyne http://dbpedia.org/resource/Ashton-u-Lyne http://dbpedia.org/resource/Ashton-Under_Lyne http://dbpedia.org/resource/Ashton-under-Lyne,_Lancashire http://dbpedia.org/resource/Ashton_u_Lyne http://dbpedia.org/resource/Ashton_U_Lyne http://dbpedia.org/resource/Ashton_under_Lyne"
"1","2","Bolton le Moors","http://es.dbpedia.org/resource/Chew_Moor","http://dbpedia.org/resource/Bolton_le_Moors http://dbpedia.org/resource/Bolton_le_moors http://dbpedia.org/resource/Bolton-le-Moors"
"1","3","Bury","http://dbpedia.org/resource/Thomas_Bury_(judge)","http://dbpedia.org/resource/Bury,_Lancashire http://dbpedia.org/resource/Bury http://dbpedia.org/resource/Bury,_Greater_Manchester http://dbpedia.org/resource/Bury_(town) http://dbpedia.org/resource/Bury,_England"
"1","4","Deane","http://dbpedia.org/resource/Joseph_Deane","http://dbpedia.org/resource/Deane,_Bolton,_Greater_Manchester http://dbpedia.org/resource/Deane_(Bolton) http://dbpedia.org/resource/Deane,_Greater_Manchester http://dbpedia.org/resource/Deane,_Bolton http://dbpedia.org/resource/Deane,_Lancashire"
"1","5","Eccles","http://dbpedia.org/resource/Bob_Eccles","http://dbpedia.org/resource/Eccles,_Lancashire http://dbpedia.org/resource/Municipal_Borough_of_Eccles http://dbpedia.org/resource/Eccles_Borough_Council http://dbpedia.org/resource/Eccles,_Greater_Manchester"
"1","6","Flixton","nan","http://dbpedia.org/resource/Flixton,_Trafford,_Greater_Manchester http://dbpedia.org/resource/Flixton_Infant_School http://dbpedia.org/resource/Flixton,_Greater_Manchester"
"1","7","Manchester","http://dbpedia.org/resource/Hindley,_Greater_Manchester","http://dbpedia.org/resource/Manchester_(ancient_parish) http://dbpedia.org/resource/Parish_of_Manchester,_Lancashire"
"1","8","Middleton","http://es.dbpedia.org/resource/Michael_Middleton","http://dbpedia.org/resource/Middleton,_Greater_Manchester http://dbpedia.org/resource/Middleton,_Rochdale"
"1","10","Radcliffe","nan","http://dbpedia.org/resource/Radcliffe,_Greater_Manchester http://dbpedia.org/resource/Radcliffe,_Lancashire"
"1","11","Rochdale","http://dbpedia.org/resource/2010–11_Rochdale_A.F.C._season","http://dbpedia.org/resource/Rochdale_(ancient_parish)"
"1","12","Wigan","http://dbpedia.org/resource/Hindley,_Greater_Manchester","http://dbpedia.org/resource/Parish_of_Wigan http://dbpedia.org/resource/Coccium http://dbpedia.org/resource/Wigan,_Lancashire http://dbpedia.org/resource/Wigan,_UK http://dbpedia.org/resource/Wigan_(County_Borough) http://dbpedia.org/resource/Wigan http://dbpedia.org/resource/Wigan,_England http://dbpedia.org/resource/Grand_Arcade_(Wigan) http://dbpedia.org/resource/Chochion http://dbpedia.org/resource/Wigan,_Greater_Manchester"
