"F1: 0.77358","Precision: 0.77358","Recall: 0.77358"
"Col","Row","Value","Submitted URI","Correct URI's"
"1","10","Villain","http://dbpedia.org/resource/Ek_Villain","http://dbpedia.org/resource/Villain_(1971_Film) http://dbpedia.org/resource/Villain_(1971_movie) http://dbpedia.org/resource/Villain_(1971_film) http://dbpedia.org/resource/Villain_film"
"1","14","Ransom","http://dbpedia.org/resource/Blood_Ransom","http://dbpedia.org/resource/Ransom_(1974_film) http://dbpedia.org/resource/The_Terrorists_(1975_film) http://dbpedia.org/resource/The_Terrorists_(1974_film) http://dbpedia.org/resource/The_Terrorists_(film) http://dbpedia.org/resource/Ransom_(1975_film)"
"1","15","Journey into Fear","http://dbpedia.org/resource/Journey_into_Fear_(1943_film)","http://dbpedia.org/resource/Journey_into_Fear_(1975_film)"
"1","21","Exposed","http://dbpedia.org/resource/Exposé_(Lost)","http://dbpedia.org/resource/Exposed_(1983_film)"
"1","25","Grand Larceny","http://dbpedia.org/resource/Grand_Larceny_(1922_film)","http://dbpedia.org/resource/Grand_Larceny_(film) http://dbpedia.org/resource/Grand_Larceny"
"1","31","Nine Lives","http://dbpedia.org/resource/Nine_Lives_(2002_film)","http://dbpedia.org/resource/Nine_Lives_(2005_film)"
"1","35","Hot Rod","http://dbpedia.org/resource/Hot_Rod_(2007_film)","http://dbpedia.org/resource/Hot_rod_(movie) http://dbpedia.org/resource/Hot_Rod_(film)"
"1","36","The Seeker","http://dbpedia.org/resource/Legend_of_the_Seeker","http://dbpedia.org/resource/Dark_is_Rising_(film) http://dbpedia.org/resource/The_Dark_is_Rising:_The_Seeker http://dbpedia.org/resource/The_Dark_is_Rising_(film) http://dbpedia.org/resource/The_Seeker:_The_Dark_is_Rising http://dbpedia.org/resource/The_Seeker_(film) http://dbpedia.org/resource/The_Seeker:_Dark_is_Rising http://dbpedia.org/resource/The_Seeker:_The_Dark_Is_Rising http://dbpedia.org/resource/Dark_is_Rising:_The_Seeker http://dbpedia.org/resource/The_Dark_Is_Rising_(film)"
"1","43","The Sorcerer's Apprentice","http://dbpedia.org/resource/Harry_Potter_and_the_Philosopher's_Stone_(film)","http://dbpedia.org/resource/The_Sorcerer's_Apprentice_(2010_film)"
"1","45","Snow White & the Huntsman","http://dbpedia.org/resource/Snow_White_and_the_Huntsman","http://dbpedia.org/resource/Snow_White_&_the_Huntsman"
"1","52","Bolden!","http://dbpedia.org/resource/Buddy_Bolden","http://dbpedia.org/resource/Bolden!"
"1","53","Bilal","http://dbpedia.org/resource/Bilal_(American_singer)","http://dbpedia.org/resource/Bilal_(film) http://dbpedia.org/resource/Bilal_(2015_film) http://dbpedia.org/resource/Bilal_(2015)"
