"F1: 0.31481","Precision: 0.31481","Recall: 0.31481"
"Col","Row","Value","Submitted URI","Correct URI's"
"1","1","Alexandria to Tobruk","http://dbpedia.org/resource/Tobruk","http://dbpedia.org/resource/Ahmed_Orabi_Square http://dbpedia.org/resource/Al-Iskandariyya http://dbpedia.org/resource/El_Iskandarîya http://dbpedia.org/resource/Eskendereyya http://dbpedia.org/resource/Alexandria,_EG http://dbpedia.org/resource/Louran http://dbpedia.org/resource/Al_Iskandarîya http://dbpedia.org/resource/Αλεξάνδρεια http://dbpedia.org/resource/الأسكندرية http://dbpedia.org/resource/Ἀλεξάνδρεια http://dbpedia.org/resource/Al-Iskandariya http://dbpedia.org/resource/Alexandrea http://dbpedia.org/resource/Alexandria_(Egypt) http://dbpedia.org/resource/Al_Iskandariya http://dbpedia.org/resource/Alexándreia http://dbpedia.org/resource/Alexandria,_Egypt http://dbpedia.org/resource/Iskenderia http://dbpedia.org/resource/Iskandariyya http://dbpedia.org/resource/City_of_Alexandria http://dbpedia.org/resource/الإسكندرية http://dbpedia.org/resource/اسكندريه http://dbpedia.org/resource/Egypt_Alexandria http://dbpedia.org/resource/Alexandria http://dbpedia.org/resource/Orabi_Square"
"1","2","Alexandria to Greece","http://dbpedia.org/resource/Alexandreia,_Greece","http://dbpedia.org/resource/Ahmed_Orabi_Square http://dbpedia.org/resource/Al-Iskandariyya http://dbpedia.org/resource/El_Iskandarîya http://dbpedia.org/resource/Eskendereyya http://dbpedia.org/resource/Alexandria,_EG http://dbpedia.org/resource/Louran http://dbpedia.org/resource/Al_Iskandarîya http://dbpedia.org/resource/Αλεξάνδρεια http://dbpedia.org/resource/الأسكندرية http://dbpedia.org/resource/Ἀλεξάνδρεια http://dbpedia.org/resource/Al-Iskandariya http://dbpedia.org/resource/Alexandrea http://dbpedia.org/resource/Alexandria_(Egypt) http://dbpedia.org/resource/Al_Iskandariya http://dbpedia.org/resource/Alexándreia http://dbpedia.org/resource/Alexandria,_Egypt http://dbpedia.org/resource/Iskenderia http://dbpedia.org/resource/Iskandariyya http://dbpedia.org/resource/City_of_Alexandria http://dbpedia.org/resource/الإسكندرية http://dbpedia.org/resource/اسكندريه http://dbpedia.org/resource/Egypt_Alexandria http://dbpedia.org/resource/Alexandria http://dbpedia.org/resource/Orabi_Square"
"1","4","Alexandria to Piraeus","http://dbpedia.org/resource/Piraeus","http://dbpedia.org/resource/Ahmed_Orabi_Square http://dbpedia.org/resource/Al-Iskandariyya http://dbpedia.org/resource/El_Iskandarîya http://dbpedia.org/resource/Eskendereyya http://dbpedia.org/resource/Alexandria,_EG http://dbpedia.org/resource/Louran http://dbpedia.org/resource/Al_Iskandarîya http://dbpedia.org/resource/Αλεξάνδρεια http://dbpedia.org/resource/الأسكندرية http://dbpedia.org/resource/Ἀλεξάνδρεια http://dbpedia.org/resource/Al-Iskandariya http://dbpedia.org/resource/Alexandrea http://dbpedia.org/resource/Alexandria_(Egypt) http://dbpedia.org/resource/Al_Iskandariya http://dbpedia.org/resource/Alexándreia http://dbpedia.org/resource/Alexandria,_Egypt http://dbpedia.org/resource/Iskenderia http://dbpedia.org/resource/Iskandariyya http://dbpedia.org/resource/City_of_Alexandria http://dbpedia.org/resource/الإسكندرية http://dbpedia.org/resource/اسكندريه http://dbpedia.org/resource/Egypt_Alexandria http://dbpedia.org/resource/Alexandria http://dbpedia.org/resource/Orabi_Square"
"1","8","Alexandria to Tobruk","http://dbpedia.org/resource/Tobruk","http://dbpedia.org/resource/Ahmed_Orabi_Square http://dbpedia.org/resource/Al-Iskandariyya http://dbpedia.org/resource/El_Iskandarîya http://dbpedia.org/resource/Eskendereyya http://dbpedia.org/resource/Alexandria,_EG http://dbpedia.org/resource/Louran http://dbpedia.org/resource/Al_Iskandarîya http://dbpedia.org/resource/Αλεξάνδρεια http://dbpedia.org/resource/الأسكندرية http://dbpedia.org/resource/Ἀλεξάνδρεια http://dbpedia.org/resource/Al-Iskandariya http://dbpedia.org/resource/Alexandrea http://dbpedia.org/resource/Alexandria_(Egypt) http://dbpedia.org/resource/Al_Iskandariya http://dbpedia.org/resource/Alexándreia http://dbpedia.org/resource/Alexandria,_Egypt http://dbpedia.org/resource/Iskenderia http://dbpedia.org/resource/Iskandariyya http://dbpedia.org/resource/City_of_Alexandria http://dbpedia.org/resource/الإسكندرية http://dbpedia.org/resource/اسكندريه http://dbpedia.org/resource/Egypt_Alexandria http://dbpedia.org/resource/Alexandria http://dbpedia.org/resource/Orabi_Square"
"1","10","Brest, France to Casablanca","http://dbpedia.org/resource/Casablanca","http://dbpedia.org/resource/History_of_Brest,_France http://dbpedia.org/resource/Brest_(France) http://dbpedia.org/resource/Brest,_Finistère http://dbpedia.org/resource/Brest,_Bretagne http://dbpedia.org/resource/Brest,_Finistere http://dbpedia.org/resource/Brest,_France"
"1","11","Casablanca to Gibraltar","http://dbpedia.org/resource/List_of_Allied_convoy_codes_during_World_War_II","http://dbpedia.org/resource/Casablanca-Anfa_Prefecture http://dbpedia.org/resource/Ad-Dār_al-Bayḍāʼ http://dbpedia.org/resource/Casa_Blanca http://dbpedia.org/resource/Casablanca_(city) http://dbpedia.org/resource/Casablanca_(wilaya) http://dbpedia.org/resource/Wilaya_of_Dar_el_Beïda http://dbpedia.org/resource/Dar_el_Beïda,_Morocco http://dbpedia.org/resource/Prefecture_of_Dar_el_Beïda http://dbpedia.org/resource/Dar_El_Beïda,_Morocco http://dbpedia.org/resource/Casablanca,_MO http://dbpedia.org/resource/Dar_el_Beïda_(Morocco) http://dbpedia.org/resource/Casablanco,_MO http://dbpedia.org/resource/Dar-el-Beida_(Morocco) http://dbpedia.org/resource/Dar_Al-Baida http://dbpedia.org/resource/Ad-Dār_al-Bayḍā http://dbpedia.org/resource/Dar-el-Beida,_Morocco http://dbpedia.org/resource/Prefecture_of_Casablanca http://dbpedia.org/resource/الدار_البيضاء http://dbpedia.org/resource/Dar_El_Beïda_(Morocco) http://dbpedia.org/resource/Casablanca,_Morocco http://dbpedia.org/resource/Casablanca http://dbpedia.org/resource/Casablanca,_Morrocco http://dbpedia.org/resource/Wilaya_of_Casablanca"
"1","13","Casablanca to Dakar","nan","http://dbpedia.org/resource/Casablanca-Anfa_Prefecture http://dbpedia.org/resource/Ad-Dār_al-Bayḍāʼ http://dbpedia.org/resource/Casa_Blanca http://dbpedia.org/resource/Casablanca_(city) http://dbpedia.org/resource/Casablanca_(wilaya) http://dbpedia.org/resource/Wilaya_of_Dar_el_Beïda http://dbpedia.org/resource/Dar_el_Beïda,_Morocco http://dbpedia.org/resource/Prefecture_of_Dar_el_Beïda http://dbpedia.org/resource/Dar_El_Beïda,_Morocco http://dbpedia.org/resource/Casablanca,_MO http://dbpedia.org/resource/Dar_el_Beïda_(Morocco) http://dbpedia.org/resource/Casablanco,_MO http://dbpedia.org/resource/Dar-el-Beida_(Morocco) http://dbpedia.org/resource/Dar_Al-Baida http://dbpedia.org/resource/Ad-Dār_al-Bayḍā http://dbpedia.org/resource/Dar-el-Beida,_Morocco http://dbpedia.org/resource/Prefecture_of_Casablanca http://dbpedia.org/resource/الدار_البيضاء http://dbpedia.org/resource/Dar_El_Beïda_(Morocco) http://dbpedia.org/resource/Casablanca,_Morocco http://dbpedia.org/resource/Casablanca http://dbpedia.org/resource/Casablanca,_Morrocco http://dbpedia.org/resource/Wilaya_of_Casablanca"
"1","14","Corsica to Bizerte via Sardinia","http://dbpedia.org/resource/Corsica,_Pennsylvania","http://dbpedia.org/resource/La_Corse http://dbpedia.org/resource/Corsica_(Journal) http://dbpedia.org/resource/Corsica http://dbpedia.org/resource/Corse http://dbpedia.org/resource/Cyrnos http://dbpedia.org/resource/Korsika http://dbpedia.org/resource/Corsic http://dbpedia.org/resource/Corsica,_France http://dbpedia.org/resource/Cyrnus"
"1","16","Dakar to Casablanca","nan","http://dbpedia.org/resource/UN/LOCODE:SNDKR http://dbpedia.org/resource/Dakar http://dbpedia.org/resource/Dakar,_Senegal http://dbpedia.org/resource/Capital_of_Senegal"
"1","17","Dakar to Gibraltar","http://dbpedia.org/resource/Gibraltar","http://dbpedia.org/resource/UN/LOCODE:SNDKR http://dbpedia.org/resource/Dakar http://dbpedia.org/resource/Dakar,_Senegal http://dbpedia.org/resource/Capital_of_Senegal"
