"F1: 0.62500","Precision: 0.62500","Recall: 0.62500"
"Col","Row","Value","Submitted URI","Correct URI's"
"0","7","Genesis","http://dbpedia.org/resource/Genesis_(Star_Trek:_The_Next_Generation)","http://dbpedia.org/resource/Genesis_(1986_film)"
"0","13","Jaal","http://dbpedia.org/resource/Jaal_(1952_film)","http://dbpedia.org/resource/Jaal_(1986_film)"
"0","16","Jeeva","http://dbpedia.org/resource/Jeeva_(1988_film)","http://dbpedia.org/resource/Jeeva_(1986_film)"
"0","18","Jwala","http://dbpedia.org/resource/Jwala_(1969_film)","http://dbpedia.org/resource/Jwala"
"0","22","Karma","http://dbpedia.org/resource/Karma_(Alicia_Keys_song)","http://dbpedia.org/resource/Karma_(1986_film)"
"0","23","Karamdaata","nan","http://dbpedia.org/resource/Karamdaata http://dbpedia.org/resource/Karamdaata_(1986_film)"
"0","25","Kirayadar","nan","http://dbpedia.org/resource/Kirayadar"
"0","32","Main Balwan","http://dbpedia.org/resource/Main_(river)","http://dbpedia.org/resource/Main_Balwaan_(1986_film) http://dbpedia.org/resource/Main_Balwaan_(1985_film) http://dbpedia.org/resource/Main_Balwan"
"0","38","Mohabbat Ki Kasam","http://dbpedia.org/resource/Mohabbat_Ki_Kasauti","http://dbpedia.org/resource/Mohabbat_Ki_Kasam"
"0","42","Naam","http://dbpedia.org/resource/Naam_(1953_film)","http://dbpedia.org/resource/Naam_(1986_film)"
"0","43","Nagina","http://dbpedia.org/resource/Nagina_(1986_film)","http://dbpedia.org/resource/Nagina_(film) http://dbpedia.org/resource/Nagina_(disambiguation)"
"0","45","Naseeb Apna Apna","http://dbpedia.org/resource/Naseeb_Apna_Apna_(1986_film)","http://dbpedia.org/resource/Naseeb_apna_apna_(1970_film) http://dbpedia.org/resource/Naseeb_Apna_Apna_(1970_film) http://dbpedia.org/resource/Naseeb_Apna_Apna"
"0","47","New Delhi Times","http://dbpedia.org/resource/New_Delhi_Times_(film)","http://dbpedia.org/resource/New_Delhi_Times"
"0","50","Palay Khan","http://dbpedia.org/resource/Palay_Khan_(film)","http://dbpedia.org/resource/Palay_Khan"
"0","52","Parampara","http://dbpedia.org/resource/Parampara_(1993_film)","http://dbpedia.org/resource/Parapara-guru http://dbpedia.org/resource/Parameshti-guru http://dbpedia.org/resource/Paramparā http://dbpedia.org/resource/Parama-guru http://dbpedia.org/resource/Parapara_Guru http://dbpedia.org/resource/Parampara http://dbpedia.org/resource/Paramguru http://dbpedia.org/resource/Parama_Guru http://dbpedia.org/resource/Parameshti_Guru"
