"F1: 0.73684","Precision: 0.73684","Recall: 0.73684"
"Col","Row","Value","Submitted URI","Correct URI's"
"0","4","BioShock[11]","http://dbpedia.org/resource/BioShock_Infinite","http://dbpedia.org/resource/BioShock_(video_game) http://dbpedia.org/resource/BIOSHOCK_MOBILE http://dbpedia.org/resource/BioShock_1 http://dbpedia.org/resource/BIOSHOCK http://dbpedia.org/resource/Bioshock_(film) http://dbpedia.org/resource/BioShock http://dbpedia.org/resource/Development_of_BioShock http://dbpedia.org/resource/Bioshock_the_movie http://dbpedia.org/resource/Bioshock_(video_game) http://dbpedia.org/resource/Bioshock http://dbpedia.org/resource/Fort_frolic http://dbpedia.org/resource/Bioshock_(game) http://dbpedia.org/resource/Would_you_kindly? http://dbpedia.org/resource/BioShock_(film) http://dbpedia.org/resource/Would_you_kindly http://dbpedia.org/resource/Bioshock_Film http://dbpedia.org/resource/Bio_Shock http://dbpedia.org/resource/Bridgette_Tennenbaum http://dbpedia.org/resource/Bioshock_Game_Engine http://dbpedia.org/resource/Code_Yellow"
"0","7","Crysis[14]","http://dbpedia.org/resource/Crysis_2","http://dbpedia.org/resource/Crysis_1 http://dbpedia.org/resource/Lingshan_Islands http://dbpedia.org/resource/Crysis http://dbpedia.org/resource/World_in_Crysis http://dbpedia.org/resource/Crysis_Special_Edition_Soundtrack"
"0","11","Gears of War[17]","http://dbpedia.org/resource/Gears_of_War_(video_game)","http://dbpedia.org/resource/Pistol_whip_baby http://dbpedia.org/resource/Gnasher_Shotgun http://dbpedia.org/resource/Snub_Pistol http://dbpedia.org/resource/Gears_of_War_(film) http://dbpedia.org/resource/Emergence_day http://dbpedia.org/resource/Gears_of_war_(film) http://dbpedia.org/resource/Gears_of_war_gametypes http://dbpedia.org/resource/Lancer_Assault_Rifle http://dbpedia.org/resource/Imulsion http://dbpedia.org/resource/Torque_Bow http://dbpedia.org/resource/Gears_of_War_film http://dbpedia.org/resource/Lightmass_Process http://dbpedia.org/resource/Gears_of_war_multiplayer http://dbpedia.org/resource/Longshot_Sniper_Rifle http://dbpedia.org/resource/Gears_of_war http://dbpedia.org/resource/Gears_of_War_Film http://dbpedia.org/resource/Gears_of_war_pc http://dbpedia.org/resource/Geers_of_War http://dbpedia.org/resource/Boomshot http://dbpedia.org/resource/Coalition_of_Ordered_Governments http://dbpedia.org/resource/Gears_Of_War http://dbpedia.org/resource/Gears_of_War_series http://dbpedia.org/resource/Hammer_Burst http://dbpedia.org/resource/Gears_of_war_Achievements http://dbpedia.org/resource/Gears_of_War_-_The_Soundtrack http://dbpedia.org/resource/Gears_of_War:_The_Board_Game http://dbpedia.org/resource/Pendulum_Wars http://dbpedia.org/resource/Gears_of_war_movie http://dbpedia.org/resource/Gears_of_War_(Film) http://dbpedia.org/resource/Lost_My_Gun http://dbpedia.org/resource/Emergence_Day http://dbpedia.org/resource/Lancer_Machine_Gun http://dbpedia.org/resource/Hammer_of_dawn http://dbpedia.org/resource/Gears_of_War_5 http://dbpedia.org/resource/Gears_of_War_(series) http://dbpedia.org/resource/Gears_of_War_PC http://dbpedia.org/resource/Gears_of_War http://dbpedia.org/resource/Gear_of_war"
"0","21","My Horse and Me[25]","http://dbpedia.org/resource/My_Horse_&_Me_2","http://dbpedia.org/resource/My_Horse_&_Me http://dbpedia.org/resource/My_Horse_and_Me"
"0","22","Rail Simulator[26]","http://dbpedia.org/resource/Train_Simulator_(video_game)","http://dbpedia.org/resource/Kuju_Rail_Simulator http://dbpedia.org/resource/Rail_Simulator"
"0","25","Sid Meier's Civilization IV: Beyond the Sword[28]","http://dbpedia.org/resource/Civilization_IV","http://dbpedia.org/resource/Civ_4_beyond_the_sword http://dbpedia.org/resource/Civ_4_BTS http://dbpedia.org/resource/Beyond_the_Sword http://dbpedia.org/resource/Civ_4_bts http://dbpedia.org/resource/Beyond_the_sword http://dbpedia.org/resource/Civilization_IV:_Beyond_The_Sword http://dbpedia.org/resource/Civilization_IV:_BTS http://dbpedia.org/resource/Civilization_IV:_Beyond_the_Sword http://dbpedia.org/resource/Civ4:BTS http://dbpedia.org/resource/Civ_4:_BTS http://dbpedia.org/resource/Sid_Meier's_Civilization_IV:_Beyond_the_Sword http://dbpedia.org/resource/Sid_Meier's_Civilization_4:_Beyond_the_Sword http://dbpedia.org/resource/Civ4:bts http://dbpedia.org/resource/Civilization_beyond_the_sword"
"0","29","Supreme Commander[34]","http://dbpedia.org/resource/Supreme_Commander_2","http://dbpedia.org/resource/Nations_in_Supreme_Commander http://dbpedia.org/resource/United_Earth_Federation http://dbpedia.org/resource/Supreme_Commander_(series) http://dbpedia.org/resource/Cybran_Nation http://dbpedia.org/resource/Factions_in_Supreme_Commander http://dbpedia.org/resource/Supreme_Commander_(Computer_Game) http://dbpedia.org/resource/Supreme_Commander_(game) http://dbpedia.org/resource/Cybran http://dbpedia.org/resource/Supreme_Commander_(computer_game) http://dbpedia.org/resource/Supreme_Commander_Official_Soundtrack http://dbpedia.org/resource/Supreme_Commander_(video_game) http://dbpedia.org/resource/Supreme_Commander_1 http://dbpedia.org/resource/Factions_in_supreme_commander http://dbpedia.org/resource/Armored_Command_Unit"
"0","30","Supreme Commander: Forged Alliance[35]","http://dbpedia.org/resource/Supreme_Commander_(video_game)","http://dbpedia.org/resource/Forged_Alliance http://dbpedia.org/resource/Forged_allaince http://dbpedia.org/resource/Supcom:fa http://dbpedia.org/resource/Supreme_Commander_Forged_Alliance http://dbpedia.org/resource/Supreme_Commander_1:_Forged_Alliance http://dbpedia.org/resource/Supreme_Commander:_Forged_Alliance http://dbpedia.org/resource/Forged_alliance"
"0","33","The Witcher[13]","http://dbpedia.org/resource/The_Witcher_3:_Wild_Hunt","http://dbpedia.org/resource/Witcher_(game) http://dbpedia.org/resource/The_Witcher_(computer_game) http://dbpedia.org/resource/The_Witcher_Enhanced_Edition http://dbpedia.org/resource/Witcher_game http://dbpedia.org/resource/Rise_of_the_White_Wolf http://dbpedia.org/resource/The_witcher_1 http://dbpedia.org/resource/The_witcher_pc http://dbpedia.org/resource/The_Witcher:_Rise_of_the_White_Wolf http://dbpedia.org/resource/The_Witcher:_White_Wolf http://dbpedia.org/resource/The_Witcher:_Enhanced_Edition http://dbpedia.org/resource/The_Witcher_Enhanced_Version http://dbpedia.org/resource/The_Witcher_(video_game) http://dbpedia.org/resource/The_Witcher_(game)"
"0","35","Two Worlds[39]","http://dbpedia.org/resource/Two_Worlds_II","http://dbpedia.org/resource/Two_Worlds_(computer_game) http://dbpedia.org/resource/Two_Worlds_(video_game) http://dbpedia.org/resource/Two_worlds_xbox_360 http://dbpedia.org/resource/Two_Worlds:_The_Temptation"
