"F1: 0.00000","Precision: 0.00000","Recall: 0.00000"
"Col","Row","Value","Submitted URI","Correct URI's"
"1","1","Detroit Lions","http://dbpedia.org/resource/Detroit_Lions","http://dbpedia.org/resource/List_of_Portsmouth_Spartans_seasons http://dbpedia.org/resource/Detroit_Lions_seasons http://dbpedia.org/resource/List_of_Detroit_Lions_seasons http://dbpedia.org/resource/Portsmouth_Spartans_seasons"
"1","2","New York Jets","http://dbpedia.org/resource/New_York_Jets","http://dbpedia.org/resource/List_of_New_York_Titans_seasons http://dbpedia.org/resource/New_york_jets_seasons http://dbpedia.org/resource/New_York_Titans_seasons http://dbpedia.org/resource/List_of_New_York_Jets_seasons http://dbpedia.org/resource/New_York_Jets_seasons"
"1","3","Kansas City Chiefs","http://dbpedia.org/resource/Kansas_City_Chiefs","http://dbpedia.org/resource/List_of_Kansas_City_Chiefs_seasons http://dbpedia.org/resource/Kansas_City_Chiefs_seasons http://dbpedia.org/resource/List_of_Dallas_Texans_(AFL)_seasons http://dbpedia.org/resource/Dallas_Texans_(AFL)_seasons"
"1","4","Cleveland Browns*","http://dbpedia.org/resource/Cleveland_Browns","http://dbpedia.org/resource/Cleveland_Browns_seasons http://dbpedia.org/resource/List_of_Cleveland_Browns_seasons"
"1","5","Minnesota Vikings","http://dbpedia.org/resource/San_Francisco_49ers","http://dbpedia.org/resource/List_of_Minnesota_Vikings_seasons http://dbpedia.org/resource/Minnesota_Vikings_seasons http://dbpedia.org/resource/Minnesota_Vikings/Season_by_season"
"1","6","Miami Dolphins","http://dbpedia.org/resource/Miami_Dolphins","http://dbpedia.org/resource/Miami_Dolphins_seasons http://dbpedia.org/resource/List_of_Miami_Dolphins_seasons"
"1","7","Cincinnati Bengals","http://dbpedia.org/resource/Cincinnati_Bengals","http://dbpedia.org/resource/List_of_Cincinnati_Bengals_seasons http://dbpedia.org/resource/Cincinnati_Bengals_seasons"
"1","8","Washington Redskins","http://dbpedia.org/resource/Washington_Redskins","http://dbpedia.org/resource/List_of_Boston_Braves_(NFL)_seasons http://dbpedia.org/resource/List_of_Boston_Redskins_seasons http://dbpedia.org/resource/List_of_Washington_Redskins_seasons http://dbpedia.org/resource/Boston_Braves_(NFL)_seasons http://dbpedia.org/resource/LIst_of_Boston_Redskins_seasons http://dbpedia.org/resource/Boston_Redskins_seasons http://dbpedia.org/resource/Washington_Redskins_seasons"
"1","9","Buffalo Bills","http://dbpedia.org/resource/Buffalo_Bills","http://dbpedia.org/resource/List_of_Buffalo_Bills_seasons http://dbpedia.org/resource/Buffalo_Bills_seasons"
"1","10","Jacksonville Jaguars","http://dbpedia.org/resource/Jacksonville_Jaguars","http://dbpedia.org/resource/Jacksonville_Jaguars_seasons http://dbpedia.org/resource/List_of_Jacksonville_Jaguars_seasons"
"1","11","San Diego Chargers","http://dbpedia.org/resource/Los_Angeles_Chargers","http://dbpedia.org/resource/Los_Angeles_Chargers_seasons http://dbpedia.org/resource/List_of_Los_Angeles_Chargers_seasons http://dbpedia.org/resource/San_Diego_Chargers_seasons http://dbpedia.org/resource/List_of_San_Diego_Chargers_seasons"
"1","12","Dallas Cowboys","http://dbpedia.org/resource/Dallas_Cowboys","http://dbpedia.org/resource/Dallas_cowboys_seasons http://dbpedia.org/resource/Dallas_Cowboys_seasons http://dbpedia.org/resource/List_of_Dallas_Cowboys_seasons"
"1","13","Atlanta Falcons","http://dbpedia.org/resource/Atlanta_Falcons","http://dbpedia.org/resource/Atlanta_Falcons_seasons http://dbpedia.org/resource/List_of_Atlanta_Falcons_seasons"
"1","14","Tennessee Titans","http://dbpedia.org/resource/Tennessee_Titans","http://dbpedia.org/resource/Houston_Oilers_seasons http://dbpedia.org/resource/List_of_Houston_Oilers_seasons http://dbpedia.org/resource/List_of_Tennessee_Titans_seasons http://dbpedia.org/resource/Tennessee_Oilers_seasons http://dbpedia.org/resource/List_of_Tennessee_Oilers_seasons http://dbpedia.org/resource/Tennessee_Titans_seasons"
"1","15","Houston Texans","http://dbpedia.org/resource/Houston_Texans","http://dbpedia.org/resource/Houston_Texans_seasons http://dbpedia.org/resource/List_of_Houston_Texans_seasons"
"1","16","Los Angeles Rams","http://dbpedia.org/resource/Los_Angeles_Rams","http://dbpedia.org/resource/List_of_St._Louis_Rams_seasons http://dbpedia.org/resource/List_of_Los_Angeles_Rams_seasons http://dbpedia.org/resource/List_of_Cleveland_Rams_seasons http://dbpedia.org/resource/Cleveland_Rams_seasons http://dbpedia.org/resource/Los_Angeles_Rams_seasons http://dbpedia.org/resource/St._Louis_Rams_seasons"
"1","17","Tampa Bay Buccaneers","http://dbpedia.org/resource/Tampa_Bay_Buccaneers","http://dbpedia.org/resource/List_of_Tampa_Bay_Buccaneers_seasons http://dbpedia.org/resource/Tampa_Bay_Buccaneers_seasons http://dbpedia.org/resource/Tampa_bay_buccaneers_seasons"
"1","18","Oakland Raiders","http://dbpedia.org/resource/Oakland_Raiders","http://dbpedia.org/resource/List_of_Oakland/Los_Angeles_Raiders_seasons http://dbpedia.org/resource/Oakland_raiders_seasons http://dbpedia.org/resource/List_of_Oakland_Raiders_seasons http://dbpedia.org/resource/Los_Angeles_Raiders_seasons http://dbpedia.org/resource/Oakland_Raiders_seasons http://dbpedia.org/resource/List_of_Los_Angeles_Raiders_seasons"
"1","19","Philadelphia Eagles","http://dbpedia.org/resource/Philadelphia_Eagles","http://dbpedia.org/resource/Philadelphia_Eagles_seasons http://dbpedia.org/resource/List_of_Philadelphia_Eagles_seasons"
"1","20","Chicago Bears","http://dbpedia.org/resource/Chicago_Bears","http://dbpedia.org/resource/List_of_Decatur_Staleys_seasons http://dbpedia.org/resource/Chicago_Bears_seasons http://dbpedia.org/resource/List_of_Chicago_Bears_Seasons http://dbpedia.org/resource/Chicago_Bears_Seasons http://dbpedia.org/resource/Chicago_Staleys_seasons http://dbpedia.org/resource/List_of_Chicago_Staleys_seasons http://dbpedia.org/resource/List_of_Chicago_Bears_seasons http://dbpedia.org/resource/Decatur_Staleys_seasons"
"1","21","Arizona Cardinals","http://dbpedia.org/resource/Arizona_Cardinals","http://dbpedia.org/resource/List_of_Phoenix_Cardinals_seasons http://dbpedia.org/resource/Arizona_Cardinals_seasons http://dbpedia.org/resource/Chicago_Cardinals_seasons http://dbpedia.org/resource/List_of_Chicago_Cardinals_seasons http://dbpedia.org/resource/St._Louis_Cardinals_(NFL)_seasons http://dbpedia.org/resource/List_of_St._Louis_Cardinals_(NFL)_seasons http://dbpedia.org/resource/List_of_Arizona_Cardinals_seasons http://dbpedia.org/resource/Phoenix_Cardinals_seasons"
"1","22","New Orleans Saints","http://dbpedia.org/resource/New_Orleans_Saints","http://dbpedia.org/resource/List_of_New_Orleans_Saints_seasons http://dbpedia.org/resource/New_Orleans_Saints_seasons"
"1","23","Indianapolis Colts","http://dbpedia.org/resource/Indianapolis_Colts","http://dbpedia.org/resource/Indianapolis_Colts_season http://dbpedia.org/resource/Colts_seasons http://dbpedia.org/resource/List_of_Baltimore_Colts_seasons http://dbpedia.org/resource/Indianapolis_Colts_seasons http://dbpedia.org/resource/List_of_Indianapolis_Colts_seasons http://dbpedia.org/resource/Baltimore_Colts_seasons"
"1","24","Green Bay Packers","http://dbpedia.org/resource/Green_Bay_Packers","http://dbpedia.org/resource/List_of_Green_Bay_Packers_seasons http://dbpedia.org/resource/Green_Bay_Packers_seasons http://dbpedia.org/resource/Packers_seasons"
"1","25","Pittsburgh Steelers","http://dbpedia.org/resource/Pittsburgh_Steelers","http://dbpedia.org/resource/Pittsburgh_Pirates_(NFL)_seasons http://dbpedia.org/resource/Pittsburgh_Steelers_seasons http://dbpedia.org/resource/Pittsburgh_Steelers_season http://dbpedia.org/resource/List_of_Pittsburgh_Steelers_seasons http://dbpedia.org/resource/List_of_Pittsburgh_Pirates_(NFL)_seasons"
"1","26","New York Giants","http://dbpedia.org/resource/San_Francisco_Giants","http://dbpedia.org/resource/New_York_Giants_seasons http://dbpedia.org/resource/New_york_giants_seasons http://dbpedia.org/resource/List_of_New_York_Giants_seasons"
"1","27","Baltimore Ravens","http://dbpedia.org/resource/Baltimore_Ravens","http://dbpedia.org/resource/List_of_Baltimore_Ravens_seasons http://dbpedia.org/resource/Baltimore_Ravens_seasons"
"1","28","San Francisco 49ers","http://dbpedia.org/resource/San_Francisco_49ers","http://dbpedia.org/resource/San_Francisco_49ers_seasons http://dbpedia.org/resource/List_of_San_Francisco_49ers_seasons"
"1","29","Seattle Seahawks","http://dbpedia.org/resource/Seattle_Seahawks","http://dbpedia.org/resource/Seattle_seahawks_seasons http://dbpedia.org/resource/Seattle_Seahawks_seasons http://dbpedia.org/resource/List_of_Seattle_Seahawks_seasons"
"1","30","New England Patriots","http://dbpedia.org/resource/New_England_Patriots","http://dbpedia.org/resource/New_England_Patriots_seasons http://dbpedia.org/resource/List_of_Boston_Patriots_seasons http://dbpedia.org/resource/List_of_New_England_Patriots_seasons http://dbpedia.org/resource/New_england_patriots_seasons http://dbpedia.org/resource/Boston_Patriots_seasons"
"1","32","Denver Broncos","http://dbpedia.org/resource/Denver_Broncos","http://dbpedia.org/resource/Denver_Broncos_seasons http://dbpedia.org/resource/List_of_Denver_Broncos_seasons"
"1","33","Carolina Panthers","http://dbpedia.org/resource/Carolina_Panthers","http://dbpedia.org/resource/Carolina_Panthers_seasons http://dbpedia.org/resource/List_of_Carolina_Panthers_seasons"
