"F1: 0.79825","Precision: 0.79825","Recall: 0.79825"
"Col","Row","Value","Submitted URI","Correct URI's"
"0","3","Cape Breton","http://dbpedia.org/resource/Capbreton","http://dbpedia.org/resource/Tompkins_Elementary http://dbpedia.org/resource/Cape_Breton_Regional_Municipality http://dbpedia.org/resource/Tower_Road,_Nova_Scotia http://dbpedia.org/resource/Cape_Breton_Regional_Municipality,_Nova_Scotia"
"0","5","Nanaimo","http://dbpedia.org/resource/British_Columbia","http://dbpedia.org/resource/Seven_Potatoes http://dbpedia.org/resource/History_of_Nanaimo http://dbpedia.org/resource/Nanaimo,_B.C. http://dbpedia.org/resource/Nanaimo,_British_Columbia http://dbpedia.org/resource/Nanaimo,_BC http://dbpedia.org/resource/Nanaimo"
"0","7","Belleville","http://dbpedia.org/resource/Paris","http://dbpedia.org/resource/Belleville,_Ontario http://dbpedia.org/resource/Belleville,_ON http://dbpedia.org/resource/Belleville,_Canada http://dbpedia.org/resource/History_of_Belleville,_Ontario http://dbpedia.org/resource/Belleville_(ON) http://dbpedia.org/resource/Thrasher's_Corners,_Ontario"
"0","21","Norfolk","http://dbpedia.org/resource/Norfolk,_Virginia","http://dbpedia.org/resource/Wyecombe,_Ontario http://dbpedia.org/resource/Gilbertsville,_Ontario http://dbpedia.org/resource/Simcoe_Public_Library http://dbpedia.org/resource/Norfolk_County_Public_Library http://dbpedia.org/resource/Booth's_Harbor,_Ontario http://dbpedia.org/resource/Windham_Township,_Ontario http://dbpedia.org/resource/Middleton_Township,_Ontario http://dbpedia.org/resource/Norfolk_County,_Ontario http://dbpedia.org/resource/City_of_Norfolk_County,_Ontario http://dbpedia.org/resource/Windham_Centre,_Ontario http://dbpedia.org/resource/Bealton,_Ontario http://dbpedia.org/resource/Silver_Hill,_Ontario http://dbpedia.org/resource/Norfolk,_ON http://dbpedia.org/resource/Woodhouse_Township,_Ontario http://dbpedia.org/resource/La_Salette,_Ontario http://dbpedia.org/resource/Vanessa,_Ontario http://dbpedia.org/resource/Townsend_Township,_Ontario http://dbpedia.org/resource/Spruce_Row_Museum http://dbpedia.org/resource/Lynnville,_Ontario http://dbpedia.org/resource/Hemlock,_Ontario http://dbpedia.org/resource/South_Walsingham_Township,_Ontario http://dbpedia.org/resource/South_Middleton,_Ontario http://dbpedia.org/resource/Norfolk,_Ontario http://dbpedia.org/resource/Fairground,_Ontario http://dbpedia.org/resource/The_Port_Rowan_Good_News http://dbpedia.org/resource/North_Walsingham_Township,_Ontario http://dbpedia.org/resource/Delhi_Tobacco_Museum_and_Heritage_Centre http://dbpedia.org/resource/Teeterville_Pioneer_Museum http://dbpedia.org/resource/Houghton,_Ontario http://dbpedia.org/resource/Powells_Corners,_Ontario http://dbpedia.org/resource/Eva_Brook_Donly_Museum http://dbpedia.org/resource/Carholme,_Ontario http://dbpedia.org/resource/Vango_Adventure_Farm http://dbpedia.org/resource/Houghton_Township,_Ontario"
"0","23","Vernon","http://dbpedia.org/resource/Vernon,_Texas","http://dbpedia.org/resource/Vernon_BC http://dbpedia.org/resource/Vernon,_BC http://dbpedia.org/resource/Vernon,_British_Columbia http://dbpedia.org/resource/History_of_Vernon,_British_Columbia"
"0","30","Leamington","http://dbpedia.org/resource/Leamington_Spa","http://dbpedia.org/resource/Leamington,_ON http://dbpedia.org/resource/Leamington,_Ontario http://dbpedia.org/resource/Mersea_Township,_Ontario http://dbpedia.org/resource/Leamington_(ON)"
"0","34","Truro","http://dbpedia.org/resource/Truro,_Massachusetts","http://dbpedia.org/resource/Truro,_NS http://dbpedia.org/resource/Truro_Heights,_Nova_Scotia http://dbpedia.org/resource/Truro_NS http://dbpedia.org/resource/Truro,_N.S. http://dbpedia.org/resource/Truro,_Nova_Scotia http://dbpedia.org/resource/Truro,_Canada"
"0","43","Woodstock","http://dbpedia.org/resource/Woodstock,_New_Brunswick","http://dbpedia.org/resource/Woodstock,_Ontario http://dbpedia.org/resource/Woodstock,_ON http://dbpedia.org/resource/Woodstock_ontario http://dbpedia.org/resource/Woodstock_(ON) http://dbpedia.org/resource/Oxford_Community_Police_Service http://dbpedia.org/resource/History_of_Woodstock,_Ontario"
"0","44","Campbell River","http://dbpedia.org/resource/Wolverhampton","http://dbpedia.org/resource/Campbell_River,_BC http://dbpedia.org/resource/Campbell_River,_British_Columbia"
"0","46","Midland","http://dbpedia.org/resource/Midland,_Texas","http://dbpedia.org/resource/Midland_(Ontario) http://dbpedia.org/resource/Midland,_ON http://dbpedia.org/resource/Midland,_Ontario http://dbpedia.org/resource/2010_Midland_tornado"
"0","49","Bathurst","http://dbpedia.org/resource/Banjul","http://dbpedia.org/resource/Greater_Bathurst,_New_Brunswick http://dbpedia.org/resource/Bass_River,_Gloucester_County http://dbpedia.org/resource/Bathurst,_NB http://dbpedia.org/resource/Bathurst,_New_Brunswick"
"0","53","Stratford","http://dbpedia.org/resource/Stratford-upon-Avon","http://dbpedia.org/resource/Stratford,_ON http://dbpedia.org/resource/History_of_Stratford,_Ontario http://dbpedia.org/resource/Stratford_(Ontario) http://dbpedia.org/resource/Stratford,_Ontario,_Canada http://dbpedia.org/resource/Stratford_(ON) http://dbpedia.org/resource/Stratford,_Ontario"
"0","56","Sept-Ã\u008Eles","http://dbpedia.org/resource/Sept-Meules","http://dbpedia.org/resource/Sept-Îles,_Quebec"
"0","62","Centre Wellington","http://dbpedia.org/resource/England","http://dbpedia.org/resource/Pentland_Corners,_Ontario http://dbpedia.org/resource/Iverhaugh,_Ontario http://dbpedia.org/resource/Shiloh,_Ontario http://dbpedia.org/resource/Belwood,_Ontario http://dbpedia.org/resource/Speedside,_Ontario http://dbpedia.org/resource/Simpson_Corners,_Ontario http://dbpedia.org/resource/Oustic,_Ontario http://dbpedia.org/resource/Aboyne,_Ontario http://dbpedia.org/resource/Centre_Wellington http://dbpedia.org/resource/Living_Springs,_Ontario http://dbpedia.org/resource/Alma_Station,_Ontario http://dbpedia.org/resource/Ennotville,_Ontario http://dbpedia.org/resource/Spier,_Ontario http://dbpedia.org/resource/Centre_Wellington,_Ontario http://dbpedia.org/resource/Township_of_Centre_Wellington http://dbpedia.org/resource/Dracon,_Ontario"
"0","63","Fort St. John","http://dbpedia.org/resource/Saint-Jean-sur-Richelieu","http://dbpedia.org/resource/History_of_Fort_St._John,_British_Columbia http://dbpedia.org/resource/Fort_Saint_John,_British_Columbia http://dbpedia.org/resource/Fort_St._John,_British_Columbia http://dbpedia.org/resource/Clark_Finch http://dbpedia.org/resource/Fort_Saint_John http://dbpedia.org/resource/Aennofield,_British_Columbia"
"0","67","Cranbrook","http://dbpedia.org/resource/Cranbrook,_Kent","http://dbpedia.org/resource/Cranbrook,_British_Columbia http://dbpedia.org/resource/History_of_Cranbrook,_British_Columbia http://dbpedia.org/resource/Cranbrook,_BC http://dbpedia.org/resource/Cranbrook_bc http://dbpedia.org/resource/East_Kootenay_Regional_Hospital"
