"F1: 0.22222","Precision: 0.22222","Recall: 0.22222"
"Col","Row","Value","Submitted URI","Correct URI's"
"3","8","thermal energy in each degree of freedom of a molecule at 25 Â°C (kT\/2) (0.01 eV)[10]","nan","http://dbpedia.org/resource/Thermal_enrgy http://dbpedia.org/resource/Thermal_vibration http://dbpedia.org/resource/Thermal_energy http://dbpedia.org/resource/Thermal_Energy"
"3","35","mass-energy of a W boson (80.4 GeV)[37][38]","nan","http://dbpedia.org/resource/C2=e/m http://dbpedia.org/resource/E=mcc http://dbpedia.org/resource/E=mc_squared http://dbpedia.org/resource/Law_of_mass-energy_conservation http://dbpedia.org/resource/E=mc2 http://dbpedia.org/resource/Matter-energy_relation http://dbpedia.org/resource/Equivalence_of_matter_and_energy http://dbpedia.org/resource/E=Mc2 http://dbpedia.org/resource/Einstein's_theory_of_mass-energy_equivalence http://dbpedia.org/resource/Mass–energy http://dbpedia.org/resource/Einstein's_Mass-Energy_Relation http://dbpedia.org/resource/E_equals_mc_squared http://dbpedia.org/resource/E=mc^2 http://dbpedia.org/resource/Energy-mass_equivalence http://dbpedia.org/resource/Mass_energy_equivalence http://dbpedia.org/resource/E=MC^2 http://dbpedia.org/resource/E=MC2 http://dbpedia.org/resource/E=MC http://dbpedia.org/resource/Mass–energy_equivalence http://dbpedia.org/resource/Mass_energy http://dbpedia.org/resource/Einstein_Formula http://dbpedia.org/resource/Energy_to_matter_conversion http://dbpedia.org/resource/E_=_MC_2 http://dbpedia.org/resource/Mass-energy_equivalence http://dbpedia.org/resource/E_=_mc2 http://dbpedia.org/resource/E_equals_MC_squared http://dbpedia.org/resource/Mass-energy_equation http://dbpedia.org/resource/E=mc² http://dbpedia.org/resource/Mass-energy_relationship http://dbpedia.org/resource/E_=_MC2 http://dbpedia.org/resource/E_=_mc^2 http://dbpedia.org/resource/E=MC² http://dbpedia.org/resource/Einstein_formula http://dbpedia.org/resource/C² http://dbpedia.org/resource/E=mc http://dbpedia.org/resource/Conservation_of_mass-energy http://dbpedia.org/resource/Massenergy http://dbpedia.org/resource/E= http://dbpedia.org/resource/Mc² http://dbpedia.org/resource/Mass-energy_relation http://dbpedia.org/resource/Mass-energy http://dbpedia.org/resource/Matter-energy_relationship http://dbpedia.org/resource/E=Mc_squared http://dbpedia.org/resource/E_=_mc² http://dbpedia.org/resource/Energy_equals_mass_times_the_speed_of_light_squared http://dbpedia.org/resource/Rest_mass_energy http://dbpedia.org/resource/Mass_energy_equation"
"3","36","mass-energy of a Z boson (91.2 GeV)[39][40]","http://dbpedia.org/resource/Photon","http://dbpedia.org/resource/C2=e/m http://dbpedia.org/resource/E=mcc http://dbpedia.org/resource/E=mc_squared http://dbpedia.org/resource/Law_of_mass-energy_conservation http://dbpedia.org/resource/E=mc2 http://dbpedia.org/resource/Matter-energy_relation http://dbpedia.org/resource/Equivalence_of_matter_and_energy http://dbpedia.org/resource/E=Mc2 http://dbpedia.org/resource/Einstein's_theory_of_mass-energy_equivalence http://dbpedia.org/resource/Mass–energy http://dbpedia.org/resource/Einstein's_Mass-Energy_Relation http://dbpedia.org/resource/E_equals_mc_squared http://dbpedia.org/resource/E=mc^2 http://dbpedia.org/resource/Energy-mass_equivalence http://dbpedia.org/resource/Mass_energy_equivalence http://dbpedia.org/resource/E=MC^2 http://dbpedia.org/resource/E=MC2 http://dbpedia.org/resource/E=MC http://dbpedia.org/resource/Mass–energy_equivalence http://dbpedia.org/resource/Mass_energy http://dbpedia.org/resource/Einstein_Formula http://dbpedia.org/resource/Energy_to_matter_conversion http://dbpedia.org/resource/E_=_MC_2 http://dbpedia.org/resource/Mass-energy_equivalence http://dbpedia.org/resource/E_=_mc2 http://dbpedia.org/resource/E_equals_MC_squared http://dbpedia.org/resource/Mass-energy_equation http://dbpedia.org/resource/E=mc² http://dbpedia.org/resource/Mass-energy_relationship http://dbpedia.org/resource/E_=_MC2 http://dbpedia.org/resource/E_=_mc^2 http://dbpedia.org/resource/E=MC² http://dbpedia.org/resource/Einstein_formula http://dbpedia.org/resource/C² http://dbpedia.org/resource/E=mc http://dbpedia.org/resource/Conservation_of_mass-energy http://dbpedia.org/resource/Massenergy http://dbpedia.org/resource/E= http://dbpedia.org/resource/Mc² http://dbpedia.org/resource/Mass-energy_relation http://dbpedia.org/resource/Mass-energy http://dbpedia.org/resource/Matter-energy_relationship http://dbpedia.org/resource/E=Mc_squared http://dbpedia.org/resource/E_=_mc² http://dbpedia.org/resource/Energy_equals_mass_times_the_speed_of_light_squared http://dbpedia.org/resource/Rest_mass_energy http://dbpedia.org/resource/Mass_energy_equation"
"3","38","mass-energy of the Higgs Boson (125.1 GeV)[42]","nan","http://dbpedia.org/resource/C2=e/m http://dbpedia.org/resource/E=mcc http://dbpedia.org/resource/E=mc_squared http://dbpedia.org/resource/Law_of_mass-energy_conservation http://dbpedia.org/resource/E=mc2 http://dbpedia.org/resource/Matter-energy_relation http://dbpedia.org/resource/Equivalence_of_matter_and_energy http://dbpedia.org/resource/E=Mc2 http://dbpedia.org/resource/Einstein's_theory_of_mass-energy_equivalence http://dbpedia.org/resource/Mass–energy http://dbpedia.org/resource/Einstein's_Mass-Energy_Relation http://dbpedia.org/resource/E_equals_mc_squared http://dbpedia.org/resource/E=mc^2 http://dbpedia.org/resource/Energy-mass_equivalence http://dbpedia.org/resource/Mass_energy_equivalence http://dbpedia.org/resource/E=MC^2 http://dbpedia.org/resource/E=MC2 http://dbpedia.org/resource/E=MC http://dbpedia.org/resource/Mass–energy_equivalence http://dbpedia.org/resource/Mass_energy http://dbpedia.org/resource/Einstein_Formula http://dbpedia.org/resource/Energy_to_matter_conversion http://dbpedia.org/resource/E_=_MC_2 http://dbpedia.org/resource/Mass-energy_equivalence http://dbpedia.org/resource/E_=_mc2 http://dbpedia.org/resource/E_equals_MC_squared http://dbpedia.org/resource/Mass-energy_equation http://dbpedia.org/resource/E=mc² http://dbpedia.org/resource/Mass-energy_relationship http://dbpedia.org/resource/E_=_MC2 http://dbpedia.org/resource/E_=_mc^2 http://dbpedia.org/resource/E=MC² http://dbpedia.org/resource/Einstein_formula http://dbpedia.org/resource/C² http://dbpedia.org/resource/E=mc http://dbpedia.org/resource/Conservation_of_mass-energy http://dbpedia.org/resource/Massenergy http://dbpedia.org/resource/E= http://dbpedia.org/resource/Mc² http://dbpedia.org/resource/Mass-energy_relation http://dbpedia.org/resource/Mass-energy http://dbpedia.org/resource/Matter-energy_relationship http://dbpedia.org/resource/E=Mc_squared http://dbpedia.org/resource/E_=_mc² http://dbpedia.org/resource/Energy_equals_mass_times_the_speed_of_light_squared http://dbpedia.org/resource/Rest_mass_energy http://dbpedia.org/resource/Mass_energy_equation"
"3","55","Greisen-Zatsepin-Kuzmin theoretical upper limit for the energy of a cosmic ray coming from a distant source[56][57]","nan","http://dbpedia.org/resource/Greisen–Zatsepin–Kuzmin_limit http://dbpedia.org/resource/Cosmic_ray_paradox http://dbpedia.org/resource/GZK_cutoff http://dbpedia.org/resource/GKZ_cutoff http://dbpedia.org/resource/GZK_limit http://dbpedia.org/resource/GKZ http://dbpedia.org/resource/GZK http://dbpedia.org/resource/Greisen-Zatsepin-Kuzmin http://dbpedia.org/resource/Greisen-Zatsepin-Kuzmin_paradox http://dbpedia.org/resource/GZK_effect http://dbpedia.org/resource/Greisen_Zatsepin_Kuzmin http://dbpedia.org/resource/Greisen-Zatsepin-Kuzmin_limit http://dbpedia.org/resource/GZK_paradox http://dbpedia.org/resource/Greisen-Zatsepin-Kuzmin_Limit"
"3","60","energy to melt 1 g of ice[66]","nan","http://dbpedia.org/resource/Latent_heat_of_fusion http://dbpedia.org/resource/Standard_enthalpy_change_of_solidification http://dbpedia.org/resource/Specific_heat_of_melting http://dbpedia.org/resource/Enthalpy_of_melting http://dbpedia.org/resource/Heat_of_melting http://dbpedia.org/resource/Heat_of_solidification http://dbpedia.org/resource/Fusion_Enthalpy http://dbpedia.org/resource/Heat_of_Fusion http://dbpedia.org/resource/Enthalpy_of_Fusion http://dbpedia.org/resource/Latent_Heat_of_Fusion http://dbpedia.org/resource/Standard_enthalpy_change_of_fusion http://dbpedia.org/resource/Fusion_enthalpy http://dbpedia.org/resource/Specific_melting_heat http://dbpedia.org/resource/Enthalpy_of_fusion http://dbpedia.org/resource/Heat_of_fusion http://dbpedia.org/resource/Latent_heat_of_freezing"
"3","70","energy to vaporize 1 g of water into steam[77]","http://dbpedia.org/resource/Boiler_(power_generation)","http://dbpedia.org/resource/Latent_heat_of_vapourisation http://dbpedia.org/resource/Enthalpy_of_condensation http://dbpedia.org/resource/Enthalpy_of_vapourization http://dbpedia.org/resource/Heat_of_vaporisation http://dbpedia.org/resource/Enthalpy_of_vapoization http://dbpedia.org/resource/Vaporization_enthalpy http://dbpedia.org/resource/Specific_latent_heat_of_sublimation http://dbpedia.org/resource/Latent_heat_of_vaporization http://dbpedia.org/resource/Standard_enthalpy_change_of_vaporisation http://dbpedia.org/resource/Heat_of_evaporation http://dbpedia.org/resource/Latent_heat_of_vaporisation http://dbpedia.org/resource/Specific_heat_of_condensation http://dbpedia.org/resource/Enthalpy_of_Vaporization http://dbpedia.org/resource/Heat_of_vapourisation http://dbpedia.org/resource/Standard_enthalpy_change_of_vaporization http://dbpedia.org/resource/Vaporization_heat http://dbpedia.org/resource/Heat_of_vaporization http://dbpedia.org/resource/Vaporization_Enthalpy http://dbpedia.org/resource/Latent_Heat_of_Vaporization http://dbpedia.org/resource/Heat_of_condensation http://dbpedia.org/resource/Heat_of_Vaporization http://dbpedia.org/resource/Specific_heat_of_vaporization http://dbpedia.org/resource/Energy_of_vaporization http://dbpedia.org/resource/Enthalpy_of_vaporisation http://dbpedia.org/resource/Enthalpy_of_vaporization"
"3","71","Lorentz force can crusher pinch[78]","http://dbpedia.org/resource/Pinch_(plasma_physics)","http://dbpedia.org/resource/Lorentz_equation http://dbpedia.org/resource/Lorentz_Force_Law http://dbpedia.org/resource/Lorentz_Force http://dbpedia.org/resource/Lorenz_force http://dbpedia.org/resource/Lorentz_forces http://dbpedia.org/resource/Lorentz_force_law http://dbpedia.org/resource/Magnetic_force http://dbpedia.org/resource/Lorentz_law http://dbpedia.org/resource/VxB_force http://dbpedia.org/resource/Magnetic_Force http://dbpedia.org/resource/Lorentz_force http://dbpedia.org/resource/Laplace_force http://dbpedia.org/resource/F=qv_X_B"
"3","82","kinetic energy of an automobile at highway speeds (1 to 5 tons[90] at 89 km\/h or 55 mph)[91]","http://dbpedia.org/resource/Mercedes-Benz_G-Class","http://dbpedia.org/resource/Transitional_kinetic_energy http://dbpedia.org/resource/Kinetic_Energy http://dbpedia.org/resource/Kinetic_shock http://dbpedia.org/resource/Translational_kinetic_energy http://dbpedia.org/resource/Translational_energy http://dbpedia.org/resource/Vibrational_energy http://dbpedia.org/resource/G.P.E http://dbpedia.org/resource/Relativistic_kinetic_energy http://dbpedia.org/resource/Kinetic_energy http://dbpedia.org/resource/Kenetic_energy http://dbpedia.org/resource/Kinetic_force"
"3","84","kinetic energy of a 2 tonne[90] vehicle at 32 metres per second (72 miles per hour)[93]","nan","http://dbpedia.org/resource/Transitional_kinetic_energy http://dbpedia.org/resource/Kinetic_Energy http://dbpedia.org/resource/Kinetic_shock http://dbpedia.org/resource/Translational_kinetic_energy http://dbpedia.org/resource/Translational_energy http://dbpedia.org/resource/Vibrational_energy http://dbpedia.org/resource/G.P.E http://dbpedia.org/resource/Relativistic_kinetic_energy http://dbpedia.org/resource/Kinetic_energy http://dbpedia.org/resource/Kenetic_energy http://dbpedia.org/resource/Kinetic_force"
