"F1: 0.17647","Precision: 0.17647","Recall: 0.17647"
"Col","Row","Value","Submitted URI","Correct URI's"
"2","1","Best Sound Editing","http://dbpedia.org/resource/Academy_Award_for_Best_Film_Editing","http://dbpedia.org/resource/Academy_award_for_best_sound_editing http://dbpedia.org/resource/Academy_Award_for_Sound_Editing http://dbpedia.org/resource/Best_Sound_Effects http://dbpedia.org/resource/Academy_Award_for_Best_Sound_Editing http://dbpedia.org/resource/Academy_Award_for_Sound_Effects_Editing"
"2","4","Technical Grand Prize","http://dbpedia.org/resource/1908_American_Grand_Prize","http://dbpedia.org/resource/Vulcan_Award http://dbpedia.org/resource/Vulcain_Prize http://dbpedia.org/resource/Technical_Grand_Prize"
"2","5","Best Cinematography","http://dbpedia.org/resource/BAFTA_Award_for_Best_Cinematography","http://dbpedia.org/resource/César_Award_for_Best_Cinematography"
"2","6","Best Director","http://dbpedia.org/resource/Filmfare_Award_for_Best_Director","http://dbpedia.org/resource/César_Award_for_Best_Director"
"2","7","Best Production Design","http://dbpedia.org/resource/BAFTA_Award_for_Best_Production_Design","http://dbpedia.org/resource/César_Award_for_Best_Production_Design"
"2","8","Best Costume Design","http://dbpedia.org/resource/BAFTA_Award_for_Best_Costume_Design","http://dbpedia.org/resource/César_Award_for_Best_Costume_Design"
"2","9","Best Editing","http://dbpedia.org/resource/BAFTA_Award_for_Best_Editing","http://dbpedia.org/resource/César_Award_for_Best_Editing"
"2","10","Best Film","http://dbpedia.org/resource/BAFTA_Award_for_Best_Film","http://dbpedia.org/resource/César_Award_for_Best_Film"
"2","11","Best Music Written for a Film","http://dbpedia.org/resource/César_Award_for_Best_Original_Music","http://dbpedia.org/resource/César_Award_for_Best_Music_Written_for_a_Film"
"2","12","Best Sound","http://dbpedia.org/resource/BAFTA_Award_for_Best_Sound","http://dbpedia.org/resource/César_Award_for_Best_Sound"
"2","14","Worst Supporting Actress","http://dbpedia.org/resource/AVN_Award_for_Best_Supporting_Actress","http://dbpedia.org/resource/Golden_Raspberry_Award_for_Worst_Supporting_Actress http://dbpedia.org/resource/Razzie_Award_for_Worst_Supporting_Actress"
"2","15","Worst New Star","http://dbpedia.org/resource/Golden_Raspberry_Awards","http://dbpedia.org/resource/Golden_Raspberry_Award_for_Worst_New_Star http://dbpedia.org/resource/Razzie_Award_for_Worst_New_Star"
"2","18","Best Director","http://dbpedia.org/resource/Filmfare_Award_for_Best_Director","http://dbpedia.org/resource/Lumières_Award_for_Best_Director"
"2","20","Best Visual Effects","http://dbpedia.org/resource/BAFTA_Award_for_Best_Special_Visual_Effects","http://dbpedia.org/resource/Satellite_Award_for_Best_Visual_Effects http://dbpedia.org/resource/Satellite_award_for_best_visual_effects"
