"F1: 0.37209","Precision: 0.37209","Recall: 0.37209"
"Col","Row","Value","Submitted URI","Correct URI's"
"1","2","Uncasville","http://dbpedia.org/resource/Montville,_Connecticut","http://dbpedia.org/resource/Uncasville,_CT http://dbpedia.org/resource/Uncasville,_Connecticut http://dbpedia.org/resource/Uncasville http://dbpedia.org/resource/Uncasville,_Connecticut,_USA"
"1","8","Kanata","http://dbpedia.org/resource/Canada","http://dbpedia.org/resource/Kanata,_ON http://dbpedia.org/resource/John_Young_Elementary_School http://dbpedia.org/resource/Kanata,_Ottawa,_Ontario http://dbpedia.org/resource/Kanata,_Ottawa http://dbpedia.org/resource/Kanata,_Ontario http://dbpedia.org/resource/Katimavik_Elementary http://dbpedia.org/resource/Kanata_ontario http://dbpedia.org/resource/Kanata,_Ont."
"1","11","Auburn Hills","http://dbpedia.org/resource/The_Palace_of_Auburn_Hills","http://dbpedia.org/resource/Auburn_Hills,_MI http://dbpedia.org/resource/Auburn_Hills,_Mi http://dbpedia.org/resource/Auburn_Hills_Michigan http://dbpedia.org/resource/Auburn_Hills http://dbpedia.org/resource/Auburn_Hills,_USA http://dbpedia.org/resource/History_of_Auburn_Hills,_Michigan http://dbpedia.org/resource/Auburn_Heights,_Michigan http://dbpedia.org/resource/Auburn_Hills,_Michigan"
"1","12","Cleveland","http://dbpedia.org/resource/Grover_Cleveland","http://dbpedia.org/resource/Government_of_Cleveland http://dbpedia.org/resource/The_Cleve http://dbpedia.org/resource/Urban_Community_School http://dbpedia.org/resource/Cleveland_Ohio http://dbpedia.org/resource/Cleveland_(OH) http://dbpedia.org/resource/Cleveland,_Ohio,_U.S.A. http://dbpedia.org/resource/Poznan,_Ohio http://dbpedia.org/resource/Ohio_Cleveland http://dbpedia.org/resource/Cleveland,_Ohio,_US http://dbpedia.org/resource/Cleveland_(Ohio) http://dbpedia.org/resource/Clevelnad http://dbpedia.org/resource/Cleveland,_Ohio,_U.S. http://dbpedia.org/resource/Cleveland,_Ohio http://dbpedia.org/resource/The_Rock_'n'_Roll_Capital_of_the_World http://dbpedia.org/resource/The_Rock_and_Roll_Capital_of_the_World http://dbpedia.org/resource/Cleveland,ohio http://dbpedia.org/resource/Government_of_Cleveland,_Ohio http://dbpedia.org/resource/Cleveland,_Oh http://dbpedia.org/resource/Sixth_City http://dbpedia.org/resource/Urban_community_school http://dbpedia.org/resource/Cleveland,_Cuyahoga,_Ohio http://dbpedia.org/resource/Cleveland,_ohio http://dbpedia.org/resource/Cleveland,_oh http://dbpedia.org/resource/Cleveland,_OH http://dbpedia.org/resource/Cleveland,_USA http://dbpedia.org/resource/Sister_Cities_of_Cleveland,_Ohio http://dbpedia.org/resource/Cleaveland http://dbpedia.org/resource/City_of_Cleveland,_Ohio http://dbpedia.org/resource/UN/LOCODE:USCLE http://dbpedia.org/resource/Cleveland http://dbpedia.org/resource/Cleveland,_Ohio,_USA http://dbpedia.org/resource/Cleveland,_OH. http://dbpedia.org/resource/Sister_cities_of_Cleveland,_Ohio"
"1","14","East Rutherford","http://dbpedia.org/resource/New_Jersey","http://dbpedia.org/resource/East_Rutherford,_New_Jersey http://dbpedia.org/resource/East_Rutherford_Borough,_New_Jersey http://dbpedia.org/resource/East_Rutherford_NJ http://dbpedia.org/resource/East_Rutherford,_NJ http://dbpedia.org/resource/UN/LOCODE:USERU http://dbpedia.org/resource/East_Rutherford_(NJ) http://dbpedia.org/resource/East_Rutherford http://dbpedia.org/resource/The_town_where_the_New_York_Giants_play_in http://dbpedia.org/resource/The_town_where_the_New_York_Jets_play_in"
"1","17","Brooklyn","http://dbpedia.org/resource/Brooklyn_(film)","http://dbpedia.org/resource/Brooklyn,_Long_Island http://dbpedia.org/resource/Brooklyn,_New_York_City http://dbpedia.org/resource/P_S_193 http://dbpedia.org/resource/PS_193 http://dbpedia.org/resource/Brooklynite http://dbpedia.org/resource/Borough_of_Brooklyn http://dbpedia.org/resource/Breuckelen http://dbpedia.org/resource/Brooklyn,_New_York,_USA http://dbpedia.org/resource/Brooklyn_(New_York,_N.Y.) http://dbpedia.org/resource/Gil_Hodges_School http://dbpedia.org/resource/Brooklyn,_N.Y. http://dbpedia.org/resource/Brooknam http://dbpedia.org/resource/Brooklyn_(NY) http://dbpedia.org/resource/Brooklyn,_NYC,_NY http://dbpedia.org/resource/Breukelen,_New_York http://dbpedia.org/resource/P._S._193 http://dbpedia.org/resource/Brooklyn,_New_York http://dbpedia.org/resource/Mayor_of_the_City_of_Brooklyn http://dbpedia.org/resource/La_Cima_Elementary_Charter_School http://dbpedia.org/resource/Mayor_of_Brooklyn http://dbpedia.org/resource/Government_of_Brooklyn http://dbpedia.org/resource/BKLYN http://dbpedia.org/resource/Brooklen http://dbpedia.org/resource/History_of_brooklyn http://dbpedia.org/resource/Brooklyn,_N.Y http://dbpedia.org/resource/Brooklynites http://dbpedia.org/resource/BROOKLYN,_New_York http://dbpedia.org/resource/Brooklyn,_ny http://dbpedia.org/resource/Brooklyn,NY http://dbpedia.org/resource/Mayor_of_Brooklyn,_New_York http://dbpedia.org/resource/Brooklyn,_New_York,_New_York http://dbpedia.org/resource/Brooklyn,_United_States http://dbpedia.org/resource/Hiphopabad http://dbpedia.org/resource/Kings_County,_NY http://dbpedia.org/resource/Kings_County,_Long_Island http://dbpedia.org/resource/Kings_County,_N.Y. http://dbpedia.org/resource/Kings_NY http://dbpedia.org/resource/Brooklyn,_NYC http://dbpedia.org/resource/Brooklyn,_US-NY http://dbpedia.org/resource/Brooklyn http://dbpedia.org/resource/Brooklyn,_NY http://dbpedia.org/resource/Brooklyn_County http://dbpedia.org/resource/Brooklyn_County,_Long_Island http://dbpedia.org/resource/Kings_County,_New_York http://dbpedia.org/resource/B'klyn http://dbpedia.org/resource/Brooklyn_NY http://dbpedia.org/resource/Brooklyn_NFL http://dbpedia.org/resource/City_of_Brooklyn http://dbpedia.org/resource/Ditmas_Junior_High_School_62"
"1","18","Nashville","http://dbpedia.org/resource/Tennessee","http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_TN http://dbpedia.org/resource/Nashville_(AFL) http://dbpedia.org/resource/South_Nashville http://dbpedia.org/resource/Nashville-Davidson_(city),_TN http://dbpedia.org/resource/Nashville-Davidson_County http://dbpedia.org/resource/Music_City_USA http://dbpedia.org/resource/Cashville,_Tennessee http://dbpedia.org/resource/Nash_Vegas http://dbpedia.org/resource/Nashville_Tennessee http://dbpedia.org/resource/Little_kurdistan http://dbpedia.org/resource/Nashville,_USA http://dbpedia.org/resource/Nashville-Davidson_(city),_Davidson_County,_Tennessee http://dbpedia.org/resource/Nashville_Neighborhoods http://dbpedia.org/resource/Downtown_Nashville http://dbpedia.org/resource/Nashville-Davidson_(city),_Tennessee http://dbpedia.org/resource/City_of_Nashville http://dbpedia.org/resource/Nashville-Davidson,_TN http://dbpedia.org/resource/Nashville_&_Davidson_County,_Tennessee http://dbpedia.org/resource/Nashville,_Tennessee http://dbpedia.org/resource/Nashville,_TN,_USA http://dbpedia.org/resource/Nashvillian http://dbpedia.org/resource/Nashville_Tenn http://dbpedia.org/resource/Nashville,_Tennesee http://dbpedia.org/resource/Neighborhoods_of_Nashville http://dbpedia.org/resource/Metropolitan_Government_of_Nashville_and_Davidson_County http://dbpedia.org/resource/Nashville-Davidson http://dbpedia.org/resource/Nashville_neighborhoods http://dbpedia.org/resource/Nashville_(TN) http://dbpedia.org/resource/West_Nashville http://dbpedia.org/resource/Protestant_vatican http://dbpedia.org/resource/Nashville,_United_States http://dbpedia.org/resource/Nashville,_tn http://dbpedia.org/resource/Nashville,_TN http://dbpedia.org/resource/Businesses_in_Nashville http://dbpedia.org/resource/The_weather_in_Nashville http://dbpedia.org/resource/Capital_of_Tennessee http://dbpedia.org/resource/Little_Kurdistan http://dbpedia.org/resource/Nashville-Davidson,_Tennessee http://dbpedia.org/resource/Nashville_tn http://dbpedia.org/resource/Nashville http://dbpedia.org/resource/North_Nashville http://dbpedia.org/resource/Nashville,_Tenn."
"1","19","Charlotte","http://dbpedia.org/resource/Charlotte_Brontë","http://dbpedia.org/resource/Charlotte-Mecklenburg,_North_Carolina http://dbpedia.org/resource/Charlotte_Zoo http://dbpedia.org/resource/Charlotte,_N._C. http://dbpedia.org/resource/Charlette http://dbpedia.org/resource/Charlotte http://dbpedia.org/resource/Climate_of_Charlotte,_NC http://dbpedia.org/resource/History_of_Charlotte,_North_Carolina http://dbpedia.org/resource/Climate_in_Charlotte,_North_Carolina http://dbpedia.org/resource/Charlote http://dbpedia.org/resource/Charlotte_(NC) http://dbpedia.org/resource/North_Charlotte,_North_Carolina http://dbpedia.org/resource/Government_of_Charlotte,_North_Carolina http://dbpedia.org/resource/Charlotte,_USA http://dbpedia.org/resource/Providence_Chrisian_School_(Charlotte) http://dbpedia.org/resource/List_of_hospitals_in_Charlotte,_North_Carolina http://dbpedia.org/resource/Climate_in_Charlotte http://dbpedia.org/resource/UN/LOCODE:USNCH http://dbpedia.org/resource/UN/LOCODE:USCLT http://dbpedia.org/resource/Charlotte,_NC http://dbpedia.org/resource/Charlotte,_North_Carolina http://dbpedia.org/resource/Providence_Christian_School,_Charlotte http://dbpedia.org/resource/Charlotte_nc http://dbpedia.org/resource/Charlotte,_United_States http://dbpedia.org/resource/Charlotte,_N.C. http://dbpedia.org/resource/Charlotte_-_Mecklenburg,_North_Carolina http://dbpedia.org/resource/City_of_Charlotte http://dbpedia.org/resource/Charlotte,_nc"
"1","21","Orlando","http://dbpedia.org/resource/Orlando_Gibbons","http://dbpedia.org/resource/City_of_Orlando http://dbpedia.org/resource/East_Orlando http://dbpedia.org/resource/Orlando_Police_Department_(Florida) http://dbpedia.org/resource/Eastwood,_FL http://dbpedia.org/resource/Orlando,_fl http://dbpedia.org/resource/Orlando_FL http://dbpedia.org/resource/Orlando_fl http://dbpedia.org/resource/Eastwood,_Florida http://dbpedia.org/resource/Orlando,_Florida,_USA http://dbpedia.org/resource/East_Orlando,_Florida http://dbpedia.org/resource/East_Orlando,_FL http://dbpedia.org/resource/Orlando,Florida http://dbpedia.org/resource/The_City_Beautiful http://dbpedia.org/resource/Orlando http://dbpedia.org/resource/Orlando,_Fl http://dbpedia.org/resource/UN/LOCODE:USORL http://dbpedia.org/resource/Orlando,_Florida_Police_Department http://dbpedia.org/resource/Orlando,_USA http://dbpedia.org/resource/The_weather_in_orlando http://dbpedia.org/resource/Orlando,_Florida http://dbpedia.org/resource/History_of_Orlando,_Florida http://dbpedia.org/resource/Orlando_(FL) http://dbpedia.org/resource/Orlando_florida http://dbpedia.org/resource/Orlando,_Fla. http://dbpedia.org/resource/Orlando,_FL"
"1","22","Sunrise","http://dbpedia.org/resource/Sunrise_(Hunter_novel)","http://dbpedia.org/resource/UN/LOCODE:USXUN http://dbpedia.org/resource/Sunrise,_Broward_County,_Florida http://dbpedia.org/resource/City_of_Sunrise,_FL http://dbpedia.org/resource/Sunrise,_Broward_County,_FL http://dbpedia.org/resource/Sunrise_Golf_Village,_FL http://dbpedia.org/resource/Sunrise,_Florida http://dbpedia.org/resource/Sunrise,_FL http://dbpedia.org/resource/Sunrise,_Fl http://dbpedia.org/resource/City_of_Sunrise,_Florida http://dbpedia.org/resource/Sunrise_Golf_Village,_Florida"
"1","25","Houston","http://dbpedia.org/resource/Whitney_Houston","http://dbpedia.org/resource/Houstan,_Texas http://dbpedia.org/resource/Houstan,_TX http://dbpedia.org/resource/The_City_of_Houston http://dbpedia.org/resource/Houston,_Tex. http://dbpedia.org/resource/Houston_city http://dbpedia.org/resource/City_of_Houston http://dbpedia.org/resource/Houston,_Texas_(redir) http://dbpedia.org/resource/Houston_texas http://dbpedia.org/resource/Houston,_Texas,_USA http://dbpedia.org/resource/UN/LOCODE:USHOU http://dbpedia.org/resource/Houston,Texas,_United_States http://dbpedia.org/resource/Houstan http://dbpedia.org/resource/Houston,_TX,_USA http://dbpedia.org/resource/Houston,_Texas http://dbpedia.org/resource/Houston,Texas http://dbpedia.org/resource/Houstontx.gov http://dbpedia.org/resource/Hoston http://dbpedia.org/resource/Houston,TX http://dbpedia.org/resource/Clay_road_baptist http://dbpedia.org/resource/The_Energy_Capital_of_the_World http://dbpedia.org/resource/Houston,_texas http://dbpedia.org/resource/Media_in_Houston http://dbpedia.org/resource/Houston_Texas http://dbpedia.org/resource/Houston http://dbpedia.org/resource/City_of_Houston,_Texas http://dbpedia.org/resource/Houston,_United_States http://dbpedia.org/resource/Houston,_Texas,_United_States http://dbpedia.org/resource/Houston,_Texas,_U.S.A. http://dbpedia.org/resource/Houston,_US-TX http://dbpedia.org/resource/Houston,_USA http://dbpedia.org/resource/Houston,_Texas,_U.S. http://dbpedia.org/resource/Houston_Public_Media http://dbpedia.org/resource/Houston,_TX http://dbpedia.org/resource/Media_of_Houston http://dbpedia.org/resource/Houston,_Tx http://dbpedia.org/resource/Houstonians http://dbpedia.org/resource/Houston_TX http://dbpedia.org/resource/Houston_(TX)"
