"F1: 0.15789","Precision: 0.15789","Recall: 0.15789"
"Col","Row","Value","Submitted URI","Correct URI's"
"2","5","Kishinev pogrom: A three-day pogrom began, which would leave forty-seven Jews dead.","http://dbpedia.org/resource/Professional_wrestling_match_types","http://dbpedia.org/resource/1903_Kishinev_pogrom http://dbpedia.org/resource/Victims_of_the_Pogrom_of_1903_Memorial http://dbpedia.org/resource/Kishinev_pogrom http://dbpedia.org/resource/Kishinev_pogroms http://dbpedia.org/resource/Kishineff_pogrom http://dbpedia.org/resource/Chisinau_pogrom http://dbpedia.org/resource/Kishinev_Pogrom"
"2","7","Russo-Japanese War: Japan launched a surprise torpedo attack on the Russian navy at Port Arthur.","http://dbpedia.org/resource/Battle_of_Port_Arthur","http://dbpedia.org/resource/The_Russo-Japanese_War http://dbpedia.org/resource/Russo–Japanese_War http://dbpedia.org/resource/Russo-Japan_War http://dbpedia.org/resource/Japanese-Russo_War http://dbpedia.org/resource/Russian-Japanese_War http://dbpedia.org/resource/Russian-Japanese_war http://dbpedia.org/resource/1905_Russo-Japanese_war http://dbpedia.org/resource/Russian-Japanese_war_of_1904-1905 http://dbpedia.org/resource/Russo-Japan_war http://dbpedia.org/resource/1905_Russia-Japan_war http://dbpedia.org/resource/Russo-Japanese_war http://dbpedia.org/resource/Japanese_Russo_War http://dbpedia.org/resource/1905_Russo-Japanese_War http://dbpedia.org/resource/Russo-Japanese_War http://dbpedia.org/resource/1905_Russia–Japan_war http://dbpedia.org/resource/Russo-japanese_war http://dbpedia.org/resource/Russo_Japanese_War http://dbpedia.org/resource/Sino-Russian_War"
"2","9","Bloody Sunday (1905): Peaceful demonstrators arrived at the Winter Palace in Saint Petersburg to present a petition to the tsar, leading was a priest named Georgi Gapon. The Imperial Guard fired on the crowd, killing around 200 and wounding 800.","nan","http://dbpedia.org/resource/Ivan_Vasimov http://dbpedia.org/resource/Bloody_Sunday_1905 http://dbpedia.org/resource/Bloody_Sunday_(Russia) http://dbpedia.org/resource/Bloody_Sunday_(1905)"
"2","16","Russian legislative election, 1906: The first free elections to the Duma gave majorities to liberal and socialist parties.","http://dbpedia.org/resource/1906_Russian_legislative_election","http://dbpedia.org/resource/Duma_of_Public_Anger http://dbpedia.org/resource/First_State_Duma http://dbpedia.org/resource/Russian_legislative_election,_1906"
"2","25","Nicholas changed the electoral law and gave greater electoral value to the votes of nobility and landowners.","http://dbpedia.org/resource/Electoral_reform","http://dbpedia.org/resource/Nicholas_2nd http://dbpedia.org/resource/Nicholas_ii http://dbpedia.org/resource/Russian_Tsar_Nicholas_II http://dbpedia.org/resource/Tsar_Nikolas_II http://dbpedia.org/resource/Nicolas_II http://dbpedia.org/resource/Nikolai_II_of_Russia http://dbpedia.org/resource/Mykola_II http://dbpedia.org/resource/Emperor_Nicholas_II http://dbpedia.org/resource/Nicholas_ii_of_russia http://dbpedia.org/resource/Tsar_Nikolai_II http://dbpedia.org/resource/Tzar_Nicholas_II http://dbpedia.org/resource/Tsar_nicholas_ii http://dbpedia.org/resource/Nikolay_II http://dbpedia.org/resource/Saint_Nicholas_the_Martyr http://dbpedia.org/resource/Nicholas_II http://dbpedia.org/resource/Nikolai_II http://dbpedia.org/resource/Czar_Nicholas_Romanov_II http://dbpedia.org/resource/Nicholas_II,_Emperor_and_Autocrat_of_All_the_Russias http://dbpedia.org/resource/Grand_Duke_Nicholas_II_of_Finland http://dbpedia.org/resource/Tsar_Nicholas_II_of_Russia http://dbpedia.org/resource/Nikolay_II_of_Russia http://dbpedia.org/resource/Николай_II http://dbpedia.org/resource/Czar_Nicholas_II:_Last_Czar_of_Russia http://dbpedia.org/resource/Czar_Nicholas_II http://dbpedia.org/resource/Nicholas_II_of_Poland http://dbpedia.org/resource/Nicholas_Ii http://dbpedia.org/resource/Tsar_Nicholas_II http://dbpedia.org/resource/Nicholas_II_of_Finland http://dbpedia.org/resource/Nicholas_II,_Grand_Duke_of_Finland http://dbpedia.org/resource/Tsar_Nicolas_II http://dbpedia.org/resource/Tzar_Nickolaus_II http://dbpedia.org/resource/Nicholas_Alexandrovich_of_Russia http://dbpedia.org/resource/Bloody_Nicholas http://dbpedia.org/resource/Saint_Nicholas_the_Passion-Bearer http://dbpedia.org/resource/Czar_of_Russia_Nicholas_II http://dbpedia.org/resource/Czar_Nicholas_II_of_Russia http://dbpedia.org/resource/Nikolai_Aleksandrovich_Romanov http://dbpedia.org/resource/Nicholas_the_second http://dbpedia.org/resource/Nikolai_Alexandrovich_Romanov http://dbpedia.org/resource/Nicholas_II_of_Russia http://dbpedia.org/resource/Nikolay_Alexandrovich_Romanov http://dbpedia.org/resource/Saint_Nicholas_the_Second http://dbpedia.org/resource/Csar_Nicholas_II http://dbpedia.org/resource/Nicholas_II,_Emperor_of_Russia http://dbpedia.org/resource/Nikolaj_II"
"2","27","Lena goldfields massacre: The Russian army fired on a crowd of striking miners, killing 150.","http://dbpedia.org/resource/Kent_State_shootings","http://dbpedia.org/resource/Lena_Goldfields_massacre http://dbpedia.org/resource/Lena_massacre http://dbpedia.org/resource/Lena_execution http://dbpedia.org/resource/Lena_Minefields_incident http://dbpedia.org/resource/Lena_Goldfields_Massacre"
"2","30","Assassination of Archduke Franz Ferdinand: Archduke Franz Ferdinand of Austria was assassinated by Gavrilo Princip of the Bosnian separatist group Young Bosnia.","http://dbpedia.org/resource/Latin_Bridge","http://dbpedia.org/resource/Assassination_of_Archduke_Franz_Ferdinand_and_Sophie,_Duchess_of_Hohenberg http://dbpedia.org/resource/Assassination_of_Archduke_Ferdinand http://dbpedia.org/resource/Murder_of_Archduke_Franz_Ferdinand_of_Austria http://dbpedia.org/resource/Sarajevo_Assassination http://dbpedia.org/resource/Assassination_at_Sarajevo http://dbpedia.org/resource/Assassination_of_archduke_franz_ferdinand http://dbpedia.org/resource/Death_of_Archduke_Franz_Ferdinand_of_Austria http://dbpedia.org/resource/Murder_of_Archduke_Franz_Ferdinand http://dbpedia.org/resource/Franz_Ferdinand_Assassination http://dbpedia.org/resource/Salonika_Trial http://dbpedia.org/resource/Assasination_in_Sarajevo http://dbpedia.org/resource/Assassination_of_archduke_franz_ferdinand_of_austria http://dbpedia.org/resource/Archduke_Franz_Ferdinand_assassination http://dbpedia.org/resource/Franz_Ferdinand_Assasination http://dbpedia.org/resource/Sarajevo_trial http://dbpedia.org/resource/Assassination_of_Franz_Ferdinand http://dbpedia.org/resource/Assassination_of_Archduke_Franz_Ferdinand_of_Austria http://dbpedia.org/resource/Assassination_of_ferdinand http://dbpedia.org/resource/Outbreak_of_World_War_One http://dbpedia.org/resource/Assassination_in_Sarajevo http://dbpedia.org/resource/Sarajevo_assasination http://dbpedia.org/resource/Assassination_of_Archduke_Franz_Ferdinand"
"2","35","Gorlice-TarnÃ³w Offensive: The German army launched an offensive across the length of the Eastern Front.","http://dbpedia.org/resource/Operation_Barbarossa","http://dbpedia.org/resource/Gorlice-Tarnów_Offensive"
"2","38","Basmachi Revolt: Nicholas issued a decree ordering the conscription of Central Asians.","http://dbpedia.org/resource/Kazakhstan","http://dbpedia.org/resource/Basmachi_movement http://dbpedia.org/resource/Kokand_Autonomy http://dbpedia.org/resource/Basmachi_Rebellion http://dbpedia.org/resource/Basmachi_revolt http://dbpedia.org/resource/Basmachi_Movement http://dbpedia.org/resource/Basmachi_uprising http://dbpedia.org/resource/Basmachi_Revolt http://dbpedia.org/resource/Basmachi_rebellion http://dbpedia.org/resource/Basmachestvo http://dbpedia.org/resource/Basmach http://dbpedia.org/resource/Central_Asian_Revolt http://dbpedia.org/resource/Basmachis http://dbpedia.org/resource/Basmachi"
"2","41","February Revolution: The workers at the Putilov Plant in Petrograd went on strike.","http://dbpedia.org/resource/German_Revolution_of_1918–19","http://dbpedia.org/resource/March_Revolution_of_1917 http://dbpedia.org/resource/Kerensky_Revolution http://dbpedia.org/resource/Russian_February_Revolution http://dbpedia.org/resource/Menshevik_revolution http://dbpedia.org/resource/Февра́льская_револю́ция http://dbpedia.org/resource/February_1917_Revolution http://dbpedia.org/resource/February_Revolution_of_1917 http://dbpedia.org/resource/Abdication_of_the_Russian_Tsar http://dbpedia.org/resource/February_Revolution http://dbpedia.org/resource/February_Revolution_(Russian_history) http://dbpedia.org/resource/February_1917_revolution http://dbpedia.org/resource/February_revolution"
"2","51","July Days: A spontaneous pro-soviet demonstration occurred on the streets of Petrograd.","http://dbpedia.org/resource/October_Revolution","http://dbpedia.org/resource/July_Days http://dbpedia.org/resource/The_July_Days"
"2","54","Alexander Kerensky succeeded L'vov as Prime Minister.","http://dbpedia.org/resource/Georgy_Lvov","http://dbpedia.org/resource/Alexander_Fyodorovich_Kerensky http://dbpedia.org/resource/Aleksandr_Feodorovich_Kerensky http://dbpedia.org/resource/Kerenski http://dbpedia.org/resource/Alexander_F._Kerensky http://dbpedia.org/resource/Alexander_Kerensky http://dbpedia.org/resource/Aleksandr_Fyodorovich_Kerensky http://dbpedia.org/resource/Aleksander_Kerensky http://dbpedia.org/resource/Aleksandr_Kerensky http://dbpedia.org/resource/Alexander_Karensky http://dbpedia.org/resource/Karensky http://dbpedia.org/resource/Kerensky http://dbpedia.org/resource/Aleksandr_Feodorovich_Kerenski http://dbpedia.org/resource/Alexander_Kerenski http://dbpedia.org/resource/Alexander_Fedorovich_Kerensky"
"2","55","Kornilov Affair: General Lavr Kornilov ordered an army corps to Petrograd to destroy the soviets.","http://dbpedia.org/resource/World_War_II","http://dbpedia.org/resource/Kornilov_Affair http://dbpedia.org/resource/Kornilov_Revolt http://dbpedia.org/resource/Kornilov_Coup http://dbpedia.org/resource/Kornilov_affair"
"2","57","Kornilov Affair: Kornilov was arrested.","http://dbpedia.org/resource/Kornilov_affair","http://dbpedia.org/resource/Lavr_Georgyevich_Kornilov http://dbpedia.org/resource/Lavr_Grigoryevich_Kornilov http://dbpedia.org/resource/Lavr_Georgevich_Kornilov http://dbpedia.org/resource/Kornilob http://dbpedia.org/resource/Lavr_Georgiyevich_Kornilov http://dbpedia.org/resource/Lavr_Kornilov"
