"F1: 0.39130","Precision: 0.39130","Recall: 0.39130"
"Col","Row","Value","Submitted URI","Correct URI's"
"0","1","Law","http://dbpedia.org/resource/Jude_Law","http://dbpedia.org/resource/Laws http://dbpedia.org/resource/Legal_institutions http://dbpedia.org/resource/Legal_theory http://dbpedia.org/resource/Legally http://dbpedia.org/resource/Legal_rule http://dbpedia.org/resource/Branch_of_law http://dbpedia.org/resource/Law_making http://dbpedia.org/resource/Lawful http://dbpedia.org/resource/Unjust_law http://dbpedia.org/resource/Legal_activity http://dbpedia.org/resource/Just_law http://dbpedia.org/resource/Lawfulness http://dbpedia.org/resource/Legislative_system http://dbpedia.org/resource/Secular_laws http://dbpedia.org/resource/Law-abiding http://dbpedia.org/resource/Law-making http://dbpedia.org/resource/Lawfully http://dbpedia.org/resource/Irreligious_law http://dbpedia.org/resource/Legal_prescription http://dbpedia.org/resource/Law http://dbpedia.org/resource/Legal_concept http://dbpedia.org/resource/Legal http://dbpedia.org/resource/Temporal_law http://dbpedia.org/resource/Illegality http://dbpedia.org/resource/Principles_of_law"
"0","3","History","http://dbpedia.org/resource/HIStory_(Michael_Jackson_song)","http://dbpedia.org/resource/History_-_BA http://dbpedia.org/resource/Historic http://dbpedia.org/resource/General_history http://dbpedia.org/resource/Hisotry http://dbpedia.org/resource/Historical_narrative http://dbpedia.org/resource/HisTory http://dbpedia.org/resource/Hiſtory http://dbpedia.org/resource/Historical http://dbpedia.org/resource/Histrory http://dbpedia.org/resource/Hist. http://dbpedia.org/resource/Historical_Sciences http://dbpedia.org/resource/Etymology_of_""history"" http://dbpedia.org/resource/Hisory http://dbpedia.org/resource/Historical_science http://dbpedia.org/resource/HISTORY http://dbpedia.org/resource/Historically http://dbpedia.org/resource/Histoire http://dbpedia.org/resource/Bibliography_of_history http://dbpedia.org/resource/Historical_events http://dbpedia.org/resource/History_books http://dbpedia.org/resource/HiStory http://dbpedia.org/resource/Non-historical http://dbpedia.org/resource/Historical_change http://dbpedia.org/resource/Historical_sciences http://dbpedia.org/resource/Stage_(period) http://dbpedia.org/resource/Histroy http://dbpedia.org/resource/Traditional_History http://dbpedia.org/resource/History http://dbpedia.org/resource/History_(etymology)"
"0","7","Theology","http://dbpedia.org/resource/Princeton_Theological_Seminary","http://dbpedia.org/resource/Philosophy_of_god http://dbpedia.org/resource/Theologically http://dbpedia.org/resource/Theologians http://dbpedia.org/resource/Protestant_theologian http://dbpedia.org/resource/Queen_of_the_sciences http://dbpedia.org/resource/Theologian http://dbpedia.org/resource/Diploma_in_Theology http://dbpedia.org/resource/Criticism_of_theology http://dbpedia.org/resource/Academic_theology http://dbpedia.org/resource/Queen_of_the_Sciences http://dbpedia.org/resource/Theological_system http://dbpedia.org/resource/Religious_scholar http://dbpedia.org/resource/God_Talk http://dbpedia.org/resource/Divine_philosophy http://dbpedia.org/resource/Theology_of_God http://dbpedia.org/resource/Revealed_theology http://dbpedia.org/resource/Theologans http://dbpedia.org/resource/Theology http://dbpedia.org/resource/Theological http://dbpedia.org/resource/Teology http://dbpedia.org/resource/Philosophy_of_God http://dbpedia.org/resource/Theologist"
"0","8","Social communication","http://dbpedia.org/resource/Communication","http://dbpedia.org/resource/Social_communication"
"0","9","Letters","http://dbpedia.org/resource/American_Academy_of_Arts_and_Letters","http://dbpedia.org/resource/LiteraTure http://dbpedia.org/resource/Ltierature http://dbpedia.org/resource/Literary_works http://dbpedia.org/resource/Literary_Art http://dbpedia.org/resource/Literature http://dbpedia.org/resource/Literary_arts http://dbpedia.org/resource/Literary_art http://dbpedia.org/resource/LiteraryArt http://dbpedia.org/resource/Literary http://dbpedia.org/resource/Litterature http://dbpedia.org/resource/Literature_by_region http://dbpedia.org/resource/Literatures http://dbpedia.org/resource/Prose_fiction http://dbpedia.org/resource/Literary_work"
"0","10","Executive Secretary","http://dbpedia.org/resource/United_States_Department_of_the_Interior","http://dbpedia.org/resource/Secretarial http://dbpedia.org/resource/Admin_assistant http://dbpedia.org/resource/Sec'y http://dbpedia.org/resource/Management_assistant http://dbpedia.org/resource/Executive_Assistant http://dbpedia.org/resource/Secretarie http://dbpedia.org/resource/Secretaries http://dbpedia.org/resource/Administrative_assistants http://dbpedia.org/resource/Secretary http://dbpedia.org/resource/Executive_assistant http://dbpedia.org/resource/Secretarial_services http://dbpedia.org/resource/Secretary_girl http://dbpedia.org/resource/Doctor's_secretary http://dbpedia.org/resource/Presidential_Assistant http://dbpedia.org/resource/Secretaryship http://dbpedia.org/resource/Doctor_secretary http://dbpedia.org/resource/Office_secretary http://dbpedia.org/resource/Secy."
"0","12","Music","http://dbpedia.org/resource/Warner_Music_Group","http://dbpedia.org/resource/Musical_Interpretation http://dbpedia.org/resource/Music http://dbpedia.org/resource/1st_Art http://dbpedia.org/resource/Music's http://dbpedia.org/resource/Auditory_art http://dbpedia.org/resource/Music_And_Musical_Instruments http://dbpedia.org/resource/Meaning_(music) http://dbpedia.org/resource/MuSic http://dbpedia.org/resource/Music_lover http://dbpedia.org/resource/Muzic http://dbpedia.org/resource/Interpretation_(music) http://dbpedia.org/resource/Internet_Music_Video_Database http://dbpedia.org/resource/Mucic http://dbpedia.org/resource/Musical_interpretation"
"0","13","Business Administration","http://dbpedia.org/resource/Management","http://dbpedia.org/resource/Business_administration http://dbpedia.org/resource/Business_management http://dbpedia.org/resource/Business_Administration http://dbpedia.org/resource/Administrator_(business) http://dbpedia.org/resource/Administration_(business) http://dbpedia.org/resource/Business_Administrator http://dbpedia.org/resource/Introduction_to_business_administration http://dbpedia.org/resource/Administrative_body http://dbpedia.org/resource/Administration_of_business http://dbpedia.org/resource/Business_Administration_Department http://dbpedia.org/resource/Business_administrator"
"0","14","Biological Sciences","http://dbpedia.org/resource/Science_(journal)","http://dbpedia.org/resource/Fields_in_biology http://dbpedia.org/resource/Different_branches_of_biology http://dbpedia.org/resource/Biologie http://dbpedia.org/resource/Bilology http://dbpedia.org/resource/Applied_Biology http://dbpedia.org/resource/Biologically http://dbpedia.org/resource/Biological_sciences http://dbpedia.org/resource/Index_of_biology_discipline_articles http://dbpedia.org/resource/Experimental_biology http://dbpedia.org/resource/BiologicalScience http://dbpedia.org/resource/Biological_science http://dbpedia.org/resource/Biological_phenomenon http://dbpedia.org/resource/Biological_Sciences http://dbpedia.org/resource/Biological_research http://dbpedia.org/resource/Biological http://dbpedia.org/resource/List_of_biology_disciplines http://dbpedia.org/resource/Biological_phenomena http://dbpedia.org/resource/Biol. http://dbpedia.org/resource/Biology http://dbpedia.org/resource/Applied_biology http://dbpedia.org/resource/Biosciences http://dbpedia.org/resource/Biological_Science"
"0","17","Physical Education","http://dbpedia.org/resource/Physical_Education_(Community)","http://dbpedia.org/resource/Personal_Development,_Health_&_Physical_Education http://dbpedia.org/resource/Phys._ed http://dbpedia.org/resource/Phys_ed. http://dbpedia.org/resource/Physical_Education http://dbpedia.org/resource/P.E http://dbpedia.org/resource/PE_teacher http://dbpedia.org/resource/Physical_education_class http://dbpedia.org/resource/Physical_Training http://dbpedia.org/resource/Phys_ed http://dbpedia.org/resource/Gym_class http://dbpedia.org/resource/Physical_education_instructor http://dbpedia.org/resource/Physed http://dbpedia.org/resource/Physical_educator http://dbpedia.org/resource/Physical_Educators http://dbpedia.org/resource/Core_Physical_Education http://dbpedia.org/resource/Phys._ed. http://dbpedia.org/resource/Dynamic_Physical_Education http://dbpedia.org/resource/School-based_physical_education_program http://dbpedia.org/resource/Physical_education_program http://dbpedia.org/resource/Gym_instructor http://dbpedia.org/resource/Physical_education http://dbpedia.org/resource/Gym_teacher http://dbpedia.org/resource/Physical_education_and_training http://dbpedia.org/resource/Health/P.E. http://dbpedia.org/resource/Physical_education_(school_class)"
