"F1: 0.74396","Precision: 0.74396","Recall: 0.74396"
"Col","Row","Value","Submitted URI","Correct URI's"
"0","24","BPP","http://dbpedia.org/resource/Polish_Library_in_Paris","http://dbpedia.org/resource/British_Protected_Persons http://dbpedia.org/resource/British_Protected_Person http://dbpedia.org/resource/British_protected_person"
"0","27","Bulgaria1","http://dbpedia.org/resource/2008_Bulgarian_Cup_Final","http://dbpedia.org/resource/Bulgarie http://dbpedia.org/resource/Балгария http://dbpedia.org/resource/България http://dbpedia.org/resource/Bulgariya http://dbpedia.org/resource/Bulgary http://dbpedia.org/resource/Danube_Bulgaria http://dbpedia.org/resource/Republic_of_Bulgaria http://dbpedia.org/resource/Булгария http://dbpedia.org/resource/Bulgaria http://dbpedia.org/resource/Balgariya http://dbpedia.org/resource/Булгариа http://dbpedia.org/resource/ISO_3166-1:BG http://dbpedia.org/resource/Република_България http://dbpedia.org/resource/Balgaria"
"0","33","Canada2 3","http://dbpedia.org/resource/3rd_Canadian_Division","http://dbpedia.org/resource/Canadaa http://dbpedia.org/resource/Canadá http://dbpedia.org/resource/ISO_3166-1:CA http://dbpedia.org/resource/Canad http://dbpedia.org/resource/Čanada http://dbpedia.org/resource/Canada/References http://dbpedia.org/resource/Canadialand http://dbpedia.org/resource/Dominion_of_Canada http://dbpedia.org/resource/CANADA http://dbpedia.org/resource/Commonwealth_of_Canada http://dbpedia.org/resource/Canadian_Federation http://dbpedia.org/resource/The_Dominion_of_Canada http://dbpedia.org/resource/Dominion_of_canada http://dbpedia.org/resource/Canada's http://dbpedia.org/resource/Canada. http://dbpedia.org/resource/Etymology_of_Canada http://dbpedia.org/resource/Kenadian http://dbpedia.org/resource/Canadiophile http://dbpedia.org/resource/ᑲᓇᑕ http://dbpedia.org/resource/Cnada http://dbpedia.org/resource/Canada http://dbpedia.org/resource/Xanada"
"0","36","Central African Republic","http://dbpedia.org/resource/Cameroon","http://dbpedia.org/resource/République_centrafricaine http://dbpedia.org/resource/Republic_of_Central_Africa http://dbpedia.org/resource/Central_African_Republic http://dbpedia.org/resource/Central_African_Rep. http://dbpedia.org/resource/Central_African_republic http://dbpedia.org/resource/The_Central_African_Republic http://dbpedia.org/resource/Civil_unrest_in_the_Central_African_Republic http://dbpedia.org/resource/Administrative_subdivisions_of_the_Central_African_Republic http://dbpedia.org/resource/Rep._centrafricaine http://dbpedia.org/resource/Central_African_Rep http://dbpedia.org/resource/Sport_in_the_Central_African_Republic http://dbpedia.org/resource/Rép._centrafricaine http://dbpedia.org/resource/Culture_of_the_Central_African_Republic http://dbpedia.org/resource/ISO_3166-1:CF http://dbpedia.org/resource/Central_Africa_Republic http://dbpedia.org/resource/République_Centrafricaine http://dbpedia.org/resource/République_centrafricain http://dbpedia.org/resource/Central_african_republic http://dbpedia.org/resource/Administrative_divisions_of_the_Central_African_Republic http://dbpedia.org/resource/Sports_in_the_Central_African_Republic http://dbpedia.org/resource/CAR http://dbpedia.org/resource/Republique_Centrafricaine http://dbpedia.org/resource/Centrafrique http://dbpedia.org/resource/Ködörösêse_tî_Bêafrîka http://dbpedia.org/resource/Republique_centrafricaine"
"0","39","China, People's Republic of","http://dbpedia.org/resource/China","http://dbpedia.org/resource/China,_People's_Republic_of"
"0","42","Congo","http://dbpedia.org/resource/Democratic_Republic_of_the_Congo","http://dbpedia.org/resource/Little_Congo http://dbpedia.org/resource/Braza http://dbpedia.org/resource/Congo,_Republic_of_the http://dbpedia.org/resource/Congo_-_Brazzaville http://dbpedia.org/resource/Republic_of_the_congo http://dbpedia.org/resource/Rep._du_Congo http://dbpedia.org/resource/Congo,_Rep. http://dbpedia.org/resource/ISO_3166-1:CG http://dbpedia.org/resource/Republic_of_the_Congo_(Brazzaville) http://dbpedia.org/resource/Congo_(Brazzaville) http://dbpedia.org/resource/Congo-Brazzaville http://dbpedia.org/resource/Ubanghi-Chari http://dbpedia.org/resource/The_Republic_of_Congo http://dbpedia.org/resource/Republic_of_the_Congo http://dbpedia.org/resource/Congo-Brazza http://dbpedia.org/resource/Congo,_Republic_of http://dbpedia.org/resource/Republique_du_Congo http://dbpedia.org/resource/Congo-B http://dbpedia.org/resource/Congo.2C_Republic_of_the http://dbpedia.org/resource/Brazzaville_Congo http://dbpedia.org/resource/Republic_Of_TheCongo http://dbpedia.org/resource/République_du_Congo http://dbpedia.org/resource/Rép._du_Congo http://dbpedia.org/resource/The_Republic_of_the_Congo http://dbpedia.org/resource/Congo_Brazzaville http://dbpedia.org/resource/Republic_of_Congo http://dbpedia.org/resource/RotC http://dbpedia.org/resource/R_Congo http://dbpedia.org/resource/Congo_(Republic) http://dbpedia.org/resource/Independent_Congo_Republic http://dbpedia.org/resource/North_Congo http://dbpedia.org/resource/Congo_Republic http://dbpedia.org/resource/Congo,_republic_of_the http://dbpedia.org/resource/Congo_(Republic_of) http://dbpedia.org/resource/Rep_Congo http://dbpedia.org/resource/Congo_(People's_Republic) http://dbpedia.org/resource/Health_care_in_the_Republic_of_the_Congo http://dbpedia.org/resource/Moyen_Congo"
"0","44","Cote d'Ivoire","http://dbpedia.org/resource/Ivory_Coast","http://dbpedia.org/resource/Cote_d'Ivoire"
"0","45","Croatia1","http://dbpedia.org/resource/Croatian_First_League_of_Water_Polo","http://dbpedia.org/resource/Crotaia http://dbpedia.org/resource/Croácia http://dbpedia.org/resource/Hrvatska http://dbpedia.org/resource/Hravatska http://dbpedia.org/resource/Kroatien http://dbpedia.org/resource/Kroatia http://dbpedia.org/resource/Hirvatistan http://dbpedia.org/resource/Trema_(Croatia) http://dbpedia.org/resource/Ukrainians_in_Croatia http://dbpedia.org/resource/Croacia http://dbpedia.org/resource/Republic_of_Croatia http://dbpedia.org/resource/Croatia http://dbpedia.org/resource/Croatia/Hrvatska http://dbpedia.org/resource/ISO_3166-1:HR http://dbpedia.org/resource/Republika_Hrvatska"
"0","47","Cyprus1","http://dbpedia.org/resource/Cyprus_Volleyball_Division_1","http://dbpedia.org/resource/Kibris http://dbpedia.org/resource/Greek_Republic_of_Cyprus http://dbpedia.org/resource/Etymology_of_Cyprus http://dbpedia.org/resource/Kıbrıs http://dbpedia.org/resource/Cypriot_Republic http://dbpedia.org/resource/Zypern http://dbpedia.org/resource/Name_of_Cyprus http://dbpedia.org/resource/Cyrpus http://dbpedia.org/resource/Ὀφίουσα http://dbpedia.org/resource/Cyprus_(Republic_of) http://dbpedia.org/resource/Ciprus http://dbpedia.org/resource/Cyprus http://dbpedia.org/resource/Κυπριακή_Δημοκρατία http://dbpedia.org/resource/South_Cyprus_(Greek_Cyprus) http://dbpedia.org/resource/Southern_Cyprus http://dbpedia.org/resource/Republic_of_Cyprus http://dbpedia.org/resource/History_of_ancient_Cyprus http://dbpedia.org/resource/Kypros http://dbpedia.org/resource/Country_CYP http://dbpedia.org/resource/ISO_3166-1:CY http://dbpedia.org/resource/Cyprus_goods http://dbpedia.org/resource/Κύπρος http://dbpedia.org/resource/Greek_Cypriot_Administration_of_Southern_Cyprus http://dbpedia.org/resource/Greek_Cyprus http://dbpedia.org/resource/Name_of_Northern_Cyprus http://dbpedia.org/resource/Culture_of_Cyprus http://dbpedia.org/resource/Architecture_of_Cyprus"
"0","48","Czech Republic1","http://dbpedia.org/resource/National_Basketball_League_(Czech_Republic)","http://dbpedia.org/resource/Climate_of_the_Czech_Republic http://dbpedia.org/resource/Tjech_Republic http://dbpedia.org/resource/Czech_republic http://dbpedia.org/resource/Republic_of_Czechia http://dbpedia.org/resource/Check_Republic http://dbpedia.org/resource/Cehia http://dbpedia.org/resource/Chez_republic http://dbpedia.org/resource/Csehorszag http://dbpedia.org/resource/Bohemia_and_Moravia http://dbpedia.org/resource/Ceska_Republika http://dbpedia.org/resource/Bohemia-Moravia http://dbpedia.org/resource/Ceska_republika http://dbpedia.org/resource/Protestantism_in_the_Czech_Republic http://dbpedia.org/resource/The_Czech_Republic http://dbpedia.org/resource/Czech_Republik http://dbpedia.org/resource/Czech_Republci http://dbpedia.org/resource/Češka http://dbpedia.org/resource/Ceská_Republika http://dbpedia.org/resource/Czech_Rep http://dbpedia.org/resource/Etymology_of_the_Czech_Republic http://dbpedia.org/resource/Tcheque_Republique http://dbpedia.org/resource/Czech_Republic http://dbpedia.org/resource/4esko http://dbpedia.org/resource/Subdivisions_of_the_Czech_Republic http://dbpedia.org/resource/ISO_3166-1:CZ http://dbpedia.org/resource/Republique_Tcheque http://dbpedia.org/resource/Tjech_republic http://dbpedia.org/resource/Czechi http://dbpedia.org/resource/Česká_republika http://dbpedia.org/resource/ČR http://dbpedia.org/resource/Czeck_Republic http://dbpedia.org/resource/Administrative_divisions_of_the_Czech_Republic http://dbpedia.org/resource/Česká_Republika http://dbpedia.org/resource/Czeche_Republic http://dbpedia.org/resource/Czec_Republic http://dbpedia.org/resource/Czecho_Republic http://dbpedia.org/resource/Czech_Rep. http://dbpedia.org/resource/Ceska_Republic http://dbpedia.org/resource/Cech_Republic http://dbpedia.org/resource/The_Czeck_Republic http://dbpedia.org/resource/Csehország http://dbpedia.org/resource/CZR http://dbpedia.org/resource/Cesko http://dbpedia.org/resource/Tcheque_Republic http://dbpedia.org/resource/República_Checa http://dbpedia.org/resource/Ceská_republika http://dbpedia.org/resource/Republica_Checa http://dbpedia.org/resource/République_Tchèque http://dbpedia.org/resource/Czechia http://dbpedia.org/resource/Tschechien http://dbpedia.org/resource/Česko"
