F1: 0.81356,Precision: 0.81356,Recall: 0.81356,,
Col,Row,Value,Submitted URI,Correct URI's
0,25,1989 San Marino Grand Prix,http://dbpedia.org/resource/1999_San_Marino_Grand_Prix,http://dbpedia.org/resource/1989_San_Marino_Grand_Prix
0,27,1988 Portuguese Grand Prix,http://dbpedia.org/resource/1991_Portuguese_Grand_Prix,http://dbpedia.org/resource/1988_Portuguese_Grand_Prix
0,34,1980 New Zealand Grand Prix,http://dbpedia.org/resource/1960_New_Zealand_Grand_Prix,http://dbpedia.org/resource/1980_New_Zealand_Grand_Prix
0,41,1968 BRDC International Trophy,http://dbpedia.org/resource/1966_BRDC_International_Trophy,http://dbpedia.org/resource/1968_BRDC_International_Trophy
0,45,1964 Australian Grand Prix,http://dbpedia.org/resource/1964_Italian_Grand_Prix,http://dbpedia.org/resource/1964_Australian_Grand_Prix
0,47,1961 Canadian Grand Prix,http://dbpedia.org/resource/2016_Canadian_Grand_Prix,http://dbpedia.org/resource/1961_Canadian_Grand_Prix
0,48,1957 Pau Grand Prix,http://dbpedia.org/resource/1950_Pau_Grand_Prix,http://dbpedia.org/resource/1957_Pau_Grand_Prix
0,51,1952 Buenos Aires Grand Prix,http://dbpedia.org/resource/1952_Buenos_Aires_Grand_Prix_(I),http://dbpedia.org/resource/1952_Buenos_Aires_Grand_Prix_(II)
0,53,1951 San Remo Grand Prix,http://dbpedia.org/resource/1950_San_Remo_Grand_Prix,http://dbpedia.org/resource/1951_San_Remo_Grand_Prix
0,55,1951 Buenos Aires Grand Prix,http://dbpedia.org/resource/1951_Buenos_Aires_Grand_Prix_(I),http://dbpedia.org/resource/1951_Buenos_Aires_Grand_Prix_(II)
0,58,1950 Bari Grand Prix,http://dbpedia.org/resource/1950_British_Grand_Prix,http://dbpedia.org/resource/1950_Bari_Grand_Prix
