F1: 0.88750,Precision: 0.88750,Recall: 0.88750,,
Col,Row,Value,Submitted URI,Correct URI's
1,16,Harukanaru Toki no Naka de,http://dbpedia.org/resource/Harukanaru_Toki_no_Naka_de_3,http://dbpedia.org/resource/Nagareyama_Shimon http://dbpedia.org/resource/Harutoki http://dbpedia.org/resource/Fujiwara_no_Takamichi http://dbpedia.org/resource/Minamoto_no_yorihisa http://dbpedia.org/resource/Haruka_naru_Toki_no_Naka_de http://dbpedia.org/resource/Tachibana_no_Tomomasa http://dbpedia.org/resource/In_a_Distant_Time http://dbpedia.org/resource/Abe_no_Yasuaki http://dbpedia.org/resource/Abe_no_yasuaki http://dbpedia.org/resource/Harukanaru_Toki_no_Naka_De http://dbpedia.org/resource/Inori_(character) http://dbpedia.org/resource/Morimura_Tenma http://dbpedia.org/resource/Haruka_-Beyond_the_Stream_of_Time- http://dbpedia.org/resource/Minamoto_no_Yorihisa http://dbpedia.org/resource/Eisen_(character) http://dbpedia.org/resource/Harukanaru_Toki_no_Naka_de http://dbpedia.org/resource/Motomiya_Akane http://dbpedia.org/resource/Haruka:_Beyond_the_Stream_of_Time
1,27,Space Channel 5: Part 2,http://dbpedia.org/resource/Space_Channel_5,http://dbpedia.org/resource/Space_Channel_5_Part_2 http://dbpedia.org/resource/Space_Channel_5:_Part_2
1,38,Naruto series,http://dbpedia.org/resource/Naruto:_Rise_of_a_Ninja,http://dbpedia.org/resource/Naruto_video_games http://dbpedia.org/resource/Naruto:_Path_of_the_Ninja http://dbpedia.org/resource/Naruto_Shippuden:_Narutimate_Mission http://dbpedia.org/resource/Naruto:_Uzumaki_Chronicles_(series) http://dbpedia.org/resource/Naruto:_Shinobi_no_Sato_no_Jintori_Kassen http://dbpedia.org/resource/Naruto_Shippuden:_Ninja_Destiny_2 http://dbpedia.org/resource/Naruto_Shippūden:_Narutimate_Mission http://dbpedia.org/resource/Naruto_(games) http://dbpedia.org/resource/Naruto:_Konoha_Ninpocho http://dbpedia.org/resource/Naruto:_Shinobi_Retsuden http://dbpedia.org/resource/List_of_Naruto_Games http://dbpedia.org/resource/Naruto:_Uzumaki_Ninden http://dbpedia.org/resource/Naruto:_Uzumaki_Chronicles_2 http://dbpedia.org/resource/Naruto_RPG:_Uketsugareshi_Hi_no_Ishi http://dbpedia.org/resource/List_Of_Naruto_Games http://dbpedia.org/resource/Naruto:_Path_of_the_Ninja_2 http://dbpedia.org/resource/Naruto:_Konoha_Ninpouchou http://dbpedia.org/resource/Naruto_(Xbox_360) http://dbpedia.org/resource/Naruto_path_of_the_ninja http://dbpedia.org/resource/Naruto_Shippuden:_Ninja_Destiny_3 http://dbpedia.org/resource/Naruto:Path_of_the_Ninja_2 http://dbpedia.org/resource/Naruto_Shippuden:_Dragon_Blade_Chronicles http://dbpedia.org/resource/Naruto:_Rise_of_a_Hero http://dbpedia.org/resource/Naruto_RPG_3:_Reijuu_vs._Konoha_Shoutai http://dbpedia.org/resource/Naruto:_Konoha_Senki http://dbpedia.org/resource/Naruto:_Uzumaki_Chronicles http://dbpedia.org/resource/Naruto:_Path_of_a_Ninja http://dbpedia.org/resource/Naruto_(360) http://dbpedia.org/resource/Naruto_Ninja_Destiny http://dbpedia.org/resource/Naruto_Shippūden:_Ryujinki http://dbpedia.org/resource/Naruto_path_of_a_ninja http://dbpedia.org/resource/List_of_Naruto_video_games http://dbpedia.org/resource/Naruto_RPG_2:_Chidori_vs._Rasengan http://dbpedia.org/resource/Naruto_Shippūden:_Ninja_Destiny_2 http://dbpedia.org/resource/Uzumaki_Ninden http://dbpedia.org/resource/Naruto_path_of_the_ninja_2 http://dbpedia.org/resource/Naruto:_Ninja_Destiny http://dbpedia.org/resource/Naruto:_Narutimate_Card_Battle http://dbpedia.org/resource/Naruto:_Konoha_Spirits http://dbpedia.org/resource/Naruto:_Saikyou_Ninja_Daikesshu http://dbpedia.org/resource/Naruto_games
1,42,Bloody Roar 4,http://dbpedia.org/resource/Bloody_Roar_3,http://dbpedia.org/resource/Bloody_Roar_4
1,50,Sengoku Basara series,http://dbpedia.org/resource/Devil_Kings,http://dbpedia.org/resource/Sengoku_Basara_X http://dbpedia.org/resource/Sengoku_Basara_Chronicle_Heroes http://dbpedia.org/resource/Sengoku_Basara http://dbpedia.org/resource/Sengoku_Basara_2:_Heroes http://dbpedia.org/resource/Sengoku_Basara:_Battle_Heroes http://dbpedia.org/resource/Sengoku_Basara:_Chronicle_Heroes http://dbpedia.org/resource/Sengoku_Basara_Battle_Heroes http://dbpedia.org/resource/Sengoku_Basara_2_:_Heroes http://dbpedia.org/resource/Sengoku_Basara_Ranse_Ranbu http://dbpedia.org/resource/Devil_Kings_Basara http://dbpedia.org/resource/Sengoku_Basara_2_Heroes
1,56,Kingdom Hearts series,http://dbpedia.org/resource/Kingdom_Hearts_II,"http://dbpedia.org/resource/Kingudamu_Hātsu http://dbpedia.org/resource/Kingdom_Hearts_Series http://dbpedia.org/resource/Keyblade_War http://dbpedia.org/resource/Money_in_Kingdom_Hearts http://dbpedia.org/resource/キングダムハーツ http://dbpedia.org/resource/KH:FM http://dbpedia.org/resource/Kingdom_Hearts_(series) http://dbpedia.org/resource/Kingdom_of_Hearts http://dbpedia.org/resource/Keyblade_Types http://dbpedia.org/resource/Kingdom_Hearts http://dbpedia.org/resource/Kingdom_hearts_iv http://dbpedia.org/resource/Kingdom_hearts_IV http://dbpedia.org/resource/Another_Side,_Another_Story_deep_dive http://dbpedia.org/resource/Kingdom_hearts http://dbpedia.org/resource/Kh_v_cast http://dbpedia.org/resource/List_Of_Worlds_In_Kingdom_Hearts http://dbpedia.org/resource/Sora's_Invisible_Mother http://dbpedia.org/resource/Kingdom_Hearts_IV http://dbpedia.org/resource/Kingdom_Key http://dbpedia.org/resource/Another_side,_another_story http://dbpedia.org/resource/Kingdom_Hearts_for_PC_Browsers http://dbpedia.org/resource/Kingdom_Hearts_Chi http://dbpedia.org/resource/Paopu_Fruit http://dbpedia.org/resource/Another_Side,_Another_Story... http://dbpedia.org/resource/Kingdom_hearts_4 http://dbpedia.org/resource/Kingdom_Hearts_Installment http://dbpedia.org/resource/Kingdom_Hearts_4 http://dbpedia.org/resource/Oblivion_keyblade http://dbpedia.org/resource/Kingdom_Hearts_(Series) http://dbpedia.org/resource/List_of_worlds_in_Kingdom_Hearts http://dbpedia.org/resource/Another_Side_Another_Story http://dbpedia.org/resource/Kingdom_Hearts_(V_CAST) http://dbpedia.org/resource/Gummi_ship http://dbpedia.org/resource/キングダム_ハーツ http://dbpedia.org/resource/The_Kingdom_Hearts_Chronicles http://dbpedia.org/resource/Kingdom_Hearts_chi http://dbpedia.org/resource/Kingdom_Hearts:_Final_Mix http://dbpedia.org/resource/Kingdom_Hearts_series http://dbpedia.org/resource/Guard_Armor http://dbpedia.org/resource/Kingdom_Hearts_Manga http://dbpedia.org/resource/Kingdom_Hearts_V_CAST http://dbpedia.org/resource/Kingdom_Hearts_(mobile) http://dbpedia.org/resource/Kingdom_Hearts_(franchise)"
1,65,Jeanne D'Arc,http://dbpedia.org/resource/Jeanne_d'Arc_(Thy_Majestie_album),http://dbpedia.org/resource/Jeanne_d'Arc_(video_game)
1,74,Sengoku Basara 2,http://dbpedia.org/resource/Sengoku_Basara:_Samurai_Heroes,http://dbpedia.org/resource/Sengoku_Basara_2
1,78,Amnesia,http://dbpedia.org/resource/Amnesia:_The_Dark_Descent,http://dbpedia.org/resource/Amnesia_(anime) http://dbpedia.org/resource/Amuneshia http://dbpedia.org/resource/アムネシア http://dbpedia.org/resource/Amnesia_(visual_novel) http://dbpedia.org/resource/AMNESIA
