F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
0,1,"Warren Township, New Jersey","http://dbpedia.org/resource/Warren_Township,_New_Jersey",http://sws.geonames.org/8299577/
0,2,"Bridgewater Township, New Jersey","http://dbpedia.org/resource/Union_Township,_Union_County,_New_Jersey","http://dbpedia.org/resource/Bridgewater,_NJ http://dbpedia.org/resource/Bridgewater_nj http://sws.geonames.org/8299576/ http://dbpedia.org/resource/Bridgewater_Township,_New_Jersey http://dbpedia.org/resource/Bridgewater,_nj http://dbpedia.org/resource/Bridgewater_Township,_Somerset_County,_New_Jersey http://dbpedia.org/resource/Bridgewater_Township,_NJ http://dbpedia.org/resource/Bridgewater,_New_Jersey"
0,3,"Lucas Valley-Marinwood, California","http://dbpedia.org/resource/Lucas_Valley-Marinwood,_California",http://sws.geonames.org/7261199/
0,4,"Wyckoff, New Jersey","http://dbpedia.org/resource/Jersey_City,_New_Jersey",http://sws.geonames.org/7259230/
0,5,"Berkeley Heights, New Jersey","http://dbpedia.org/resource/Berkeley_Heights,_New_Jersey",http://sws.geonames.org/7258005/
0,6,"Ewing Township, New Jersey","http://dbpedia.org/resource/Ewing_Township,_New_Jersey",http://sws.geonames.org/7257854/
0,7,"Elko New Market, Minnesota","http://dbpedia.org/resource/Elko_New_Market,_Minnesota",http://sws.geonames.org/7121608/
0,8,"Skagway, Alaska","http://dbpedia.org/resource/Skagway,_Alaska",http://sws.geonames.org/7117565/
0,9,Thunder Bay,http://dbpedia.org/resource/Thunder_Bay,http://sws.geonames.org/6166142/
0,10,"Big Delta, Alaska","http://dbpedia.org/resource/Big_Delta,_Alaska",http://sws.geonames.org/5880620/
0,11,"Bethel, Alaska","http://dbpedia.org/resource/Bethel,_Alaska",http://sws.geonames.org/5880568/
0,12,"Anvik, Alaska","http://dbpedia.org/resource/Anvik,_Alaska",http://sws.geonames.org/5879553/
0,13,"Aniak, Alaska","http://dbpedia.org/resource/Aniak,_Alaska",http://sws.geonames.org/5879487/
0,14,"Anchor Point, Alaska","http://dbpedia.org/resource/Anchor_Point,_Alaska",http://sws.geonames.org/5879402/
0,15,"Anchorage, Alaska","http://dbpedia.org/resource/Anchorage,_Alaska",http://sws.geonames.org/5879400/
0,16,"Allakaket, Alaska","http://dbpedia.org/resource/Allakaket,_Alaska",http://sws.geonames.org/5879223/
0,17,"Wiseman, Alaska","http://dbpedia.org/resource/Wiseman,_Alaska",http://sws.geonames.org/5878265/
0,18,"Willow, Alaska","http://dbpedia.org/resource/Willow,_Alaska",http://sws.geonames.org/5878102/
0,19,"Wainwright, Alaska","http://dbpedia.org/resource/Wainwright,_Alaska",http://sws.geonames.org/5877543/
0,20,"Valdez, Alaska","http://dbpedia.org/resource/Valdez,_Alaska",http://sws.geonames.org/5877389/
0,21,"Unalakleet, Alaska","http://dbpedia.org/resource/Unalakleet,_Alaska",http://sws.geonames.org/5877192/
0,22,"Ugashik, Alaska","http://dbpedia.org/resource/Ugashik,_Alaska",http://sws.geonames.org/5877094/
0,23,"Togiak, Alaska","http://dbpedia.org/resource/Togiak,_Alaska",http://sws.geonames.org/5876357/
0,24,"Teller, Alaska","http://dbpedia.org/resource/Teller,_Alaska",http://sws.geonames.org/5875969/
0,25,"Tanana, Alaska","http://dbpedia.org/resource/Tanana,_Alaska",http://sws.geonames.org/5875808/
0,26,"Susitna, Alaska","http://dbpedia.org/resource/Susitna,_Alaska",http://sws.geonames.org/5875524/
0,27,"Seward, Alaska","http://dbpedia.org/resource/Seward,_Alaska",http://sws.geonames.org/5873776/
0,28,"Selawik, Alaska","http://dbpedia.org/resource/Selawik,_Alaska",http://sws.geonames.org/5873663/
0,29,"Ruby, Alaska","http://dbpedia.org/resource/Ruby,_Alaska",http://sws.geonames.org/5873030/
0,30,"Quinhagak, Alaska","http://dbpedia.org/resource/Quinhagak,_Alaska",http://sws.geonames.org/5872343/
0,31,"Prudhoe Bay, Alaska","http://dbpedia.org/resource/Prudhoe_Bay,_Alaska",http://sws.geonames.org/5872127/
0,32,"Prudhoe Bay, Alaska","http://dbpedia.org/resource/Prudhoe_Bay,_Alaska",http://sws.geonames.org/5872126/
0,33,"Port Heiden, Alaska","http://dbpedia.org/resource/Port_Heiden,_Alaska",http://sws.geonames.org/5871920/
0,34,"Point Hope, Alaska","http://dbpedia.org/resource/Point_Hope,_Alaska",http://sws.geonames.org/5871791/
0,35,"Palmer, Alaska","http://dbpedia.org/resource/Palmer,_Alaska",http://sws.geonames.org/5871146/
0,36,"Nuiqsut, Alaska","http://dbpedia.org/resource/Nuiqsut,_Alaska",http://sws.geonames.org/5870441/
0,37,"Northway Junction, Alaska","http://dbpedia.org/resource/Northway_Junction,_Alaska",http://sws.geonames.org/5870349/
0,38,"Nondalton, Alaska","http://dbpedia.org/resource/Nondalton,_Alaska",http://sws.geonames.org/5870146/
0,39,"Nome, Alaska","http://dbpedia.org/resource/Nome,_Alaska",http://sws.geonames.org/5870133/
0,40,"Nenana, Alaska","http://dbpedia.org/resource/Nenana,_Alaska",http://sws.geonames.org/5869822/
0,41,"Marshall, Alaska","http://dbpedia.org/resource/Marshall,_Alaska",http://sws.geonames.org/5868316/
