F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
0,1,100 metres (-0.2 m\/s),http://dbpedia.org/resource/Athletics_at_the_1912_Summer_Olympics_–_Men's_100_metres,http://dbpedia.org/resource/100_m_sprint http://dbpedia.org/resource/100_metre_sprint http://dbpedia.org/resource/100_meter_run http://dbpedia.org/resource/100_metres_sprint http://dbpedia.org/resource/100m_Sprint http://dbpedia.org/resource/100_Metre_Dash http://dbpedia.org/resource/List_of_fastest_100_metres_runners http://dbpedia.org/resource/100m_sprint http://dbpedia.org/resource/100_meters http://dbpedia.org/resource/100_Meter_Dash http://dbpedia.org/resource/100_m http://dbpedia.org/resource/100-metre_dash http://dbpedia.org/resource/100_metres_rules http://dbpedia.org/resource/100_metre http://dbpedia.org/resource/100_meter_dash http://dbpedia.org/resource/100m_dash http://dbpedia.org/resource/100_metres http://dbpedia.org/resource/100_metre_dash http://dbpedia.org/resource/100_Metres_Dash http://dbpedia.org/resource/100-meters http://dbpedia.org/resource/100-meter_sprint http://dbpedia.org/resource/100_Meters_Dash http://dbpedia.org/resource/100m http://dbpedia.org/resource/100-meter_dash http://dbpedia.org/resource/One_hundred_metres http://dbpedia.org/resource/100_meter http://dbpedia.org/resource/100_meter_sprint http://dbpedia.org/resource/100_meters_sprint http://dbpedia.org/resource/One_hundred_meters
0,2,200 metres (0.3 m\/s),http://dbpedia.org/resource/Swimming_at_the_1932_Summer_Olympics_–_Men's_4_×_200_metre_freestyle_relay,http://dbpedia.org/resource/200_meter_sprint http://dbpedia.org/resource/200_m http://dbpedia.org/resource/200_metre_sprint http://dbpedia.org/resource/200_meters http://dbpedia.org/resource/200_meter_dash http://dbpedia.org/resource/200_meter http://dbpedia.org/resource/200m_Sprint http://dbpedia.org/resource/200_metre http://dbpedia.org/resource/200m http://dbpedia.org/resource/200-meter_dash http://dbpedia.org/resource/200_meters_sprint http://dbpedia.org/resource/200_metres http://dbpedia.org/resource/220_yards http://dbpedia.org/resource/200_Meter_Dash http://dbpedia.org/resource/200_metres_sprint http://dbpedia.org/resource/200_Meters_Dash http://dbpedia.org/resource/200-meter_sprint http://dbpedia.org/resource/200m_sprint http://dbpedia.org/resource/200_meter_race http://dbpedia.org/resource/220-yard_run http://dbpedia.org/resource/200_Metre_Dash http://dbpedia.org/resource/200_Metres_Dash http://dbpedia.org/resource/220_yard_sprint http://dbpedia.org/resource/220_yard_dash http://dbpedia.org/resource/220-yard_dash
0,3,400 metres,http://dbpedia.org/resource/Athletics_at_the_1992_Summer_Olympics,http://dbpedia.org/resource/400-meter_sprint http://dbpedia.org/resource/400_metres_dash http://dbpedia.org/resource/400_meters http://dbpedia.org/resource/400_Metres_Dash http://dbpedia.org/resource/400-meters http://dbpedia.org/resource/400_Metre_Dash http://dbpedia.org/resource/400-meter_dash http://dbpedia.org/resource/400_metres http://dbpedia.org/resource/400_meter_dash http://dbpedia.org/resource/400_Meter_Dash http://dbpedia.org/resource/400_metres_sprint http://dbpedia.org/resource/400m_metre_sprint http://dbpedia.org/resource/400_Meters_Dash http://dbpedia.org/resource/400_metre_sprint http://dbpedia.org/resource/400_meter http://dbpedia.org/resource/400_metre_dash http://dbpedia.org/resource/400_m http://dbpedia.org/resource/400_m_sprint http://dbpedia.org/resource/400m
0,4,800 metres,http://dbpedia.org/resource/Athletics_at_the_1936_Summer_Olympics_–_Men's_800_metres,http://dbpedia.org/resource/880-yard_run http://dbpedia.org/resource/World_records_in_800_metres http://dbpedia.org/resource/800_metres http://dbpedia.org/resource/800_meters http://dbpedia.org/resource/800_meter http://dbpedia.org/resource/800m http://dbpedia.org/resource/800-meter_run http://dbpedia.org/resource/880-yards http://dbpedia.org/resource/880_yard_run http://dbpedia.org/resource/800_m http://dbpedia.org/resource/880_yards
0,5,1500 metres,http://dbpedia.org/resource/Speed_skating_at_the_1964_Winter_Olympics_–_Women's_1500_metres,"http://dbpedia.org/resource/1500_meter_run http://dbpedia.org/resource/1500m http://dbpedia.org/resource/1500_metres http://dbpedia.org/resource/1500-meter_run http://dbpedia.org/resource/1,500_m http://dbpedia.org/resource/1500_meters http://dbpedia.org/resource/1500_meter http://dbpedia.org/resource/1,500_metres http://dbpedia.org/resource/1500_m http://dbpedia.org/resource/1,500_meters http://dbpedia.org/resource/1500_Meter http://dbpedia.org/resource/1500_Metres"
0,6,3000 metres,http://dbpedia.org/resource/Speed_skating_at_the_1968_Winter_Olympics_–_Women's_3000_metres,"http://dbpedia.org/resource/3,000_m http://dbpedia.org/resource/3000_meters http://dbpedia.org/resource/3,000_metres http://dbpedia.org/resource/3000_metres http://dbpedia.org/resource/3000_meter_run http://dbpedia.org/resource/3000m http://dbpedia.org/resource/3000_m http://dbpedia.org/resource/3,000_meters http://dbpedia.org/resource/3000-meter_run"
0,7,2000 metres steeplechase,http://dbpedia.org/resource/Athletics_at_the_2000_Summer_Olympics_–_Men's_3000_metres_steeplechase,"http://dbpedia.org/resource/Steeplechase_(running) http://dbpedia.org/resource/2000_metres_steeplechase http://dbpedia.org/resource/Steeplechase_runner http://dbpedia.org/resource/2000_m_steeplechase http://dbpedia.org/resource/3000_metres_st. http://dbpedia.org/resource/3000_meter_steeplechase http://dbpedia.org/resource/Steeplechase_running http://dbpedia.org/resource/3000_metre_steeplechase http://dbpedia.org/resource/3,000_m_steeplechase http://dbpedia.org/resource/Steeplechase_(athletics) http://dbpedia.org/resource/3000_m_s'chase http://dbpedia.org/resource/Running/Steeplechase"
0,8,110 metres hurdles (0.1 m\/s),http://dbpedia.org/resource/Athletics_at_the_1960_Summer_Olympics,http://dbpedia.org/resource/110_m http://dbpedia.org/resource/110-meter_hurdles http://dbpedia.org/resource/110_metres_hurdles http://dbpedia.org/resource/110_meters_hurdles http://dbpedia.org/resource/110-metre_hurdles http://dbpedia.org/resource/110m_hurdles http://dbpedia.org/resource/110m_Hurdles http://dbpedia.org/resource/120_yd_hurdles http://dbpedia.org/resource/110_metre_high_hurdles http://dbpedia.org/resource/110_meter_high_hurdles http://dbpedia.org/resource/110_metres_Hurdles http://dbpedia.org/resource/110_metre_hurdles http://dbpedia.org/resource/110m_high_hurdles http://dbpedia.org/resource/110m http://dbpedia.org/resource/110_m_hurdles http://dbpedia.org/resource/110_meter_hurdles http://dbpedia.org/resource/110_meters http://dbpedia.org/resource/120_yard_hurdles http://dbpedia.org/resource/110_metres http://dbpedia.org/resource/110mH http://dbpedia.org/resource/110_meters_high_hurdles http://dbpedia.org/resource/110_metres_high_hurdles
0,9,400 metres hurdles,http://dbpedia.org/resource/Athletics_at_the_1992_Summer_Olympics,http://dbpedia.org/resource/400-meter_hurdler http://dbpedia.org/resource/400-meter_hurdles http://dbpedia.org/resource/440_yard_hurdles http://dbpedia.org/resource/400m_Hurdles http://dbpedia.org/resource/400_metres_hurdler http://dbpedia.org/resource/440_yd_hurdles http://dbpedia.org/resource/400_metre_hurdles http://dbpedia.org/resource/400_meter_hurdles http://dbpedia.org/resource/400_m_hurdles http://dbpedia.org/resource/400_mH http://dbpedia.org/resource/400_metres_hurdles http://dbpedia.org/resource/400_hurdles http://dbpedia.org/resource/400m_hurdles http://dbpedia.org/resource/400_metres_Hurdles http://dbpedia.org/resource/400_meters_hurdles http://dbpedia.org/resource/400-metre_hurdles
0,10,High jump,http://dbpedia.org/resource/Athletics_at_the_1956_Summer_Olympics,http://dbpedia.org/resource/High_Jump http://dbpedia.org/resource/Running_high_jump http://dbpedia.org/resource/High_jumper http://dbpedia.org/resource/High-jump http://dbpedia.org/resource/High_jumping http://dbpedia.org/resource/High_jump_bar http://dbpedia.org/resource/Highjump http://dbpedia.org/resource/High_jump
0,11,Pole vault,http://dbpedia.org/resource/Athletics_at_the_1928_Summer_Olympics_–_Men's_pole_vault,http://dbpedia.org/resource/Pole_vaulting http://dbpedia.org/resource/Pole-vaulting http://dbpedia.org/resource/Six_metres_club http://dbpedia.org/resource/List_of_pole_vaulters_who_reached_6_metres http://dbpedia.org/resource/Pole_Vaulting http://dbpedia.org/resource/Pole-Vaulting http://dbpedia.org/resource/Polevault http://dbpedia.org/resource/6_metres_club http://dbpedia.org/resource/Pole_vaulter http://dbpedia.org/resource/List_of_pole_vaulters_who_reached_6_meters http://dbpedia.org/resource/Pole-vault http://dbpedia.org/resource/Polevaulting http://dbpedia.org/resource/Pole_vault http://dbpedia.org/resource/6_meters_club http://dbpedia.org/resource/Pole_vault_technology http://dbpedia.org/resource/Pole_Vault http://dbpedia.org/resource/List_of_pole_vaulters_who_reached_6_m
0,12,Long jump,http://dbpedia.org/resource/Athletics_at_the_1956_Summer_Olympics,http://dbpedia.org/resource/Long_jump_(sport) http://dbpedia.org/resource/Long-jumper http://dbpedia.org/resource/Farthest_jumper http://dbpedia.org/resource/Long-jumping http://dbpedia.org/resource/Broad_jump http://dbpedia.org/resource/Long_jumper http://dbpedia.org/resource/Long_Jump http://dbpedia.org/resource/Longjump http://dbpedia.org/resource/Running_long_jump http://dbpedia.org/resource/Long_jumping http://dbpedia.org/resource/Broad_jumper http://dbpedia.org/resource/Longjumper http://dbpedia.org/resource/Long_jump
0,13,Triple jump,http://dbpedia.org/resource/Athletics_at_the_1956_Summer_Olympics_–_Men's_triple_jump,"http://dbpedia.org/resource/Triple_jump http://dbpedia.org/resource/Hop,_skip_and_jump http://dbpedia.org/resource/Triple_jumper http://dbpedia.org/resource/Triple-jump http://dbpedia.org/resource/Triple_Jump http://dbpedia.org/resource/Hop,_skip,_and_a_jump http://dbpedia.org/resource/Hop,_step_and_jump"
0,14,Shot put,http://dbpedia.org/resource/Athletics_at_the_1964_Summer_Olympics_–_Women's_shot_put,http://dbpedia.org/resource/Shot-put http://dbpedia.org/resource/Shot_putt http://dbpedia.org/resource/Shot_putting http://dbpedia.org/resource/Shotputter http://dbpedia.org/resource/Shot_Putt http://dbpedia.org/resource/Shot_put http://dbpedia.org/resource/Shot_Put http://dbpedia.org/resource/Shot_putter http://dbpedia.org/resource/Shotput
0,15,Discus throw,http://dbpedia.org/resource/Athletics_at_the_1976_Summer_Olympics_–_Women's_discus_throw,http://dbpedia.org/resource/Discus_throw http://dbpedia.org/resource/Discus_thrower http://dbpedia.org/resource/Discus_Throw http://dbpedia.org/resource/Discus_throwing http://dbpedia.org/resource/Discus http://dbpedia.org/resource/Discuss_throw
0,16,Hammer throw,http://dbpedia.org/resource/Athletics_at_the_1928_Summer_Olympics_–_Men's_hammer_throw,http://dbpedia.org/resource/Hammer_thrower http://dbpedia.org/resource/Hammer-Throwing http://dbpedia.org/resource/Scottish_hammer_throw http://dbpedia.org/resource/Hammer_Throw http://dbpedia.org/resource/Hammerthrow http://dbpedia.org/resource/Hammer_throw http://dbpedia.org/resource/Throwing_hammer http://dbpedia.org/resource/Hammer_throwing
0,17,Javelin throw,http://dbpedia.org/resource/Athletics_at_the_1960_Summer_Olympics_–_Men's_javelin_throw,http://dbpedia.org/resource/Old_javelin_model http://dbpedia.org/resource/Javelin_model http://dbpedia.org/resource/Javelin_throw http://dbpedia.org/resource/Javelin_redesign http://dbpedia.org/resource/Javelin_throwing http://dbpedia.org/resource/Old_javelin_design http://dbpedia.org/resource/Javelin_thrower http://dbpedia.org/resource/Spear_throw http://dbpedia.org/resource/Javelin_remodel http://dbpedia.org/resource/Javelin_Throw http://dbpedia.org/resource/Spear_chucking
0,18,Heptathlon,http://dbpedia.org/resource/Athletics_at_the_1996_Summer_Olympics_–_Women's_heptathlon,http://dbpedia.org/resource/Indoor_heptathlon http://dbpedia.org/resource/Heptathlete http://dbpedia.org/resource/Men's_heptathlon http://dbpedia.org/resource/Women's_heptathlon http://dbpedia.org/resource/Women's_Heptathlon http://dbpedia.org/resource/Heptathlon http://dbpedia.org/resource/Heptathalon http://dbpedia.org/resource/World_heptathlon_best
0,19,5000 metres track walk,http://dbpedia.org/resource/Athletics_at_the_1992_Summer_Olympics,"http://dbpedia.org/resource/10km_walk http://dbpedia.org/resource/Walking_(sport) http://dbpedia.org/resource/5000_metres_track_walk http://dbpedia.org/resource/3000_metres_walk http://dbpedia.org/resource/Race-walking http://dbpedia.org/resource/50000_m_walk http://dbpedia.org/resource/30000_m_walk http://dbpedia.org/resource/5000_metres_race_walk http://dbpedia.org/resource/Racewalk http://dbpedia.org/resource/Run-walk http://dbpedia.org/resource/Racewalker http://dbpedia.org/resource/Walk_race http://dbpedia.org/resource/Race_walking http://dbpedia.org/resource/10000_m_walk http://dbpedia.org/resource/Walking-Races http://dbpedia.org/resource/4000_metres_track_walk http://dbpedia.org/resource/50_kilometres_walk http://dbpedia.org/resource/Run-walking http://dbpedia.org/resource/Race_Walking http://dbpedia.org/resource/Olympic_walking http://dbpedia.org/resource/Speedwalking http://dbpedia.org/resource/Race_walker http://dbpedia.org/resource/Walking_race http://dbpedia.org/resource/3000_metres_race_walk http://dbpedia.org/resource/5000_metres_walk http://dbpedia.org/resource/5000_m_walk http://dbpedia.org/resource/Race_walk http://dbpedia.org/resource/10,000_metres_walk http://dbpedia.org/resource/100-mile_walk http://dbpedia.org/resource/50_kilometre_walk http://dbpedia.org/resource/Racewalking http://dbpedia.org/resource/20,000_metres_track_walk http://dbpedia.org/resource/3000_m_walk http://dbpedia.org/resource/15_kilometres_race_walk http://dbpedia.org/resource/20000_m_walk"
0,20,4 Ã\u0097 100 metres relay,http://dbpedia.org/resource/2011_World_Championships_in_Athletics_–_Women's_4_×_100_metres_relay,http://dbpedia.org/resource/4_×_100_metres_relay
0,21,4 Ã\u0097 400 metres relay,http://dbpedia.org/resource/2011_World_Championships_in_Athletics_–_Women's_4_×_400_metres_relay,http://dbpedia.org/resource/4_×_400_metres_relay
