F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
5,1,Ferdinand,http://dbpedia.org/resource/Franz_Ferdinand_(band),http://dbpedia.org/resource/Les_Ferdinand http://dbpedia.org/resource/Leslie_Ferdinand http://dbpedia.org/resource/Sir_les_ferdinand http://dbpedia.org/resource/Sir_Les_Ferdinand
5,2,Wilkins,http://dbpedia.org/resource/Hubert_Wilkins,http://dbpedia.org/resource/Ray_Wilkins
5,3,"Penrice, Wilson",http://dbpedia.org/resource/Penrice_Soda_Products,http://dbpedia.org/resource/Gary_Penrice
5,5,"Peacock, Ferdinand (2), Penrice",http://dbpedia.org/resource/Penrice_Soda_Products,http://dbpedia.org/resource/Darren_Peacock
5,6,"Sinclair, Wilson (pen)",http://dbpedia.org/resource/George_Sinclair_(horticulturist),http://dbpedia.org/resource/Trevor_Sinclair
5,9,McDonald,http://dbpedia.org/resource/McDonald's,http://dbpedia.org/resource/Alan_McDonald_(Northern_Irish_footballer) http://dbpedia.org/resource/Alan_McDonald_(association_football) http://dbpedia.org/resource/Alan_McDonald_(soccer_player) http://dbpedia.org/resource/Alan_McDonald_(Northern_Ireland_footballer)
5,10,"White (2), Barker",http://dbpedia.org/resource/Tanning,http://dbpedia.org/resource/Devon_White_(footballer)
5,14,Hendry (own goal),"http://dbpedia.org/resource/Hendry_County,_Florida",http://dbpedia.org/resource/Colin_Hendry
5,18,"McGrath (own goal), Penrice",http://dbpedia.org/resource/McGrath_Foundation,http://dbpedia.org/resource/Paul_McGrath_(footballer)
5,21,"White, Penrice",http://dbpedia.org/resource/Penrice_Soda_Products,http://dbpedia.org/resource/Devon_White_(footballer)
5,22,Meaker,http://dbpedia.org/resource/Marijane_Meaker,http://dbpedia.org/resource/Michael_Meaker
5,31,Peacock,http://dbpedia.org/resource/Peacocks_(clothing),http://dbpedia.org/resource/Darren_Peacock
5,32,"Impey (2), Ferdinand",http://dbpedia.org/resource/Impey_River,http://dbpedia.org/resource/Andrew_Impey http://dbpedia.org/resource/Andy_Impey
5,33,Ferdinand,http://dbpedia.org/resource/Franz_Ferdinand_(band),http://dbpedia.org/resource/Les_Ferdinand http://dbpedia.org/resource/Leslie_Ferdinand http://dbpedia.org/resource/Sir_les_ferdinand http://dbpedia.org/resource/Sir_Les_Ferdinand
5,35,White,http://dbpedia.org/resource/J._Samuel_White,http://dbpedia.org/resource/Devon_White_(footballer)
5,36,Ferdinand,http://dbpedia.org/resource/Franz_Ferdinand_(band),http://dbpedia.org/resource/Les_Ferdinand http://dbpedia.org/resource/Leslie_Ferdinand http://dbpedia.org/resource/Sir_les_ferdinand http://dbpedia.org/resource/Sir_Les_Ferdinand
5,37,"White, Ferdinand",,http://dbpedia.org/resource/Devon_White_(footballer)
5,38,Ready,http://dbpedia.org/resource/IF_Ready,http://dbpedia.org/resource/Karl_Ready
5,39,Penrice,http://dbpedia.org/resource/Penrice_Soda_Products,http://dbpedia.org/resource/Gary_Penrice
5,40,Ferdinand,http://dbpedia.org/resource/Franz_Ferdinand_(band),http://dbpedia.org/resource/Les_Ferdinand http://dbpedia.org/resource/Leslie_Ferdinand http://dbpedia.org/resource/Sir_les_ferdinand http://dbpedia.org/resource/Sir_Les_Ferdinand
5,42,Sinclair (2),http://dbpedia.org/resource/Sinclair_Broadcast_Group,http://dbpedia.org/resource/Trevor_Sinclair
