F1: 0.22222,Precision: 0.22222,Recall: 0.22222,,
Col,Row,Value,Submitted URI,Correct URI's
1,1,Australian Open,http://dbpedia.org/resource/Australian_Open,http://dbpedia.org/resource/Australian_Open_2008 http://dbpedia.org/resource/2008_Australian_Open_(tennis) http://dbpedia.org/resource/2008_Australian_Open
1,2,Australian Open (doubles),http://dbpedia.org/resource/Australian_Open,http://dbpedia.org/resource/Australian_Open_2008 http://dbpedia.org/resource/2008_Australian_Open_(tennis) http://dbpedia.org/resource/2008_Australian_Open
1,5,Sony Ericsson Open,http://dbpedia.org/resource/Miami_Open_(tennis),http://dbpedia.org/resource/2008_Sony_Ericsson_Open http://dbpedia.org/resource/2008_Miami_Masters
1,6,Family Circle Cup,http://dbpedia.org/resource/Charleston_Open,http://dbpedia.org/resource/2008_Family_Circle_Cup
1,7,Qatar Telecom German Open,http://dbpedia.org/resource/German_Open_(WTA),http://dbpedia.org/resource/2008_Quatar_Telecom_German_Open http://dbpedia.org/resource/2008_Qatar_Telecom_German_Open http://dbpedia.org/resource/2008_Qatar_Telecom_German_Open_(tennis) http://dbpedia.org/resource/2008_German_Open http://dbpedia.org/resource/2008_German_Open_(tennis)
1,8,Internazionali BNL d'Italia,http://dbpedia.org/resource/Italian_Open_(tennis),http://dbpedia.org/resource/2008_Internazionali_BNL_d'Italia
1,9,French Open,http://dbpedia.org/resource/French_Open,http://dbpedia.org/resource/2008_Roland_Garros http://dbpedia.org/resource/Roland_Garros_2008 http://dbpedia.org/resource/2008_French_Open_(tennis) http://dbpedia.org/resource/French_Open_2008 http://dbpedia.org/resource/2008_French_Open
1,10,Wimbledon,"http://dbpedia.org/resource/The_Championships,_Wimbledon",http://dbpedia.org/resource/Wimbledon_2008 http://dbpedia.org/resource/2008_Wimbledon_Championships http://dbpedia.org/resource/Wimbledon_Championships_2008 http://dbpedia.org/resource/2008_Wimbledom http://dbpedia.org/resource/2008_Wimbledon
1,11,Wimbledon (doubles),"http://dbpedia.org/resource/The_Championships,_Wimbledon",http://dbpedia.org/resource/Wimbledon_2008 http://dbpedia.org/resource/2008_Wimbledon_Championships http://dbpedia.org/resource/Wimbledon_Championships_2008 http://dbpedia.org/resource/2008_Wimbledom http://dbpedia.org/resource/2008_Wimbledon
1,12,Bank of the West Classic,http://dbpedia.org/resource/Silicon_Valley_Classic,http://dbpedia.org/resource/2008_Bank_of_the_West_Classic
1,13,2008 Summer Olympics,http://dbpedia.org/resource/Athletics_at_the_2008_Summer_Olympics,http://dbpedia.org/resource/Tennis_at_the_2008_olympics http://dbpedia.org/resource/2008_Olympic_tennis http://dbpedia.org/resource/2008_Tennis_at_the_Summer_Olympics http://dbpedia.org/resource/Tennis_at_the_2008_Olympic_Games http://dbpedia.org/resource/Tennis_at_the_2008_Summer_Olympics http://dbpedia.org/resource/Tennis_at_the_2008_Olympics
1,14,2008 Summer Olympics (doubles),http://dbpedia.org/resource/Athletics_at_the_2008_Summer_Olympics,http://dbpedia.org/resource/Tennis_at_the_2008_olympics http://dbpedia.org/resource/2008_Olympic_tennis http://dbpedia.org/resource/2008_Tennis_at_the_Summer_Olympics http://dbpedia.org/resource/Tennis_at_the_2008_Olympic_Games http://dbpedia.org/resource/Tennis_at_the_2008_Summer_Olympics http://dbpedia.org/resource/Tennis_at_the_2008_Olympics
1,15,US Open,http://dbpedia.org/resource/US_Open_(tennis),http://dbpedia.org/resource/2008_U.S._Open_(tennis) http://dbpedia.org/resource/2008_US_Open_(tennis) http://dbpedia.org/resource/2008_U_S_Open_(tennis) http://dbpedia.org/resource/2008_U._S._Open_(tennis) http://dbpedia.org/resource/USOT_2008 http://dbpedia.org/resource/2008_us_open_tennis
1,18,WTA Tour Championships,http://dbpedia.org/resource/2004_WTA_Tour_Championships,http://dbpedia.org/resource/2008_WTA_Tour_Championships
