F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
0,1,Burundi,http://dbpedia.org/resource/Burundi,http://dbpedia.org/resource/Intamba http://dbpedia.org/resource/Burundi_national_football_team
0,2,Djibouti,http://dbpedia.org/resource/Djibouti,http://dbpedia.org/resource/Djibouti_national_football_team
0,3,Ethiopia,http://dbpedia.org/resource/Ethiopia,http://dbpedia.org/resource/Ethiopia_national_football_team http://dbpedia.org/resource/Ethiopian_national_football_team
0,4,Kenya,http://dbpedia.org/resource/Kenya,http://dbpedia.org/resource/Harambee_Stars http://dbpedia.org/resource/Kenya_national_football_team
0,5,Malawi,http://dbpedia.org/resource/Malawi,http://dbpedia.org/resource/Malawi_national_football_team http://dbpedia.org/resource/Nyasaland_national_football_team
0,6,Rwanda,http://dbpedia.org/resource/Rwanda,http://dbpedia.org/resource/Rwanda_national_football_team http://dbpedia.org/resource/Ruanda_national_football_team http://dbpedia.org/resource/Amavubi
0,7,Somalia,http://dbpedia.org/resource/Somalia,http://dbpedia.org/resource/Somalian_national_football_team http://dbpedia.org/resource/Somalia_national_football_team http://dbpedia.org/resource/Ocean_Stars http://dbpedia.org/resource/The_Ocean_Stars http://dbpedia.org/resource/Somali_National_Players
0,8,South Sudan,http://dbpedia.org/resource/Sudan,http://dbpedia.org/resource/South_Sudan_national_football_team http://dbpedia.org/resource/2011_South_Sudan_national_football_team_results_(2011-2019) http://dbpedia.org/resource/South_Sudan_national_football_tema http://dbpedia.org/resource/South_Sudan_national_football_team_results_(2011-2019) http://dbpedia.org/resource/Southern_Sudan_national_football_team http://dbpedia.org/resource/2011_South_Sudan_national_football_team_results
0,9,Sudan,http://dbpedia.org/resource/Sudan,http://dbpedia.org/resource/Sudan_national_football_team http://dbpedia.org/resource/Sudan_National_Football_Team
0,10,Tanzania,http://dbpedia.org/resource/Tanzania,http://dbpedia.org/resource/Tanganyika_national_football_team http://dbpedia.org/resource/Taifa_Stars http://dbpedia.org/resource/Tanzania_national_football_team
0,11,Uganda,http://dbpedia.org/resource/Uganda,http://dbpedia.org/resource/Uganda_national_football_team
0,12,Zanzibar,http://dbpedia.org/resource/Tanzania,http://dbpedia.org/resource/Zanzibar_national_football_team
