F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
1,1,United States (USA),http://dbpedia.org/resource/United_States_Marine_Corps,http://dbpedia.org/resource/United_States_at_the_Olympics http://dbpedia.org/resource/USA_at_the_olympics http://dbpedia.org/resource/USA_at_the_Olympics http://dbpedia.org/resource/U.S._Olympic_Team http://dbpedia.org/resource/U.S._Olympic_team http://dbpedia.org/resource/United_States_at_the_Olympic_Games http://dbpedia.org/resource/United_States_at_the_Summer_Olympics http://dbpedia.org/resource/U.S._Olympian http://dbpedia.org/resource/U.S.A._Olympics http://dbpedia.org/resource/United_States_at_the_Winter_Olympics http://dbpedia.org/resource/America_at_the_Olympics http://dbpedia.org/resource/USA_Olympics http://dbpedia.org/resource/US_at_the_Olympics http://dbpedia.org/resource/U._S._Olympic_team http://dbpedia.org/resource/US_Olympic http://dbpedia.org/resource/US_at_the_Olympic_Games http://dbpedia.org/resource/U._S._Olympic_Team http://dbpedia.org/resource/USA_Olympic_Team http://dbpedia.org/resource/United_States_of_America_at_the_Olympics
1,2,Great Britain (GBR),http://dbpedia.org/resource/United_Kingdom,http://dbpedia.org/resource/Great_Britain_and_Northern_Ireland_Olympic_team http://dbpedia.org/resource/Great_britain_at_the_olympic_games http://dbpedia.org/resource/Great_Britain_Olympic_Team http://dbpedia.org/resource/Great_Britain_and_Northern_Ireland_at_the_Summer_Olympics http://dbpedia.org/resource/Great_Britain_at_the_Olympics http://dbpedia.org/resource/Great_Britain_at_the_Winter_Olympics http://dbpedia.org/resource/Great_Britain_at_the_Summer_Olympics http://dbpedia.org/resource/United_Kingdom_at_the_Olympics http://dbpedia.org/resource/Britain_at_the_summer_olympics http://dbpedia.org/resource/Great_Britain_and_Northern_Ireland_at_the_Olympics
1,3,Soviet Union (URS),http://dbpedia.org/resource/Soviet_Union,http://dbpedia.org/resource/Soviet_Olympic_team http://dbpedia.org/resource/USSR_at_the_Olympic_Games http://dbpedia.org/resource/USSR_at_the_Winter_Olympics http://dbpedia.org/resource/USSR_at_the_Summer_Olympics http://dbpedia.org/resource/Soviet_Union_at_the_Summer_Olympics http://dbpedia.org/resource/Soviet_Union_at_the_Olympics http://dbpedia.org/resource/USSR_at_the_Olympics http://dbpedia.org/resource/Soviet_Union_at_the_Winter_Olympics
1,4,Finland (FIN),http://dbpedia.org/resource/Finland,http://dbpedia.org/resource/Finland_at_the_Olympics http://dbpedia.org/resource/Finland_at_the_olympics http://dbpedia.org/resource/Finland_at_the_Summer_Olympics http://dbpedia.org/resource/Finland_at_the_Winter_Olympics
1,5,Germany (GER)[nb],http://dbpedia.org/resource/Germany,http://dbpedia.org/resource/Germany_at_the_Olympic_Games http://dbpedia.org/resource/Germany_at_the_Olympics http://dbpedia.org/resource/Germany_at_the_olympics
1,6,Sweden (SWE),http://dbpedia.org/resource/Sweden,http://dbpedia.org/resource/Sweden_at_the_Olympics http://dbpedia.org/resource/Sweden_at_the_Summer_Olympics http://dbpedia.org/resource/Sweden_at_the_Winter_Olympics
1,7,Czech Republic (CZE),http://dbpedia.org/resource/Czech_Republic,http://dbpedia.org/resource/Czech_Republic_at_the_Winter_Olympics http://dbpedia.org/resource/Czech_Republic_at_the_Olympics http://dbpedia.org/resource/Czech_Republic_at_the_Summer_Olympics
1,8,East Germany (GDR),http://dbpedia.org/resource/Germany,http://dbpedia.org/resource/East_germany_at_the_olympics http://dbpedia.org/resource/Nationales_Olympisches_Komitee_für_Ostdeutschland http://dbpedia.org/resource/German_Gymnastic_and_Sport_Federation http://dbpedia.org/resource/Nationales_Olympisches_Komitee_fur_Ostdeutschland http://dbpedia.org/resource/East_Germany_at_the_Winter_Olympics http://dbpedia.org/resource/Nationales_Olympisches_Komitee_fuer_Ostdeutschland http://dbpedia.org/resource/GDR_at_the_Olympic_Games http://dbpedia.org/resource/NOC_of_the_GDR http://dbpedia.org/resource/Nationales_Olympisches_Komitee_der_DDR http://dbpedia.org/resource/East_Germany_at_the_Olympics http://dbpedia.org/resource/DTSB
1,9,Estonia (EST),http://dbpedia.org/resource/Estonia,http://dbpedia.org/resource/Estonia_at_the_Olympics http://dbpedia.org/resource/Estonia_at_the_Summer_Olympics http://dbpedia.org/resource/Estonia_in_the_Olympics http://dbpedia.org/resource/Estonia_at_the_olympics http://dbpedia.org/resource/Estonia_at_the_Winter_Olympics
