F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
0,1,East Midlands,http://dbpedia.org/resource/Birmingham,http://dbpedia.org/resource/East_Midlands_(European_Parliament_constituency)
0,2,East of England,http://dbpedia.org/resource/London,http://dbpedia.org/resource/East_of_England_(European_Parliament_constituency)
0,3,London,http://dbpedia.org/resource/London,http://dbpedia.org/resource/London_(European_Parliament_constituency)
0,4,North East England,http://dbpedia.org/resource/London,http://dbpedia.org/resource/North_East_England_(European_Parliament_constituency)
0,5,North West England,http://dbpedia.org/resource/England,http://dbpedia.org/resource/North_West_England_(European_Parliament_constituency) http://dbpedia.org/resource/North_West_England_(European_parliament_constituency) http://dbpedia.org/resource/North_West_of_England_(European_parliament_constituency)
0,6,South East England,http://dbpedia.org/resource/London,http://dbpedia.org/resource/South_East_England_(European_Parliament_constituency) http://dbpedia.org/resource/YOURvoice
0,7,South West England1,http://dbpedia.org/resource/England,http://dbpedia.org/resource/England_South_West http://dbpedia.org/resource/South_West_of_England_(European_Parliament_constituency) http://dbpedia.org/resource/South_West_England_(European_Parliament_constituency) http://dbpedia.org/resource/South_West_England_and_Gibraltar_(European_Parliament_constituency)
0,8,West Midlands,http://dbpedia.org/resource/Coventry,http://dbpedia.org/resource/West_Midlands_(European_Parliament_constituency)
0,9,Yorkshire and the Humber,http://dbpedia.org/resource/Yorkshire_and_the_Humber,http://dbpedia.org/resource/Yorkshire_and_the_Humber_(European_Parliament_constituency)
0,10,Wales,http://dbpedia.org/resource/Wales,http://dbpedia.org/resource/Wales_(European_Parliament_constituency) http://dbpedia.org/resource/Wales_(Euro_constituency)
0,11,Scotland,http://dbpedia.org/resource/Scotland,http://dbpedia.org/resource/Scottish_constituencies_(EU) http://dbpedia.org/resource/Scotland_(European_Parliamentary_constituency) http://dbpedia.org/resource/Scotland_(Euro_constituency) http://dbpedia.org/resource/Scotland_(European_Parliament_constituency) http://dbpedia.org/resource/Scotland_(constituency)
0,12,Northern Ireland,http://dbpedia.org/resource/United_Kingdom,http://dbpedia.org/resource/Northern_Ireland_(European_Parliament_constituency)
