F1: 0.07143,Precision: 0.07143,Recall: 0.07143,,
Col,Row,Value,Submitted URI,Correct URI's
0,1,Argentine Album Chart[50],http://dbpedia.org/resource/Argentina,http://dbpedia.org/resource/CAPIF http://dbpedia.org/resource/Camara_Argentina_de_Productores_de_Fonogramas_y_Videogramas http://dbpedia.org/resource/Argentine_Chamber_of_Phonograms_and_Videograms_Producers http://dbpedia.org/resource/Argentine_Albums_Chart http://dbpedia.org/resource/Cámara_Argentina_de_Productores_de_Fonogramas_y_Videogramas http://dbpedia.org/resource/Argentine_chamber_of_phonograms_and_videograms_producers http://dbpedia.org/resource/Capif
0,2,Australian ARIA Album Chart[59],http://dbpedia.org/resource/Australia,http://dbpedia.org/resource/Australia_Top_100_Singles http://dbpedia.org/resource/Australian_singles_chart http://dbpedia.org/resource/ARIA:_Gold http://dbpedia.org/resource/The_ARIA_Report http://dbpedia.org/resource/Australian_charts http://dbpedia.org/resource/Aria_Charts http://dbpedia.org/resource/ARIA_Albums_Chart http://dbpedia.org/resource/ARIA_music_chart http://dbpedia.org/resource/ARIA_chart http://dbpedia.org/resource/ARIA_certifications http://dbpedia.org/resource/Australia_Singles_Top_50 http://dbpedia.org/resource/ARIA_Singles_Chart http://dbpedia.org/resource/Australian_Singles_Chart http://dbpedia.org/resource/Australian_chart http://dbpedia.org/resource/ARIA_Albums_chart http://dbpedia.org/resource/ARIA_charts http://dbpedia.org/resource/Australian_singles_charts http://dbpedia.org/resource/ARIA_report http://dbpedia.org/resource/ARIA_Report http://dbpedia.org/resource/ARIA_Chart http://dbpedia.org/resource/Australian_Top_100_Albums_Chart http://dbpedia.org/resource/Australian_Albums_Chart http://dbpedia.org/resource/Australian_ARIA_Singles_Chart http://dbpedia.org/resource/ARIA_certification http://dbpedia.org/resource/ARIA_Gold http://dbpedia.org/resource/ARIA_Charts http://dbpedia.org/resource/Australian_album_chart http://dbpedia.org/resource/ARIA_Top_50_Club_Tracks_Chart http://dbpedia.org/resource/Australian_Top_50_Club_Tracks
0,5,Belgian Albums Chart (Wallonia)[62],http://dbpedia.org/resource/Belgium,http://dbpedia.org/resource/Ultratop_200 http://dbpedia.org/resource/Ultratop_50_(flemish) http://dbpedia.org/resource/Ultratop http://dbpedia.org/resource/Ultratop50 http://dbpedia.org/resource/Ultratip_Wallonia http://dbpedia.org/resource/Belgian_Album_Chart http://dbpedia.org/resource/Ultratop_chart http://dbpedia.org/resource/Belgium_Album_Chart http://dbpedia.org/resource/Belgium_Singles_Chart http://dbpedia.org/resource/Belgian_Albums_Chart http://dbpedia.org/resource/Ultratop_100_Albums http://dbpedia.org/resource/Ultratop_40 http://dbpedia.org/resource/Ultratip_Flanders http://dbpedia.org/resource/Ultratop_50_Albums http://dbpedia.org/resource/Ultratop_50_(Francophone) http://dbpedia.org/resource/Ultratop_200_Albums http://dbpedia.org/resource/Belgium_Albums_Chart http://dbpedia.org/resource/Belgian_Singles_Chart http://dbpedia.org/resource/Ultratop40 http://dbpedia.org/resource/Ultratop_50_(Wallonia) http://dbpedia.org/resource/Ultratop_50_(Walloon) http://dbpedia.org/resource/Ultratop_50 http://dbpedia.org/resource/Belgian_singles_chart http://dbpedia.org/resource/Ultratop_Chart http://dbpedia.org/resource/Ultratop_50_(francophone) http://dbpedia.org/resource/Belgium_singles_chart http://dbpedia.org/resource/Ultratop_50_(Flemish) http://dbpedia.org/resource/Ultratip http://dbpedia.org/resource/Belgian_Tip_Chart http://dbpedia.org/resource/Ultratop_50_(Flanders)
0,6,Canadian RPM Albums Chart[49],http://dbpedia.org/resource/Canada,http://dbpedia.org/resource/Canada_RPM_Top_100_Singles http://dbpedia.org/resource/RPM_Top_100_Singles http://dbpedia.org/resource/Country_Tracks_chart http://dbpedia.org/resource/Gold_Leaf_Award http://dbpedia.org/resource/RPM_Gold_Leaf_Award http://dbpedia.org/resource/Maple_Music_Awards http://dbpedia.org/resource/RPM_Gold_Leaf_Awards http://dbpedia.org/resource/RPM_Weekly http://dbpedia.org/resource/RPM100_Albums http://dbpedia.org/resource/RPM_100 http://dbpedia.org/resource/RPM_Magazine http://dbpedia.org/resource/RPM_(magazine) http://dbpedia.org/resource/RPM100
0,9,French SNEP Albums Chart[63],http://dbpedia.org/resource/France,http://dbpedia.org/resource/Top_150_Best_Sold_Albums http://dbpedia.org/resource/Snep http://dbpedia.org/resource/Syndicat_National_de_l'Édition_Phonographique http://dbpedia.org/resource/Syndicat_National_de_l'Edition_Phonographique http://dbpedia.org/resource/National_Union_of_Phonographic_Publishing http://dbpedia.org/resource/French_Singles_Chart http://dbpedia.org/resource/Top_100_Best_Sold_Singles http://dbpedia.org/resource/Syndicat_national_de_l'édition_phonographique http://dbpedia.org/resource/French_Albums_Chart http://dbpedia.org/resource/French_Record_Charts http://dbpedia.org/resource/Syndicat_national_de_l'edition_phonographique http://dbpedia.org/resource/France_Singles_Chart http://dbpedia.org/resource/SNEP
0,11,Dutch Albums Chart[50],http://dbpedia.org/resource/Belgium,http://dbpedia.org/resource/Dutch_Albums_Chart http://dbpedia.org/resource/Mega_Charts http://dbpedia.org/resource/MegaCharts http://dbpedia.org/resource/Netherlands_Albums_Chart http://dbpedia.org/resource/Dutch_Album_Chart http://dbpedia.org/resource/Mega_Album_Top_100 http://dbpedia.org/resource/Megacharts
0,16,New Zealand Albums Chart[68],http://dbpedia.org/resource/United_Kingdom,http://dbpedia.org/resource/RIANZ http://dbpedia.org/resource/PPNZ_Music_Licensing http://dbpedia.org/resource/New_Zealand_Number_one_singles http://dbpedia.org/resource/NZFACT http://dbpedia.org/resource/RIANZ_Albums_Chart http://dbpedia.org/resource/List_of_number-one_singles_in_New_Zealand http://dbpedia.org/resource/Recording_Industry_Association_of_NZ http://dbpedia.org/resource/New_Zealand_Top_40 http://dbpedia.org/resource/Radioscope_(record_chart) http://dbpedia.org/resource/PPNZ http://dbpedia.org/resource/RIANZ_Annual_Top_50_Singles_Chart http://dbpedia.org/resource/List_of_number-one_albums_(New_Zealand) http://dbpedia.org/resource/New_Zealandian_Singles_Chart http://dbpedia.org/resource/Recorded_Music_NZ http://dbpedia.org/resource/New_Zealandian_Albums_Chart http://dbpedia.org/resource/RMNZ http://dbpedia.org/resource/Recorded_Music_New_Zealand http://dbpedia.org/resource/RIANZ_Singles_Chart http://dbpedia.org/resource/Recording_Industry_Association_of_New_Zealand
0,17,Norwegian Albums Chart[53],http://dbpedia.org/resource/Norway,http://dbpedia.org/resource/VG-lista http://dbpedia.org/resource/Norway_Singles_Chart http://dbpedia.org/resource/Norwegian_Singles_Chart http://dbpedia.org/resource/VG_-lista http://dbpedia.org/resource/VG-Lista http://dbpedia.org/resource/Norwegian_music_charts http://dbpedia.org/resource/VG_Lista http://dbpedia.org/resource/Norwegiancharts http://dbpedia.org/resource/VG-listen http://dbpedia.org/resource/Norwegian_Albums_Chart http://dbpedia.org/resource/VG-_lista http://dbpedia.org/resource/Norwegian_Record_Charts http://dbpedia.org/resource/VG_lista http://dbpedia.org/resource/VG_-_lista
0,18,Scottish Singles and Albums Charts[69],http://dbpedia.org/resource/United_Kingdom,http://dbpedia.org/resource/Scottish_Singles_Chart http://dbpedia.org/resource/Scottish_Singles_and_Albums_Chart http://dbpedia.org/resource/Scottish_Albums_Chart http://dbpedia.org/resource/Scottish_Singles_and_Albums http://dbpedia.org/resource/Scottish_Singles_and_Albums_Charts http://dbpedia.org/resource/Scottish_Singles_Top_40
