F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
0,1,Battlefordsâ\u0080\u0094Lloydminster,http://dbpedia.org/resource/Lloydminster,http://dbpedia.org/resource/Battlefords—Lloydminster
0,2,Blackstrap,http://dbpedia.org/resource/Molasses,http://dbpedia.org/resource/Blackstrap_(electoral_district)
0,3,Cypress Hillsâ\u0080\u0094Grasslands,http://dbpedia.org/resource/C0_and_C1_control_codes,http://dbpedia.org/resource/Cypress_Hills—Grasslands
0,4,DesnethÃ©â\u0080\u0094Missinippiâ\u0080\u0094Churchill River,http://dbpedia.org/resource/Drownings_at_Nantes,http://dbpedia.org/resource/Desnethé—Missinippi—Churchill_River
0,5,Palliser,http://dbpedia.org/resource/William_Palliser,http://dbpedia.org/resource/Palliser_(Saskatchewan_electoral_district)
0,6,Prince Albert,http://dbpedia.org/resource/Albert_of_Saxony,http://dbpedia.org/resource/Prince_Albert_(electoral_district)
0,7,Reginaâ\u0080\u0094Lumsdenâ\u0080\u0094Lake Centre,,http://dbpedia.org/resource/Regina—Lumsden—Lake_Centre
0,8,Reginaâ\u0080\u0094Qu'Appelle,http://dbpedia.org/resource/HMCS_Qu'Appelle_(DDE_264),http://dbpedia.org/resource/Regina—Qu'Appelle
0,9,Saskatoonâ\u0080\u0094Humboldt,http://dbpedia.org/resource/C0_and_C1_control_codes,http://dbpedia.org/resource/Saskatoon—Humboldt
0,10,Saskatoonâ\u0080\u0094Rosetownâ\u0080\u0094Biggar,http://dbpedia.org/resource/C0_and_C1_control_codes,http://dbpedia.org/resource/Saskatoon—Rosetown—Biggar
0,11,Saskatoonâ\u0080\u0094Wanuskewin,http://dbpedia.org/resource/C0_and_C1_control_codes,http://dbpedia.org/resource/Saskatoon—Wanuskewin
0,12,Sourisâ\u0080\u0094Moose Mountain,http://dbpedia.org/resource/C0_and_C1_control_codes,http://dbpedia.org/resource/Souris—Moose_Mountain
0,13,Wascana,"http://dbpedia.org/resource/Regina,_Saskatchewan",http://dbpedia.org/resource/Wascana_(electoral_district) http://dbpedia.org/resource/Regina--Wascana http://dbpedia.org/resource/Regina—Wascana http://dbpedia.org/resource/Regina-Wascana
0,14,Yorktonâ\u0080\u0094Melville,http://dbpedia.org/resource/C0_and_C1_control_codes,http://dbpedia.org/resource/Yorkton—Melville
