F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
3,1,Kazakhstan,http://dbpedia.org/resource/Kazakhstan,http://dbpedia.org/resource/Kazakh_Football_Team http://dbpedia.org/resource/Kazakhstan_football_team http://dbpedia.org/resource/National_Football_team_of_Kazakhstan http://dbpedia.org/resource/Kazahkstan_national_football_team http://dbpedia.org/resource/Kazakhstan_men's_national_football_team http://dbpedia.org/resource/Kazakhstan_national_football_team http://dbpedia.org/resource/Kazakh_national_football_team
3,2,Norway,http://dbpedia.org/resource/Norway,http://dbpedia.org/resource/Norwegian_national_football_team http://dbpedia.org/resource/Norway_national_football_team http://dbpedia.org/resource/Norway_football
3,3,Bosnia and Herzegovina,http://dbpedia.org/resource/Bosnia_and_Herzegovina,http://dbpedia.org/resource/Bosnia_and_herzegovina_national_football_team http://dbpedia.org/resource/Bosnia_and_Herzegovina_national_football_team http://dbpedia.org/resource/Bosnia_and_Hercegovina_national_football_team http://dbpedia.org/resource/Republic_of_Bosnia_and_Herzegovina_national_football_team http://dbpedia.org/resource/Bosnia-Herzegovina_national_football_team http://dbpedia.org/resource/Bosnia_national_football_team
3,4,Spain,http://dbpedia.org/resource/Spain,http://dbpedia.org/resource/La_Furia_Roja http://dbpedia.org/resource/Spain_National_Football_Team http://dbpedia.org/resource/Spanish_National_Football_Team http://dbpedia.org/resource/Spain_national_soccer_team http://dbpedia.org/resource/Spain_men's_national_soccer_team http://dbpedia.org/resource/Spanish_national_football_team http://dbpedia.org/resource/Spanish_soccer_team http://dbpedia.org/resource/Spain_national_football_team http://dbpedia.org/resource/Spanish_football_team http://dbpedia.org/resource/Spanish_national_soccer_team http://dbpedia.org/resource/Spain_football_national_team http://dbpedia.org/resource/Spain_FC http://dbpedia.org/resource/Spain_national_team http://dbpedia.org/resource/La_Selección http://dbpedia.org/resource/Spain_soccer_team http://dbpedia.org/resource/Selección
3,5,Finland,http://dbpedia.org/resource/Finland,http://dbpedia.org/resource/Finland_national_football_team http://dbpedia.org/resource/Finnish_national_football_team http://dbpedia.org/resource/Bubi_(owl)
3,6,Cyprus,http://dbpedia.org/resource/Cyprus,http://dbpedia.org/resource/Cypriot_national_football_team http://dbpedia.org/resource/Cyprus_national_football_team
3,7,Moldova,http://dbpedia.org/resource/Moldova,http://dbpedia.org/resource/Moldovan_national_football_team http://dbpedia.org/resource/Moldova_national_football_team
3,8,North Korea,http://dbpedia.org/resource/North_Korea,http://dbpedia.org/resource/North_Korea_national_football_team http://dbpedia.org/resource/DPRK_national_football_team http://dbpedia.org/resource/North_korea_football_team http://dbpedia.org/resource/Korea_DPR_national_football_team http://dbpedia.org/resource/North_korea_national_soccer_team http://dbpedia.org/resource/National_football_team_of_the_Democratic_People's_Republic_of_Korea http://dbpedia.org/resource/North_korea_football_club http://dbpedia.org/resource/DPR_Korea_national_football_team http://dbpedia.org/resource/North_Korean_football_team http://dbpedia.org/resource/North_Korean_national_football_team http://dbpedia.org/resource/The_national_football_team_of_the_Democratic_People's_Republic_of_Korea http://dbpedia.org/resource/North_korea_national_football_club
3,9,Russia,http://dbpedia.org/resource/Russia,http://dbpedia.org/resource/Russia_FC http://dbpedia.org/resource/Russian_national_football_team http://dbpedia.org/resource/Russia_football_team http://dbpedia.org/resource/Russian_soccer_tram http://dbpedia.org/resource/Russia_National_Football_Team http://dbpedia.org/resource/Russian_football_team http://dbpedia.org/resource/Russian_SFSR_national_football_team http://dbpedia.org/resource/Russia_national_football_team
3,10,Bolivia,http://dbpedia.org/resource/Bolivia,http://dbpedia.org/resource/Bolivia_national_football_team http://dbpedia.org/resource/Bolivian_national_football_team
