F1: 0.01389,Precision: 0.01389,Recall: 0.01389,,
Col,Row,Value,Submitted URI,Correct URI's
1,1,Maccabi BucureÈ\u0099ti Jiul PetroÅ\u009Fani Phoenix Baia Mare Societatea GimnasticÄ\u0083 Sibiu Dacia Unirea BrÄ\u0083ila,http://dbpedia.org/resource/École_nationale_de_l'aviation_civile,http://dbpedia.org/resource/Maccabi_București
1,3,Sportul StudenÈ\u009Besc BucureÈ\u0099ti Phoenix Baia Mare,http://dbpedia.org/resource/Romania,http://dbpedia.org/resource/FC_Sportul_Studențesc_București
1,4,Tricolor PloieÈ\u0099ti UD ReÅ\u009FiÅ£a,http://dbpedia.org/resource/U.D._Leiria,http://dbpedia.org/resource/FC_Ploiești
1,5,Unirea Tricolor BucureÈ\u0099ti Gloria CFR GalaÈ\u009Bi CAM TimiÈ\u0099oara MureÅ\u009Ful TÃ¢rgu MureÅ\u009F,http://dbpedia.org/resource/Fluminense_FC,http://dbpedia.org/resource/Unirea_Tricolor_București
1,6,FC PloieÈ\u0099ti Mica Brad CriÈ\u0099ana Oradea Franco-RomÃ¢na BrÄ\u0083ila,http://dbpedia.org/resource/Bromine,http://dbpedia.org/resource/FC_Ploiești
1,7,CFR Turnu Severin Jiul PetroÅ\u009Fani Juventus BucureÈ\u0099ti,http://dbpedia.org/resource/Juventus_F.C.,http://dbpedia.org/resource/CFR_Turnu_Severin
1,9,Unirea Tricolor BucureÈ\u0099ti FC PloieÈ\u0099ti Dermata Cluj,http://dbpedia.org/resource/Category:FC_Universitatea_Cluj,http://dbpedia.org/resource/Unirea_Tricolor_București
1,11,Å\u009Eoimii CFR Sibiu Unirea Tricolor BucureÈ\u0099ti,http://dbpedia.org/resource/Fluminense_FC,http://dbpedia.org/resource/Şoimii_Sibiu
1,12,Unirea Tricolor BucureÈ\u0099ti Universitatea Cluj,http://dbpedia.org/resource/FC_Universitatea_Cluj,http://dbpedia.org/resource/Unirea_Tricolor_București
1,13,CA CÃ¢mpulung Moldovenesc Metalul CÃ¢mpia Turzii,http://dbpedia.org/resource/CSM_Câmpia_Turzii,http://dbpedia.org/resource/CA_Câmpulung_Moldovenesc
1,14,Locomotiva BucureÈ\u0099ti È\u0098tiinÈ\u009Ba TimiÈ\u0099oara,http://dbpedia.org/resource/Bosnia_and_Herzegovina,http://dbpedia.org/resource/FC_Rapid_București
1,15,FlacÄ\u0083ra PloieÈ\u0099ti Metalul Hunedoara,http://dbpedia.org/resource/FC_Corvinul_Hunedoara,http://dbpedia.org/resource/FC_Petrolul_Ploiești
1,16,Progresul BucureÈ\u0099ti AvÃ¢ntul Reghin Locomotiva ConstanÈ\u009Ba,,http://dbpedia.org/resource/FC_Progresul_București
1,17,Locomotiva BucureÈ\u0099ti Progresul Oradea Dinamo BacÄ\u0083u,http://dbpedia.org/resource/FC_Dynamo_Moscow,http://dbpedia.org/resource/FC_Rapid_București
1,18,Recolta TÃ¢rgu MureÅ\u009F Steagul RoÅ\u009Fu BraÈ\u0099ov,http://dbpedia.org/resource/South_Korea,http://dbpedia.org/resource/CS_Târgu_Mureș
1,19,È\u0098tiinÈ\u009Ba Cluj Farul ConstanÈ\u009Ba,http://dbpedia.org/resource/CS_Universitatea_Cluj-Napoca_(rugby),http://dbpedia.org/resource/C.F.M._Universitatea_Cluj-Napoca http://dbpedia.org/resource/Ştiinţa_Cluj http://dbpedia.org/resource/Știința_Cluj-Napoca http://dbpedia.org/resource/FC_Universitatea_Cluj-Napoca http://dbpedia.org/resource/Universitatea_Sibiu http://dbpedia.org/resource/FC_Universitatea_Cluj http://dbpedia.org/resource/F.C._Universitatea_Cluj-Napoca http://dbpedia.org/resource/CSU_Cluj-Napoca http://dbpedia.org/resource/Universitatea_Cluj http://dbpedia.org/resource/Știința_Cluj http://dbpedia.org/resource/CSU_Cluj http://dbpedia.org/resource/Stiinta_Cluj http://dbpedia.org/resource/CFM_Universitatea_Cluj http://dbpedia.org/resource/CFM_Universitatea_Cluj-Napoca http://dbpedia.org/resource/CF_Universitatea_Cluj-Napoca http://dbpedia.org/resource/Ştiinţa_Cluj-Napoca
1,21,CSMS IaÈ\u0099i È\u0098tiinÈ\u009Ba TimiÈ\u0099oara Corvinul Hunedoara,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/FC_Politehnica_Iași
1,22,Metalul TÃ¢rgoviÈ\u0099te Dinamo PiteÈ\u0099ti Jiul PetroÅ\u009Fani,http://dbpedia.org/resource/FC_Dynamo_Moscow,http://dbpedia.org/resource/FCM_Târgoviște
1,23,CSMS IaÈ\u0099i Farul ConstanÈ\u009Ba CriÅ\u009Fana Oradea,http://dbpedia.org/resource/Oradea,http://dbpedia.org/resource/FC_Politehnica_Iași
1,24,Siderurgistul GalaÈ\u009Bi Dinamo PiteÈ\u0099ti CriÅ\u009Ful Oradea,http://dbpedia.org/resource/FC_Dynamo_Moscow,http://dbpedia.org/resource/Siderurgistul_Galați
1,25,È\u0098tiinÈ\u009Ba Craiova Minerul Baia Mare,http://dbpedia.org/resource/Romania,http://dbpedia.org/resource/FC_Universitatea_Craiova_II http://dbpedia.org/resource/U_Craiova http://dbpedia.org/resource/Universitatea_II_Craiova http://dbpedia.org/resource/FC_Universitatea_Craiova http://dbpedia.org/resource/U_Craivoa
1,26,Siderurgistul GalaÈ\u009Bi È\u0098tiinÈ\u009Ba TimiÈ\u0099oara,http://dbpedia.org/resource/Socialist_Republic_of_Bosnia_and_Herzegovina,http://dbpedia.org/resource/Siderurgistul_Galați
1,27,Progresul BucureÈ\u0099ti Jiul Petrila,http://dbpedia.org/resource/U,http://dbpedia.org/resource/FC_Progresul_București
1,28,Dinamo BacÄ\u0083u ASA TÃ¢rgu MureÈ\u0099,http://dbpedia.org/resource/FC_Dynamo_Moscow,http://dbpedia.org/resource/FCM_Bacău
1,29,Politehnica IaÈ\u0099i Vagonul Arad,http://dbpedia.org/resource/FC_Politehnica_Timișoara,http://dbpedia.org/resource/FC_Politehnica_Iași
1,30,Steagul RoÅ\u009Fu BraÈ\u0099ov CFR Cluj,http://dbpedia.org/resource/Council_on_Foreign_Relations,http://dbpedia.org/resource/FC_Brașov
1,31,Progresul BucureÈ\u0099ti CFR TimiÈ\u0099oara,http://dbpedia.org/resource/Food_and_Drug_Administration,http://dbpedia.org/resource/FC_Progresul_București
1,32,ASA TÃ¢rgu MureÈ\u0099 CriÅ\u009Ful Oradea,http://dbpedia.org/resource/Costa_Rica,http://dbpedia.org/resource/ASA_1962_Târgu_Mureș
1,33,Sportul StudenÈ\u009Besc BucureÈ\u0099ti CSM ReÅ\u009FiÅ£a,http://dbpedia.org/resource/Philippines,http://dbpedia.org/resource/FC_Sportul_Studențesc_București
1,34,Politehnica IaÈ\u0099i Politehnica TimiÈ\u0099oara,http://dbpedia.org/resource/United_States,http://dbpedia.org/resource/FC_Politehnica_Iași
