F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
1,2,North Station - World Trade Center via Federal Courthouse & South Station,http://dbpedia.org/resource/India,"http://dbpedia.org/resource/North_Station_(Massachusetts) http://dbpedia.org/resource/North_Station_Upper_(MBTA_station) http://dbpedia.org/resource/North_Station,_Massachusetts http://dbpedia.org/resource/North_(MBTA_station) http://dbpedia.org/resource/North_Station_(Boston) http://dbpedia.org/resource/North_Station,_Boston http://dbpedia.org/resource/North_station_(Massachusetts) http://dbpedia.org/resource/North_Station_(Massachusetts_Bay_Transportation_Authority) http://dbpedia.org/resource/North_station_(Amtrak) http://dbpedia.org/resource/Boston_North_Station http://dbpedia.org/resource/Boston_North_(Amtrak_station) http://dbpedia.org/resource/North_Station_(MBTA_station) http://dbpedia.org/resource/North_station_(MBTA) http://dbpedia.org/resource/North_station http://dbpedia.org/resource/North_Station_(Amtrak) http://dbpedia.org/resource/North_Station_(MBTA) http://dbpedia.org/resource/North_Station"
1,3,City Point - McCormack Housing via Andrew Station,http://dbpedia.org/resource/List_of_heliports_in_Canada,http://dbpedia.org/resource/City_Point_(MBTA_station)
1,9,"Roslindale Square - Heath Street via Dudley Station, Grove Hall & Jackson Square Station",http://dbpedia.org/resource/Dulwich_Hill_Line,http://dbpedia.org/resource/Roslindale_(MBTA_station) http://dbpedia.org/resource/Roslindale_Square http://dbpedia.org/resource/Roslindale_Village_(MBTA_station) http://dbpedia.org/resource/Roslindale_Village
1,11,Forest Hills Station - Andrew Station or UMass via Columbia Road,,http://dbpedia.org/resource/Forest_Hills_(MBTA_station) http://dbpedia.org/resource/Forest_Hills_(BERy_station)
1,13,Ashmont Station - Andrew Station via Fields Corner Station,http://dbpedia.org/resource/Fields_Corner_station,http://dbpedia.org/resource/Ashmont_Station http://dbpedia.org/resource/Ashmont_(MBTA_station) http://dbpedia.org/resource/Ashmont_station
1,25,Wolcott Square or Cleary Square - Forest Hills Station via Hyde Park Avenue,"http://dbpedia.org/resource/List_of_roads_in_Baltimore_County,_Maryland",http://dbpedia.org/resource/Readville_yard http://dbpedia.org/resource/Readville_(MBTA_station)
1,26,Dedham Line - Mattapan Station via River Street,http://dbpedia.org/resource/Light_rail,"http://dbpedia.org/resource/Dedham_(MA) http://dbpedia.org/resource/Dedham,_MA http://dbpedia.org/resource/Massachusetts/Dedham http://dbpedia.org/resource/Dedham,_ma http://dbpedia.org/resource/Dedham,_Massachusetts http://dbpedia.org/resource/Dedham,_Norfolk_County,_MA http://dbpedia.org/resource/Dedham_Public_Library_(Massachusetts) http://dbpedia.org/resource/Dedham,_Mass http://dbpedia.org/resource/Dedham,_Norfolk_County,_Massachusetts"
1,28,Walpole Center - Forest Hills Station via Washington Street,http://dbpedia.org/resource/List_of_Monterey-Salinas_Transit_lines,"http://dbpedia.org/resource/Walpole,_MA http://dbpedia.org/resource/Walpole_(town),_Norfolk_County,_Massachusetts http://dbpedia.org/resource/Walpole_mass http://dbpedia.org/resource/East_Walpole,_Massachusetts http://dbpedia.org/resource/Walpole_(town),_Massachusetts http://dbpedia.org/resource/Walpole_(town),_MA http://dbpedia.org/resource/Walpole,_Mass. http://dbpedia.org/resource/Walpole_(town),_Norfolk_County,_MA http://dbpedia.org/resource/Walpole,_Massachusetts http://dbpedia.org/resource/Walpole,_Mass http://dbpedia.org/resource/Walpole_(MA) http://dbpedia.org/resource/Walpole,_Ma http://dbpedia.org/resource/Walpole_ma http://dbpedia.org/resource/South_Walpole,_Massachusetts http://dbpedia.org/resource/Eleanor_N._Johnson_Middle_School"
1,39,Franklin Park Zoo - Ruggles Station via Blue Hill Avenue,http://dbpedia.org/resource/Park_Place_station_(BMT_Franklin_Avenue_Line),http://dbpedia.org/resource/The_Franklin_Park_Zoo http://dbpedia.org/resource/Franklin_Park_Zoo
