F1: 0.10000,Precision: 0.10000,Recall: 0.10000,,
Col,Row,Value,Submitted URI,Correct URI's
1,1,The British Bulldogs (Davey Boy Smith and Dynamite Kid) vs. The Fabulous Rougeau Brothers (Jacques and Raymond Rougeau) ended in a time limit draw[2],http://dbpedia.org/resource/World_War_I,http://dbpedia.org/resource/British_Bulldogs http://dbpedia.org/resource/The_British_Bulldogs
1,2,Bad News Brown defeated Ken Patera[2],http://dbpedia.org/resource/Bad_News_Brown_(musician),http://dbpedia.org/resource/Allen_Coage http://dbpedia.org/resource/Bad_News_Allen http://dbpedia.org/resource/Badnews_Brown http://dbpedia.org/resource/Buffalo_Allen http://dbpedia.org/resource/Badnews_Allen http://dbpedia.org/resource/Alan_Coage
1,3,Rick Rude (with Bobby Heenan) defeated Junkyard Dog by disqualification[2],http://dbpedia.org/resource/Professional_wrestling_match_types,"http://dbpedia.org/resource/""Ravishing""_Rick_Rude http://dbpedia.org/resource/Rick_Rood http://dbpedia.org/resource/Rick_Roode http://dbpedia.org/resource/Richard_Rood_(wrestler) http://dbpedia.org/resource/Ravishing_Rick_Rude http://dbpedia.org/resource/The_Halloween_Phantom http://dbpedia.org/resource/Rick_Rude"
1,5,The Ultimate Warrior defeated The Honky Tonk Man (c) (with Jimmy Hart)[5],http://dbpedia.org/resource/List_of_Teenage_Mutant_Ninja_Turtles_characters,"http://dbpedia.org/resource/Brian_Hellwig http://dbpedia.org/resource/Mr._Warrior http://dbpedia.org/resource/The_Dingo_Warrior http://dbpedia.org/resource/James_Brian_Hellwig http://dbpedia.org/resource/Brian_Jim_Hellwig http://dbpedia.org/resource/Jim_Hellwig http://dbpedia.org/resource/Brian_James_Hellwig http://dbpedia.org/resource/The_Ultimate_Warrior http://dbpedia.org/resource/Ultimate_Warrior_(comic_book) http://dbpedia.org/resource/Warrior_(wrestler) http://dbpedia.org/resource/Destrucity http://dbpedia.org/resource/Dana_Warrior http://dbpedia.org/resource/Dingo_Warrior http://dbpedia.org/resource/One_Warrior_Nation http://dbpedia.org/resource/Warrior_Warrior http://dbpedia.org/resource/The_Self-Destruction_of_the_Ultimate_Warrior http://dbpedia.org/resource/James_Hellwig http://dbpedia.org/resource/The_Self-Destruction_of_The_Ultimate_Warrior http://dbpedia.org/resource/Jim_""The_Ultimate_Warrior""_Hellwig http://dbpedia.org/resource/Ultimate_Warrior_(comics) http://dbpedia.org/resource/TUW http://dbpedia.org/resource/Warrior_University http://dbpedia.org/resource/James_""The_Ultimate_Warrior""_Hellwig http://dbpedia.org/resource/The_ultimate_warrior"
1,6,Dino Bravo (with Frenchy Martin) defeated Don Muraco[5],http://dbpedia.org/resource/Ostrogozhsk–Rossosh_Offensive,http://dbpedia.org/resource/Adolfo_Bresciano http://dbpedia.org/resource/Dino_Bravo_(Adolfo_Bresciano) http://dbpedia.org/resource/Dino_Bravo
1,7,Demolition (Ax and Smash) (c) (with Mr. Fuji and Jimmy Hart) defeated The Hart Foundation (Bret Hart and Jim Neidhart)[5],http://dbpedia.org/resource/Demolition_23,"http://dbpedia.org/resource/Demolition_(wrestling) http://dbpedia.org/resource/Ax_&_Smash http://dbpedia.org/resource/Ax,_Smash,_and_Crush http://dbpedia.org/resource/Ax_and_Smash http://dbpedia.org/resource/Bill_Eadie_and_Barry_Darsow http://dbpedia.org/resource/Demolition_(wrestlers) http://dbpedia.org/resource/Demolition_(professional_wrestling) http://dbpedia.org/resource/Demolition_(tag_team) http://dbpedia.org/resource/The_Demolition"
1,8,Big Boss Man (with Slick) defeated Koko B. Ware[5],http://dbpedia.org/resource/Bass_guitar,http://dbpedia.org/resource/The_Big_Bossman_(wrestler) http://dbpedia.org/resource/Big_Bossman_(wrestler) http://dbpedia.org/resource/Ray_Traylor http://dbpedia.org/resource/The_Bossman_(wrestler) http://dbpedia.org/resource/Bossman_(wrestler) http://dbpedia.org/resource/The_Boss_(wrestler) http://dbpedia.org/resource/Bubba_Rogers http://dbpedia.org/resource/The_Boss_Man_(wrestler) http://dbpedia.org/resource/Guardian_Angel_(wrestler) http://dbpedia.org/resource/Big_Bubba http://dbpedia.org/resource/Big_Bubba_Rogers http://dbpedia.org/resource/The_Bossman http://dbpedia.org/resource/The_Boss_Man http://dbpedia.org/resource/Big_Boss_Man_(wrestler) http://dbpedia.org/resource/The_Guardian_Angel_(wrestler) http://dbpedia.org/resource/War_Machine_(wrestler)
1,9,Jake Roberts defeated Hercules[5],http://dbpedia.org/resource/List_of_NCIS_characters,"http://dbpedia.org/resource/Jake_the_Snake_Roberts http://dbpedia.org/resource/Jake_Roberts http://dbpedia.org/resource/Jake_""The_Snake""_Roberts http://dbpedia.org/resource/Jake_The_Snake_Roberts http://dbpedia.org/resource/Aurelian_Smith_Jr http://dbpedia.org/resource/I_Got_22 http://dbpedia.org/resource/Jake_""the_Snake""_Roberts http://dbpedia.org/resource/Aurelian_Smith,_Jr."
1,10,The Mega Powers (Hulk Hogan and Randy Savage) (with Miss Elizabeth) defeated The Mega Bucks (Ted DiBiase and AndrÃ© the Giant) (with Bobby Heenan and Virgil)[8],http://dbpedia.org/resource/World_War_II,http://dbpedia.org/resource/The_Mega_Powers http://dbpedia.org/resource/Mega_Powers http://dbpedia.org/resource/Megapowers
