F1: 0.09091,Precision: 0.09091,Recall: 0.09091,,
Col,Row,Value,Submitted URI,Correct URI's
3,1,Lubbock Field,"http://dbpedia.org/resource/John_Lubbock,_1st_Baron_Avebury","http://dbpedia.org/resource/Reese_AFB http://dbpedia.org/resource/Reese_Air_Force_Base http://dbpedia.org/resource/Lubbock_AFB http://dbpedia.org/resource/Reese_Air_Force_Base,_Texas http://dbpedia.org/resource/Reese_AFB,_Texas http://dbpedia.org/resource/Lubbock_Army_Airfield http://dbpedia.org/resource/Lubbock_Air_Force_Base http://dbpedia.org/resource/Lubbock_Field http://dbpedia.org/resource/Lubbock_Army_Air_Field"
3,2,Texas A&M,http://dbpedia.org/resource/Texas_A&M_University,http://dbpedia.org/resource/Texas_A&M_Aggies_football
3,3,Oklahoma A&M,http://dbpedia.org/resource/Oklahoma,"http://dbpedia.org/resource/Oklahoma_A&M_Aggies_football,_1910-1919 http://dbpedia.org/resource/1918_Oklahoma_A&M_Aggies_football_season http://dbpedia.org/resource/Oklahoma_A&M_Aggies_football,_1901–1909 http://dbpedia.org/resource/1916_Oklahoma_A&M_Aggies_football_season http://dbpedia.org/resource/Oklahoma_A&M_Cowboys_football http://dbpedia.org/resource/Oklahoma_A&M_Aggies_football,_1910–1919 http://dbpedia.org/resource/1911_Oklahoma_A&M_Aggies_football_season http://dbpedia.org/resource/Oklahoma_A&M_Cowboys_football,_1920-29 http://dbpedia.org/resource/Oklahoma_State_Cowboys_football http://dbpedia.org/resource/Oklahoma_A&M_Aggies_football,_1910-19 http://dbpedia.org/resource/OSU_Cowboys_football http://dbpedia.org/resource/1914_Oklahoma_A&M_Aggies_football_season http://dbpedia.org/resource/1919_Oklahoma_A&M_Aggies_football_season http://dbpedia.org/resource/Oklahoma_State_football http://dbpedia.org/resource/Oklahoma_A&M_Cowboys_football,_1930–1939 http://dbpedia.org/resource/Oklahoma_A&M_Cowboys_football,_1901-1909 http://dbpedia.org/resource/Oklahoma_A&M_Aggies_football,_1901-1909 http://dbpedia.org/resource/Oklahoma_A&M_Aggies_football,_1901-09 http://dbpedia.org/resource/Oklahoma_A&M_Cowboys_football,_1930-1939 http://dbpedia.org/resource/1912_Oklahoma_A&M_Aggies_football_season http://dbpedia.org/resource/Oklahoma_A&M_Aggies_football http://dbpedia.org/resource/Oklahoma_A&M_Cowboys_football,_1930-39 http://dbpedia.org/resource/Oklahoma_A&M_Cowboys_football,_1920-1929 http://dbpedia.org/resource/1917_Oklahoma_A&M_Aggies_football_season http://dbpedia.org/resource/Oklahoma_A&M_Cowboys_football,_1920–1929 http://dbpedia.org/resource/Oklahoma_State_Cowboys_football,_1920-1929 http://dbpedia.org/resource/List_of_Oklahoma_State_Cowboys_bowl_games http://dbpedia.org/resource/1913_Oklahoma_A&M_Aggies_football_season http://dbpedia.org/resource/1910_Oklahoma_A&M_Aggies_football_season"
3,4,Tulsa,"http://dbpedia.org/resource/Tulsa,_Oklahoma",http://dbpedia.org/resource/Tulsa_Orange_and_Black_football http://dbpedia.org/resource/Henry_Kendall_Orange_and_Black_football http://dbpedia.org/resource/Tulsa_Golden_Hurricane_football http://dbpedia.org/resource/Tulsa_Golden_Hurricanes_football http://dbpedia.org/resource/Kendall_Orange_and_Black_football http://dbpedia.org/resource/List_of_Tulsa_Golden_Hurricane_bowl_games
3,5,Southwestern,http://dbpedia.org/resource/Portugal,http://dbpedia.org/resource/Southwestern_(Tex.)_Pirates http://dbpedia.org/resource/Southwestern_(Texas)_Pirates http://dbpedia.org/resource/Southwestern http://dbpedia.org/resource/Southwestern_(TX)_Pirates http://dbpedia.org/resource/Southwestern_University http://dbpedia.org/resource/Southwestern_University_(Texas) http://dbpedia.org/resource/Southwestern_Pirates
3,6,West Texas State,http://dbpedia.org/resource/Texas,http://dbpedia.org/resource/West_Texas_A&M_University
3,7,Rice,http://dbpedia.org/resource/Condoleezza_Rice,http://dbpedia.org/resource/Rice_Owls_football http://dbpedia.org/resource/Rice_owls_football http://dbpedia.org/resource/List_of_Rice_Owls_bowl_games
3,8,TCU,http://dbpedia.org/resource/Texas_Christian_University,http://dbpedia.org/resource/TCU_football http://dbpedia.org/resource/Tcu_horned_frogs_football http://dbpedia.org/resource/Texas_Christian_Horned_Frogs_football http://dbpedia.org/resource/List_of_TCU_Horned_Frogs_bowl_games http://dbpedia.org/resource/Texas_Christian_University_Horned_Frogs_football http://dbpedia.org/resource/TCU_Horned_Frogs_football
3,9,New Mexico,http://dbpedia.org/resource/Mexico,http://dbpedia.org/resource/List_of_New_Mexico_Lobos_bowl_games http://dbpedia.org/resource/New_Mexico_Lobo_Football http://dbpedia.org/resource/New_Mexico_Lobos_football http://dbpedia.org/resource/New_Mexico_Lobo_football http://dbpedia.org/resource/New_mexico_lobos_football
3,10,SMU,http://dbpedia.org/resource/Southern_Methodist_University,http://dbpedia.org/resource/Southern_Methodist_University_Mustangs_football http://dbpedia.org/resource/Southern_Methodist_Mustangs_football http://dbpedia.org/resource/SMU_football http://dbpedia.org/resource/SMU_Mustangs_football
