F1: 0.12500,Precision: 0.12500,Recall: 0.12500,,
Col,Row,Value,Submitted URI,Correct URI's
0,1,Grand Slam tournaments,http://dbpedia.org/resource/Jennifer_Capriati_Tennis,http://dbpedia.org/resource/Grand_slam_tournaments http://dbpedia.org/resource/Tennis_open http://dbpedia.org/resource/Grand_slam_tournament http://dbpedia.org/resource/Career_Super_Slam http://dbpedia.org/resource/Tennis_Championship http://dbpedia.org/resource/Grand_Slam_tennis http://dbpedia.org/resource/Tennis_Grand_Slam http://dbpedia.org/resource/Grand_Slam_in_tennis http://dbpedia.org/resource/Grand_slam_tennis_tournament http://dbpedia.org/resource/Grand_Slam_tennis_event http://dbpedia.org/resource/Grand_Slam_(Tennis) http://dbpedia.org/resource/Grand_Slam_(tennis) http://dbpedia.org/resource/Grand_slam_tennis_tournaments http://dbpedia.org/resource/Grand_slam_event_(tennis) http://dbpedia.org/resource/Grand_Slam_event http://dbpedia.org/resource/Career_Golden_Slam http://dbpedia.org/resource/Super_Slam http://dbpedia.org/resource/Tennis_Majors http://dbpedia.org/resource/Grand_slam_tournament_(tennis) http://dbpedia.org/resource/Grand_slam_(tennis) http://dbpedia.org/resource/Grand_Slam_title http://dbpedia.org/resource/Calender_Year_Grand_Slam http://dbpedia.org/resource/Golden_Slam
0,2,Australian Open,http://dbpedia.org/resource/Australian_National_University,http://dbpedia.org/resource/Australian_Open_(January) http://dbpedia.org/resource/Australasian_Championships_(tennis) http://dbpedia.org/resource/Australian_Open http://dbpedia.org/resource/2017_Australian_Open http://dbpedia.org/resource/Australian_Open_(tennis) http://dbpedia.org/resource/Australian_Championships http://dbpedia.org/resource/Australian_Open_–_Main_Draw_Wildcard_Entries http://dbpedia.org/resource/Aussie_open http://dbpedia.org/resource/Australasian_Championships http://dbpedia.org/resource/Australian_Open_(December) http://dbpedia.org/resource/Ozzy_open http://dbpedia.org/resource/Australian_Open_-_Qualifiers http://dbpedia.org/resource/Australia_Open http://dbpedia.org/resource/Aus_open http://dbpedia.org/resource/The_Grand_Slam_of_Asia/Pacific http://dbpedia.org/resource/Australasian_champion http://dbpedia.org/resource/Australian_Open_Juniors http://dbpedia.org/resource/Australian_open http://dbpedia.org/resource/Australian_Tennis_Open http://dbpedia.org/resource/Australian_Championships_(tennis) http://dbpedia.org/resource/Australian_Open_-_Wildcards http://dbpedia.org/resource/Australian_Open_-_Main_Draw_Wildcard_Entries
0,4,Wimbledon,"http://dbpedia.org/resource/Wimbledon,_London","http://dbpedia.org/resource/The_Championships,_Wimbledon http://dbpedia.org/resource/The_Championships http://dbpedia.org/resource/Wimbledon_Championship_(tennis) http://dbpedia.org/resource/Wimbledon_Championship http://dbpedia.org/resource/The_Championships_Wimbledon http://dbpedia.org/resource/The_Championships_of_Wimbledon http://dbpedia.org/resource/The_Lawn_Tennis_Championships http://dbpedia.org/resource/Wimbledon_championships http://dbpedia.org/resource/Wimbledon_championship http://dbpedia.org/resource/Women's_Seeds_at_The_Championships,_Wimbledon http://dbpedia.org/resource/Wimbledon_Tennis_Championships http://dbpedia.org/resource/Wimbledon_tennis http://dbpedia.org/resource/Wimbledon_Championships_(tennis) http://dbpedia.org/resource/All-England_Championships http://dbpedia.org/resource/Wimbledon_tennis_tournament http://dbpedia.org/resource/Wimbers http://dbpedia.org/resource/2017_Wimbledon_Championships http://dbpedia.org/resource/Wimbledon_(tennis) http://dbpedia.org/resource/World_Grass_Court_Championships http://dbpedia.org/resource/Wimbledon_court_surfaces http://dbpedia.org/resource/British_Open_(tennis) http://dbpedia.org/resource/Wimbledon_Championships"
0,5,US Open,http://dbpedia.org/resource/U.S._Open_Cup,http://dbpedia.org/resource/U.S._Open_Tennis_Championships http://dbpedia.org/resource/U.S._National_tennis_championship http://dbpedia.org/resource/United_States_Championships_(tennis) http://dbpedia.org/resource/United_States_National_championship_(tennis) http://dbpedia.org/resource/U.S_.Open_(tennis) http://dbpedia.org/resource/US_Open_Tennis_Championship http://dbpedia.org/resource/U.S._Open_tennis_championships http://dbpedia.org/resource/U.S._Open_(tennis) http://dbpedia.org/resource/U.S._National_Championships_(tennis) http://dbpedia.org/resource/US_Open_(tennis) http://dbpedia.org/resource/The_U.S._Open http://dbpedia.org/resource/United_States_Open_Tennis_Championships http://dbpedia.org/resource/United_States_Womens'_Open http://dbpedia.org/resource/U.S._National_Tennis_Championships http://dbpedia.org/resource/US_Open_Tennis http://dbpedia.org/resource/U.S._Open_(Tennis) http://dbpedia.org/resource/US_Open_(Tennis) http://dbpedia.org/resource/2017_US_Open_(tennis) http://dbpedia.org/resource/United_States_Open_(tennis)
0,7,ATP World Tour Masters 1000,http://dbpedia.org/resource/ATP_Tour_Masters_1000,"http://dbpedia.org/resource/Tennis_Masters_Series http://dbpedia.org/resource/Masters_1000 http://dbpedia.org/resource/ATP_1000 http://dbpedia.org/resource/Atp_masters http://dbpedia.org/resource/Super_Nine http://dbpedia.org/resource/Tennis_Master_Series http://dbpedia.org/resource/ATP_World_Tour_Masters_1000 http://dbpedia.org/resource/ATP_Masters_1000 http://dbpedia.org/resource/ATP_1000_Series http://dbpedia.org/resource/ATP_Championship_Series,_Single_Week http://dbpedia.org/resource/Masters_tennis_event http://dbpedia.org/resource/Tennis_masters http://dbpedia.org/resource/ATP_Masters http://dbpedia.org/resource/ATP_World_Tour_Masters_1000_series"
0,8,Indian Wells Masters,http://dbpedia.org/resource/Indian_Wells_Tennis_Garden,http://dbpedia.org/resource/BNP_Paribas_Open http://dbpedia.org/resource/Matrix_Essentials_Cup http://dbpedia.org/resource/Pacific_Life_Open http://dbpedia.org/resource/Newsweek_Champions_Cup http://dbpedia.org/resource/Newsweek_Champions_Cup_and_the_State_Farm_Evert_Cup http://dbpedia.org/resource/Pilot_Pen_Classic http://dbpedia.org/resource/Congoleum_Classic http://dbpedia.org/resource/Matrix_Essentials_Evert_Cup http://dbpedia.org/resource/State_Farm_Evert_Cup http://dbpedia.org/resource/Grand_Marnier_Tennis_Games http://dbpedia.org/resource/Evert_Cup http://dbpedia.org/resource/American_Airlines_Tennis_Games http://dbpedia.org/resource/ATP_Masters_Series_Indian_Wells http://dbpedia.org/resource/Virginia_Slims_of_Indian_Wells http://dbpedia.org/resource/Virginia_Slims_of_Palm_Springs http://dbpedia.org/resource/Indian_Wells_Open http://dbpedia.org/resource/Indian_Wells_Masters
0,9,Miami Masters,"http://dbpedia.org/resource/Miami_Beach,_Florida",http://dbpedia.org/resource/Miami_Masters http://dbpedia.org/resource/Miami_TMS http://dbpedia.org/resource/Sony_Ericcson_Open http://dbpedia.org/resource/1984_Lipton_International_Players_Championships http://dbpedia.org/resource/NASDAQ-100_Open http://dbpedia.org/resource/Sony_Open_Tennis http://dbpedia.org/resource/Miami_AMS http://dbpedia.org/resource/NASDAQ_100_Open http://dbpedia.org/resource/Ericsson_Open http://dbpedia.org/resource/Nasdaq-100_Open http://dbpedia.org/resource/Lipton_Championships_(tennis) http://dbpedia.org/resource/ATP_Masters_Series_Miami http://dbpedia.org/resource/Lipton_Championships http://dbpedia.org/resource/Sony_Ericsson_Open http://dbpedia.org/resource/Lipton_International http://dbpedia.org/resource/Miami_Open_(tennis) http://dbpedia.org/resource/Nasdaq_100_Open http://dbpedia.org/resource/Lipton_International_Players_Championships
0,10,Monte Carlo Masters,http://dbpedia.org/resource/Monte_Carlo,http://dbpedia.org/resource/Monte-Carlo_Rolex_Masters http://dbpedia.org/resource/Monte_Carlo_Rolex_Masters http://dbpedia.org/resource/Monte_Carlo_tennis_championship http://dbpedia.org/resource/Monte-Carlo_Masters http://dbpedia.org/resource/Masters_Series_Monte-Carlo http://dbpedia.org/resource/Monte_Carlo_Open http://dbpedia.org/resource/Monte_Carlo_Masters
0,11,Rome Masters,http://dbpedia.org/resource/Rome,http://dbpedia.org/resource/Internazionali_BNL_d'Italia http://dbpedia.org/resource/Internazionali_d'Italia http://dbpedia.org/resource/Internazionali_BNL_d'Italia_(tennis) http://dbpedia.org/resource/Internazionali_d'italia http://dbpedia.org/resource/Telecom_Italia_Masters http://dbpedia.org/resource/Internazionali_BNL_De_Italia http://dbpedia.org/resource/Italian_Open_(tennis) http://dbpedia.org/resource/The_Internazionali_BNL_d'Italia http://dbpedia.org/resource/Peugeot_Italian_Open http://dbpedia.org/resource/Rome_Masters
