F1: 0.71839,Precision: 0.71839,Recall: 0.71839,,
Col,Row,Value,Submitted URI,Correct URI's
0,8,VH1 Storytellers,http://dbpedia.org/resource/VH1_Storytellers_(Kanye_West_album),http://dbpedia.org/resource/VH1_Storytellers:_Ringo_Starr http://dbpedia.org/resource/VH1_Storytellers_(Ringo_Starr_album)
0,9,VH1 Storytellers,http://dbpedia.org/resource/VH1_Storytellers_(Kanye_West_album),http://dbpedia.org/resource/VH1_Storytellers_(Billy_Idol_album)
0,18,Use Your Illusion I,http://dbpedia.org/resource/Use_Your_Illusion_II,http://dbpedia.org/resource/Bad_Obsession http://dbpedia.org/resource/Use_Your_Illusion_I http://dbpedia.org/resource/UYII http://dbpedia.org/resource/Right_Next_Door_To_Hell http://dbpedia.org/resource/Dust_N'_Bones http://dbpedia.org/resource/Use_Your_Illusion_One http://dbpedia.org/resource/Back_Off_Bitch http://dbpedia.org/resource/Dust_N'_Bones_(song) http://dbpedia.org/resource/Garden_of_Eden_(Guns_N'_Roses_song) http://dbpedia.org/resource/Dust_&_Bones http://dbpedia.org/resource/Garden_Of_Eden_(Song) http://dbpedia.org/resource/Don't_Damn_Me http://dbpedia.org/resource/You_Ain't_The_First http://dbpedia.org/resource/Double_Talkin'_Jive http://dbpedia.org/resource/Garden_Of_Eden_(song) http://dbpedia.org/resource/UYI1 http://dbpedia.org/resource/You_Ain't_the_First http://dbpedia.org/resource/Use_Your_Illusion_1 http://dbpedia.org/resource/Right_Next_Door_to_Hell http://dbpedia.org/resource/Dust_and_Bones
0,19,Us and Them,http://dbpedia.org/resource/Us_and_Them_(Shinedown_album),http://dbpedia.org/resource/Us_and_Them_(song) http://dbpedia.org/resource/The_Violent_Sequence http://dbpedia.org/resource/Us_And_Them
0,21,Ursula,http://dbpedia.org/resource/Ursula_K._Le_Guin,http://dbpedia.org/resource/Ursula_(album)
0,22,Urban Renewal,http://dbpedia.org/resource/Urban_Renewal_(Tower_of_Power_album),"http://dbpedia.org/resource/Urban_Renewal_(Funk,_Inc._album)"
0,25,Update,http://dbpedia.org/resource/Update_(Jane_Zhang_album),http://dbpedia.org/resource/Update_(Mal_Waldron_album)
0,34,Untitled,http://dbpedia.org/resource/Blink-182_(album),http://dbpedia.org/resource/Just_a_Season http://dbpedia.org/resource/Lover_of_the_Bayou http://dbpedia.org/resource/Untitled_(The_Byrds_album) http://dbpedia.org/resource/Untitled_(Byrds_album)
0,39,Uns Dias Ao Vivo,http://dbpedia.org/resource/Uns_Dias_ao_Vivo,http://dbpedia.org/resource/Uns_Dias_Ao_Vivo
0,42,Unplugged,http://dbpedia.org/resource/Unplugged_(Alice_in_Chains_album),http://dbpedia.org/resource/Unplugged_(Paul_McCartney_album) http://dbpedia.org/resource/Unplugged_(The_Official_Bootleg)
0,43,Unplugged,http://dbpedia.org/resource/Unplugged_(Alice_in_Chains_album),http://dbpedia.org/resource/No_Frontiers_(song) http://dbpedia.org/resource/The_Corrs_Unplugged http://dbpedia.org/resource/Unplugged_(The_Corrs_album)
0,44,Unplugged,http://dbpedia.org/resource/Unplugged_(Alice_in_Chains_album),http://dbpedia.org/resource/Neil_Young_Unplugged http://dbpedia.org/resource/Unplugged_(Neil_Young_album)
0,45,Unplugged,http://dbpedia.org/resource/Unplugged_(Alice_in_Chains_album),http://dbpedia.org/resource/Unplugged_(Mizraab_album)
0,46,Unplugged,http://dbpedia.org/resource/Unplugged_(Alice_in_Chains_album),http://dbpedia.org/resource/Clapton_Unplugged http://dbpedia.org/resource/Unplugged_(Eric_Clapton_album) http://dbpedia.org/resource/Alberta_(Eric_Clapton_song) http://dbpedia.org/resource/MTV_Unplugged_(Eric_Clapton) http://dbpedia.org/resource/Eric_Clapton_Unplugged http://dbpedia.org/resource/Unplugged_(Eric_Clapton)
0,47,Unplugged,http://dbpedia.org/resource/Unplugged_(Alice_in_Chains_album),http://dbpedia.org/resource/Unplugged_(Alicia_Keys_album) http://dbpedia.org/resource/Alicia_Keys_-_MTV_Unplugged http://dbpedia.org/resource/Alicia_Keys_MTV_Unplugged http://dbpedia.org/resource/Alicia_Keys_-_Unplugged http://dbpedia.org/resource/Alicia_Keys_Unplugged
0,55,Unity,http://dbpedia.org/resource/Unity_(Rage_album),http://dbpedia.org/resource/Unity_(Larry_Young_album) http://dbpedia.org/resource/Unity_(Larry_Young)
