F1: 0.48062,Precision: 0.48062,Recall: 0.48062,,
Col,Row,Value,Submitted URI,Correct URI's
2,3,"Newburyport, Massachusetts",http://dbpedia.org/resource/Newburyport/Rockport_Line,"http://dbpedia.org/resource/UN/LOCODE:USZMP http://dbpedia.org/resource/Newburyport http://dbpedia.org/resource/Newburyport_MA http://dbpedia.org/resource/Newburyport,_MA http://dbpedia.org/resource/Newburyport,_Massachusetts http://dbpedia.org/resource/History_of_Newburyport,_Massachusetts http://dbpedia.org/resource/Newportbury,_ma http://dbpedia.org/resource/Newburyport_(MA) http://dbpedia.org/resource/Old_Newburyport,_Massachusetts http://dbpedia.org/resource/Newburyport_Harbor http://dbpedia.org/resource/Newburyport,_ma"
2,4,Pennsylvania Station,http://dbpedia.org/resource/30th_Street_Station,"http://dbpedia.org/resource/Newark,_New_Jersey_station http://dbpedia.org/resource/Newark_station_(PATH) http://dbpedia.org/resource/Pennsylvania_Station_(Newark)_(NCS_station) http://dbpedia.org/resource/Newark_Penn_(NCS_station) http://dbpedia.org/resource/Newark,_New_Jersey_station_(Amtrak) http://dbpedia.org/resource/Newark_Penn_Station_(SEPTA_station) http://dbpedia.org/resource/Pennsylvania_Station_(Newark) http://dbpedia.org/resource/Newark_Penn_Station http://dbpedia.org/resource/Newark_penn http://dbpedia.org/resource/Newark_Penn_Sation http://dbpedia.org/resource/Newark,_New_Jersey_(Amtrak_station) http://dbpedia.org/resource/Pennsylvania_Station_(Newark)_(NJT_station) http://dbpedia.org/resource/Newark,_New_Jersey_station_(NJT) http://dbpedia.org/resource/Newark_(PATH_station) http://dbpedia.org/resource/Newark_Pennsylvania_Station http://dbpedia.org/resource/Newark_Penn_(NJT_station) http://dbpedia.org/resource/Newark_Penn_(Amtrak_station) http://dbpedia.org/resource/Penn_Station_(NCS_station) http://dbpedia.org/resource/Newark_Penn_(NLR_station) http://dbpedia.org/resource/Newark_(PATH) http://dbpedia.org/resource/Newark_Penn_Station_(NJT_station) http://dbpedia.org/resource/Penn_Station_(Newark) http://dbpedia.org/resource/Newark,_NJ_(Amtrak_station)"
2,5,Pennsylvania Station,http://dbpedia.org/resource/30th_Street_Station,"http://dbpedia.org/resource/Newark,_New_Jersey_station http://dbpedia.org/resource/Newark_station_(PATH) http://dbpedia.org/resource/Pennsylvania_Station_(Newark)_(NCS_station) http://dbpedia.org/resource/Newark_Penn_(NCS_station) http://dbpedia.org/resource/Newark,_New_Jersey_station_(Amtrak) http://dbpedia.org/resource/Newark_Penn_Station_(SEPTA_station) http://dbpedia.org/resource/Pennsylvania_Station_(Newark) http://dbpedia.org/resource/Newark_Penn_Station http://dbpedia.org/resource/Newark_penn http://dbpedia.org/resource/Newark_Penn_Sation http://dbpedia.org/resource/Newark,_New_Jersey_(Amtrak_station) http://dbpedia.org/resource/Pennsylvania_Station_(Newark)_(NJT_station) http://dbpedia.org/resource/Newark,_New_Jersey_station_(NJT) http://dbpedia.org/resource/Newark_(PATH_station) http://dbpedia.org/resource/Newark_Pennsylvania_Station http://dbpedia.org/resource/Newark_Penn_(NJT_station) http://dbpedia.org/resource/Newark_Penn_(Amtrak_station) http://dbpedia.org/resource/Penn_Station_(NCS_station) http://dbpedia.org/resource/Newark_Penn_(NLR_station) http://dbpedia.org/resource/Newark_(PATH) http://dbpedia.org/resource/Newark_Penn_Station_(NJT_station) http://dbpedia.org/resource/Penn_Station_(Newark) http://dbpedia.org/resource/Newark,_NJ_(Amtrak_station)"
2,6,Pennsylvania Station,http://dbpedia.org/resource/30th_Street_Station,"http://dbpedia.org/resource/Newark,_New_Jersey_station http://dbpedia.org/resource/Newark_station_(PATH) http://dbpedia.org/resource/Pennsylvania_Station_(Newark)_(NCS_station) http://dbpedia.org/resource/Newark_Penn_(NCS_station) http://dbpedia.org/resource/Newark,_New_Jersey_station_(Amtrak) http://dbpedia.org/resource/Newark_Penn_Station_(SEPTA_station) http://dbpedia.org/resource/Pennsylvania_Station_(Newark) http://dbpedia.org/resource/Newark_Penn_Station http://dbpedia.org/resource/Newark_penn http://dbpedia.org/resource/Newark_Penn_Sation http://dbpedia.org/resource/Newark,_New_Jersey_(Amtrak_station) http://dbpedia.org/resource/Pennsylvania_Station_(Newark)_(NJT_station) http://dbpedia.org/resource/Newark,_New_Jersey_station_(NJT) http://dbpedia.org/resource/Newark_(PATH_station) http://dbpedia.org/resource/Newark_Pennsylvania_Station http://dbpedia.org/resource/Newark_Penn_(NJT_station) http://dbpedia.org/resource/Newark_Penn_(Amtrak_station) http://dbpedia.org/resource/Penn_Station_(NCS_station) http://dbpedia.org/resource/Newark_Penn_(NLR_station) http://dbpedia.org/resource/Newark_(PATH) http://dbpedia.org/resource/Newark_Penn_Station_(NJT_station) http://dbpedia.org/resource/Penn_Station_(Newark) http://dbpedia.org/resource/Newark,_NJ_(Amtrak_station)"
2,8,New Jalpaiguri railway station,http://dbpedia.org/resource/Jalpaiguri_railway_station,http://dbpedia.org/resource/New_Jalpaiguri_railway_station http://dbpedia.org/resource/New_Jalpaiguri http://dbpedia.org/resource/New_Jalpiguri
2,9,New Jalpaiguri,http://dbpedia.org/resource/New_Jalpaiguri_Junction_railway_station,http://dbpedia.org/resource/New_Jalpaiguri_railway_station http://dbpedia.org/resource/New_Jalpaiguri http://dbpedia.org/resource/New_Jalpiguri
2,10,New Jalpaiguri railway station,http://dbpedia.org/resource/Jalpaiguri_railway_station,http://dbpedia.org/resource/New_Jalpaiguri_railway_station http://dbpedia.org/resource/New_Jalpaiguri http://dbpedia.org/resource/New_Jalpiguri
2,11,New Jalpaiguri,http://dbpedia.org/resource/New_Jalpaiguri_Junction_railway_station,http://dbpedia.org/resource/New_Jalpaiguri_railway_station http://dbpedia.org/resource/New_Jalpaiguri http://dbpedia.org/resource/New_Jalpiguri
2,12,Union Station,http://dbpedia.org/resource/Union_Station_(Toronto),"http://dbpedia.org/resource/New_Haven_(Shore_Line_East_station) http://dbpedia.org/resource/New_Haven_(Amtrak_station) http://dbpedia.org/resource/ZVE http://dbpedia.org/resource/New_Haven-Union_Station_(Metro_North_station) http://dbpedia.org/resource/New_Haven_(Metro-North_station) http://dbpedia.org/resource/Union_Station_(New_Haven,_Connecticut) http://dbpedia.org/resource/Union_Station_(New_Haven) http://dbpedia.org/resource/New_Haven_Union_Station http://dbpedia.org/resource/New_Haven_Railroad_Station"
